Daily data for a single station.
StationID:,743700-99999
StationName:,"FORT DRUM/WHEELER-S"
Lat&Long:,44.050,-75.730
Elevation:,-999.900
Starts(YMD):,1942-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1942-01-01,NA,NA,NA,NA,NA,NA,NA
1942-01-02,NA,NA,NA,NA,NA,NA,NA
1942-01-03,NA,NA,NA,NA,NA,NA,NA
1942-01-04,NA,NA,NA,NA,NA,NA,NA
1942-01-05,NA,NA,NA,NA,NA,NA,NA
1942-01-06,NA,NA,NA,NA,NA,NA,NA
1942-01-07,NA,NA,NA,NA,NA,NA,NA
1942-01-08,NA,NA,NA,NA,NA,NA,NA
1942-01-09,NA,NA,NA,NA,NA,NA,NA
1942-01-10,NA,NA,NA,NA,NA,NA,NA
1942-01-11,NA,NA,NA,NA,NA,NA,NA
1942-01-12,NA,NA,NA,NA,NA,NA,NA
1942-01-13,NA,NA,NA,NA,NA,NA,NA
1942-01-14,NA,NA,NA,NA,NA,NA,NA
1942-01-15,NA,NA,NA,NA,NA,NA,NA
1942-01-16,NA,NA,NA,NA,NA,NA,NA
1942-01-17,NA,NA,NA,NA,NA,NA,NA
1942-01-18,NA,NA,NA,NA,NA,NA,NA
1942-01-19,NA,NA,NA,NA,NA,NA,NA
1942-01-20,NA,NA,NA,NA,NA,NA,NA
1942-01-21,NA,NA,NA,NA,NA,NA,NA
1942-01-22,NA,NA,NA,NA,NA,NA,NA
1942-01-23,NA,NA,NA,NA,NA,NA,NA
1942-01-24,NA,NA,NA,NA,NA,NA,NA
1942-01-25,NA,NA,NA,NA,NA,NA,NA
1942-01-26,NA,NA,NA,NA,NA,NA,NA
1942-01-27,NA,NA,NA,NA,NA,NA,NA
1942-01-28,NA,NA,NA,NA,NA,NA,NA
1942-01-29,NA,NA,NA,NA,NA,NA,NA
1942-01-30,NA,NA,NA,NA,NA,NA,NA
1942-01-31,NA,NA,NA,NA,NA,NA,NA
1942-02-01,NA,NA,NA,NA,NA,NA,NA
1942-02-02,NA,NA,NA,NA,NA,NA,NA
1942-02-03,NA,NA,NA,NA,NA,NA,NA
1942-02-04,NA,NA,NA,NA,NA,NA,NA
1942-02-05,NA,NA,NA,NA,NA,NA,NA
