Daily data for a single station.
StationID:,744665-04838
StationName:,"PALWAUKEE MUNICIPAL ARPT"
Lat&Long:,42.121,-87.900
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,2.3,-0.5,2.48,70.0
2006-01-02,NA,NA,NA,4.0,3.5,4.97,100.0
2006-01-03,NA,NA,NA,4.2,3.4,2.63,100.0
2006-01-04,NA,NA,NA,4.4,2.9,4.73,100.0
2006-01-05,NA,NA,NA,1.0,-2.8,5.06,100.0
2006-01-06,NA,NA,NA,-1.6,-6.8,4.35,99.7
2006-01-07,NA,NA,NA,0.5,-3.4,3.76,85.3
2006-01-08,NA,NA,NA,2.9,-0.8,3.60,50.2
2006-01-09,NA,NA,NA,1.9,-2.8,4.12,100.0
2006-01-10,NA,NA,NA,-0.0,-3.2,1.97,71.7
2006-01-11,NA,NA,NA,3.5,2.3,3.97,76.7
2006-01-12,NA,NA,NA,7.7,2.6,5.78,26.6
2006-01-13,NA,NA,NA,3.1,1.3,4.67,87.0
2006-01-14,NA,NA,NA,-0.4,-6.7,3.68,65.6
2006-01-15,NA,NA,NA,1.2,-4.4,4.47,28.1
2006-01-16,NA,NA,NA,3.5,-1.2,3.06,25.9
2006-01-17,NA,NA,NA,1.2,-1.5,4.94,99.2
2006-01-18,NA,NA,NA,-2.8,-9.0,5.78,73.6
2006-01-19,NA,NA,NA,5.9,0.9,4.17,17.5
2006-01-20,NA,NA,NA,1.4,-0.8,3.81,70.7
2006-01-21,NA,NA,NA,-2.8,-5.0,2.48,35.8
2006-01-22,NA,NA,NA,-2.0,-3.4,2.07,49.3
2006-01-23,NA,NA,NA,-3.1,-5.6,4.30,67.7
2006-01-24,NA,NA,NA,1.9,-2.3,7.99,95.7
2006-01-25,NA,NA,NA,-0.7,-7.1,5.43,38.0
2006-01-26,NA,NA,NA,-0.4,-6.2,2.44,16.7
2006-01-27,NA,NA,NA,5.3,-2.8,6.00,22.5
2006-01-28,NA,NA,NA,6.3,3.1,4.03,91.0
2006-01-29,NA,NA,NA,7.3,5.7,5.39,100.0
2006-01-30,NA,NA,NA,1.1,-1.8,5.00,100.0
2006-01-31,NA,NA,NA,0.4,-3.8,3.92,70.0
2006-02-01,NA,NA,NA,4.3,-0.6,5.11,89.7
2006-02-02,NA,NA,NA,1.1,-1.0,1.38,23.5
2006-02-03,NA,NA,NA,2.2,0.2,3.18,99.4
2006-02-04,NA,NA,NA,-1.7,-4.8,6.06,100.0
2006-02-05,NA,NA,NA,-3.0,-8.0,6.11,70.9
2006-02-06,NA,NA,NA,-3.1,-12.3,5.64,9.4
2006-02-07,NA,NA,NA,-3.7,-13.3,3.73,47.7
2006-02-08,NA,NA,NA,-4.2,-10.1,4.19,84.6
2006-02-09,NA,NA,NA,-4.1,-12.2,3.67,24.8
2006-02-10,NA,NA,NA,-01.0,-4.1,2.69,99.9
2006-02-11,NA,NA,NA,-1.6,-3.7,3.16,97.5
2006-02-12,NA,NA,NA,-3.5,-7.9,3.71,100.0
2006-02-13,NA,NA,NA,-3.3,-10.0,4.59,48.5
2006-02-14,NA,NA,NA,3.0,-4.3,4.29,13.2
2006-02-15,NA,NA,NA,1.7,-2.9,3.92,49.2
2006-02-16,NA,NA,NA,-0.1,-1.1,5.99,100.0
2006-02-17,NA,NA,NA,-7.8,-14.1,6.86,39.3
2006-02-18,NA,NA,NA,-17.9,-25.2,5.99,5.4
2006-02-19,NA,NA,NA,-12.0,-20.0,4.52,3.1
2006-02-20,NA,NA,NA,-5.3,-13.2,4.76,47.3
2006-02-21,NA,NA,NA,-2.6,-10.2,2.96,19.6
2006-02-22,NA,NA,NA,1.5,-5.8,3.08,41.2
2006-02-23,NA,NA,NA,0.2,-7.7,4.44,27.8
2006-02-24,NA,NA,NA,0.4,-8.8,4.74,51.2
2006-02-25,NA,NA,NA,-1.1,-11.2,5.64,21.7
2006-02-26,NA,NA,NA,-3.9,-17.8,3.18,47.5
2006-02-27,NA,NA,NA,-01.0,-8.6,3.97,75.5
2006-02-28,NA,NA,NA,-1.3,-9.0,3.37,25.0
2006-03-01,NA,NA,NA,1.3,-6.4,3.70,21.5
2006-03-02,NA,NA,NA,0.2,-4.1,3.51,81.0
