Daily data for a single station.
StationID:,999999-14768
StationName:,"ROCHESTER MONROE CO ARPT"
Lat&Long:,43.117,-77.670
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-4.4,-7.3,7.21,NA
1948-01-02,NA,NA,NA,-3.2,-4.8,6.30,NA
1948-01-03,NA,NA,NA,-3.2,-5.4,2.07,NA
1948-01-04,NA,NA,NA,-3.2,-5.5,3.21,NA
1948-01-05,NA,NA,NA,-2.9,-5.1,4.25,NA
1948-01-06,NA,NA,NA,-3.2,-4.1,2.09,NA
1948-01-07,NA,NA,NA,-2.8,-5.1,5.95,NA
1948-01-08,NA,NA,NA,-3.4,-6.6,2.36,NA
1948-01-09,NA,NA,NA,0.4,-2.0,8.48,NA
1948-01-10,NA,NA,NA,-8.6,-12.8,8.09,NA
1948-01-11,NA,NA,NA,-4.3,-8.5,5.11,NA
1948-01-12,NA,NA,NA,1.5,-2.6,6.12,NA
1948-01-13,NA,NA,NA,-4.4,-7.4,5.16,NA
1948-01-14,NA,NA,NA,-10.7,-13.8,5.67,NA
1948-01-15,NA,NA,NA,-12.4,-17.4,3.70,NA
1948-01-16,NA,NA,NA,-4.2,-8.2,6.83,NA
1948-01-17,NA,NA,NA,-7.5,-11.3,3.61,NA
1948-01-18,NA,NA,NA,-12.0,-15.5,4.40,NA
1948-01-19,NA,NA,NA,-10.7,-15.7,4.20,NA
1948-01-20,NA,NA,NA,-3.1,-8.3,4.41,NA
1948-01-21,NA,NA,NA,-0.4,-4.8,4.85,NA
1948-01-22,NA,NA,NA,-8.4,-12.0,5.67,NA
1948-01-23,NA,NA,NA,-17.2,-21.0,5.47,NA
1948-01-24,NA,NA,NA,-14.7,-17.4,3.22,NA
1948-01-25,NA,NA,NA,-11.7,-14.2,2.95,NA
1948-01-26,NA,NA,NA,-9.9,-13.6,5.01,NA
1948-01-27,NA,NA,NA,-9.7,-13.8,7.96,NA
1948-01-28,NA,NA,NA,-10.2,-14.9,10.11,NA
1948-01-29,NA,NA,NA,-9.5,-14.0,10.55,NA
1948-01-30,NA,NA,NA,-16.2,-19.2,5.45,NA
1948-01-31,NA,NA,NA,-14.4,-17.5,2.44,NA
1948-02-01,NA,NA,NA,-12.7,-16.3,1.67,NA
1948-02-02,NA,NA,NA,-4.8,-8.6,7.68,NA
1948-02-03,NA,NA,NA,-10.9,-14.4,3.90,NA
1948-02-04,NA,NA,NA,-11.8,-14.9,3.80,NA
1948-02-05,NA,NA,NA,-12.5,-16.1,1.72,NA
1948-02-06,NA,NA,NA,-12.9,-17.5,2.89,NA
1948-02-07,NA,NA,NA,-5.1,-8.7,2.91,NA
1948-02-08,NA,NA,NA,-9.3,-12.8,7.62,NA
1948-02-09,NA,NA,NA,-13.1,-17.4,2.02,NA
1948-02-10,NA,NA,NA,-13.4,-17.8,1.54,NA
1948-02-11,NA,NA,NA,-7.4,-11.6,1.90,NA
1948-02-12,NA,NA,NA,-3.8,-6.7,3.98,NA
1948-02-13,NA,NA,NA,-2.1,-3.8,3.23,NA
1948-02-14,NA,NA,NA,-1.2,-3.5,9.75,NA
1948-02-15,NA,NA,NA,-6.6,-12.3,6.66,NA
1948-02-16,NA,NA,NA,1.0,-4.1,3.85,NA
1948-02-17,NA,NA,NA,4.2,-0.7,8.86,NA
1948-02-18,NA,NA,NA,1.6,-3.4,6.10,NA
1948-02-19,NA,NA,NA,7.6,1.7,5.57,NA
1948-02-20,NA,NA,NA,-6.6,-12.0,9.50,NA
1948-02-21,NA,NA,NA,-7.9,-12.2,3.87,NA
