Daily data for a single station.
StationID:,999999-14819
StationName:,"CHICAGO MIDWAY AP"
Lat&Long:,41.786,-87.750
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-0.8,-1.5,8.87,100.0
1948-01-02,NA,NA,NA,-2.6,-4.2,4.82,100.0
1948-01-03,NA,NA,NA,-1.8,-3.7,4.44,90.6
1948-01-04,NA,NA,NA,-1.1,-3.3,6.63,100.0
1948-01-05,NA,NA,NA,-0.4,-2.5,3.41,100.0
1948-01-06,NA,NA,NA,-3.2,-7.2,4.90,13.8
1948-01-07,NA,NA,NA,-3.0,-6.5,2.58,50.0
1948-01-08,NA,NA,NA,0.7,-1.5,3.92,69.4
1948-01-09,NA,NA,NA,0.9,-2.8,6.57,86.9
1948-01-10,NA,NA,NA,-2.8,-7.6,3.07,36.9
1948-01-11,NA,NA,NA,-0.6,-3.5,6.81,96.9
1948-01-12,NA,NA,NA,-0.0,-4.0,6.42,88.1
1948-01-13,NA,NA,NA,-8.5,-13.3,6.06,87.5
1948-01-14,NA,NA,NA,-15.7,-22.1,6.20,6.2
1948-01-15,NA,NA,NA,-5.5,-10.2,8.69,72.5
1948-01-16,NA,NA,NA,-15.1,-20.1,6.83,14.4
1948-01-17,NA,NA,NA,-19.3,-26.0,3.83,0.0
1948-01-18,NA,NA,NA,-14.5,-20.8,2.69,32.5
1948-01-19,NA,NA,NA,-8.6,-13.0,5.65,60.0
1948-01-20,NA,NA,NA,-3.9,-9.7,6.25,46.9
1948-01-21,NA,NA,NA,-8.6,-13.8,7.99,50.0
1948-01-22,NA,NA,NA,-14.4,-20.2,7.20,38.1
1948-01-23,NA,NA,NA,-14.6,-21.0,3.81,34.4
1948-01-24,NA,NA,NA,-10.5,-16.2,2.85,93.8
1948-01-25,NA,NA,NA,-9.5,-14.7,2.32,69.4
1948-01-26,NA,NA,NA,-10.8,-16.6,5.36,65.6
1948-01-27,NA,NA,NA,-16.2,-23.0,5.36,38.1
