Daily data for a single station.
StationID:,999999-14820
StationName:,"CLEVELAND HOPKINS INTL AP"
Lat&Long:,41.405,-81.850
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,2.6,2.0,5.59,95.8
1948-01-02,NA,NA,NA,-0.3,-2.1,6.50,95.0
1948-01-03,NA,NA,NA,-0.8,-2.6,2.23,96.9
1948-01-04,NA,NA,NA,0.6,-1.1,3.05,95.0
1948-01-05,NA,NA,NA,-0.2,-2.0,2.78,73.1
1948-01-06,NA,NA,NA,-1.3,-3.3,5.32,66.2
1948-01-07,NA,NA,NA,-5.0,-8.8,4.65,61.2
1948-01-08,NA,NA,NA,1.8,-3.9,5.56,95.0
1948-01-09,NA,NA,NA,2.2,-0.0,9.07,85.0
1948-01-10,NA,NA,NA,-5.3,-9.9,5.81,35.6
1948-01-11,NA,NA,NA,-4.4,-9.7,5.15,41.9
1948-01-12,NA,NA,NA,1.4,-0.5,7.92,81.2
1948-01-13,NA,NA,NA,-3.6,-6.5,4.81,77.5
1948-01-14,NA,NA,NA,-11.3,-13.9,7.65,81.4
1948-01-15,NA,NA,NA,-10.9,-15.9,6.81,59.4
1948-01-16,NA,NA,NA,-6.1,-10.6,7.77,60.6
1948-01-17,NA,NA,NA,-10.0,-12.7,5.00,68.1
1948-01-18,NA,NA,NA,-14.3,-17.4,2.85,41.9
1948-01-19,NA,NA,NA,-9.7,-14.8,6.58,65.0
1948-01-20,NA,NA,NA,-2.8,-10.6,5.94,45.0
1948-01-21,NA,NA,NA,-1.4,-6.8,7.04,76.2
1948-01-22,NA,NA,NA,-9.5,-13.4,8.29,90.6
1948-01-23,NA,NA,NA,-15.2,-18.1,4.11,52.5
1948-01-24,NA,NA,NA,-13.2,-15.4,5.35,87.5
1948-01-25,NA,NA,NA,-12.0,-14.6,2.42,77.1
1948-01-26,NA,NA,NA,-10.1,-13.7,6.29,48.8
1948-01-27,NA,NA,NA,-10.4,-13.9,5.64,72.5
1948-01-28,NA,NA,NA,-13.8,-18.0,6.73,0.0
1948-01-29,NA,NA,NA,-11.6,-17.0,6.40,16.2
1948-01-30,NA,NA,NA,-12.6,-16.7,5.22,71.4
1948-01-31,NA,NA,NA,-13.2,-17.5,4.77,53.1
1948-02-01,NA,NA,NA,-9.5,-13.0,2.49,75.0
1948-02-02,NA,NA,NA,-5.5,-9.9,6.88,28.8
1948-02-03,NA,NA,NA,-7.3,-12.4,4.12,92.5
1948-02-04,NA,NA,NA,-6.4,-8.0,3.89,96.9
1948-02-05,NA,NA,NA,-7.6,-11.0,4.59,81.9
1948-02-06,NA,NA,NA,-8.6,-12.9,2.75,12.5
1948-02-07,NA,NA,NA,-6.2,-10.7,2.98,71.9
1948-02-08,NA,NA,NA,-8.7,-13.1,6.68,41.9
1948-02-09,NA,NA,NA,-13.9,-18.3,3.02,0.0
1948-02-10,NA,NA,NA,-9.3,-15.2,3.85,31.9
1948-02-11,NA,NA,NA,-2.5,-8.5,3.99,93.8
1948-02-12,NA,NA,NA,-0.7,-4.1,3.00,76.2
1948-02-13,NA,NA,NA,2.0,0.8,3.81,100.0
1948-02-14,NA,NA,NA,-1.9,-4.2,9.05,95.6
1948-02-15,NA,NA,NA,-3.3,-8.2,3.59,33.1
1948-02-16,NA,NA,NA,6.1,-2.1,7.88,63.8
1948-02-17,NA,NA,NA,6.3,-1.3,5.68,31.9
1948-02-18,NA,NA,NA,6.8,1.8,4.26,38.8
1948-02-19,NA,NA,NA,11.0,2.9,9.73,81.2
1948-02-20,NA,NA,NA,-7.2,-12.4,5.28,62.5
1948-02-21,NA,NA,NA,-7.3,-11.3,3.51,76.2
1948-02-22,NA,NA,NA,-4.3,-8.3,6.10,56.2
1948-02-23,NA,NA,NA,-0.0,-7.7,4.77,32.5
1948-02-24,NA,NA,NA,4.5,-4.6,6.47,55.6
1948-02-25,NA,NA,NA,5.4,4.5,4.36,90.6
1948-02-26,NA,NA,NA,4.8,1.6,7.11,55.6
1948-02-27,NA,NA,NA,4.4,0.4,5.01,55.6
1948-02-28,NA,NA,NA,7.3,3.3,10.52,73.1
1948-02-29,NA,NA,NA,-1.8,-5.5,6.82,83.8
1948-03-01,NA,NA,NA,-2.1,-6.0,3.33,88.8
1948-03-02,NA,NA,NA,2.3,1.1,4.62,85.6
1948-03-03,NA,NA,NA,-2.0,-3.7,6.75,91.9
1948-03-04,NA,NA,NA,-5.2,-11.1,7.45,39.4
1948-03-05,NA,NA,NA,-6.8,-12.4,4.75,0.0
1948-03-06,NA,NA,NA,-0.2,-8.5,4.96,68.8
1948-03-07,NA,NA,NA,2.8,0.3,7.86,88.1
1948-03-08,NA,NA,NA,-1.8,-6.8,7.94,96.9
1948-03-09,NA,NA,NA,0.8,-4.9,3.52,61.9
1948-03-10,NA,NA,NA,-2.5,-6.7,4.74,55.6
1948-03-11,NA,NA,NA,-8.9,-11.2,6.47,76.2
1948-03-12,NA,NA,NA,-12.0,-16.8,4.00,7.5
1948-03-13,NA,NA,NA,-6.5,-12.3,3.89,8.1
1948-03-14,NA,NA,NA,3.4,-5.5,5.58,28.1
1948-03-15,NA,NA,NA,11.4,4.6,7.67,70.0
1948-03-16,NA,NA,NA,11.0,8.1,8.81,71.0
1948-03-17,NA,NA,NA,3.3,-0.1,3.16,70.6
1948-03-18,NA,NA,NA,7.7,1.2,2.90,28.2
1948-03-19,NA,NA,NA,14.1,9.0,11.56,80.6
1948-03-20,NA,NA,NA,13.7,6.5,3.28,42.5
1948-03-21,NA,NA,NA,17.6,15.7,6.70,66.2
1948-03-22,NA,NA,NA,10.6,8.6,5.02,81.2
1948-03-23,NA,NA,NA,6.2,4.0,5.30,81.2
1948-03-24,NA,NA,NA,6.6,-0.9,3.51,0.6
1948-03-25,NA,NA,NA,9.6,-0.6,3.16,0.0
1948-03-26,NA,NA,NA,15.2,8.7,7.52,66.9
1948-03-27,NA,NA,NA,6.7,5.2,7.82,82.5
1948-03-28,NA,NA,NA,-1.9,-8.0,6.07,59.4
1948-03-29,NA,NA,NA,5.3,-3.6,8.41,62.5
1948-03-30,NA,NA,NA,4.1,-0.8,3.76,55.6
1948-03-31,NA,NA,NA,12.4,7.0,7.68,75.7
1948-04-01,NA,NA,NA,9.4,6.3,5.53,90.9
