Daily data for a single station.
StationID:,999999-14840
StationName:,"MUSKEGON COUNTY ARPT"
Lat&Long:,43.171,-86.230
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-3.1,-5.6,11.51,NA
1948-01-02,NA,NA,NA,-2.6,-5.9,3.14,NA
1948-01-03,NA,NA,NA,-1.8,-3.8,3.13,NA
1948-01-04,NA,NA,NA,-0.6,-1.8,2.96,NA
1948-01-05,NA,NA,NA,-2.2,-3.5,2.44,NA
1948-01-06,NA,NA,NA,-0.9,-5.2,4.77,NA
1948-01-07,NA,NA,NA,-3.9,-6.6,2.42,NA
1948-01-08,NA,NA,NA,0.4,-1.7,2.61,NA
1948-01-09,NA,NA,NA,0.5,-2.3,5.30,NA
1948-01-10,NA,NA,NA,-4.5,-8.4,2.23,NA
1948-01-11,NA,NA,NA,-2.4,-3.8,6.64,NA
1948-01-12,NA,NA,NA,0.6,-2.6,7.37,NA
1948-01-13,NA,NA,NA,-8.0,-10.4,4.05,NA
1948-01-14,NA,NA,NA,-12.4,-14.0,5.04,NA
1948-01-15,NA,NA,NA,-5.9,-7.1,9.62,NA
1948-01-16,NA,NA,NA,-8.4,-10.3,6.17,NA
1948-01-17,NA,NA,NA,-13.5,-15.8,2.90,NA
1948-01-18,NA,NA,NA,-14.0,-15.2,2.15,NA
1948-01-19,NA,NA,NA,-7.3,-8.8,8.12,NA
1948-01-20,NA,NA,NA,-2.5,-5.3,9.21,NA
1948-01-21,NA,NA,NA,-7.7,-9.6,7.77,NA
1948-01-22,NA,NA,NA,-10.8,-14.0,4.49,NA
1948-01-23,NA,NA,NA,-17.0,-19.7,1.82,NA
1948-01-24,NA,NA,NA,-14.8,-17.4,2.68,NA
1948-01-25,NA,NA,NA,-11.7,-12.7,2.49,NA
1948-01-26,NA,NA,NA,-8.5,-11.1,6.35,NA
1948-01-27,NA,NA,NA,-11.5,-12.9,4.09,NA
1948-01-28,NA,NA,NA,-8.6,-11.2,9.25,NA
1948-01-29,NA,NA,NA,-6.5,-9.4,4.84,NA
1948-01-30,NA,NA,NA,-13.6,-16.5,5.35,NA
1948-01-31,NA,NA,NA,-14.4,-16.7,4.30,NA
1948-02-01,NA,NA,NA,-11.9,-13.6,2.54,NA
1948-02-02,NA,NA,NA,-4.5,-7.9,4.92,NA
1948-02-03,NA,NA,NA,-9.5,-12.1,3.03,NA
1948-02-04,NA,NA,NA,-9.5,-11.9,4.49,NA
1948-02-05,NA,NA,NA,-13.3,-15.7,1.73,NA
1948-02-06,NA,NA,NA,-7.9,-10.5,2.40,NA
1948-02-07,NA,NA,NA,-6.2,-8.2,3.15,NA
1948-02-08,NA,NA,NA,-9.9,-13.2,3.15,NA
1948-02-09,NA,NA,NA,-13.1,-16.3,1.95,NA
1948-02-10,NA,NA,NA,-13.9,-17.2,3.22,NA
1948-02-11,NA,NA,NA,-7.2,-10.1,1.97,NA
1948-02-12,NA,NA,NA,-5.7,-8.3,1.57,NA
1948-02-13,NA,NA,NA,-3.8,-5.1,3.24,NA
1948-02-14,NA,NA,NA,-4.4,-7.2,4.22,NA
1948-02-15,NA,NA,NA,-3.3,-7.3,4.61,NA
1948-02-16,NA,NA,NA,2.8,-0.8,9.51,NA
1948-02-17,NA,NA,NA,3.4,-0.3,6.46,NA
1948-02-18,NA,NA,NA,3.2,0.4,3.78,NA
1948-02-19,NA,NA,NA,1.4,-3.4,10.50,NA
1948-02-20,NA,NA,NA,-11.1,-13.7,4.57,NA
1948-02-21,NA,NA,NA,-9.8,-12.7,1.33,NA
1948-02-22,NA,NA,NA,-9.3,-12.8,3.83,NA
1948-02-23,NA,NA,NA,-3.1,-6.6,5.12,NA
1948-02-24,NA,NA,NA,2.4,-0.3,7.25,NA
1948-02-25,NA,NA,NA,2.2,0.7,3.25,NA
1948-02-26,NA,NA,NA,1.6,-0.9,3.99,NA
1948-02-27,NA,NA,NA,0.5,-1.4,8.13,NA
1948-02-28,NA,NA,NA,0.7,-0.4,8.11,NA
1948-02-29,NA,NA,NA,-4.7,-7.8,4.05,NA
1948-03-01,NA,NA,NA,-6.3,-8.1,3.20,NA
1948-03-02,NA,NA,NA,-5.0,-6.1,7.04,NA
1948-03-03,NA,NA,NA,-4.7,-8.4,5.12,NA
1948-03-04,NA,NA,NA,-9.7,-15.4,3.52,NA
1948-03-05,NA,NA,NA,-12.7,-16.9,5.01,NA
1948-03-06,NA,NA,NA,-4.8,-8.8,5.68,NA
1948-03-07,NA,NA,NA,-1.2,-3.0,7.85,NA
1948-03-08,NA,NA,NA,-2.3,-4.7,6.81,NA
1948-03-09,NA,NA,NA,-5.9,-8.9,4.84,NA
1948-03-10,NA,NA,NA,-10.9,-14.1,3.80,NA
1948-03-11,NA,NA,NA,-12.7,-17.6,3.24,NA
1948-03-12,NA,NA,NA,-7.1,-12.0,6.81,NA
1948-03-13,NA,NA,NA,-4.0,-6.9,2.74,NA
1948-03-14,NA,NA,NA,2.1,-1.5,6.68,NA
1948-03-15,NA,NA,NA,6.6,4.0,7.40,NA
1948-03-16,NA,NA,NA,2.9,1.1,3.45,NA
1948-03-17,NA,NA,NA,0.1,-1.6,1.19,NA
1948-03-18,NA,NA,NA,4.4,0.5,3.16,NA
1948-03-19,NA,NA,NA,8.2,6.5,4.27,NA
1948-03-20,NA,NA,NA,9.4,4.2,2.89,NA
1948-03-21,NA,NA,NA,12.0,10.2,5.71,NA
1948-03-22,NA,NA,NA,3.4,-0.6,3.26,NA
1948-03-23,NA,NA,NA,5.3,-1.1,2.78,NA
1948-03-24,NA,NA,NA,8.2,-3.4,3.61,NA
1948-03-25,NA,NA,NA,9.6,-0.5,5.47,NA
1948-03-26,NA,NA,NA,11.4,7.6,4.68,NA
1948-03-27,NA,NA,NA,-1.0,-3.5,6.22,NA
1948-03-28,NA,NA,NA,-2.6,-6.9,3.32,NA
