Daily data for a single station.
StationID:,999999-14850
StationName:,"TRAVERSE CITY CHERRY CAPI"
Lat&Long:,44.741,-85.580
Elevation:,-999.900
Starts(YMD):,1948-12-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-12-01,NA,NA,NA,-0.4,-5.7,2.86,NA
1948-12-02,NA,NA,NA,0.9,-3.0,5.55,NA
1948-12-03,NA,NA,NA,4.2,0.5,3.67,NA
1948-12-04,NA,NA,NA,7.6,3.7,5.03,NA
1948-12-05,NA,NA,NA,6.9,4.2,10.07,NA
1948-12-06,NA,NA,NA,-0.9,-4.9,14.65,NA
1948-12-07,NA,NA,NA,-2.9,-7.3,7.40,NA
1948-12-08,NA,NA,NA,-2.7,-5.4,6.07,NA
1948-12-09,NA,NA,NA,-3.6,-6.2,5.02,NA
1948-12-10,NA,NA,NA,-5.0,-8.2,4.03,NA
1948-12-11,NA,NA,NA,-2.9,-7.0,7.05,NA
1948-12-12,NA,NA,NA,2.5,-1.3,6.95,NA
1948-12-13,NA,NA,NA,-1.2,-4.8,3.54,NA
1948-12-14,NA,NA,NA,-2.0,-6.2,5.82,NA
1948-12-15,NA,NA,NA,-0.4,-2.1,5.93,NA
1948-12-16,NA,NA,NA,-0.1,-4.0,9.02,NA
1948-12-17,NA,NA,NA,-5.8,-9.1,6.68,NA
1948-12-18,NA,NA,NA,-3.8,-7.2,3.44,NA
1948-12-19,NA,NA,NA,-3.0,-4.9,2.91,NA
1948-12-20,NA,NA,NA,-1.3,-3.0,4.68,NA
1948-12-21,NA,NA,NA,0.8,-0.7,4.82,NA
1948-12-22,NA,NA,NA,-2.0,-4.3,5.31,NA
1948-12-23,NA,NA,NA,-5.4,-8.6,4.81,NA
1948-12-24,NA,NA,NA,-6.0,-9.5,6.33,NA
1948-12-25,NA,NA,NA,-11.5,-14.4,7.55,NA
1948-12-26,NA,NA,NA,-8.3,-11.6,8.39,NA
1948-12-27,NA,NA,NA,-3.6,-6.7,8.65,NA
1948-12-28,NA,NA,NA,0.2,-1.8,4.74,NA
1948-12-29,NA,NA,NA,-1.2,-3.2,7.07,NA
1948-12-30,NA,NA,NA,-8.4,-12.1,4.36,NA
1948-12-31,NA,NA,NA,-6.4,-9.6,4.02,NA
1949-01-01,NA,NA,NA,-0.9,-5.1,6.08,NA
1949-01-02,NA,NA,NA,-4.0,-7.3,2.61,NA
1949-01-03,NA,NA,NA,-7.7,-9.1,3.35,NA
1949-01-04,NA,NA,NA,0.3,-2.7,5.13,NA
1949-01-05,NA,NA,NA,0.1,-1.8,8.50,NA
1949-01-06,NA,NA,NA,-3.8,-5.3,10.67,NA
1949-01-07,NA,NA,NA,3.3,0.0,6.99,NA
1949-01-08,NA,NA,NA,3.4,0.2,3.76,NA
1949-01-09,NA,NA,NA,1.7,-0.6,5.36,NA
1949-01-10,NA,NA,NA,-3.9,-7.3,6.60,NA
1949-01-11,NA,NA,NA,-5.6,-9.6,2.55,NA
1949-01-12,NA,NA,NA,-3.3,-6.1,6.83,NA
1949-01-13,NA,NA,NA,0.6,-3.6,7.63,NA
1949-01-14,NA,NA,NA,-1.0,-4.0,4.27,NA
1949-01-15,NA,NA,NA,3.5,2.3,6.67,NA
1949-01-16,NA,NA,NA,4.3,2.4,7.97,NA
1949-01-17,NA,NA,NA,-3.1,-5.3,3.48,NA
1949-01-18,NA,NA,NA,-3.1,-5.7,4.02,NA
1949-01-19,NA,NA,NA,-6.0,-7.7,6.87,NA
1949-01-20,NA,NA,NA,-10.2,-13.8,3.23,NA
1949-01-21,NA,NA,NA,-3.7,-6.1,6.13,NA
1949-01-22,NA,NA,NA,-6.2,-9.6,4.07,NA
1949-01-23,NA,NA,NA,-4.8,-7.6,4.01,NA
1949-01-24,NA,NA,NA,0.3,-0.1,3.93,NA
1949-01-25,NA,NA,NA,-6.0,-7.9,4.27,NA
1949-01-26,NA,NA,NA,-3.7,-5.9,1.54,NA
1949-01-27,NA,NA,NA,-2.2,-4.7,3.80,NA
1949-01-28,NA,NA,NA,-4.8,-6.5,9.64,NA
1949-01-29,NA,NA,NA,-12.0,-15.4,6.57,NA
1949-01-30,NA,NA,NA,-10.9,-15.3,8.16,NA
1949-01-31,NA,NA,NA,-9.4,NA,5.43,NA
1949-02-01,NA,NA,NA,-7.5,NA,9.15,NA
