Daily data for a single station.
StationID:,999999-14853
StationName:,"DETROIT WILLOW RUN AP"
Lat&Long:,42.233,-83.530
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1968-10-01
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-1.9,-2.8,11.20,100.0
1948-01-02,NA,NA,NA,-2.2,-3.7,3.70,100.0
1948-01-03,NA,NA,NA,-1.2,-3.0,2.62,100.0
1948-01-04,NA,NA,NA,-0.1,-0.5,3.68,100.0
1948-01-05,NA,NA,NA,-0.6,-1.5,2.72,100.0
1948-01-06,NA,NA,NA,-1.8,-4.6,4.74,33.3
1948-01-07,NA,NA,NA,-4.9,-8.9,3.23,65.6
1948-01-08,NA,NA,NA,-0.2,-3.2,2.74,96.9
1948-01-09,NA,NA,NA,1.7,-1.4,7.33,85.6
1948-01-10,NA,NA,NA,-6.5,-12.7,3.72,9.4
1948-01-11,NA,NA,NA,-4.3,-8.3,4.70,59.4
1948-01-12,NA,NA,NA,1.5,-1.9,6.89,91.9
1948-01-13,NA,NA,NA,-5.4,-10.8,4.30,93.1
1948-01-14,NA,NA,NA,-12.0,-19.6,4.55,29.4
1948-01-15,NA,NA,NA,-8.5,-13.9,7.10,65.6
1948-01-16,NA,NA,NA,-6.5,-11.3,7.45,77.5
1948-01-17,NA,NA,NA,-11.6,-18.4,4.51,46.9
1948-01-18,NA,NA,NA,-13.9,-20.9,3.01,1.9
1948-01-19,NA,NA,NA,-8.2,-13.4,6.68,79.4
1948-01-20,NA,NA,NA,-5.0,-11.1,5.76,15.0
1948-01-21,NA,NA,NA,-4.2,-9.1,7.89,80.6
1948-01-22,NA,NA,NA,-12.1,-17.7,5.44,47.9
1948-01-23,NA,NA,NA,-17.0,-26.4,4.66,3.1
1948-01-24,NA,NA,NA,-13.1,-18.9,6.33,100.0
1948-01-25,NA,NA,NA,-10.6,-14.8,2.41,27.5
1948-01-26,NA,NA,NA,-10.7,-15.2,5.48,63.1
1948-01-27,NA,NA,NA,-10.9,-17.2,4.76,53.1
1948-01-28,NA,NA,NA,-13.1,-19.7,6.25,0.0
1948-01-29,NA,NA,NA,-9.6,-15.8,4.83,34.3
1948-01-30,NA,NA,NA,-12.3,-19.3,5.91,26.2
1948-01-31,NA,NA,NA,-14.7,-21.2,7.00,57.5
1948-02-01,NA,NA,NA,-11.0,-16.6,3.75,46.2
1948-02-02,NA,NA,NA,-6.8,-12.0,5.75,46.9
1948-02-03,NA,NA,NA,-9.3,-15.7,3.42,86.7
1948-02-04,NA,NA,NA,-9.3,-12.6,6.49,79.4
1948-02-05,NA,NA,NA,-10.3,-15.2,3.95,49.3
1948-02-06,NA,NA,NA,-8.7,-13.4,3.33,16.9
1948-02-07,NA,NA,NA,-5.7,-9.4,2.99,85.7
1948-02-08,NA,NA,NA,-10.0,-18.1,5.04,34.4
1948-02-09,NA,NA,NA,-13.0,-20.1,3.05,37.5
1948-02-10,NA,NA,NA,-11.9,-18.7,5.45,24.4
1948-02-11,NA,NA,NA,-6.2,-10.2,2.78,100.0
1948-02-12,NA,NA,NA,-3.4,-8.0,2.48,86.9
1948-02-13,NA,NA,NA,-1.2,-2.5,4.07,100.0
1948-02-14,NA,NA,NA,-3.2,-6.4,5.63,61.9
1948-02-15,NA,NA,NA,-4.9,-9.8,2.78,67.5
1948-02-16,NA,NA,NA,3.0,-1.5,5.67,68.8
1948-02-17,NA,NA,NA,4.0,-1.1,4.81,43.8
1948-02-18,NA,NA,NA,3.4,0.5,4.40,58.8
1948-02-19,NA,NA,NA,5.2,-0.5,8.15,68.1
1948-02-20,NA,NA,NA,-8.7,-17.1,4.96,20.6
1948-02-21,NA,NA,NA,-9.6,-17.4,3.16,71.9
1948-02-22,NA,NA,NA,-6.8,-13.4,6.09,41.2
1948-02-23,NA,NA,NA,-2.6,-7.6,7.25,73.8
1948-02-24,NA,NA,NA,3.4,-1.4,6.03,81.9
1948-02-25,NA,NA,NA,4.7,3.3,3.40,100.0
1948-02-26,NA,NA,NA,4.3,0.3,5.65,61.9
1948-02-27,NA,NA,NA,1.2,-2.4,8.04,67.5
1948-02-28,NA,NA,NA,3.7,1.3,8.80,100.0
1948-02-29,NA,NA,NA,-3.2,-7.8,6.27,84.4
