Daily data for a single station.
StationID:,999999-14855
StationName:,"NAVAL AIR STATION"
Lat&Long:,42.083,-87.830
Elevation:,-999.900
Starts(YMD):,1945-03-15
Ends(YMD):,2022-12-13
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1945-03-15,NA,NA,NA,14.3,10.3,9.21,53.4
1945-03-16,NA,NA,NA,16.5,11.1,7.49,52.9
1945-03-17,NA,NA,NA,15.4,8.9,10.03,45.8
1945-03-18,NA,NA,NA,13.5,6.6,6.58,41.5
1945-03-19,NA,NA,NA,14.9,11.8,7.37,78.5
1945-03-20,NA,NA,NA,2.7,0.7,16.03,100.0
1945-03-21,NA,NA,NA,4.1,-2.2,11.11,11.5
1945-03-22,NA,NA,NA,9.3,0.9,6.39,21.9
1945-03-23,NA,NA,NA,15.2,6.4,5.72,54.8
1945-03-24,NA,NA,NA,16.7,12.3,6.01,75.8
1945-03-25,NA,NA,NA,16.3,12.0,7.73,76.5
1945-03-26,NA,NA,NA,16.4,10.7,9.82,65.6
1945-03-27,NA,NA,NA,18.7,8.5,12.27,0.0
1945-03-28,NA,NA,NA,18.9,6.9,10.93,10.8
1945-03-29,NA,NA,NA,9.4,5.7,4.25,72.5
1945-03-30,NA,NA,NA,11.9,6.0,2.75,72.3
1945-03-31,NA,NA,NA,13.7,4.8,6.89,50.6
1945-04-01,NA,NA,NA,15.0,7.0,10.25,74.2
1945-04-02,NA,NA,NA,6.8,5.2,10.82,85.9
1945-04-03,NA,NA,NA,3.1,1.2,8.53,100.0
1945-04-04,NA,NA,NA,8.3,4.6,15.12,82.9
1945-04-05,NA,NA,NA,3.2,-5.2,9.72,30.4
1945-04-06,NA,NA,NA,7.7,-1.1,12.67,34.0
1945-04-07,NA,NA,NA,12.8,2.2,11.25,46.2
1945-04-08,NA,NA,NA,15.8,6.1,8.86,70.4
1945-04-09,NA,NA,NA,18.2,8.3,12.63,62.9
1945-04-10,NA,NA,NA,20.4,10.3,10.82,44.6
1945-04-11,NA,NA,NA,20.5,10.9,10.33,73.5
1945-04-12,NA,NA,NA,12.2,6.5,7.16,71.0
1945-04-13,NA,NA,NA,12.1,8.7,9.72,87.1
1945-04-14,NA,NA,NA,3.9,-0.8,13.51,73.8
1945-04-15,NA,NA,NA,5.1,0.7,10.69,97.9
1945-04-16,NA,NA,NA,12.8,9.4,12.11,83.8
1945-04-17,NA,NA,NA,7.6,0.6,13.00,62.7
1945-04-18,NA,NA,NA,4.0,-2.7,9.87,46.7
1945-04-19,NA,NA,NA,6.6,-0.6,7.80,51.2
1945-04-20,NA,NA,NA,8.5,4.5,5.74,63.5
