Daily data for a single station.
StationID:,999999-14856
StationName:,"GROSSE ILE NAS"
Lat&Long:,42.100,-83.160
Elevation:,-999.900
Starts(YMD):,1945-03-01
Ends(YMD):,1969-10-01
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1945-03-01,NA,NA,NA,-0.8,-2.4,6.31,18.5
1945-03-02,NA,NA,NA,3.3,3.0,4.43,100.0
1945-03-03,NA,NA,NA,5.1,2.5,6.13,69.1
1945-03-04,NA,NA,NA,0.3,-2.3,4.20,24.0
1945-03-05,NA,NA,NA,5.1,3.1,4.42,73.9
1945-03-06,NA,NA,NA,2.3,1.9,5.17,100.0
1945-03-07,NA,NA,NA,-2.5,-5.6,3.89,37.5
1945-03-08,NA,NA,NA,-1.9,-5.1,3.22,37.1
1945-03-09,NA,NA,NA,1.1,-0.4,3.98,60.8
1945-03-10,NA,NA,NA,1.8,-0.8,3.20,55.0
1945-03-11,NA,NA,NA,2.2,-0.4,5.06,39.2
1945-03-12,NA,NA,NA,7.0,-0.3,4.78,40.2
1945-03-13,NA,NA,NA,2.8,-2.8,3.04,8.5
1945-03-14,NA,NA,NA,7.0,1.8,4.60,21.5
1945-03-15,NA,NA,NA,9.3,7.2,5.28,78.1
1945-03-16,NA,NA,NA,13.3,11.1,4.67,29.8
1945-03-17,NA,NA,NA,12.7,9.0,8.80,63.1
1945-03-18,NA,NA,NA,8.9,4.2,3.95,30.2
1945-03-19,NA,NA,NA,12.0,11.4,3.22,94.6
1945-03-20,NA,NA,NA,7.2,7.2,4.81,100.0
1945-03-21,NA,NA,NA,4.9,-1.5,6.53,77.7
1945-03-22,NA,NA,NA,4.5,-1.8,4.42,0.0
1945-03-23,NA,NA,NA,11.7,5.2,4.94,13.1
1945-03-24,NA,NA,NA,10.0,4.4,3.77,18.3
1945-03-25,NA,NA,NA,14.1,7.6,3.99,51.5
1945-03-26,NA,NA,NA,12.9,9.7,3.85,68.8
1945-03-27,NA,NA,NA,14.1,10.6,5.33,2.7
1945-03-28,NA,NA,NA,18.0,10.3,7.35,7.7
1945-03-29,NA,NA,NA,11.0,7.8,2.72,71.7
1945-03-30,NA,NA,NA,8.7,7.8,3.58,90.0
1945-03-31,NA,NA,NA,10.1,8.4,5.94,70.6
1945-04-01,NA,NA,NA,12.2,9.3,5.33,52.7
1945-04-02,NA,NA,NA,13.1,12.5,6.61,97.5
1945-04-03,NA,NA,NA,5.9,3.9,4.39,95.8
1945-04-04,NA,NA,NA,9.4,7.1,9.28,94.6
1945-04-05,NA,NA,NA,2.3,-3.6,10.11,58.5
1945-04-06,NA,NA,NA,6.0,-1.5,6.23,21.2
1945-04-07,NA,NA,NA,11.5,2.2,7.75,2.7
1945-04-08,NA,NA,NA,11.8,7.6,5.30,38.1
1945-04-09,NA,NA,NA,12.4,8.1,5.12,41.9
1945-04-10,NA,NA,NA,14.9,9.7,4.78,8.3
1945-04-11,NA,NA,NA,15.9,9.8,4.86,40.8
1945-04-12,NA,NA,NA,14.5,11.5,3.69,74.8
1945-04-13,NA,NA,NA,17.4,13.4,7.58,66.9
1945-04-14,NA,NA,NA,7.5,2.6,5.57,86.9
1945-04-15,NA,NA,NA,5.0,-0.1,5.99,73.5
1945-04-16,NA,NA,NA,12.4,10.4,8.15,93.1
1945-04-17,NA,NA,NA,10.7,3.8,10.89,76.5
1945-04-18,NA,NA,NA,5.9,-0.8,9.68,54.6
1945-04-19,NA,NA,NA,6.1,-1.0,6.58,45.0
1945-04-20,NA,NA,NA,10.2,6.8,4.72,84.8
1945-04-21,NA,NA,NA,7.6,4.7,5.42,76.7
1945-04-22,NA,NA,NA,4.8,-2.5,4.13,16.0
1945-04-23,NA,NA,NA,9.8,3.9,4.97,75.8
1945-04-24,NA,NA,NA,11.3,11.3,3.31,93.9
1945-04-25,NA,NA,NA,7.5,5.9,3.85,100.0
1945-04-26,NA,NA,NA,5.1,4.3,6.90,100.0
1945-04-27,NA,NA,NA,4.2,0.1,6.33,71.5
1945-04-28,NA,NA,NA,5.5,0.7,3.65,37.9
1945-04-29,NA,NA,NA,6.7,2.6,3.58,49.8
1945-04-30,NA,NA,NA,7.6,2.6,5.68,50.6
1945-05-01,NA,NA,NA,5.5,-0.3,4.48,49.0
1945-05-02,NA,NA,NA,8.4,1.6,4.51,67.9
1945-05-03,NA,NA,NA,7.1,5.6,5.96,100.0
1945-05-04,NA,NA,NA,6.4,5.8,3.93,100.0
1945-05-05,NA,NA,NA,7.3,5.9,5.05,100.0
1945-05-06,NA,NA,NA,12.5,4.6,4.48,56.9
1945-05-07,NA,NA,NA,13.6,10.9,5.55,59.6
1945-05-08,NA,NA,NA,8.7,1.8,7.51,29.8
1945-05-09,NA,NA,NA,6.4,-0.9,4.86,62.3
1945-05-10,NA,NA,NA,5.3,1.7,3.95,89.2
1945-05-11,NA,NA,NA,7.1,-0.2,4.52,43.3
1945-05-12,NA,NA,NA,10.9,7.8,4.33,86.7
1945-05-13,NA,NA,NA,13.4,9.0,3.47,64.6
1945-05-14,NA,NA,NA,6.6,5.1,5.28,87.5
1945-05-15,NA,NA,NA,6.5,4.3,4.56,100.0
1945-05-16,NA,NA,NA,7.6,6.7,5.05,100.0
1945-05-17,NA,NA,NA,8.2,8.2,4.90,100.0
1945-05-18,NA,NA,NA,8.0,5.5,5.86,85.6
1945-05-19,NA,NA,NA,11.4,3.1,3.44,16.2
1945-05-20,NA,NA,NA,13.3,8.7,5.38,47.3
1945-05-21,NA,NA,NA,19.7,15.0,6.68,50.2
1945-05-22,NA,NA,NA,13.6,10.8,11.13,70.6
1945-05-23,NA,NA,NA,11.9,5.3,5.02,35.0
1945-05-24,NA,NA,NA,13.2,5.3,4.17,6.7
1945-05-25,NA,NA,NA,15.3,8.8,4.73,76.9
1945-05-26,NA,NA,NA,17.4,13.4,2.76,70.4
1945-05-27,NA,NA,NA,17.9,15.1,3.68,67.5
1945-05-28,NA,NA,NA,18.8,14.9,8.55,59.4
1945-05-29,NA,NA,NA,14.9,10.2,5.65,35.2
1945-05-30,NA,NA,NA,12.1,4.8,5.04,9.8
1945-05-31,NA,NA,NA,10.8,4.6,3.85,75.0
1945-06-01,NA,NA,NA,9.0,7.3,6.42,100.0
1945-06-02,NA,NA,NA,13.0,12.1,3.46,87.8
1945-06-03,NA,NA,NA,8.5,7.2,3.51,93.9
1945-06-04,NA,NA,NA,8.4,3.1,2.94,87.9
1945-06-05,NA,NA,NA,10.2,5.8,2.50,51.2
1945-06-06,NA,NA,NA,12.2,7.6,2.25,43.1
1945-06-07,NA,NA,NA,13.4,9.3,2.79,39.0
1945-06-08,NA,NA,NA,16.1,9.4,3.52,57.9
1945-06-09,NA,NA,NA,15.2,9.7,3.41,80.0
1945-06-10,NA,NA,NA,18.4,15.3,5.12,83.3
1945-06-11,NA,NA,NA,19.2,16.9,4.07,71.9
1945-06-12,NA,NA,NA,14.3,12.6,2.87,63.5
1945-06-13,NA,NA,NA,19.5,17.9,3.07,77.9
1945-06-14,NA,NA,NA,22.3,19.8,4.03,57.3
1945-06-15,NA,NA,NA,20.3,19.3,3.00,65.0
1945-06-16,NA,NA,NA,21.5,19.5,4.32,80.8
1945-06-17,NA,NA,NA,16.7,14.1,3.06,98.0
1945-06-18,NA,NA,NA,16.0,13.5,4.32,46.8
1945-06-19,NA,NA,NA,18.7,14.2,3.16,36.2
1945-06-20,NA,NA,NA,20.0,16.4,4.42,46.2
1945-06-21,NA,NA,NA,18.9,16.2,2.79,65.0
1945-06-22,NA,NA,NA,18.9,15.0,2.61,8.1
1945-06-23,NA,NA,NA,22.4,17.4,2.98,21.9
1945-06-24,NA,NA,NA,23.6,19.7,2.55,33.8
1945-06-25,NA,NA,NA,21.4,17.9,2.99,64.6
1945-06-26,NA,NA,NA,19.5,12.8,3.72,9.4
1945-06-27,NA,NA,NA,21.8,17.5,4.77,55.0
1945-06-28,NA,NA,NA,23.7,21.3,5.18,61.7
1945-06-29,NA,NA,NA,27.2,23.3,4.20,59.4
1945-06-30,NA,NA,NA,23.0,19.6,2.72,41.7
1945-07-01,NA,NA,NA,22.8,18.1,5.40,50.8
1945-07-02,NA,NA,NA,18.1,14.4,3.85,72.5
1945-07-03,NA,NA,NA,17.5,13.3,3.98,8.3
1945-07-04,NA,NA,NA,20.9,16.5,4.98,33.8
1945-07-05,NA,NA,NA,22.1,19.2,4.78,40.2
1945-07-06,NA,NA,NA,20.6,15.4,3.76,15.0
1945-07-07,NA,NA,NA,20.5,13.7,4.66,27.9
1945-07-08,NA,NA,NA,22.2,16.4,4.08,54.2
1945-07-09,NA,NA,NA,23.0,19.4,5.39,89.6
1945-07-10,NA,NA,NA,18.2,11.2,5.59,40.8
1945-07-11,NA,NA,NA,15.8,7.9,3.29,19.6
1945-07-12,NA,NA,NA,21.0,12.4,5.47,47.4
1945-07-13,NA,NA,NA,21.5,17.7,3.85,88.5
1945-07-14,NA,NA,NA,19.6,18.5,2.90,95.8
1945-07-15,NA,NA,NA,14.6,12.3,5.47,97.2
1945-07-16,NA,NA,NA,17.4,8.1,3.60,4.0
1945-07-17,NA,NA,NA,18.7,12.4,2.89,51.0
1945-07-18,NA,NA,NA,20.3,16.1,3.07,63.3
1945-07-19,NA,NA,NA,21.4,18.6,2.35,6.5
1945-07-20,NA,NA,NA,22.9,19.0,2.43,31.2
1945-07-21,NA,NA,NA,23.1,19.8,2.07,68.3
1945-07-22,NA,NA,NA,24.7,20.9,3.10,59.8
1945-07-23,NA,NA,NA,23.1,19.9,2.31,20.8
1945-07-24,NA,NA,NA,25.0,20.5,3.30,2.5
1945-07-25,NA,NA,NA,26.5,20.7,3.52,60.4
1945-07-26,NA,NA,NA,23.6,17.3,3.86,15.2
1945-07-27,NA,NA,NA,21.2,17.0,3.93,23.3
1945-07-28,NA,NA,NA,21.2,17.9,1.78,68.8
1945-07-29,NA,NA,NA,22.8,18.2,3.21,39.0
1945-07-30,NA,NA,NA,22.8,18.8,2.61,33.3
1945-07-31,NA,NA,NA,23.9,20.9,3.11,64.0
1945-08-01,NA,NA,NA,25.0,22.4,2.30,44.6
1945-08-02,NA,NA,NA,26.5,19.9,2.65,49.0
1945-08-03,NA,NA,NA,21.3,13.6,2.90,17.7
1945-08-04,NA,NA,NA,20.0,11.4,2.76,26.0
1945-08-05,NA,NA,NA,18.5,15.0,3.12,86.5
1945-08-06,NA,NA,NA,21.5,18.5,4.90,66.9
1945-08-07,NA,NA,NA,18.8,15.8,3.43,66.2
1945-08-08,NA,NA,NA,21.1,14.4,2.69,24.4
1945-08-09,NA,NA,NA,21.1,15.7,2.37,4.0
1945-08-10,NA,NA,NA,22.3,16.7,2.54,5.0
