Daily data for a single station.
StationID:,999999-14858
StationName:,"HANCOCK HOUGHTON CO AP"
Lat&Long:,47.169,-88.480
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1965-01-01
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-6.6,-9.0,5.30,NA
1948-01-02,NA,NA,NA,-6.2,-8.7,2.73,NA
1948-01-03,NA,NA,NA,-5.9,-8.5,1.97,NA
1948-01-04,NA,NA,NA,-2.8,-4.2,3.72,NA
1948-01-05,NA,NA,NA,-2.4,-5.9,5.90,NA
1948-01-06,NA,NA,NA,-5.0,-7.5,7.16,NA
1948-01-07,NA,NA,NA,-5.1,-8.5,3.30,NA
1948-01-08,NA,NA,NA,-2.7,-4.2,2.39,NA
1948-01-09,NA,NA,NA,-8.6,-10.6,5.62,NA
1948-01-10,NA,NA,NA,-11.9,-14.7,3.12,NA
1948-01-11,NA,NA,NA,-5.8,-7.8,6.63,NA
1948-01-12,NA,NA,NA,-9.6,-12.1,7.18,NA
1948-01-13,NA,NA,NA,-14.9,-17.4,6.88,NA
1948-01-14,NA,NA,NA,-18.9,-21.3,5.97,NA
1948-01-15,NA,NA,NA,-14.8,-17.0,5.51,NA
1948-01-16,NA,NA,NA,-19.1,-21.6,5.95,NA
1948-01-17,NA,NA,NA,-20.3,-22.9,3.00,NA
1948-01-18,NA,NA,NA,-17.9,-20.7,4.06,NA
1948-01-19,NA,NA,NA,-15.1,-17.4,6.37,NA
1948-01-20,NA,NA,NA,-11.1,-13.0,4.10,NA
1948-01-21,NA,NA,NA,-13.9,-15.5,7.47,NA
1948-01-22,NA,NA,NA,-18.2,-20.3,7.39,NA
1948-01-23,NA,NA,NA,-16.7,-19.0,5.31,NA
1948-01-24,NA,NA,NA,-21.2,-25.2,0.80,NA
1948-01-25,NA,NA,NA,-14.8,-18.9,2.79,NA
1948-01-26,NA,NA,NA,-13.2,-15.2,7.34,NA
1948-01-27,NA,NA,NA,-17.1,-19.4,7.08,NA
1948-01-28,NA,NA,NA,-10.9,-14.8,9.90,NA
1948-01-29,NA,NA,NA,-12.9,-15.9,4.55,NA
1948-01-30,NA,NA,NA,-14.1,-17.0,4.77,NA
1948-01-31,NA,NA,NA,-14.0,-18.4,3.10,NA
1948-02-01,NA,NA,NA,-8.3,-11.7,6.87,NA
1948-02-02,NA,NA,NA,-14.6,-17.8,7.22,NA
1948-02-03,NA,NA,NA,-17.6,-21.0,3.11,NA
