Daily data for a single station.
StationID:,999999-14860
StationName:,"ERIE INTERNATIONAL AP"
Lat&Long:,42.080,-80.180
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-0.3,-0.4,8.62,NA
1948-01-02,NA,NA,NA,-0.3,-0.6,7.14,NA
1948-01-03,NA,NA,NA,-1.0,-2.1,4.47,NA
1948-01-04,NA,NA,NA,-0.1,-0.9,5.00,NA
1948-01-05,NA,NA,NA,-1.8,-3.5,4.77,NA
1948-01-06,NA,NA,NA,-0.8,-2.5,6.69,NA
1948-01-07,NA,NA,NA,-3.1,-6.2,6.52,NA
1948-01-08,NA,NA,NA,-0.1,-4.1,8.56,NA
1948-01-09,NA,NA,NA,1.8,-0.1,9.76,NA
1948-01-10,NA,NA,NA,-4.7,-8.4,8.56,NA
1948-01-11,NA,NA,NA,-2.8,-7.5,8.28,NA
1948-01-12,NA,NA,NA,1.1,-0.8,10.24,NA
1948-01-13,NA,NA,NA,-3.7,-6.1,6.12,NA
1948-01-14,NA,NA,NA,-9.1,-12.4,7.88,NA
1948-01-15,NA,NA,NA,-11.1,-14.8,11.32,100.0
1948-01-16,NA,NA,NA,-4.4,-7.9,9.65,NA
1948-01-17,NA,NA,NA,-8.7,-11.8,6.77,NA
1948-01-18,NA,NA,NA,-12.2,-16.1,6.20,NA
1948-01-19,NA,NA,NA,-11.1,-13.9,9.78,NA
1948-01-20,NA,NA,NA,-1.6,-6.7,9.19,NA
1948-01-21,NA,NA,NA,-0.8,-4.2,9.82,NA
1948-01-22,NA,NA,NA,-8.6,-11.1,8.28,NA
1948-01-23,NA,NA,NA,-15.9,-19.2,5.21,NA
1948-01-24,NA,NA,NA,-14.0,-16.5,7.07,NA
1948-01-25,NA,NA,NA,-12.3,-15.3,4.81,NA
1948-01-26,NA,NA,NA,-10.2,-13.6,6.85,NA
1948-01-27,NA,NA,NA,-11.1,-15.0,7.47,NA
1948-01-28,NA,NA,NA,-11.9,-16.9,8.63,NA
1948-01-29,NA,NA,NA,-10.5,-15.3,8.27,NA
1948-01-30,NA,NA,NA,-17.5,-19.7,6.31,NA
1948-01-31,NA,NA,NA,-16.9,-19.6,6.75,NA
