Daily data for a single station.
StationID:,999999-14913
StationName:,"DULUTH WILLIAMSN-JOHNSN M"
Lat&Long:,46.837,-92.183
Elevation:,-999.900
Starts(YMD):,1965-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1965-01-01,NA,NA,NA,-2.4,-4.3,4.48,97.2
1965-01-02,NA,NA,NA,-9.0,-12.1,5.47,57.9
1965-01-03,NA,NA,NA,-12.4,-19.3,3.29,32.5
1965-01-04,NA,NA,NA,-3.1,-7.9,5.75,68.6
1965-01-05,NA,NA,NA,-10.3,-15.6,4.96,60.0
1965-01-06,NA,NA,NA,-4.9,-7.3,4.90,95.8
1965-01-07,NA,NA,NA,0.6,0.4,3.23,100.0
1965-01-08,NA,NA,NA,-12.8,-16.7,7.46,95.8
1965-01-09,NA,NA,NA,-25.8,-33.6,5.29,38.0
1965-01-10,NA,NA,NA,-25.3,-31.0,3.16,65.0
1965-01-11,NA,NA,NA,-20.9,-26.9,4.58,70.0
1965-01-12,NA,NA,NA,-24.2,-31.3,5.41,20.0
1965-01-13,NA,NA,NA,-25.6,-32.9,5.80,32.5
1965-01-14,NA,NA,NA,-28.8,-35.5,2.00,6.0
1965-01-15,NA,NA,NA,-20.8,-26.9,2.34,46.2
1965-01-16,NA,NA,NA,-17.8,-23.3,4.14,60.8
1965-01-17,NA,NA,NA,-7.8,-13.3,9.26,60.0
1965-01-18,NA,NA,NA,-15.2,-25.4,5.46,60.0
1965-01-19,NA,NA,NA,-8.5,-12.8,6.14,91.2
1965-01-20,NA,NA,NA,-12.1,-18.2,4.84,76.4
1965-01-21,NA,NA,NA,-5.3,-9.7,6.12,42.0
1965-01-22,NA,NA,NA,-8.9,-12.8,6.18,93.1
1965-01-23,NA,NA,NA,-6.6,-10.3,8.96,93.1
1965-01-24,NA,NA,NA,-7.8,-11.2,2.89,65.0
1965-01-25,NA,NA,NA,-5.1,-8.0,2.32,100.0
1965-01-26,NA,NA,NA,-11.2,-16.9,6.70,50.7
1965-01-27,NA,NA,NA,-20.4,-26.7,6.84,30.0
1965-01-28,NA,NA,NA,-28.9,-36.2,6.38,73.3
1965-01-29,NA,NA,NA,-27.6,-34.7,4.45,40.0
1965-01-30,NA,NA,NA,-22.0,-28.5,7.48,84.2
1965-01-31,NA,NA,NA,-20.8,-26.4,3.49,65.7
1965-02-01,NA,NA,NA,-21.1,-27.9,6.13,37.5
1965-02-02,NA,NA,NA,-24.6,-31.1,4.44,56.7
1965-02-03,NA,NA,NA,-22.4,-29.9,6.83,0.0
1965-02-04,NA,NA,NA,-22.3,-29.9,4.34,95.0
1965-02-05,NA,NA,NA,-7.3,-11.9,2.71,82.5
1965-02-06,NA,NA,NA,-5.1,-6.3,6.25,89.4
1965-02-07,NA,NA,NA,-6.2,-11.5,6.04,70.7
1965-02-08,NA,NA,NA,-16.5,-23.0,3.60,23.8
1965-02-09,NA,NA,NA,-7.3,-10.8,5.28,78.6
1965-02-10,NA,NA,NA,-7.0,-10.4,6.06,79.3
1965-02-11,NA,NA,NA,-15.7,-21.2,3.36,54.4
1965-02-12,NA,NA,NA,-12.6,-19.1,4.77,75.0
1965-02-13,NA,NA,NA,-18.4,-25.2,3.93,25.0
1965-02-14,NA,NA,NA,-9.8,-14.2,4.38,89.4
1965-02-15,NA,NA,NA,-11.9,-18.2,5.49,71.2
1965-02-16,NA,NA,NA,-15.7,-23.6,5.49,45.7
1965-02-17,NA,NA,NA,-7.8,-13.7,6.76,48.8
1965-02-18,NA,NA,NA,-9.8,-15.1,4.00,55.0
1965-02-19,NA,NA,NA,-14.5,-20.3,3.09,65.0
1965-02-20,NA,NA,NA,-4.7,-9.4,7.22,76.2
1965-02-21,NA,NA,NA,-21.2,-30.4,9.49,72.5
1965-02-22,NA,NA,NA,-23.9,-32.6,6.25,2.5
1965-02-23,NA,NA,NA,-19.5,-29.0,2.85,92.1
1965-02-24,NA,NA,NA,-19.9,-29.7,1.42,66.2
1965-02-25,NA,NA,NA,-16.0,-25.2,4.57,2.5
1965-02-26,NA,NA,NA,-15.7,-26.0,4.38,48.3
1965-02-27,NA,NA,NA,-4.8,-9.4,2.96,56.4
1965-02-28,NA,NA,NA,-2.4,-5.8,9.86,82.5
1965-03-01,NA,NA,NA,-2.6,-4.4,4.04,96.9
1965-03-02,NA,NA,NA,-6.8,-9.2,4.84,93.8
1965-03-03,NA,NA,NA,-0.7,-3.2,4.39,76.2
1965-03-04,NA,NA,NA,-2.0,-4.7,4.65,79.4
1965-03-05,NA,NA,NA,-1.2,-5.1,3.69,77.5
1965-03-06,NA,NA,NA,-01.0,-7.2,4.84,55.0
1965-03-07,NA,NA,NA,-4.2,-11.1,2.84,63.0
1965-03-08,NA,NA,NA,-3.0,-8.4,4.19,73.1
1965-03-09,NA,NA,NA,-9.8,-16.6,4.20,7.9
1965-03-10,NA,NA,NA,-10.4,-17.6,1.89,70.0
1965-03-11,NA,NA,NA,-8.3,-14.2,1.69,45.0
1965-03-12,NA,NA,NA,-6.7,-13.4,2.14,49.0
