Daily data for a single station.
StationID:,999999-94824
StationName:,"KINCHELOE AFB"
Lat&Long:,46.250,-84.460
Elevation:,-999.900
Starts(YMD):,1953-04-15
Ends(YMD):,1968-12-01
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1953-04-15,NA,NA,NA,3.9,-0.8,8.58,98.9
1953-04-16,NA,NA,NA,0.5,-1.2,5.98,87.9
1953-04-17,NA,NA,NA,-3.7,-6.8,5.28,78.2
1953-04-18,NA,NA,NA,-1.5,-4.0,4.68,90.6
1953-04-19,NA,NA,NA,0.1,-1.8,2.51,78.5
1953-04-20,NA,NA,NA,-1.8,-5.7,4.16,88.8
1953-04-21,NA,NA,NA,4.8,-3.3,5.39,50.6
1953-04-22,NA,NA,NA,7.7,3.4,4.55,65.9
1953-04-23,NA,NA,NA,6.0,0.3,5.66,43.1
1953-04-24,NA,NA,NA,6.9,-0.2,3.02,69.7
1953-04-25,NA,NA,NA,5.0,1.8,6.02,100.0
1953-04-26,NA,NA,NA,0.9,-0.3,4.99,97.9
1953-04-27,NA,NA,NA,0.6,-0.8,4.64,90.0
1953-04-28,NA,NA,NA,2.4,-2.7,4.12,14.4
1953-04-29,NA,NA,NA,5.1,-3.1,2.06,70.2
1953-04-30,NA,NA,NA,6.4,-1.2,7.94,92.7
1953-05-01,NA,NA,NA,4.5,2.7,6.23,94.6
1953-05-02,NA,NA,NA,8.2,0.5,3.94,5.0
1953-05-03,NA,NA,NA,9.5,0.6,3.12,14.1
1953-05-04,NA,NA,NA,7.9,4.4,2.51,66.2
1953-05-05,NA,NA,NA,10.1,2.0,2.49,25.0
1953-05-06,NA,NA,NA,13.5,2.0,2.29,8.2
1953-05-07,NA,NA,NA,14.8,3.1,2.66,48.8
1953-05-08,NA,NA,NA,16.7,8.0,3.41,27.5
1953-05-09,NA,NA,NA,18.3,8.3,5.10,46.0
1953-05-10,NA,NA,NA,18.3,8.4,7.09,64.1
1953-05-11,NA,NA,NA,12.4,4.4,7.85,39.5
1953-05-12,NA,NA,NA,5.5,3.5,3.72,80.2
1953-05-13,NA,NA,NA,2.0,-3.9,5.68,67.0
1953-05-14,NA,NA,NA,5.0,-2.9,3.28,49.1
1953-05-15,NA,NA,NA,9.0,-1.1,3.91,21.4
1953-05-16,NA,NA,NA,10.2,2.1,1.53,52.7
1953-05-17,NA,NA,NA,12.4,3.2,1.88,78.5
1953-05-18,NA,NA,NA,11.6,4.8,3.77,59.3
1953-05-19,NA,NA,NA,11.9,1.2,6.89,35.4
1953-05-20,NA,NA,NA,15.9,7.3,6.35,66.0
1953-05-21,NA,NA,NA,14.4,9.5,11.75,84.0
1953-05-22,NA,NA,NA,5.3,1.9,4.88,93.8
1953-05-23,NA,NA,NA,10.2,1.4,3.14,41.2
1953-05-24,NA,NA,NA,14.0,5.1,3.37,52.2
1953-05-25,NA,NA,NA,12.3,8.7,6.63,80.4
1953-05-26,NA,NA,NA,10.1,8.0,3.86,89.0
1953-05-27,NA,NA,NA,9.7,3.3,4.35,21.7
1953-05-28,NA,NA,NA,9.6,1.5,2.68,57.6
1953-05-29,NA,NA,NA,7.0,5.1,9.16,99.0
1953-05-30,NA,NA,NA,8.5,7.5,9.56,94.6
1953-05-31,NA,NA,NA,9.8,6.8,5.83,84.2
1953-06-01,NA,NA,NA,11.8,5.2,3.64,5.0
1953-06-02,NA,NA,NA,13.6,6.0,2.66,50.6
1953-06-03,NA,NA,NA,13.3,8.7,3.54,87.9
1953-06-04,NA,NA,NA,15.3,12.6,4.57,74.2
1953-06-05,NA,NA,NA,12.7,10.8,5.42,80.6
1953-06-06,NA,NA,NA,7.2,5.1,3.32,89.8
1953-06-07,NA,NA,NA,8.8,3.9,3.09,72.5
1953-06-08,NA,NA,NA,12.5,9.3,8.06,74.6
1953-06-09,NA,NA,NA,11.8,8.9,5.67,85.5
1953-06-10,NA,NA,NA,13.3,8.8,2.25,26.4
1953-06-11,NA,NA,NA,12.4,9.5,3.64,87.0
1953-06-12,NA,NA,NA,12.5,11.4,3.85,79.6
1953-06-13,NA,NA,NA,14.6,10.9,2.47,72.9
1953-06-14,NA,NA,NA,17.1,10.6,4.77,61.9
1953-06-15,NA,NA,NA,16.2,10.4,3.89,87.1
1953-06-16,NA,NA,NA,14.4,13.0,3.23,81.0
1953-06-17,NA,NA,NA,15.4,13.1,4.40,63.4
1953-06-18,NA,NA,NA,17.5,12.7,3.96,64.2
1953-06-19,NA,NA,NA,21.5,17.2,3.09,66.8
1953-06-20,NA,NA,NA,21.5,19.1,5.22,81.2
1953-06-21,NA,NA,NA,19.3,13.5,5.28,23.5
1953-06-22,NA,NA,NA,14.9,8.6,6.10,34.6
1953-06-23,NA,NA,NA,10.8,5.2,4.57,15.9
1953-06-24,NA,NA,NA,12.7,8.2,3.65,68.3
1953-06-25,NA,NA,NA,17.0,15.1,5.05,62.0
1953-06-26,NA,NA,NA,18.3,10.9,4.55,12.5
1953-06-27,NA,NA,NA,19.2,13.2,3.41,77.1
1953-06-28,NA,NA,NA,16.1,13.9,4.60,70.5
1953-06-29,NA,NA,NA,18.1,12.4,2.82,58.5
1953-06-30,NA,NA,NA,19.0,16.9,3.87,80.2
1953-07-01,NA,NA,NA,20.3,17.8,3.42,70.0
1953-07-02,NA,NA,NA,18.0,14.7,6.73,64.2
1953-07-03,NA,NA,NA,13.2,6.6,3.84,4.1
1953-07-04,NA,NA,NA,16.5,10.6,3.18,56.0
1953-07-05,NA,NA,NA,17.0,11.6,4.15,65.7
1953-07-06,NA,NA,NA,15.2,11.9,3.75,43.0
1953-07-07,NA,NA,NA,14.8,9.9,4.67,41.1
1953-07-08,NA,NA,NA,12.6,7.1,5.71,47.3
1953-07-09,NA,NA,NA,12.4,8.7,4.37,60.7
1953-07-10,NA,NA,NA,15.7,10.2,3.06,44.4
1953-07-11,NA,NA,NA,18.7,13.0,2.97,24.5
1953-07-12,NA,NA,NA,20.7,12.9,2.32,36.7
1953-07-13,NA,NA,NA,21.3,13.9,1.92,86.7
1953-07-14,NA,NA,NA,20.2,16.1,1.57,81.7
1953-07-15,NA,NA,NA,23.0,16.6,0.78,50.8
1953-07-16,NA,NA,NA,24.4,14.2,0.96,13.3
1953-07-17,NA,NA,NA,24.3,16.1,1.87,84.2
1953-07-18,NA,NA,NA,19.4,18.5,2.89,97.7
1953-07-19,NA,NA,NA,21.2,16.7,1.84,50.7
1953-07-20,NA,NA,NA,22.7,17.2,1.01,60.0
1953-07-21,NA,NA,NA,22.8,17.5,3.54,36.3
1953-07-22,NA,NA,NA,21.5,16.9,2.79,69.8
1953-07-23,NA,NA,NA,13.6,10.1,5.71,66.6
1953-07-24,NA,NA,NA,13.3,7.1,2.72,12.7
1953-07-25,NA,NA,NA,15.0,13.1,3.42,72.7
1953-07-26,NA,NA,NA,18.3,16.9,2.35,77.9
1953-07-27,NA,NA,NA,17.1,12.6,3.50,25.0
1953-07-28,NA,NA,NA,16.7,12.9,3.45,51.5
1953-07-29,NA,NA,NA,19.1,14.3,4.54,69.1
1953-07-30,NA,NA,NA,18.1,11.9,3.82,22.8
1953-07-31,NA,NA,NA,17.2,10.6,2.43,68.3
1953-08-01,NA,NA,NA,17.6,12.2,2.02,71.9
1953-08-02,NA,NA,NA,17.0,10.3,3.29,65.6
1953-08-03,NA,NA,NA,16.3,12.3,3.70,77.3
1953-08-04,NA,NA,NA,14.7,14.2,5.22,92.9
1953-08-05,NA,NA,NA,15.9,13.2,2.30,68.0
1953-08-06,NA,NA,NA,16.6,11.7,3.24,86.8
1953-08-07,NA,NA,NA,16.2,15.4,3.28,92.1
1953-08-08,NA,NA,NA,16.3,14.9,3.48,67.9
1953-08-09,NA,NA,NA,16.5,11.4,3.04,63.8
1953-08-10,NA,NA,NA,17.9,11.6,1.60,40.3
1953-08-11,NA,NA,NA,20.1,15.5,3.12,57.0
1953-08-12,NA,NA,NA,18.9,17.8,2.80,74.4
