Daily data for a single station.
StationID:,999999-94830
StationName:,"TOLEDO EXPRESS AIRPORT"
Lat&Long:,41.589,-83.800
Elevation:,-999.900
Starts(YMD):,1955-02-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1955-02-01,NA,NA,NA,-1.6,-5.3,5.13,76.7
1955-02-02,NA,NA,NA,-6.8,-11.0,6.18,72.0
1955-02-03,NA,NA,NA,-11.8,-17.2,4.02,73.8
1955-02-04,NA,NA,NA,-6.6,-10.7,4.89,63.5
1955-02-05,NA,NA,NA,-1.1,-3.2,7.17,96.2
1955-02-06,NA,NA,NA,0.4,-1.7,3.82,85.6
1955-02-07,NA,NA,NA,-4.0,-7.9,3.11,93.8
1955-02-08,NA,NA,NA,-2.1,-5.5,4.86,84.0
1955-02-09,NA,NA,NA,3.3,-1.5,6.08,76.7
1955-02-10,NA,NA,NA,3.4,-3.1,7.23,67.9
1955-02-11,NA,NA,NA,-10.1,-14.0,6.35,62.5
1955-02-12,NA,NA,NA,-11.3,-17.0,6.93,59.3
1955-02-13,NA,NA,NA,-11.1,-17.2,5.01,60.2
1955-02-14,NA,NA,NA,-2.2,-6.0,5.83,94.2
1955-02-15,NA,NA,NA,-1.4,-6.2,4.04,86.7
1955-02-16,NA,NA,NA,1.2,-0.9,4.32,97.9
1955-02-17,NA,NA,NA,-1.5,-5.6,3.65,40.9
1955-02-18,NA,NA,NA,-2.1,-7.4,4.94,79.4
1955-02-19,NA,NA,NA,2.4,-4.1,4.98,75.8
1955-02-20,NA,NA,NA,7.4,3.2,5.93,84.4
1955-02-21,NA,NA,NA,1.3,-6.9,5.72,83.8
1955-02-22,NA,NA,NA,-0.4,-5.4,3.22,72.7
1955-02-23,NA,NA,NA,-0.7,-7.4,4.47,30.9
1955-02-24,NA,NA,NA,1.2,-4.8,3.63,65.0
1955-02-25,NA,NA,NA,0.2,-5.3,4.33,61.4
1955-02-26,NA,NA,NA,3.6,0.9,4.32,79.2
1955-02-27,NA,NA,NA,4.9,3.7,3.85,91.5
1955-02-28,NA,NA,NA,5.1,4.4,3.93,92.5
1955-03-01,NA,NA,NA,3.8,0.4,6.42,85.3
1955-03-02,NA,NA,NA,4.1,-5.3,6.00,45.7
1955-03-03,NA,NA,NA,3.8,-1.4,6.67,70.9
1955-03-04,NA,NA,NA,2.5,2.1,4.22,97.3
1955-03-05,NA,NA,NA,-0.9,-2.0,4.30,87.9
1955-03-06,NA,NA,NA,-2.7,-9.9,5.69,61.2
1955-03-07,NA,NA,NA,-8.6,-16.0,6.82,65.8
1955-03-08,NA,NA,NA,-3.0,-6.8,4.83,60.0
1955-03-09,NA,NA,NA,9.1,1.6,7.55,48.1
1955-03-10,NA,NA,NA,11.7,8.3,7.28,68.7
1955-03-11,NA,NA,NA,11.0,6.3,6.99,51.0
1955-03-12,NA,NA,NA,7.8,1.3,6.51,15.0
1955-03-13,NA,NA,NA,3.8,-1.9,3.82,50.5
1955-03-14,NA,NA,NA,4.4,-0.6,4.88,82.2
1955-03-15,NA,NA,NA,9.4,7.3,6.72,86.9
1955-03-16,NA,NA,NA,1.1,-3.5,6.51,67.1
1955-03-17,NA,NA,NA,-2.8,-10.6,3.50,81.3
1955-03-18,NA,NA,NA,0.3,-6.1,5.92,65.8
1955-03-19,NA,NA,NA,0.4,-8.7,3.87,6.2
1955-03-20,NA,NA,NA,5.3,-1.4,4.58,73.8
1955-03-21,NA,NA,NA,9.4,8.4,6.37,90.2
1955-03-22,NA,NA,NA,1.6,-0.7,12.40,88.9
1955-03-23,NA,NA,NA,2.8,-3.0,5.99,60.0
1955-03-24,NA,NA,NA,2.5,-4.4,7.64,41.0
1955-03-25,NA,NA,NA,-1.1,-6.1,3.87,83.5
1955-03-26,NA,NA,NA,-4.3,-6.6,6.91,90.0
1955-03-27,NA,NA,NA,-4.8,-10.3,7.50,52.2
1955-03-28,NA,NA,NA,-4.1,-10.4,5.13,60.0
1955-03-29,NA,NA,NA,1.4,-6.0,3.85,69.6
1955-03-30,NA,NA,NA,4.0,-3.8,3.82,4.2
1955-03-31,NA,NA,NA,8.3,0.4,4.10,NA
1955-04-01,NA,NA,NA,11.3,2.0,4.59,66.8
1955-04-02,NA,NA,NA,12.2,2.4,4.02,36.1
1955-04-03,NA,NA,NA,7.5,-1.1,5.76,10.6
1955-04-04,NA,NA,NA,5.1,-3.6,5.99,70.7
1955-04-05,NA,NA,NA,13.4,2.7,8.10,73.9
1955-04-06,NA,NA,NA,10.3,1.4,7.58,55.7
1955-04-07,NA,NA,NA,3.4,-3.6,6.59,56.5
1955-04-08,NA,NA,NA,7.5,-3.2,5.68,28.4
1955-04-09,NA,NA,NA,13.5,0.3,6.60,23.8
1955-04-10,NA,NA,NA,16.2,2.3,5.04,39.2
1955-04-11,NA,NA,NA,13.9,6.7,6.22,78.5
1955-04-12,NA,NA,NA,15.8,11.7,5.45,57.1
1955-04-13,NA,NA,NA,19.0,13.8,6.77,74.8
1955-04-14,NA,NA,NA,16.5,12.3,6.77,65.8
1955-04-15,NA,NA,NA,10.3,7.4,5.50,96.9
1955-04-16,NA,NA,NA,14.0,7.0,5.55,56.0
1955-04-17,NA,NA,NA,16.1,4.9,4.77,30.7
1955-04-18,NA,NA,NA,16.8,7.4,6.17,85.7
1955-04-19,NA,NA,NA,17.8,14.7,6.39,73.3
1955-04-20,NA,NA,NA,14.6,12.3,6.12,84.6
1955-04-21,NA,NA,NA,18.0,8.5,5.37,63.0
1955-04-22,NA,NA,NA,16.0,4.1,5.82,18.3
1955-04-23,NA,NA,NA,10.7,4.7,5.70,79.2
1955-04-24,NA,NA,NA,13.7,11.6,5.48,69.8
1955-04-25,NA,NA,NA,11.6,9.8,5.75,86.0
1955-04-26,NA,NA,NA,9.6,6.4,5.36,89.0
1955-04-27,NA,NA,NA,11.0,5.8,3.69,45.0
1955-04-28,NA,NA,NA,12.9,4.5,3.32,14.6
1955-04-29,NA,NA,NA,15.4,7.9,4.49,46.7
1955-04-30,NA,NA,NA,15.1,4.4,4.80,1.0
1955-05-01,NA,NA,NA,17.4,6.6,2.62,47.1
1955-05-02,NA,NA,NA,19.7,6.8,5.98,52.8
1955-05-03,NA,NA,NA,22.7,11.5,5.82,62.4
1955-05-04,NA,NA,NA,22.2,13.7,6.36,52.3
1955-05-05,NA,NA,NA,17.4,5.1,7.38,5.0
1955-05-06,NA,NA,NA,14.0,2.2,4.40,31.2
1955-05-07,NA,NA,NA,16.3,9.0,6.76,66.1
1955-05-08,NA,NA,NA,10.5,3.1,6.25,40.8
1955-05-09,NA,NA,NA,7.1,1.3,3.54,79.2
1955-05-10,NA,NA,NA,11.0,9.1,4.75,91.0
1955-05-11,NA,NA,NA,13.9,6.5,3.42,83.0
1955-05-12,NA,NA,NA,16.9,8.3,3.57,68.1
1955-05-13,NA,NA,NA,16.8,8.3,4.92,89.8
1955-05-14,NA,NA,NA,15.6,4.7,7.00,66.1
1955-05-15,NA,NA,NA,15.2,2.4,5.34,0.0
1955-05-16,NA,NA,NA,16.0,5.5,4.92,39.2
1955-05-17,NA,NA,NA,10.4,-0.2,5.76,16.1
1955-05-18,NA,NA,NA,13.9,1.8,4.92,7.1
1955-05-19,NA,NA,NA,17.7,9.1,5.44,43.2
1955-05-20,NA,NA,NA,17.6,8.7,4.26,10.0
1955-05-21,NA,NA,NA,17.3,7.8,4.85,33.1
1955-05-22,NA,NA,NA,20.5,16.5,5.35,66.7
1955-05-23,NA,NA,NA,22.2,17.9,5.95,59.3
1955-05-24,NA,NA,NA,22.2,18.5,4.98,72.5
1955-05-25,NA,NA,NA,14.5,12.0,5.41,95.0
1955-05-26,NA,NA,NA,16.0,11.4,4.60,76.0
1955-05-27,NA,NA,NA,23.0,15.0,7.61,51.9
1955-05-28,NA,NA,NA,21.1,17.7,7.32,65.2
1955-05-29,NA,NA,NA,16.6,12.4,6.20,62.9
1955-05-30,NA,NA,NA,12.4,8.9,4.28,70.8
1955-05-31,NA,NA,NA,15.6,4.5,4.73,15.3
1955-06-01,NA,NA,NA,17.9,5.5,3.60,30.4
1955-06-02,NA,NA,NA,18.4,8.9,3.66,62.5
1955-06-03,NA,NA,NA,18.6,8.7,4.06,65.4
1955-06-04,NA,NA,NA,22.8,10.0,4.23,44.2
1955-06-05,NA,NA,NA,23.9,14.0,4.57,35.2
1955-06-06,NA,NA,NA,22.0,16.7,5.40,71.0
1955-06-07,NA,NA,NA,18.2,17.0,4.56,75.8
1955-06-08,NA,NA,NA,15.5,13.6,3.91,69.3
1955-06-09,NA,NA,NA,16.8,11.5,3.67,60.6
1955-06-10,NA,NA,NA,17.0,12.7,4.31,75.7
1955-06-11,NA,NA,NA,16.6,12.8,5.90,69.6
1955-06-12,NA,NA,NA,14.8,12.2,4.06,69.8
1955-06-13,NA,NA,NA,12.4,10.0,5.95,77.5
1955-06-14,NA,NA,NA,15.6,10.7,4.65,45.6
1955-06-15,NA,NA,NA,18.9,10.3,3.00,0.0
1955-06-16,NA,NA,NA,20.8,11.8,3.18,15.0
1955-06-17,NA,NA,NA,23.0,11.5,3.75,0.0
1955-06-18,NA,NA,NA,24.0,13.1,3.33,33.1
1955-06-19,NA,NA,NA,23.9,14.7,2.95,53.6
1955-06-20,NA,NA,NA,22.9,16.2,3.38,49.2
1955-06-21,NA,NA,NA,23.3,14.4,5.76,29.1
1955-06-22,NA,NA,NA,20.6,9.5,5.85,15.9
1955-06-23,NA,NA,NA,19.5,9.5,4.58,37.6
1955-06-24,NA,NA,NA,19.3,9.2,3.80,31.9
1955-06-25,NA,NA,NA,18.1,7.9,4.85,31.2
1955-06-26,NA,NA,NA,18.1,9.7,3.46,28.3
1955-06-27,NA,NA,NA,19.9,8.2,3.35,12.3
1955-06-28,NA,NA,NA,22.1,8.5,3.48,29.6
1955-06-29,NA,NA,NA,23.3,12.2,4.26,71.0
1955-06-30,NA,NA,NA,22.3,18.8,4.97,73.8
1955-07-01,NA,NA,NA,26.5,19.8,6.79,34.4
1955-07-02,NA,NA,NA,27.8,20.2,3.50,43.0
1955-07-03,NA,NA,NA,28.4,19.9,3.53,35.2
1955-07-04,NA,NA,NA,26.5,19.5,2.72,60.2
1955-07-05,NA,NA,NA,26.2,18.8,2.77,32.5
1955-07-06,NA,NA,NA,25.6,19.8,2.65,68.0
1955-07-07,NA,NA,NA,23.8,20.7,2.38,59.0
1955-07-08,NA,NA,NA,24.9,21.0,3.85,45.0
1955-07-09,NA,NA,NA,26.8,22.0,4.67,60.4
1955-07-10,NA,NA,NA,25.3,16.2,4.95,41.7
1955-07-11,NA,NA,NA,22.1,12.5,5.19,6.3
1955-07-12,NA,NA,NA,21.1,11.5,5.74,9.1
1955-07-13,NA,NA,NA,23.3,15.3,4.01,30.8
1955-07-14,NA,NA,NA,25.0,18.9,3.90,74.8
1955-07-15,NA,NA,NA,23.8,21.2,4.81,54.2
1955-07-16,NA,NA,NA,24.3,19.7,4.84,37.3
1955-07-17,NA,NA,NA,25.0,20.0,3.87,37.6
1955-07-18,NA,NA,NA,26.2,19.7,2.91,59.5
1955-07-19,NA,NA,NA,25.7,19.3,4.33,5.9
1955-07-20,NA,NA,NA,25.4,16.3,1.91,8.3
1955-07-21,NA,NA,NA,26.5,16.0,1.49,0.0
1955-07-22,NA,NA,NA,26.9,18.0,3.33,23.3
1955-07-23,NA,NA,NA,25.0,20.7,3.73,74.8
1955-07-24,NA,NA,NA,22.5,16.6,3.89,54.7
1955-07-25,NA,NA,NA,22.5,14.9,2.55,22.3
1955-07-26,NA,NA,NA,27.1,20.9,3.13,34.1
1955-07-27,NA,NA,NA,27.8,23.4,4.41,40.3
