Daily data for a single station.
StationID:  , CA006042716
StationName:, "GERALDTON A"
Lat&Long    , 49.783, -86.933
Elevation:  , -9999.000
Starts(YMD):,1981-08-01
Ends(YMD):  ,2024-10-20
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1981-08-01,11.50,25.20,0.00,NA,NA,NA,NA
1981-08-02,8.70,25.10,0.60,NA,NA,NA,NA
1981-08-03,13.40,24.60,0.80,NA,NA,NA,NA
1981-08-04,10.80,25.40,0.00,NA,NA,NA,NA
1981-08-05,7.80,27.40,0.00,NA,NA,NA,NA
1981-08-06,10.40,25.80,0.00,NA,NA,NA,NA
1981-08-07,14.80,28.30,0.00,NA,NA,NA,NA
1981-08-08,13.00,26.40,6.20,NA,NA,NA,NA
1981-08-09,12.90,15.90,43.60,NA,NA,NA,NA
1981-08-10,12.10,18.20,1.40,NA,NA,NA,NA
1981-08-11,11.40,24.40,0.00,NA,NA,NA,NA
1981-08-12,9.40,22.90,0.00,NA,NA,NA,NA
1981-08-13,5.10,22.40,0.00,NA,NA,NA,NA
1981-08-14,13.00,26.20,0.00,NA,NA,NA,NA
1981-08-15,9.00,16.50,0.00,NA,NA,NA,NA
1981-08-16,3.20,21.90,0.00,NA,NA,NA,NA
1981-08-17,3.90,23.30,0.00,NA,NA,NA,NA
1981-08-18,11.90,25.10,0.00,NA,NA,NA,NA
1981-08-19,9.30,26.60,0.00,NA,NA,NA,NA
1981-08-20,7.50,27.20,0.00,NA,NA,NA,NA
1981-08-21,8.70,26.40,0.00,NA,NA,NA,NA
1981-08-22,9.30,25.40,0.00,NA,NA,NA,NA
1981-08-23,12.00,23.90,0.00,NA,NA,NA,NA
1981-08-24,7.20,22.70,0.00,NA,NA,NA,NA
1981-08-25,4.20,26.20,0.00,NA,NA,NA,NA
1981-08-26,9.20,25.00,0.00,NA,NA,NA,NA
1981-08-27,5.00,22.60,0.00,NA,NA,NA,NA
1981-08-28,5.50,25.40,0.00,NA,NA,NA,NA
1981-08-29,6.60,21.60,0.00,NA,NA,NA,NA
1981-08-30,13.80,26.20,0.00,NA,NA,NA,NA
1981-08-31,9.70,20.30,0.00,NA,NA,NA,NA
1981-09-01,6.50,19.20,26.40,NA,NA,NA,NA
1981-09-02,5.90,14.70,0.00,NA,NA,NA,NA
1981-09-03,5.10,18.90,0.00,NA,NA,NA,NA
1981-09-04,3.60,13.80,0.00,NA,NA,NA,NA
1981-09-05,3.20,18.00,0.00,NA,NA,NA,NA
1981-09-06,3.10,21.20,0.00,NA,NA,NA,NA
1981-09-07,9.20,14.90,11.20,NA,NA,NA,NA
1981-09-08,2.00,12.50,0.60,NA,NA,NA,NA
1981-09-09,0.40,18.40,1.40,NA,NA,NA,NA
1981-09-10,5.00,13.00,0.00,NA,NA,NA,NA
1981-09-11,4.20,19.10,2.40,NA,NA,NA,NA
1981-09-12,9.20,24.30,0.00,NA,NA,NA,NA
1981-09-13,7.40,20.10,0.00,NA,NA,NA,NA
1981-09-14,5.60,13.20,0.00,NA,NA,NA,NA
1981-09-15,5.10,10.60,1.60,NA,NA,NA,NA
1981-09-16,5.00,10.70,1.00,NA,NA,NA,NA
1981-09-17,3.60,12.00,1.60,NA,NA,NA,NA
1981-09-18,4.10,17.80,0.40,NA,NA,NA,NA
1981-09-19,3.90,11.00,1.80,NA,NA,NA,NA
1981-09-20,-1.10,8.10,0.00,NA,NA,NA,NA
1981-09-21,-3.60,7.40,0.00,NA,NA,NA,NA
1981-09-22,-4.40,11.40,0.00,NA,NA,NA,NA
1981-09-23,-3.20,13.90,0.00,NA,NA,NA,NA
1981-09-24,4.30,17.50,1.40,NA,NA,NA,NA
1981-09-25,1.00,17.80,0.00,NA,NA,NA,NA
1981-09-26,9.80,14.30,5.80,NA,NA,NA,NA
1981-09-27,0.00,9.90,4.40,NA,NA,NA,NA
