Daily data for a single station.
StationID:  , CA006043452
StationName:, "HEMLO BATTLE MOUNTAIN"
Lat&Long    , 48.700, -85.883
Elevation:  , -9999.000
Starts(YMD):,1985-08-01
Ends(YMD):  ,2001-11-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1985-08-01,11.00,26.00,0.00,NA,NA,NA,NA
1985-08-02,9.50,24.50,0.00,NA,NA,NA,NA
1985-08-03,11.50,27.50,0.00,NA,NA,NA,NA
1985-08-04,13.50,26.50,0.00,NA,NA,NA,NA
1985-08-05,13.50,21.00,10.60,NA,NA,NA,NA
1985-08-06,13.50,18.50,0.40,NA,NA,NA,NA
1985-08-07,15.50,23.50,0.30,NA,NA,NA,NA
1985-08-08,10.00,25.50,0.00,NA,NA,NA,NA
1985-08-09,14.00,25.50,20.00,NA,NA,NA,NA
1985-08-10,11.50,17.50,6.00,NA,NA,NA,NA
1985-08-11,5.50,18.50,0.00,NA,NA,NA,NA
1985-08-12,9.00,17.00,38.20,NA,NA,NA,NA
1985-08-13,12.50,19.50,0.00,NA,NA,NA,NA
1985-08-14,11.00,17.00,0.00,NA,NA,NA,NA
1985-08-15,8.00,17.00,0.00,NA,NA,NA,NA
1985-08-16,6.00,20.50,0.00,NA,NA,NA,NA
1985-08-17,7.00,19.50,17.00,NA,NA,NA,NA
1985-08-18,10.50,14.50,1.70,NA,NA,NA,NA
1985-08-19,5.50,13.00,1.20,NA,NA,NA,NA
1985-08-20,10.00,17.00,0.00,NA,NA,NA,NA
1985-08-21,7.00,17.00,0.00,NA,NA,NA,NA
1985-08-22,10.00,19.50,0.00,NA,NA,NA,NA
1985-08-23,4.50,20.00,2.60,NA,NA,NA,NA
1985-08-24,12.50,23.00,0.00,NA,NA,NA,NA
1985-08-25,14.00,24.00,0.00,NA,NA,NA,NA
1985-08-26,7.50,24.50,0.00,NA,NA,NA,NA
1985-08-27,11.00,22.50,0.00,NA,NA,NA,NA
1985-08-28,7.00,21.50,2.20,NA,NA,NA,NA
1985-08-29,9.50,22.00,0.00,NA,NA,NA,NA
1985-08-30,5.50,23.00,0.00,NA,NA,NA,NA
1985-08-31,6.50,20.50,8.20,NA,NA,NA,NA
1985-09-01,14.00,19.00,0.00,NA,NA,NA,NA
1985-09-02,5.00,16.00,23.20,NA,NA,NA,NA
1985-09-03,9.50,17.00,9.80,NA,NA,NA,NA
1985-09-04,11.00,15.00,0.00,NA,NA,NA,NA
1985-09-05,12.00,23.50,0.00,NA,NA,NA,NA
1985-09-06,13.00,21.00,0.00,NA,NA,NA,NA
1985-09-07,10.50,23.50,0.00,NA,NA,NA,NA
1985-09-08,9.00,20.00,0.00,NA,NA,NA,NA
1985-09-09,7.00,17.00,0.00,NA,NA,NA,NA
1985-09-10,7.50,15.50,0.00,NA,NA,NA,NA
1985-09-11,1.00,13.00,0.00,NA,NA,NA,NA
1985-09-12,0.50,17.00,0.00,NA,NA,NA,NA
1985-09-13,0.00,17.00,0.00,NA,NA,NA,NA
1985-09-14,0.00,16.50,0.00,NA,NA,NA,NA
1985-09-15,5.00,18.50,0.00,NA,NA,NA,NA
1985-09-16,10.50,21.00,27.00,NA,NA,NA,NA
1985-09-17,13.50,18.00,4.00,NA,NA,NA,NA
1985-09-18,13.50,23.50,0.00,NA,NA,NA,NA
1985-09-19,17.00,23.00,0.00,NA,NA,NA,NA
1985-09-20,12.00,18.50,0.00,NA,NA,NA,NA
1985-09-21,2.00,13.50,5.40,NA,NA,NA,NA
1985-09-22,4.00,15.00,1.80,NA,NA,NA,NA
1985-09-23,10.00,20.50,29.20,NA,NA,NA,NA
1985-09-24,4.50,7.00,5.60,NA,NA,NA,NA
1985-09-25,4.50,10.00,0.00,NA,NA,NA,NA
1985-09-26,2.50,13.00,0.00,NA,NA,NA,NA
1985-09-27,-2.00,13.00,0.00,NA,NA,NA,NA
1985-09-28,4.50,11.50,2.00,NA,NA,NA,NA
1985-09-29,6.50,7.50,12.00,NA,NA,NA,NA
1985-09-30,0.50,4.50,16.90,NA,NA,NA,NA
1985-10-01,2.50,5.00,10.80,NA,NA,NA,NA
1985-10-02,1.00,8.00,1.00,NA,NA,NA,NA
1985-10-03,1.00,14.00,0.00,NA,NA,NA,NA
1985-10-04,8.50,12.50,22.80,NA,NA,NA,NA
1985-10-05,1.00,3.50,4.80,NA,NA,NA,NA
1985-10-06,1.00,6.00,0.00,NA,NA,NA,NA
1985-10-07,-2.00,7.50,6.80,NA,NA,NA,NA
1985-10-08,-2.00,11.50,2.00,NA,NA,NA,NA
1985-10-09,2.50,6.00,1.40,NA,NA,NA,NA
1985-10-10,0.50,5.50,0.00,NA,NA,NA,NA
1985-10-11,-0.50,9.50,0.00,NA,NA,NA,NA
1985-10-12,-0.50,9.00,10.60,NA,NA,NA,NA
1985-10-13,6.50,8.50,0.40,NA,NA,NA,NA
1985-10-14,0.50,12.50,2.00,NA,NA,NA,NA
1985-10-15,1.00,5.00,0.00,NA,NA,NA,NA
1985-10-16,-2.50,2.00,0.00,NA,NA,NA,NA
1985-10-17,1.00,12.00,0.00,NA,NA,NA,NA
1985-10-18,6.00,9.50,0.00,NA,NA,NA,NA
1985-10-19,0.00,11.50,0.00,NA,NA,NA,NA
1985-10-20,-2.00,12.50,0.00,NA,NA,NA,NA
1985-10-21,0.00,13.00,0.00,NA,NA,NA,NA
1985-10-22,0.00,15.00,0.00,NA,NA,NA,NA
1985-10-23,10.00,12.00,11.80,NA,NA,NA,NA
1985-10-24,8.00,11.50,4.00,NA,NA,NA,NA
1985-10-25,3.50,10.50,0.00,NA,NA,NA,NA
1985-10-26,5.00,14.50,0.00,NA,NA,NA,NA
1985-10-27,0.00,2.50,0.00,NA,NA,NA,NA
1985-10-28,-6.00,6.00,0.40,NA,NA,NA,NA
1985-10-29,-2.00,12.00,3.00,NA,NA,NA,NA
1985-10-30,-3.00,10.00,0.00,NA,NA,NA,NA
1985-10-31,-3.50,12.50,1.40,NA,NA,NA,NA
1985-11-01,-1.00,12.00,7.00,NA,NA,NA,NA
1985-11-02,4.50,7.50,29.20,NA,NA,NA,NA
1985-11-03,0.00,0.50,2.00,NA,NA,NA,NA
1985-11-04,-2.00,-1.00,0.00,NA,NA,NA,NA
1985-11-05,-3.00,4.50,0.00,NA,NA,NA,NA
1985-11-06,-2.50,8.50,1.80,NA,NA,NA,NA
1985-11-07,-1.00,2.00,0.00,NA,NA,NA,NA
1985-11-08,-7.00,-4.50,1.00,NA,NA,NA,NA
1985-11-09,-13.00,-6.00,0.00,NA,NA,NA,NA
1985-11-10,-16.00,-9.00,0.00,NA,NA,NA,NA
1985-11-11,-19.00,-3.00,0.00,NA,NA,NA,NA
1985-11-12,-7.00,0.00,2.00,NA,NA,NA,NA
1985-11-13,-4.00,0.00,0.00,NA,NA,NA,NA
1985-11-14,-8.50,-1.50,0.00,NA,NA,NA,NA
1985-11-15,-15.00,0.50,0.00,NA,NA,NA,NA
1985-11-16,-12.00,-1.50,2.00,NA,NA,NA,NA
1985-11-17,-7.00,3.00,0.00,NA,NA,NA,NA
1985-11-18,-1.00,2.00,2.50,NA,NA,NA,NA
1985-11-19,-3.00,3.00,26.00,NA,NA,NA,NA
1985-11-20,-7.00,-5.00,5.00,NA,NA,NA,NA
1985-11-21,-17.00,-8.50,0.00,NA,NA,NA,NA
1985-11-22,-21.50,-10.50,3.00,NA,NA,NA,NA
1985-11-23,-14.00,-7.50,6.50,NA,NA,NA,NA
1985-11-24,-18.00,-8.00,0.50,NA,NA,NA,NA
1985-11-25,-26.00,-12.00,0.00,NA,NA,NA,NA
1985-11-26,-16.00,-1.50,7.00,NA,NA,NA,NA
1985-11-27,-20.00,-10.50,2.00,NA,NA,NA,NA
1985-11-28,-21.00,-4.00,6.00,NA,NA,NA,NA
1985-11-29,-17.50,-13.50,0.00,NA,NA,NA,NA
1985-11-30,-21.00,-15.50,0.00,NA,NA,NA,NA
1985-12-01,-20.50,-19.00,8.00,NA,NA,NA,NA
1985-12-02,-21.00,-16.00,8.00,NA,NA,NA,NA
1985-12-03,-34.00,-7.00,8.00,NA,NA,NA,NA
1985-12-04,-12.00,-3.50,3.00,NA,NA,NA,NA
1985-12-05,-8.00,-1.50,0.00,NA,NA,NA,NA
1985-12-06,-7.50,-1.00,0.20,NA,NA,NA,NA
1985-12-07,-2.50,-0.50,1.60,NA,NA,NA,NA
1985-12-08,-11.00,-2.00,0.00,NA,NA,NA,NA
1985-12-09,-21.00,-5.50,0.60,NA,NA,NA,NA
1985-12-10,-8.00,-4.50,0.60,NA,NA,NA,NA
1985-12-11,-17.00,-9.00,8.60,NA,NA,NA,NA
1985-12-12,-13.00,-5.50,13.00,NA,NA,NA,NA
1985-12-13,-28.00,-21.00,0.00,NA,NA,NA,NA
1985-12-14,-36.50,-17.00,0.60,NA,NA,NA,NA
1985-12-15,-29.00,-19.00,0.00,NA,NA,NA,NA
1985-12-16,-35.50,-20.00,0.00,NA,NA,NA,NA
1985-12-17,-30.00,-26.00,0.00,NA,NA,NA,NA
1985-12-18,-35.00,-14.50,0.00,NA,NA,NA,NA
1985-12-19,-30.00,-13.00,0.00,NA,NA,NA,NA
1985-12-20,-29.00,-14.00,0.00,NA,NA,NA,NA
1985-12-21,-36.00,-4.00,0.40,NA,NA,NA,NA
1985-12-22,-36.00,-5.00,0.20,NA,NA,NA,NA
1985-12-23,-25.00,-19.00,0.00,NA,NA,NA,NA
1985-12-24,-32.50,-22.00,0.00,NA,NA,NA,NA
1985-12-25,-32.00,-13.50,3.60,NA,NA,NA,NA
1985-12-26,-22.00,-8.00,3.00,NA,NA,NA,NA
1985-12-27,-18.50,-8.50,0.00,NA,NA,NA,NA
1985-12-28,-31.00,-12.00,2.00,NA,NA,NA,NA
1985-12-29,-24.00,-10.00,2.00,NA,NA,NA,NA
1985-12-30,-21.00,-3.00,2.60,NA,NA,NA,NA
1985-12-31,-19.00,-13.50,0.00,NA,NA,NA,NA
1986-01-01,-31.50,-15.00,0.00,NA,NA,NA,NA
1986-01-02,NA,-17.00,0.00,NA,NA,NA,NA
1986-01-03,NA,-16.00,0.00,NA,NA,NA,NA
1986-01-04,-21.50,-13.50,1.00,NA,NA,NA,NA
1986-01-05,-28.00,-13.50,1.00,NA,NA,NA,NA
1986-01-06,-28.00,-19.50,0.00,NA,NA,NA,NA
1986-01-07,-34.00,-7.00,0.00,NA,NA,NA,NA
1986-01-08,-29.50,0.00,0.00,NA,NA,NA,NA
1986-01-09,-5.50,1.50,1.00,NA,NA,NA,NA
1986-01-10,-14.00,NA,1.60,NA,NA,NA,NA
1986-01-11,-7.00,2.00,0.60,NA,NA,NA,NA
1986-01-12,-15.00,-6.00,0.00,NA,NA,NA,NA
1986-01-13,-30.00,-15.00,0.00,NA,NA,NA,NA
1986-01-14,-21.00,-11.00,3.00,NA,NA,NA,NA
1986-01-15,-29.00,-4.00,7.00,NA,NA,NA,NA
1986-01-16,-11.50,1.50,0.00,NA,NA,NA,NA
1986-01-17,-3.50,1.00,0.60,NA,NA,NA,NA
1986-01-18,-5.50,-4.00,1.20,NA,NA,NA,NA
1986-01-19,-18.00,-7.00,0.00,NA,NA,NA,NA
1986-01-20,-17.00,-5.00,0.00,NA,NA,NA,NA
1986-01-21,-14.00,-4.00,11.00,NA,NA,NA,NA
1986-01-22,-20.00,-15.00,0.00,NA,NA,NA,NA
1986-01-23,-22.50,-12.00,0.00,NA,NA,NA,NA
1986-01-24,-31.00,-2.00,4.00,NA,NA,NA,NA
1986-01-25,-8.00,-0.50,4.00,NA,NA,NA,NA
1986-01-26,-26.00,-17.50,0.00,NA,NA,NA,NA
1986-01-27,-36.50,-24.00,0.00,NA,NA,NA,NA
1986-01-28,-41.00,-17.00,0.00,NA,NA,NA,NA
1986-01-29,-25.50,-14.00,0.00,NA,NA,NA,NA
1986-01-30,-27.00,-11.00,0.00,NA,NA,NA,NA
1986-01-31,-28.00,-12.00,0.00,NA,NA,NA,NA
1986-02-01,-29.00,-5.00,0.40,NA,NA,NA,NA
1986-02-02,-8.50,-4.00,0.00,NA,NA,NA,NA
1986-02-03,-18.00,-2.00,0.00,NA,NA,NA,NA
1986-02-04,-4.00,-1.00,0.00,NA,NA,NA,NA
1986-02-05,-9.00,-2.50,0.00,NA,NA,NA,NA
1986-02-06,-25.00,-8.00,0.00,NA,NA,NA,NA
1986-02-07,-25.00,-3.00,0.00,NA,NA,NA,NA
1986-02-08,-21.00,-5.00,3.40,NA,NA,NA,NA
1986-02-09,-15.00,-8.50,0.20,NA,NA,NA,NA
1986-02-10,-21.00,-11.00,0.00,NA,NA,NA,NA
1986-02-11,-32.50,-10.00,0.00,NA,NA,NA,NA
1986-02-12,-25.00,-7.50,0.00,NA,NA,NA,NA
1986-02-13,-22.00,-6.00,14.00,NA,NA,NA,NA
1986-02-14,-19.00,-11.00,1.60,NA,NA,NA,NA
1986-02-15,-22.50,-10.50,0.00,NA,NA,NA,NA
1986-02-16,-30.00,-6.50,0.60,NA,NA,NA,NA
1986-02-17,-12.50,-3.00,0.60,NA,NA,NA,NA
1986-02-18,-4.00,0.50,2.20,NA,NA,NA,NA
1986-02-19,-11.50,-8.50,10.00,NA,NA,NA,NA
1986-02-20,NA,-12.50,0.00,NA,NA,NA,NA
1986-02-21,-34.00,-8.00,0.00,NA,NA,NA,NA
1986-02-22,-34.00,-1.00,4.00,NA,NA,NA,NA
1986-02-23,-22.50,-6.00,0.00,NA,NA,NA,NA
1986-02-24,-26.00,-4.00,0.00,NA,NA,NA,NA
1986-02-25,-23.50,-5.50,0.00,NA,NA,NA,NA
1986-02-26,-15.50,-7.00,0.00,NA,NA,NA,NA
1986-02-27,-26.00,-9.50,0.00,NA,NA,NA,NA
1986-02-28,-27.00,-4.50,0.00,NA,NA,NA,NA
1986-03-01,-16.00,-3.00,0.00,NA,NA,NA,NA
1986-03-02,-6.00,0.00,0.00,NA,NA,NA,NA
1986-03-03,-5.50,2.00,0.00,NA,NA,NA,NA
1986-03-04,-10.00,-3.00,0.00,NA,NA,NA,NA
1986-03-05,-20.50,-8.00,3.00,NA,NA,NA,NA
1986-03-06,-21.50,-9.50,0.00,NA,NA,NA,NA
1986-03-07,-26.50,-11.00,0.00,NA,NA,NA,NA
1986-03-08,-23.50,-6.00,6.00,NA,NA,NA,NA
1986-03-09,-9.00,-5.00,3.60,NA,NA,NA,NA
1986-03-10,-6.00,-2.50,0.00,NA,NA,NA,NA
1986-03-11,-17.50,-1.50,0.00,NA,NA,NA,NA
1986-03-12,-6.00,7.00,0.00,NA,NA,NA,NA
1986-03-13,-12.50,7.50,0.80,NA,NA,NA,NA
1986-03-14,-1.50,0.00,10.00,NA,NA,NA,NA
1986-03-15,-4.50,2.00,0.00,NA,NA,NA,NA
1986-03-16,-13.50,4.00,0.00,NA,NA,NA,NA
1986-03-17,-4.50,4.50,0.00,NA,NA,NA,NA
1986-03-18,-7.00,4.50,2.00,NA,NA,NA,NA
1986-03-19,-21.00,-17.50,0.00,NA,NA,NA,NA
1986-03-20,-28.00,-4.00,0.00,NA,NA,NA,NA
1986-03-21,-21.50,-1.00,0.00,NA,NA,NA,NA
1986-03-22,-4.50,5.00,0.00,NA,NA,NA,NA
1986-03-23,-8.00,-3.00,0.00,NA,NA,NA,NA
1986-03-24,-19.50,-2.00,NA,NA,NA,NA,NA
1986-03-25,-4.50,8.00,NA,NA,NA,NA,NA
1986-03-26,-2.00,6.00,0.00,NA,NA,NA,NA
1986-03-27,-13.00,2.00,0.00,NA,NA,NA,NA
1986-03-28,-3.00,11.00,0.00,NA,NA,NA,NA
1986-03-29,-5.50,11.00,0.00,NA,NA,NA,NA
1986-03-30,2.00,8.00,0.00,NA,NA,NA,NA
1986-03-31,-1.00,11.50,3.00,NA,NA,NA,NA
1986-04-01,2.50,7.50,0.00,NA,NA,NA,NA
1986-04-02,-4.00,9.00,0.00,NA,NA,NA,NA
1986-04-03,0.00,5.50,0.00,NA,NA,NA,NA
1986-04-04,-2.50,9.50,0.00,NA,NA,NA,NA
1986-04-05,-1.50,8.00,0.00,NA,NA,NA,NA
1986-04-06,1.50,4.50,0.00,NA,NA,NA,NA
1986-04-07,2.50,4.00,11.20,NA,NA,NA,NA
1986-04-08,0.50,2.00,0.00,NA,NA,NA,NA
1986-04-09,-3.00,2.00,0.00,NA,NA,NA,NA
1986-04-10,-2.00,7.00,0.00,NA,NA,NA,NA
1986-04-11,-2.00,6.00,0.00,NA,NA,NA,NA
1986-04-12,-4.00,8.00,0.00,NA,NA,NA,NA
1986-04-13,-1.00,11.00,0.00,NA,NA,NA,NA
1986-04-14,-4.50,12.50,0.00,NA,NA,NA,NA
1986-04-15,-3.50,8.00,0.00,NA,NA,NA,NA
1986-04-16,-3.50,8.00,0.00,NA,NA,NA,NA
1986-04-17,-3.50,12.50,0.00,NA,NA,NA,NA
1986-04-18,-4.00,17.00,8.20,NA,NA,NA,NA
1986-04-19,NA,11.00,10.80,NA,NA,NA,NA
1986-04-20,2.00,7.00,0.00,NA,NA,NA,NA
1986-04-21,-11.00,0.00,0.00,NA,NA,NA,NA
1986-04-22,-10.50,3.50,1.80,NA,NA,NA,NA
1986-04-23,-1.50,12.00,0.20,NA,NA,NA,NA
1986-04-24,7.00,17.50,3.00,NA,NA,NA,NA
1986-04-25,3.00,12.50,0.00,NA,NA,NA,NA
1986-04-26,3.00,21.00,1.00,NA,NA,NA,NA
1986-04-27,7.00,23.00,0.00,NA,NA,NA,NA
1986-04-28,8.00,27.50,0.00,NA,NA,NA,NA
1986-04-29,4.00,8.00,1.00,NA,NA,NA,NA
1986-04-30,0.50,20.00,16.00,NA,NA,NA,NA
1986-05-01,-5.50,5.00,0.00,NA,NA,NA,NA
1986-05-02,-6.00,5.00,0.00,NA,NA,NA,NA
1986-05-03,-9.00,10.50,0.60,NA,NA,NA,NA
1986-05-04,-5.00,16.00,7.20,NA,NA,NA,NA
1986-05-05,5.00,10.50,6.00,NA,NA,NA,NA
1986-05-06,5.00,22.00,1.50,NA,NA,NA,NA
1986-05-07,4.00,10.00,0.00,NA,NA,NA,NA
1986-05-08,2.00,15.00,0.00,NA,NA,NA,NA
1986-05-09,5.50,18.50,0.00,NA,NA,NA,NA
1986-05-10,8.00,21.50,0.00,NA,NA,NA,NA
1986-05-11,7.00,24.00,0.60,NA,NA,NA,NA
1986-05-12,12.00,21.00,0.00,NA,NA,NA,NA
1986-05-13,11.00,22.00,0.00,NA,NA,NA,NA
1986-05-14,8.00,23.00,0.00,NA,NA,NA,NA
1986-05-15,10.00,22.00,0.00,NA,NA,NA,NA
1986-05-16,10.00,22.00,0.00,NA,NA,NA,NA
1986-05-17,5.00,17.00,0.00,NA,NA,NA,NA
1986-05-18,7.00,13.00,0.00,NA,NA,NA,NA
1986-05-19,0.00,15.00,0.00,NA,NA,NA,NA
1986-05-20,2.00,18.00,0.00,NA,NA,NA,NA
1986-05-21,4.00,21.00,0.00,NA,NA,NA,NA
1986-05-22,4.50,20.00,0.00,NA,NA,NA,NA
1986-05-23,6.00,26.00,0.00,NA,NA,NA,NA
1986-05-24,7.50,27.50,0.00,NA,NA,NA,NA
1986-05-25,6.00,29.00,0.00,NA,NA,NA,NA
1986-05-26,8.00,28.50,0.00,NA,NA,NA,NA
1986-05-27,10.50,30.50,0.00,NA,NA,NA,NA
