Daily data for a single station.
StationID:  , CA006048864
StationName:, "TRANQUILLO RIDGE"
Lat&Long    , 48.233, -89.517
Elevation:  , -9999.000
Starts(YMD):,1991-06-01
Ends(YMD):  ,2006-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1991-06-01,6.00,25.00,0.00,NA,NA,NA,NA
1991-06-02,9.50,25.50,0.00,NA,NA,NA,NA
1991-06-03,11.50,21.50,0.00,NA,NA,NA,NA
1991-06-04,2.50,22.00,0.00,NA,NA,NA,NA
1991-06-05,3.00,24.00,0.00,NA,NA,NA,NA
1991-06-06,2.50,26.50,0.00,NA,NA,NA,NA
1991-06-07,6.50,30.00,0.00,NA,NA,NA,NA
1991-06-08,8.00,29.50,0.00,NA,NA,NA,NA
1991-06-09,11.00,28.50,8.70,NA,NA,NA,NA
1991-06-10,15.00,26.50,0.50,NA,NA,NA,NA
1991-06-11,9.00,25.00,0.00,NA,NA,NA,NA
1991-06-12,2.00,15.00,0.00,NA,NA,NA,NA
1991-06-13,4.50,21.00,8.20,NA,NA,NA,NA
1991-06-14,11.00,25.00,0.00,NA,NA,NA,NA
1991-06-15,13.50,26.00,2.20,NA,NA,NA,NA
1991-06-16,9.50,28.00,0.00,NA,NA,NA,NA
1991-06-17,7.50,28.50,0.00,NA,NA,NA,NA
1991-06-18,10.00,27.00,0.00,NA,NA,NA,NA
1991-06-19,6.50,26.00,0.60,NA,NA,NA,NA
1991-06-20,10.00,20.00,2.10,NA,NA,NA,NA
1991-06-21,11.00,19.00,0.00,NA,NA,NA,NA
1991-06-22,1.50,21.00,0.00,NA,NA,NA,NA
1991-06-23,3.00,23.50,0.00,NA,NA,NA,NA
1991-06-24,4.00,26.50,0.00,NA,NA,NA,NA
1991-06-25,12.00,28.50,0.40,NA,NA,NA,NA
1991-06-26,15.00,21.00,51.20,NA,NA,NA,NA
1991-06-27,15.50,29.00,0.80,NA,NA,NA,NA
1991-06-28,13.50,23.00,33.80,NA,NA,NA,NA
1991-06-29,10.50,14.50,2.00,NA,NA,NA,NA
1991-06-30,11.50,15.50,2.00,NA,NA,NA,NA
1991-07-01,8.00,11.00,14.30,NA,NA,NA,NA
1991-07-02,8.00,12.50,3.90,NA,NA,NA,NA
1991-07-03,11.00,15.50,0.50,NA,NA,NA,NA
1991-07-04,14.00,18.00,4.30,NA,NA,NA,NA
1991-07-05,13.00,27.00,0.40,NA,NA,NA,NA
1991-07-06,13.50,27.50,0.00,NA,NA,NA,NA
1991-07-07,12.00,27.00,1.70,NA,NA,NA,NA
1991-07-08,9.00,23.50,0.00,NA,NA,NA,NA
1991-07-09,6.50,26.50,2.10,NA,NA,NA,NA
1991-07-10,8.50,26.50,0.00,NA,NA,NA,NA
1991-07-11,8.00,27.50,0.00,NA,NA,NA,NA
1991-07-12,13.50,23.00,0.30,NA,NA,NA,NA
1991-07-13,9.00,26.00,0.00,NA,NA,NA,NA
1991-07-14,7.50,28.00,0.00,NA,NA,NA,NA
1991-07-15,10.50,27.00,0.00,NA,NA,NA,NA
1991-07-16,22.00,32.50,0.00,NA,NA,NA,NA
1991-07-17,16.50,34.50,0.00,NA,NA,NA,NA
1991-07-18,15.00,32.50,2.90,NA,NA,NA,NA
1991-07-19,19.50,29.00,0.00,NA,NA,NA,NA
1991-07-20,10.50,25.50,1.00,NA,NA,NA,NA
1991-07-21,9.50,25.50,0.00,NA,NA,NA,NA
1991-07-22,12.50,28.00,1.30,NA,NA,NA,NA
1991-07-23,14.50,26.00,1.10,NA,NA,NA,NA
1991-07-24,10.50,18.50,0.40,NA,NA,NA,NA
1991-07-25,7.50,16.50,0.00,NA,NA,NA,NA
1991-07-26,6.50,20.50,1.10,NA,NA,NA,NA
1991-07-27,9.50,22.50,8.00,NA,NA,NA,NA
1991-07-28,6.50,19.00,0.00,NA,NA,NA,NA
1991-07-29,3.50,23.00,0.00,NA,NA,NA,NA
1991-07-30,5.50,25.50,0.50,NA,NA,NA,NA
1991-07-31,13.00,27.00,0.00,NA,NA,NA,NA
1991-08-01,8.00,26.00,0.00,NA,NA,NA,NA
1991-08-02,8.00,21.50,0.00,NA,NA,NA,NA
1991-08-03,11.00,23.00,0.00,NA,NA,NA,NA
1991-08-04,4.50,23.00,0.00,NA,NA,NA,NA
1991-08-05,4.00,25.00,0.00,NA,NA,NA,NA
1991-08-06,5.00,25.00,0.00,NA,NA,NA,NA
1991-08-07,4.00,25.00,0.00,NA,NA,NA,NA
1991-08-08,3.50,27.50,0.00,NA,NA,NA,NA
1991-08-09,7.00,27.00,0.00,NA,NA,NA,NA
1991-08-10,7.50,30.50,0.40,NA,NA,NA,NA
1991-08-11,10.00,30.00,0.00,NA,NA,NA,NA
1991-08-12,8.00,33.50,0.00,NA,NA,NA,NA
1991-08-13,11.00,35.00,0.00,NA,NA,NA,NA
1991-08-14,12.50,34.50,0.00,NA,NA,NA,NA
1991-08-15,15.50,32.00,18.90,NA,NA,NA,NA
1991-08-16,14.00,20.00,13.40,NA,NA,NA,NA
1991-08-17,13.50,24.00,0.40,NA,NA,NA,NA
1991-08-18,11.50,17.50,0.00,NA,NA,NA,NA
1991-08-19,0.50,21.00,0.00,NA,NA,NA,NA
1991-08-20,2.00,24.00,0.00,NA,NA,NA,NA
1991-08-21,8.50,25.00,0.30,NA,NA,NA,NA
1991-08-22,9.50,23.50,0.00,NA,NA,NA,NA
1991-08-23,9.50,17.50,1.30,NA,NA,NA,NA
1991-08-24,13.50,23.50,0.00,NA,NA,NA,NA
1991-08-25,14.50,30.50,0.00,NA,NA,NA,NA
1991-08-26,21.50,31.00,1.70,NA,NA,NA,NA
1991-08-27,18.50,27.50,0.00,NA,NA,NA,NA
1991-08-28,14.00,33.00,0.00,NA,NA,NA,NA
1991-08-29,19.50,35.00,0.00,NA,NA,NA,NA
1991-08-30,12.50,30.00,0.00,NA,NA,NA,NA
1991-08-31,7.00,15.50,0.00,NA,NA,NA,NA
1991-09-01,-2.00,20.50,0.00,NA,NA,NA,NA
1991-09-02,4.50,26.50,14.60,NA,NA,NA,NA
1991-09-03,18.00,23.00,0.00,NA,NA,NA,NA
1991-09-04,4.00,20.50,0.60,NA,NA,NA,NA
1991-09-05,5.00,18.00,5.90,NA,NA,NA,NA
1991-09-06,1.50,20.50,0.00,NA,NA,NA,NA
1991-09-07,3.50,24.00,0.00,NA,NA,NA,NA
1991-09-08,13.00,18.50,7.60,NA,NA,NA,NA
1991-09-09,15.50,22.00,5.70,NA,NA,NA,NA
1991-09-10,11.50,16.00,0.00,NA,NA,NA,NA
1991-09-11,0.50,17.00,0.00,NA,NA,NA,NA
1991-09-12,7.00,14.50,1.50,NA,NA,NA,NA
1991-09-13,11.00,23.00,0.20,NA,NA,NA,NA
1991-09-14,8.00,15.00,17.70,NA,NA,NA,NA
1991-09-15,9.50,25.50,24.20,NA,NA,NA,NA
1991-09-16,12.00,18.00,0.30,NA,NA,NA,NA
1991-09-17,3.50,12.50,13.50,NA,NA,NA,NA
1991-09-18,2.00,5.00,2.30,NA,NA,NA,NA
1991-09-19,-3.00,6.50,0.00,NA,NA,NA,NA
1991-09-20,1.50,13.00,0.00,NA,NA,NA,NA
1991-09-21,-0.50,18.00,0.00,NA,NA,NA,NA
1991-09-22,6.50,15.00,0.00,NA,NA,NA,NA
1991-09-23,4.00,12.00,0.60,NA,NA,NA,NA
1991-09-24,-0.50,15.50,11.10,NA,NA,NA,NA
1991-09-25,6.00,15.00,2.90,NA,NA,NA,NA
1991-09-26,0.50,7.00,0.00,NA,NA,NA,NA
1991-09-27,-4.50,8.50,0.00,NA,NA,NA,NA
1991-09-28,-1.50,11.50,0.00,NA,NA,NA,NA
1991-09-29,-6.00,8.00,12.80,NA,NA,NA,NA
1991-09-30,3.00,13.00,0.50,NA,NA,NA,NA
1991-10-01,-2.50,13.50,0.00,NA,NA,NA,NA
1991-10-02,1.00,15.00,0.00,NA,NA,NA,NA
1991-10-03,-1.00,11.50,0.30,NA,NA,NA,NA
1991-10-04,-2.50,13.50,8.50,NA,NA,NA,NA
1991-10-05,1.50,4.50,9.30,NA,NA,NA,NA
1991-10-06,0.50,6.00,0.30,NA,NA,NA,NA
1991-10-07,-2.00,8.50,0.20,NA,NA,NA,NA
1991-10-08,-3.00,15.50,0.00,NA,NA,NA,NA
1991-10-09,2.00,14.50,0.00,NA,NA,NA,NA
1991-10-10,-2.50,11.00,0.00,NA,NA,NA,NA
1991-10-11,-4.50,13.00,0.60,NA,NA,NA,NA
1991-10-12,4.50,10.50,0.20,NA,NA,NA,NA
1991-10-13,-2.50,10.00,3.40,NA,NA,NA,NA
1991-10-14,2.50,7.00,1.00,NA,NA,NA,NA
1991-10-15,-3.50,3.50,0.50,NA,NA,NA,NA
1991-10-16,-6.00,16.50,0.00,NA,NA,NA,NA
1991-10-17,-1.50,22.00,0.00,NA,NA,NA,NA
1991-10-18,-2.50,3.50,0.00,NA,NA,NA,NA
1991-10-19,-11.50,5.00,0.00,NA,NA,NA,NA
1991-10-20,-8.00,5.00,11.00,NA,NA,NA,NA
1991-10-21,-0.50,2.50,0.20,NA,NA,NA,NA
1991-10-22,-2.00,4.00,0.00,NA,NA,NA,NA
1991-10-23,0.50,7.50,10.90,NA,NA,NA,NA
1991-10-24,0.50,1.00,2.40,NA,NA,NA,NA
1991-10-25,-3.50,2.00,0.30,NA,NA,NA,NA
1991-10-26,-3.00,3.00,0.60,NA,NA,NA,NA
1991-10-27,-1.00,5.00,0.50,NA,NA,NA,NA
1991-10-28,1.50,7.50,10.30,NA,NA,NA,NA
1991-10-29,5.00,10.50,1.70,NA,NA,NA,NA
1991-10-30,-4.50,2.00,0.00,NA,NA,NA,NA
1991-10-31,-7.00,-1.00,38.00,NA,NA,NA,NA
