Daily data for a single station.
StationID:  , CA006052259
StationName:, "ELLIOT LAKE A"
Lat&Long    , 46.350, -82.567
Elevation:  , -9999.000
Starts(YMD):,1995-07-01
Ends(YMD):  ,2012-04-01
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1995-07-01,11.50,18.50,0.00,NA,NA,NA,NA
1995-07-02,9.50,20.50,0.00,NA,NA,NA,NA
1995-07-03,8.00,21.00,0.00,NA,NA,NA,NA
1995-07-04,11.00,25.50,0.00,NA,NA,NA,NA
1995-07-05,18.00,26.00,14.60,NA,NA,NA,NA
1995-07-06,18.00,24.00,4.40,NA,NA,NA,NA
1995-07-07,10.00,16.00,0.20,NA,NA,NA,NA
1995-07-08,8.00,22.00,8.40,NA,NA,NA,NA
1995-07-09,12.50,23.50,0.00,NA,NA,NA,NA
1995-07-10,9.50,25.50,0.20,NA,NA,NA,NA
1995-07-11,11.50,24.50,0.00,NA,NA,NA,NA
1995-07-12,14.50,24.50,0.00,NA,NA,NA,NA
1995-07-13,15.00,31.50,0.00,NA,NA,NA,NA
1995-07-14,18.00,34.00,11.80,NA,NA,NA,NA
1995-07-15,18.00,24.50,2.80,NA,NA,NA,NA
1995-07-16,14.50,16.00,7.40,NA,NA,NA,NA
1995-07-17,13.50,20.50,9.00,NA,NA,NA,NA
1995-07-18,14.50,23.50,0.00,NA,NA,NA,NA
1995-07-19,12.50,24.50,37.40,NA,NA,NA,NA
1995-07-20,13.00,23.50,0.00,NA,NA,NA,NA
1995-07-21,16.50,25.50,0.00,NA,NA,NA,NA
1995-07-22,13.00,22.50,5.20,NA,NA,NA,NA
1995-07-23,18.00,27.00,0.00,NA,NA,NA,NA
1995-07-24,12.50,26.00,0.00,NA,NA,NA,NA
1995-07-25,15.00,28.00,0.00,NA,NA,NA,NA
1995-07-26,15.50,27.00,0.00,NA,NA,NA,NA
1995-07-27,15.50,27.00,0.60,NA,NA,NA,NA
1995-07-28,18.50,26.00,0.40,NA,NA,NA,NA
1995-07-29,16.00,26.50,0.00,NA,NA,NA,NA
1995-07-30,11.50,27.00,0.00,NA,NA,NA,NA
1995-07-31,15.50,30.00,0.40,NA,NA,NA,NA
1995-08-01,16.00,22.00,4.20,NA,NA,NA,NA
1995-08-02,10.50,22.50,0.00,NA,NA,NA,NA
1995-08-03,13.00,24.00,10.40,NA,NA,NA,NA
1995-08-04,19.00,24.50,14.20,NA,NA,NA,NA
1995-08-05,14.50,25.50,8.00,NA,NA,NA,NA
1995-08-06,14.50,26.00,0.00,NA,NA,NA,NA
1995-08-07,15.00,24.50,0.00,NA,NA,NA,NA
1995-08-08,15.00,25.00,0.00,NA,NA,NA,NA
1995-08-09,17.00,26.00,0.00,NA,NA,NA,NA
1995-08-10,17.00,24.00,0.20,NA,NA,NA,NA
1995-08-11,20.50,28.50,0.00,NA,NA,NA,NA
1995-08-12,15.50,28.00,0.00,NA,NA,NA,NA
1995-08-13,14.00,20.50,2.40,NA,NA,NA,NA
1995-08-14,16.00,25.50,1.90,NA,NA,NA,NA
1995-08-15,18.00,27.00,0.00,NA,NA,NA,NA
1995-08-16,13.00,27.50,0.00,NA,NA,NA,NA
1995-08-17,17.00,27.00,0.00,NA,NA,NA,NA
1995-08-18,14.50,31.50,0.00,NA,NA,NA,NA
1995-08-19,17.00,29.50,0.00,NA,NA,NA,NA
1995-08-20,14.50,28.50,0.00,NA,NA,NA,NA
1995-08-21,15.00,25.50,0.00,NA,NA,NA,NA
1995-08-22,12.00,22.00,0.00,NA,NA,NA,NA
1995-08-23,11.50,24.50,0.00,NA,NA,NA,NA
1995-08-24,10.50,20.50,0.00,NA,NA,NA,NA
1995-08-25,7.00,18.00,6.80,NA,NA,NA,NA
1995-08-26,13.00,20.50,0.40,NA,NA,NA,NA
1995-08-27,12.50,22.00,0.00,NA,NA,NA,NA
1995-08-28,7.00,23.00,0.00,NA,NA,NA,NA
1995-08-29,14.00,24.50,0.00,NA,NA,NA,NA
1995-08-30,10.00,20.00,110.00,NA,NA,NA,NA
1995-08-31,16.00,23.00,0.00,NA,NA,NA,NA
1995-09-01,11.00,20.00,0.00,NA,NA,NA,NA
1995-09-02,7.50,17.50,5.40,NA,NA,NA,NA
1995-09-03,13.00,21.00,0.00,NA,NA,NA,NA
1995-09-04,8.50,22.00,0.60,NA,NA,NA,NA
1995-09-05,14.00,22.50,0.00,NA,NA,NA,NA
1995-09-06,11.00,21.00,19.00,NA,NA,NA,NA
1995-09-07,3.00,13.00,0.00,NA,NA,NA,NA
1995-09-08,1.50,16.00,0.00,NA,NA,NA,NA
1995-09-09,4.50,15.00,0.40,NA,NA,NA,NA
1995-09-10,1.00,14.00,0.00,NA,NA,NA,NA
1995-09-11,5.00,19.00,0.00,NA,NA,NA,NA
1995-09-12,8.00,21.00,0.00,NA,NA,NA,NA
1995-09-13,11.50,19.50,1.40,NA,NA,NA,NA
1995-09-14,6.50,12.00,0.00,NA,NA,NA,NA
1995-09-15,0.50,15.00,0.00,NA,NA,NA,NA
1995-09-16,8.00,16.50,20.40,NA,NA,NA,NA
