Daily data for a single station.
StationID:  , CA006055210
StationName:, "MISSISSAGI ONT HYDRO"
Lat&Long    , 46.433, -83.383
Elevation:  , -9999.000
Starts(YMD):,1970-08-11
Ends(YMD):  ,1997-04-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1970-08-11,NA,NA,0.00,NA,NA,NA,NA
1970-08-12,NA,NA,0.00,NA,NA,NA,NA
1970-08-13,NA,NA,0.00,NA,NA,NA,NA
1970-08-14,NA,NA,0.00,NA,NA,NA,NA
1970-08-15,NA,NA,0.50,NA,NA,NA,NA
1970-08-16,NA,NA,0.00,NA,NA,NA,NA
1970-08-17,NA,NA,0.00,NA,NA,NA,NA
1970-08-18,NA,NA,3.60,NA,NA,NA,NA
1970-08-19,NA,NA,22.60,NA,NA,NA,NA
1970-08-20,NA,NA,0.00,NA,NA,NA,NA
1970-08-21,NA,NA,0.00,NA,NA,NA,NA
1970-08-22,NA,NA,5.10,NA,NA,NA,NA
1970-08-23,NA,NA,1.50,NA,NA,NA,NA
1970-08-24,NA,NA,0.00,NA,NA,NA,NA
1970-08-25,NA,NA,0.00,NA,NA,NA,NA
1970-08-26,NA,NA,0.00,NA,NA,NA,NA
1970-08-27,NA,NA,6.40,NA,NA,NA,NA
1970-08-28,NA,NA,0.00,NA,NA,NA,NA
1970-08-29,NA,NA,1.30,NA,NA,NA,NA
1970-08-30,NA,NA,2.80,NA,NA,NA,NA
1970-08-31,NA,NA,0.00,NA,NA,NA,NA
1970-09-01,NA,NA,0.00,NA,NA,NA,NA
1970-09-02,NA,NA,30.20,NA,NA,NA,NA
1970-09-03,NA,NA,19.30,NA,NA,NA,NA
1970-09-04,NA,NA,0.00,NA,NA,NA,NA
1970-09-05,NA,NA,0.00,NA,NA,NA,NA
1970-09-06,NA,NA,0.00,NA,NA,NA,NA
1970-09-07,NA,NA,9.90,NA,NA,NA,NA
1970-09-08,NA,NA,0.00,NA,NA,NA,NA
1970-09-09,NA,NA,1.50,NA,NA,NA,NA
1970-09-10,NA,NA,5.30,NA,NA,NA,NA
1970-09-11,NA,NA,0.00,NA,NA,NA,NA
1970-09-12,NA,NA,12.20,NA,NA,NA,NA
1970-09-13,NA,NA,0.00,NA,NA,NA,NA
1970-09-14,NA,NA,0.00,NA,NA,NA,NA
1970-09-15,NA,NA,8.40,NA,NA,NA,NA
1970-09-16,NA,NA,0.00,NA,NA,NA,NA
1970-09-17,NA,NA,5.10,NA,NA,NA,NA
1970-09-18,NA,NA,0.00,NA,NA,NA,NA
1970-09-19,NA,NA,0.00,NA,NA,NA,NA
1970-09-20,NA,NA,17.80,NA,NA,NA,NA
1970-09-21,NA,NA,30.50,NA,NA,NA,NA
1970-09-22,NA,NA,0.00,NA,NA,NA,NA
1970-09-23,NA,NA,15.20,NA,NA,NA,NA
1970-09-24,NA,NA,29.50,NA,NA,NA,NA
1970-09-25,NA,NA,0.30,NA,NA,NA,NA
1970-09-26,NA,NA,5.80,NA,NA,NA,NA
1970-09-27,NA,NA,1.30,NA,NA,NA,NA
1970-09-28,NA,NA,0.00,NA,NA,NA,NA
1970-09-29,NA,NA,3.00,NA,NA,NA,NA
1970-09-30,NA,NA,0.00,NA,NA,NA,NA
1970-10-01,NA,NA,8.40,NA,NA,NA,NA
1970-10-02,NA,NA,3.80,NA,NA,NA,NA
1970-10-03,NA,NA,1.50,NA,NA,NA,NA
1970-10-04,NA,NA,0.30,NA,NA,NA,NA
1970-10-05,NA,NA,0.00,NA,NA,NA,NA
1970-10-06,NA,NA,0.00,NA,NA,NA,NA
1970-10-07,NA,NA,0.00,NA,NA,NA,NA
1970-10-08,NA,NA,0.00,NA,NA,NA,NA
1970-10-09,NA,NA,38.10,NA,NA,NA,NA
1970-10-10,NA,NA,0.00,NA,NA,NA,NA
1970-10-11,NA,NA,0.00,NA,NA,NA,NA
1970-10-12,NA,NA,2.50,NA,NA,NA,NA
1970-10-13,NA,NA,0.00,NA,NA,NA,NA
1970-10-14,NA,NA,0.00,NA,NA,NA,NA
1970-10-15,NA,NA,1.50,NA,NA,NA,NA
1970-10-16,NA,NA,0.00,NA,NA,NA,NA
1970-10-17,NA,NA,0.00,NA,NA,NA,NA
1970-10-18,NA,NA,0.00,NA,NA,NA,NA
1970-10-19,NA,NA,0.00,NA,NA,NA,NA
1970-10-20,NA,NA,3.30,NA,NA,NA,NA
1970-10-21,NA,NA,9.10,NA,NA,NA,NA
1970-10-22,NA,NA,0.00,NA,NA,NA,NA
1970-10-23,NA,NA,0.00,NA,NA,NA,NA
1970-10-24,NA,NA,0.00,NA,NA,NA,NA
