Daily data for a single station.
StationID:  , CA006097426
StationName:, "SANDFIELD"
Lat&Long    , 45.683, -81.983
Elevation:  , -9999.000
Starts(YMD):,1998-04-03
Ends(YMD):  ,2018-05-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1998-04-03,NA,NA,0.00,NA,NA,NA,NA
1998-04-04,NA,NA,0.00,NA,NA,NA,NA
1998-04-05,NA,NA,0.00,NA,NA,NA,NA
1998-04-06,NA,NA,0.00,NA,NA,NA,NA
1998-04-07,NA,NA,0.00,NA,NA,NA,NA
1998-04-08,NA,13.00,0.00,NA,NA,NA,NA
1998-04-09,-0.50,12.50,0.00,NA,NA,NA,NA
1998-04-10,-1.00,10.00,0.00,NA,NA,NA,NA
1998-04-11,-6.50,12.50,0.00,NA,NA,NA,NA
1998-04-12,-2.00,16.00,0.00,NA,NA,NA,NA
1998-04-13,8.50,19.00,0.00,NA,NA,NA,NA
1998-04-14,7.50,12.00,5.60,NA,NA,NA,NA
1998-04-15,4.00,12.50,0.00,NA,NA,NA,NA
1998-04-16,1.00,11.50,13.40,NA,NA,NA,NA
1998-04-17,1.00,6.50,0.20,NA,NA,NA,NA
1998-04-18,1.00,14.50,0.00,NA,NA,NA,NA
1998-04-19,-2.50,14.50,0.00,NA,NA,NA,NA
1998-04-20,0.00,15.00,0.00,NA,NA,NA,NA
1998-04-21,-3.00,16.50,0.00,NA,NA,NA,NA
1998-04-22,-1.50,18.00,0.00,NA,NA,NA,NA
1998-04-23,-1.00,20.50,0.00,NA,NA,NA,NA
1998-04-24,3.50,15.00,0.00,NA,NA,NA,NA
1998-04-25,0.00,8.50,0.00,NA,NA,NA,NA
1998-04-26,-4.50,10.00,0.00,NA,NA,NA,NA
1998-04-27,-1.00,12.00,0.00,NA,NA,NA,NA
1998-04-28,-4.00,15.50,0.00,NA,NA,NA,NA
1998-04-29,-2.00,17.00,0.00,NA,NA,NA,NA
1998-04-30,-0.50,18.50,0.00,NA,NA,NA,NA
1998-05-01,3.00,18.50,5.40,NA,NA,NA,NA
1998-05-02,9.00,17.00,1.00,NA,NA,NA,NA
1998-05-03,5.50,20.00,0.00,NA,NA,NA,NA
1998-05-04,8.00,22.00,0.00,NA,NA,NA,NA
1998-05-05,8.50,17.50,0.40,NA,NA,NA,NA
1998-05-06,9.00,20.50,0.00,NA,NA,NA,NA
1998-05-07,8.00,24.00,0.00,NA,NA,NA,NA
1998-05-08,11.00,20.00,0.00,NA,NA,NA,NA
1998-05-09,7.50,18.00,0.00,NA,NA,NA,NA
1998-05-10,10.00,21.50,1.40,NA,NA,NA,NA
1998-05-11,11.00,15.50,5.60,NA,NA,NA,NA
1998-05-12,10.00,14.00,0.20,NA,NA,NA,NA
1998-05-13,10.50,16.50,2.20,NA,NA,NA,NA
1998-05-14,7.00,23.50,0.00,NA,NA,NA,NA
1998-05-15,6.50,25.50,0.00,NA,NA,NA,NA
1998-05-16,15.50,23.00,0.00,NA,NA,NA,NA
1998-05-17,7.50,23.00,0.00,NA,NA,NA,NA
1998-05-18,10.50,24.50,17.00,NA,NA,NA,NA
1998-05-19,14.50,24.50,0.00,NA,NA,NA,NA
1998-05-20,9.00,22.00,0.00,NA,NA,NA,NA
1998-05-21,7.00,14.00,0.00,NA,NA,NA,NA
1998-05-22,4.00,18.50,0.00,NA,NA,NA,NA
1998-05-23,3.00,22.00,0.00,NA,NA,NA,NA
1998-05-24,3.00,23.50,0.00,NA,NA,NA,NA
1998-05-25,7.00,23.00,0.00,NA,NA,NA,NA
1998-05-26,8.50,17.00,0.00,NA,NA,NA,NA
1998-05-27,1.50,20.00,0.00,NA,NA,NA,NA
1998-05-28,7.00,22.50,0.00,NA,NA,NA,NA
1998-05-29,11.00,23.50,0.00,NA,NA,NA,NA
1998-05-30,5.50,16.00,25.60,NA,NA,NA,NA
1998-05-31,8.00,16.50,1.20,NA,NA,NA,NA
1998-06-01,0.00,12.50,0.00,NA,NA,NA,NA
1998-06-02,6.00,13.00,13.00,NA,NA,NA,NA
1998-06-03,2.50,13.00,0.00,NA,NA,NA,NA
1998-06-04,1.00,14.00,0.00,NA,NA,NA,NA
1998-06-05,0.50,15.00,0.00,NA,NA,NA,NA
1998-06-06,3.00,12.50,0.00,NA,NA,NA,NA
1998-06-07,5.00,14.50,0.00,NA,NA,NA,NA
1998-06-08,8.00,18.00,0.00,NA,NA,NA,NA
1998-06-09,3.00,22.00,0.00,NA,NA,NA,NA
1998-06-10,6.00,22.50,0.00,NA,NA,NA,NA
1998-06-11,9.50,18.00,20.60,NA,NA,NA,NA
1998-06-12,13.50,19.50,0.00,NA,NA,NA,NA
1998-06-13,13.00,17.50,3.40,NA,NA,NA,NA
1998-06-14,13.50,24.00,0.00,NA,NA,NA,NA
1998-06-15,11.00,23.00,7.40,NA,NA,NA,NA
1998-06-16,15.50,22.00,0.40,NA,NA,NA,NA
1998-06-17,15.50,23.50,0.00,NA,NA,NA,NA
1998-06-18,15.00,24.50,0.00,NA,NA,NA,NA
1998-06-19,12.00,25.00,0.00,NA,NA,NA,NA
1998-06-20,13.50,25.50,0.00,NA,NA,NA,NA
1998-06-21,12.50,27.00,0.00,NA,NA,NA,NA
1998-06-22,15.50,26.00,0.00,NA,NA,NA,NA
1998-06-23,12.00,26.50,0.00,NA,NA,NA,NA
1998-06-24,11.00,26.00,6.60,NA,NA,NA,NA
1998-06-25,16.00,27.00,25.20,NA,NA,NA,NA
1998-06-26,17.50,26.00,0.20,NA,NA,NA,NA
1998-06-27,15.00,27.00,0.00,NA,NA,NA,NA
1998-06-28,14.50,26.00,1.00,NA,NA,NA,NA
1998-06-29,14.50,27.00,1.60,NA,NA,NA,NA
1998-06-30,15.00,24.00,0.20,NA,NA,NA,NA
1998-07-01,14.50,24.50,0.00,NA,NA,NA,NA
1998-07-02,12.00,25.00,0.00,NA,NA,NA,NA
1998-07-03,8.50,25.50,6.20,NA,NA,NA,NA
1998-07-04,15.00,23.50,0.00,NA,NA,NA,NA
1998-07-05,8.50,23.00,0.00,NA,NA,NA,NA
1998-07-06,10.00,19.00,1.80,NA,NA,NA,NA
1998-07-07,12.50,25.00,0.00,NA,NA,NA,NA
1998-07-08,15.50,26.50,0.00,NA,NA,NA,NA
1998-07-09,12.50,27.00,0.40,NA,NA,NA,NA
1998-07-10,14.00,23.50,0.00,NA,NA,NA,NA
