Daily data for a single station.
StationID:  , CA006102857
StationName:, "GODFREY"
Lat&Long    , 44.567, -76.633
Elevation:  , -9999.000
Starts(YMD):,1981-06-01
Ends(YMD):  ,2003-05-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1981-06-01,NA,NA,0.00,NA,NA,NA,NA
1981-06-02,NA,NA,0.00,NA,NA,NA,NA
1981-06-03,NA,NA,0.00,NA,NA,NA,NA
1981-06-04,NA,NA,0.00,NA,NA,NA,NA
1981-06-05,NA,NA,0.00,NA,NA,NA,NA
1981-06-06,NA,NA,0.00,NA,NA,NA,NA
1981-06-07,NA,NA,0.00,NA,NA,NA,NA
1981-06-08,NA,NA,0.00,NA,NA,NA,NA
1981-06-09,NA,NA,0.00,NA,NA,NA,NA
1981-06-10,NA,NA,0.00,NA,NA,NA,NA
1981-06-11,NA,NA,0.00,NA,NA,NA,NA
1981-06-12,NA,NA,0.00,NA,NA,NA,NA
1981-06-13,NA,NA,0.00,NA,NA,NA,NA
1981-06-14,NA,NA,0.00,NA,NA,NA,NA
1981-06-15,NA,NA,0.00,NA,NA,NA,NA
1981-06-16,NA,NA,0.00,NA,NA,NA,NA
1981-06-17,NA,NA,0.00,NA,NA,NA,NA
1981-06-18,NA,NA,0.00,NA,NA,NA,NA
1981-06-19,NA,NA,0.00,NA,NA,NA,NA
1981-06-20,NA,NA,0.00,NA,NA,NA,NA
1981-06-21,NA,NA,0.00,NA,NA,NA,NA
1981-06-22,NA,NA,0.00,NA,NA,NA,NA
1981-06-23,NA,NA,0.00,NA,NA,NA,NA
1981-06-24,NA,NA,0.00,NA,NA,NA,NA
1981-06-25,NA,NA,3.80,NA,NA,NA,NA
1981-06-26,NA,NA,2.00,NA,NA,NA,NA
1981-06-27,NA,NA,0.00,NA,NA,NA,NA
1981-06-28,NA,NA,0.00,NA,NA,NA,NA
1981-06-29,NA,NA,0.00,NA,NA,NA,NA
1981-06-30,NA,NA,9.70,NA,NA,NA,NA
1981-07-01,NA,NA,0.40,NA,NA,NA,NA
1981-07-02,NA,NA,1.00,NA,NA,NA,NA
1981-07-03,NA,NA,0.00,NA,NA,NA,NA
1981-07-04,NA,NA,12.80,NA,NA,NA,NA
1981-07-05,NA,NA,0.00,NA,NA,NA,NA
1981-07-06,NA,NA,0.00,NA,NA,NA,NA
1981-07-07,NA,NA,0.00,NA,NA,NA,NA
1981-07-08,NA,NA,0.00,NA,NA,NA,NA
1981-07-09,NA,NA,0.00,NA,NA,NA,NA
1981-07-10,NA,NA,0.00,NA,NA,NA,NA
1981-07-11,NA,NA,0.00,NA,NA,NA,NA
1981-07-12,NA,NA,0.00,NA,NA,NA,NA
1981-07-13,NA,NA,17.00,NA,NA,NA,NA
1981-07-14,NA,NA,0.00,NA,NA,NA,NA
1981-07-15,NA,NA,0.00,NA,NA,NA,NA
1981-07-16,NA,NA,0.00,NA,NA,NA,NA
1981-07-17,NA,NA,14.20,NA,NA,NA,NA
1981-07-18,NA,NA,0.00,NA,NA,NA,NA
1981-07-19,NA,NA,23.20,NA,NA,NA,NA
1981-07-20,NA,NA,17.00,NA,NA,NA,NA
1981-07-21,NA,NA,0.00,NA,NA,NA,NA
1981-07-22,NA,NA,0.00,NA,NA,NA,NA
1981-07-23,NA,NA,0.00,NA,NA,NA,NA
1981-07-24,NA,NA,0.00,NA,NA,NA,NA
1981-07-25,NA,NA,0.00,NA,NA,NA,NA
1981-07-26,NA,NA,1.60,NA,NA,NA,NA
1981-07-27,NA,NA,0.00,NA,NA,NA,NA
1981-07-28,NA,NA,19.00,NA,NA,NA,NA
1981-07-29,NA,NA,0.20,NA,NA,NA,NA
1981-07-30,NA,NA,0.00,NA,NA,NA,NA
1981-07-31,NA,NA,0.00,NA,NA,NA,NA
1981-08-01,NA,NA,0.00,NA,NA,NA,NA
1981-08-02,NA,NA,0.00,NA,NA,NA,NA
1981-08-03,NA,NA,0.00,NA,NA,NA,NA
1981-08-04,NA,NA,12.80,NA,NA,NA,NA
1981-08-05,NA,NA,0.20,NA,NA,NA,NA
1981-08-06,NA,NA,0.00,NA,NA,NA,NA
1981-08-07,NA,NA,0.60,NA,NA,NA,NA
1981-08-08,NA,NA,1.60,NA,NA,NA,NA
1981-08-09,NA,NA,3.60,NA,NA,NA,NA
1981-08-10,NA,NA,2.00,NA,NA,NA,NA
1981-08-11,NA,NA,12.40,NA,NA,NA,NA
1981-08-12,NA,NA,0.00,NA,NA,NA,NA
1981-08-13,NA,NA,0.00,NA,NA,NA,NA
1981-08-14,NA,NA,21.60,NA,NA,NA,NA
1981-08-15,NA,NA,35.40,NA,NA,NA,NA
1981-08-16,NA,NA,0.80,NA,NA,NA,NA
1981-08-17,NA,NA,0.00,NA,NA,NA,NA
1981-08-18,NA,NA,0.00,NA,NA,NA,NA
1981-08-19,NA,NA,0.00,NA,NA,NA,NA
1981-08-20,NA,NA,0.00,NA,NA,NA,NA
1981-08-21,NA,NA,0.00,NA,NA,NA,NA
1981-08-22,NA,NA,0.00,NA,NA,NA,NA
1981-08-23,NA,NA,0.40,NA,NA,NA,NA
1981-08-24,NA,NA,0.40,NA,NA,NA,NA
1981-08-25,NA,NA,0.00,NA,NA,NA,NA
1981-08-26,NA,NA,0.00,NA,NA,NA,NA
1981-08-27,NA,NA,1.00,NA,NA,NA,NA
1981-08-28,NA,NA,2.40,NA,NA,NA,NA
1981-08-29,NA,NA,0.00,NA,NA,NA,NA
1981-08-30,NA,NA,19.40,NA,NA,NA,NA
1981-08-31,NA,NA,4.00,NA,NA,NA,NA
1981-09-01,NA,NA,10.20,NA,NA,NA,NA
1981-09-02,NA,NA,7.20,NA,NA,NA,NA
1981-09-03,NA,NA,3.00,NA,NA,NA,NA
1981-09-04,NA,NA,34.60,NA,NA,NA,NA
1981-09-05,NA,NA,7.00,NA,NA,NA,NA
1981-09-06,NA,NA,0.20,NA,NA,NA,NA
1981-09-07,NA,NA,9.20,NA,NA,NA,NA
1981-09-08,NA,NA,35.00,NA,NA,NA,NA
1981-09-09,NA,NA,NA,NA,NA,NA,NA
1981-09-10,NA,NA,NA,NA,NA,NA,NA
1981-09-11,NA,NA,0.80,NA,NA,NA,NA
1981-09-12,NA,NA,0.00,NA,NA,NA,NA
1981-09-13,NA,NA,0.00,NA,NA,NA,NA
1981-09-14,NA,NA,0.00,NA,NA,NA,NA
1981-09-15,NA,NA,0.00,NA,NA,NA,NA
1981-09-16,NA,NA,0.00,NA,NA,NA,NA
1981-09-17,NA,NA,7.00,NA,NA,NA,NA
1981-09-18,NA,NA,0.00,NA,NA,NA,NA
1981-09-19,NA,NA,2.60,NA,NA,NA,NA
1981-09-20,NA,NA,0.00,NA,NA,NA,NA
1981-09-21,NA,NA,4.60,NA,NA,NA,NA
1981-09-22,NA,NA,2.60,NA,NA,NA,NA
1981-09-23,NA,NA,0.80,NA,NA,NA,NA
1981-09-24,NA,NA,0.00,NA,NA,NA,NA
1981-09-25,NA,NA,0.00,NA,NA,NA,NA
1981-09-26,NA,NA,18.20,NA,NA,NA,NA
1981-09-27,NA,NA,0.00,NA,NA,NA,NA
1981-09-28,NA,NA,0.00,NA,NA,NA,NA
1981-09-29,NA,NA,0.00,NA,NA,NA,NA
1981-09-30,NA,NA,0.00,NA,NA,NA,NA
1981-10-01,NA,NA,4.80,NA,NA,NA,NA
1981-10-02,NA,NA,1.40,NA,NA,NA,NA
1981-10-03,NA,NA,0.00,NA,NA,NA,NA
1981-10-04,NA,NA,1.80,NA,NA,NA,NA
1981-10-05,NA,NA,0.20,NA,NA,NA,NA
1981-10-06,NA,NA,9.60,NA,NA,NA,NA
1981-10-07,NA,NA,1.70,NA,NA,NA,NA
1981-10-08,NA,NA,0.00,NA,NA,NA,NA
1981-10-09,NA,NA,0.00,NA,NA,NA,NA
1981-10-10,NA,NA,0.00,NA,NA,NA,NA
1981-10-11,NA,NA,0.00,NA,NA,NA,NA
1981-10-12,NA,NA,0.00,NA,NA,NA,NA
1981-10-13,NA,NA,0.00,NA,NA,NA,NA
1981-10-14,NA,NA,0.00,NA,NA,NA,NA
1981-10-15,NA,NA,0.80,NA,NA,NA,NA
1981-10-16,NA,NA,0.00,NA,NA,NA,NA
1981-10-17,NA,NA,0.60,NA,NA,NA,NA
1981-10-18,NA,NA,12.40,NA,NA,NA,NA
1981-10-19,NA,NA,0.80,NA,NA,NA,NA
1981-10-20,NA,NA,0.60,NA,NA,NA,NA
1981-10-21,NA,NA,8.60,NA,NA,NA,NA
1981-10-22,NA,NA,14.60,NA,NA,NA,NA
1981-10-23,NA,NA,0.00,NA,NA,NA,NA
1981-10-24,NA,NA,0.00,NA,NA,NA,NA
1981-10-25,NA,NA,1.00,NA,NA,NA,NA
1981-10-26,NA,NA,10.80,NA,NA,NA,NA
1981-10-27,NA,NA,28.40,NA,NA,NA,NA
1981-10-28,NA,NA,0.20,NA,NA,NA,NA
1981-10-29,NA,NA,0.00,NA,NA,NA,NA
1981-10-30,NA,NA,0.00,NA,NA,NA,NA
1981-10-31,NA,NA,0.00,NA,NA,NA,NA
1981-11-01,NA,NA,0.00,NA,NA,NA,NA
1981-11-02,NA,NA,0.00,NA,NA,NA,NA
1981-11-03,NA,NA,0.00,NA,NA,NA,NA
1981-11-04,NA,NA,0.00,NA,NA,NA,NA
1981-11-05,NA,NA,9.60,NA,NA,NA,NA
1981-11-06,NA,NA,10.20,NA,NA,NA,NA
1981-11-07,NA,NA,4.00,NA,NA,NA,NA
1981-11-08,NA,NA,0.40,NA,NA,NA,NA
1981-11-09,NA,NA,0.00,NA,NA,NA,NA
1981-11-10,NA,NA,1.40,NA,NA,NA,NA
1981-11-11,NA,NA,0.00,NA,NA,NA,NA
1981-11-12,NA,NA,0.00,NA,NA,NA,NA
1981-11-13,NA,NA,0.00,NA,NA,NA,NA
1981-11-14,NA,NA,0.00,NA,NA,NA,NA
1981-11-15,NA,NA,0.60,NA,NA,NA,NA
1981-11-16,NA,NA,4.80,NA,NA,NA,NA
1981-11-17,NA,NA,1.60,NA,NA,NA,NA
1981-11-18,NA,NA,0.40,NA,NA,NA,NA
1981-11-19,NA,NA,3.20,NA,NA,NA,NA
1981-11-20,NA,NA,5.00,NA,NA,NA,NA
1981-11-21,NA,NA,2.60,NA,NA,NA,NA
1981-11-22,NA,NA,0.00,NA,NA,NA,NA
1981-11-23,NA,NA,0.00,NA,NA,NA,NA
1981-11-24,NA,NA,0.00,NA,NA,NA,NA
1981-11-25,NA,NA,0.00,NA,NA,NA,NA
1981-11-26,NA,NA,10.40,NA,NA,NA,NA
1981-11-27,NA,NA,0.20,NA,NA,NA,NA
1981-11-28,NA,NA,0.00,NA,NA,NA,NA
1981-11-29,NA,NA,0.00,NA,NA,NA,NA
1981-11-30,NA,NA,0.00,NA,NA,NA,NA
1981-12-01,NA,NA,1.40,NA,NA,NA,NA
1981-12-02,NA,NA,0.20,NA,NA,NA,NA
1981-12-03,NA,NA,0.00,NA,NA,NA,NA
1981-12-04,NA,NA,0.00,NA,NA,NA,NA
1981-12-05,NA,NA,0.00,NA,NA,NA,NA
1981-12-06,NA,NA,0.00,NA,NA,NA,NA
1981-12-07,NA,NA,4.00,NA,NA,NA,NA
1981-12-08,NA,NA,0.80,NA,NA,NA,NA
1981-12-09,NA,NA,1.00,NA,NA,NA,NA
1981-12-10,NA,NA,3.00,NA,NA,NA,NA
1981-12-11,NA,NA,1.00,NA,NA,NA,NA
1981-12-12,NA,NA,0.00,NA,NA,NA,NA
1981-12-13,NA,NA,0.00,NA,NA,NA,NA
1981-12-14,NA,NA,1.00,NA,NA,NA,NA
1981-12-15,NA,NA,0.00,NA,NA,NA,NA
1981-12-16,NA,NA,0.00,NA,NA,NA,NA
1981-12-17,NA,NA,0.00,NA,NA,NA,NA
1981-12-18,NA,NA,0.00,NA,NA,NA,NA
1981-12-19,NA,NA,0.20,NA,NA,NA,NA
1981-12-20,NA,NA,0.00,NA,NA,NA,NA
1981-12-21,NA,NA,6.00,NA,NA,NA,NA
