Daily data for a single station.
StationID:  , CA006113329
StationName:, "HANOVER"
Lat&Long    , 44.117, -81.000
Elevation:  , -9999.000
Starts(YMD):,1972-01-12
Ends(YMD):  ,2006-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1972-01-12,-1.10,5.60,1.00,NA,NA,NA,NA
1972-01-13,-5.60,1.70,14.00,NA,NA,NA,NA
1972-01-14,-15.60,-6.70,6.60,NA,NA,NA,NA
1972-01-15,-19.40,-16.10,6.10,NA,NA,NA,NA
1972-01-16,-25.00,-12.80,1.50,NA,NA,NA,NA
1972-01-17,-17.20,0.00,0.00,NA,NA,NA,NA
1972-01-18,-6.10,5.00,8.60,NA,NA,NA,NA
1972-01-19,-5.60,-1.70,0.00,NA,NA,NA,NA
1972-01-20,-5.60,-1.70,5.10,NA,NA,NA,NA
1972-01-21,-13.90,1.10,0.00,NA,NA,NA,NA
1972-01-22,-10.00,6.10,7.40,NA,NA,NA,NA
1972-01-23,-3.90,-1.10,0.00,NA,NA,NA,NA
1972-01-24,-4.40,-1.10,2.50,NA,NA,NA,NA
1972-01-25,-12.80,-9.40,7.10,NA,NA,NA,NA
1972-01-26,-15.60,-10.60,5.10,NA,NA,NA,NA
1972-01-27,-13.30,-8.30,6.60,NA,NA,NA,NA
1972-01-28,-12.20,-7.20,2.50,NA,NA,NA,NA
1972-01-29,-17.20,NA,3.00,NA,NA,NA,NA
1972-01-30,-12.20,-7.80,3.80,NA,NA,NA,NA
1972-01-31,-13.90,-7.20,0.00,NA,NA,NA,NA
1972-02-01,-12.20,-5.00,0.00,NA,NA,NA,NA
1972-02-02,-12.80,-0.60,8.60,NA,NA,NA,NA
1972-02-03,-4.40,1.70,8.10,NA,NA,NA,NA
1972-02-04,-11.10,-7.80,20.10,NA,NA,NA,NA
1972-02-05,-14.40,-10.60,7.60,NA,NA,NA,NA
1972-02-06,-13.30,-8.30,2.00,NA,NA,NA,NA
1972-02-07,-21.10,-12.20,8.90,NA,NA,NA,NA
1972-02-08,-15.60,-10.00,0.00,NA,NA,NA,NA
1972-02-09,-14.40,-5.60,2.30,NA,NA,NA,NA
1972-02-10,-21.10,-4.40,5.30,NA,NA,NA,NA
1972-02-11,-21.10,-3.90,0.00,NA,NA,NA,NA
1972-02-12,-12.80,3.30,0.00,NA,NA,NA,NA
1972-02-13,-2.80,2.80,9.10,NA,NA,NA,NA
1972-02-14,-2.20,1.70,4.10,NA,NA,NA,NA
1972-02-15,-1.70,2.80,8.10,NA,NA,NA,NA
1972-02-16,-12.80,-5.60,0.00,NA,NA,NA,NA
1972-02-17,-20.60,0.00,0.00,NA,NA,NA,NA
1972-02-18,-5.60,2.20,2.00,NA,NA,NA,NA
1972-02-19,-11.10,-3.90,8.90,NA,NA,NA,NA
1972-02-20,-22.80,-6.70,3.60,NA,NA,NA,NA
1972-02-21,-21.10,2.80,7.90,NA,NA,NA,NA
1972-02-22,-18.90,-13.90,0.00,NA,NA,NA,NA
1972-02-23,-18.30,-8.30,5.30,NA,NA,NA,NA
1972-02-24,-8.90,-3.90,0.00,NA,NA,NA,NA
1972-02-25,-26.10,-3.90,2.00,NA,NA,NA,NA
1972-02-26,-10.00,-3.90,0.00,NA,NA,NA,NA
1972-02-27,-15.00,-0.60,8.60,NA,NA,NA,NA
1972-02-28,-5.00,-0.60,6.40,NA,NA,NA,NA
1972-02-29,-5.00,7.20,1.00,NA,NA,NA,NA
1972-03-01,-1.70,0.60,6.10,NA,NA,NA,NA
1972-03-02,-14.40,-9.40,2.00,NA,NA,NA,NA
1972-03-03,-21.10,-11.10,0.00,NA,NA,NA,NA
1972-03-04,-21.10,-5.00,6.40,NA,NA,NA,NA
1972-03-05,-11.10,-7.80,13.00,NA,NA,NA,NA
1972-03-06,-16.70,4.40,18.80,NA,NA,NA,NA
1972-03-07,-9.40,6.10,0.00,NA,NA,NA,NA
1972-03-08,-12.20,-8.30,9.10,NA,NA,NA,NA
1972-03-09,-18.90,-7.20,1.80,NA,NA,NA,NA
1972-03-10,-25.00,-6.10,0.00,NA,NA,NA,NA
1972-03-11,-17.20,2.20,0.00,NA,NA,NA,NA
1972-03-12,-7.80,4.40,0.00,NA,NA,NA,NA
1972-03-13,-5.00,0.00,13.00,NA,NA,NA,NA
1972-03-14,-2.20,2.20,0.00,NA,NA,NA,NA
1972-03-15,-0.60,2.80,2.50,NA,NA,NA,NA
1972-03-16,-1.10,2.20,0.00,NA,NA,NA,NA
1972-03-17,-0.60,0.60,0.00,NA,NA,NA,NA
1972-03-18,-11.10,-5.60,0.00,NA,NA,NA,NA
1972-03-19,-17.20,-1.70,0.00,NA,NA,NA,NA
1972-03-20,-5.60,5.60,0.00,NA,NA,NA,NA
1972-03-21,-1.10,6.10,10.90,NA,NA,NA,NA
1972-03-22,-1.70,3.90,7.60,NA,NA,NA,NA
1972-03-23,-7.80,-6.10,6.60,NA,NA,NA,NA
1972-03-24,-11.10,-6.70,0.00,NA,NA,NA,NA
1972-03-25,-20.00,-5.00,0.00,NA,NA,NA,NA
1972-03-26,-19.40,-3.30,0.00,NA,NA,NA,NA
1972-03-27,-12.20,-3.30,0.00,NA,NA,NA,NA
1972-03-28,-13.30,-0.60,0.00,NA,NA,NA,NA
1972-03-29,-14.40,5.00,0.00,NA,NA,NA,NA
1972-03-30,-0.60,2.80,0.00,NA,NA,NA,NA
1972-03-31,-11.70,3.30,0.00,NA,NA,NA,NA
1972-04-01,-2.80,4.40,4.60,NA,NA,NA,NA
1972-04-02,-2.80,0.60,5.30,NA,NA,NA,NA
1972-04-03,-7.20,2.80,3.00,NA,NA,NA,NA
1972-04-04,-4.40,-2.20,1.50,NA,NA,NA,NA
1972-04-05,-7.80,-1.70,0.00,NA,NA,NA,NA
1972-04-06,-7.20,-5.60,12.20,NA,NA,NA,NA
1972-04-07,-25.60,-6.70,0.00,NA,NA,NA,NA
1972-04-08,-20.00,-6.10,0.00,NA,NA,NA,NA
1972-04-09,-17.20,0.60,0.00,NA,NA,NA,NA
1972-04-10,-4.40,6.70,3.80,NA,NA,NA,NA
1972-04-11,-3.30,7.80,0.00,NA,NA,NA,NA
1972-04-12,-1.10,9.40,11.40,NA,NA,NA,NA
1972-04-13,2.20,6.70,0.00,NA,NA,NA,NA
1972-04-14,0.00,9.40,1.50,NA,NA,NA,NA
1972-04-15,1.70,8.90,0.00,NA,NA,NA,NA
1972-04-16,-1.70,8.30,0.00,NA,NA,NA,NA
1972-04-17,-1.70,8.90,0.00,NA,NA,NA,NA
1972-04-18,0.00,20.00,0.00,NA,NA,NA,NA
1972-04-19,2.20,8.90,0.50,NA,NA,NA,NA
1972-04-20,2.80,10.60,0.00,NA,NA,NA,NA
1972-04-21,-3.90,11.10,0.00,NA,NA,NA,NA
1972-04-22,2.20,6.10,4.10,NA,NA,NA,NA
1972-04-23,2.80,5.60,0.00,NA,NA,NA,NA
1972-04-24,0.60,5.00,0.00,NA,NA,NA,NA
1972-04-25,-3.90,7.20,0.00,NA,NA,NA,NA
1972-04-26,-4.40,10.60,0.00,NA,NA,NA,NA
1972-04-27,-5.00,11.10,0.00,NA,NA,NA,NA
1972-04-28,-3.30,16.70,0.00,NA,NA,NA,NA
1972-04-29,-2.20,18.30,0.00,NA,NA,NA,NA
1972-04-30,1.70,16.10,0.00,NA,NA,NA,NA
1972-05-01,1.70,19.40,6.60,NA,NA,NA,NA
1972-05-02,12.20,20.60,11.70,NA,NA,NA,NA
1972-05-03,8.30,10.60,0.00,NA,NA,NA,NA
1972-05-04,2.20,5.60,0.00,NA,NA,NA,NA
1972-05-05,-1.10,5.00,0.00,NA,NA,NA,NA
1972-05-06,8.90,15.60,17.80,NA,NA,NA,NA
1972-05-07,0.00,11.10,0.00,NA,NA,NA,NA
1972-05-08,0.60,15.00,0.00,NA,NA,NA,NA
1972-05-09,3.30,12.80,0.00,NA,NA,NA,NA
