Daily data for a single station.
StationID:  , CA006115820
StationName:, "ORILLIA TS"
Lat&Long    , 44.617, -79.417
Elevation:  , -9999.000
Starts(YMD):,1965-02-11
Ends(YMD):  ,1993-08-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1965-02-11,NA,NA,3.00,NA,NA,NA,NA
1965-02-12,NA,NA,0.00,NA,NA,NA,NA
1965-02-13,NA,NA,0.00,NA,NA,NA,NA
1965-02-14,NA,NA,0.00,NA,NA,NA,NA
1965-02-15,NA,NA,0.00,NA,NA,NA,NA
1965-02-16,NA,NA,0.00,NA,NA,NA,NA
1965-02-17,NA,NA,2.30,NA,NA,NA,NA
1965-02-18,NA,NA,NA,NA,NA,NA,NA
1965-02-19,NA,NA,0.00,NA,NA,NA,NA
1965-02-20,NA,NA,0.00,NA,NA,NA,NA
1965-02-21,NA,NA,10.20,NA,NA,NA,NA
1965-02-22,NA,NA,5.10,NA,NA,NA,NA
1965-02-23,NA,NA,0.00,NA,NA,NA,NA
1965-02-24,NA,NA,13.20,NA,NA,NA,NA
1965-02-25,NA,NA,21.60,NA,NA,NA,NA
1965-02-26,NA,NA,1.00,NA,NA,NA,NA
1965-02-27,NA,NA,2.50,NA,NA,NA,NA
1965-02-28,NA,NA,0.00,NA,NA,NA,NA
1965-03-01,NA,NA,0.00,NA,NA,NA,NA
1965-03-02,NA,NA,0.00,NA,NA,NA,NA
1965-03-03,NA,NA,0.00,NA,NA,NA,NA
1965-03-04,NA,NA,0.00,NA,NA,NA,NA
1965-03-05,NA,NA,0.00,NA,NA,NA,NA
1965-03-06,NA,NA,0.00,NA,NA,NA,NA
1965-03-07,NA,NA,0.00,NA,NA,NA,NA
1965-03-08,NA,NA,0.00,NA,NA,NA,NA
1965-03-09,NA,NA,0.00,NA,NA,NA,NA
1965-03-10,NA,NA,0.00,NA,NA,NA,NA
1965-03-11,NA,NA,0.00,NA,NA,NA,NA
1965-03-12,NA,NA,0.00,NA,NA,NA,NA
1965-03-13,NA,NA,0.00,NA,NA,NA,NA
1965-03-14,NA,NA,2.50,NA,NA,NA,NA
1965-03-15,NA,NA,5.10,NA,NA,NA,NA
1965-03-16,NA,NA,0.00,NA,NA,NA,NA
1965-03-17,NA,NA,2.50,NA,NA,NA,NA
1965-03-18,NA,NA,0.00,NA,NA,NA,NA
1965-03-19,NA,NA,0.00,NA,NA,NA,NA
1965-03-20,NA,NA,0.50,NA,NA,NA,NA
1965-03-21,NA,NA,1.50,NA,NA,NA,NA
1965-03-22,NA,NA,0.50,NA,NA,NA,NA
1965-03-23,NA,NA,0.00,NA,NA,NA,NA
1965-03-24,NA,NA,0.00,NA,NA,NA,NA
1965-03-25,NA,NA,4.80,NA,NA,NA,NA
1965-03-26,NA,NA,5.80,NA,NA,NA,NA
1965-03-27,NA,NA,0.80,NA,NA,NA,NA
1965-03-28,NA,NA,0.80,NA,NA,NA,NA
1965-03-29,NA,NA,0.00,NA,NA,NA,NA
1965-03-30,NA,NA,0.00,NA,NA,NA,NA
1965-03-31,NA,NA,0.00,NA,NA,NA,NA
1965-04-01,NA,NA,0.00,NA,NA,NA,NA
1965-04-02,NA,NA,0.00,NA,NA,NA,NA
1965-04-03,NA,NA,0.00,NA,NA,NA,NA
1965-04-04,NA,NA,0.00,NA,NA,NA,NA
1965-04-05,NA,NA,0.00,NA,NA,NA,NA
1965-04-06,NA,NA,4.10,NA,NA,NA,NA
1965-04-07,NA,NA,1.00,NA,NA,NA,NA
1965-04-08,NA,NA,0.00,NA,NA,NA,NA
1965-04-09,NA,NA,0.00,NA,NA,NA,NA
1965-04-10,NA,NA,0.00,NA,NA,NA,NA
1965-04-11,NA,NA,15.20,NA,NA,NA,NA
1965-04-12,NA,NA,1.30,NA,NA,NA,NA
1965-04-13,NA,NA,0.00,NA,NA,NA,NA
1965-04-14,NA,NA,0.00,NA,NA,NA,NA
1965-04-15,NA,NA,7.90,NA,NA,NA,NA
1965-04-16,NA,NA,0.50,NA,NA,NA,NA
1965-04-17,NA,NA,1.00,NA,NA,NA,NA
1965-04-18,NA,NA,0.00,NA,NA,NA,NA
1965-04-19,NA,NA,0.00,NA,NA,NA,NA
1965-04-20,NA,NA,0.00,NA,NA,NA,NA
1965-04-21,NA,NA,7.60,NA,NA,NA,NA
1965-04-22,NA,NA,0.00,NA,NA,NA,NA
1965-04-23,NA,NA,0.00,NA,NA,NA,NA
1965-04-24,NA,NA,0.00,NA,NA,NA,NA
1965-04-25,NA,NA,7.90,NA,NA,NA,NA
1965-04-26,NA,NA,2.50,NA,NA,NA,NA
1965-04-27,NA,NA,0.00,NA,NA,NA,NA
1965-04-28,NA,NA,0.00,NA,NA,NA,NA
1965-04-29,NA,NA,0.00,NA,NA,NA,NA
1965-04-30,NA,NA,0.00,NA,NA,NA,NA
1965-05-01,NA,NA,0.00,NA,NA,NA,NA
1965-05-02,NA,NA,0.00,NA,NA,NA,NA
1965-05-03,NA,NA,0.00,NA,NA,NA,NA
1965-05-04,NA,NA,0.00,NA,NA,NA,NA
1965-05-05,NA,NA,0.00,NA,NA,NA,NA
1965-05-06,NA,NA,2.50,NA,NA,NA,NA
1965-05-07,NA,NA,0.00,NA,NA,NA,NA
1965-05-08,NA,NA,4.10,NA,NA,NA,NA
1965-05-09,NA,NA,3.60,NA,NA,NA,NA
1965-05-10,NA,NA,10.70,NA,NA,NA,NA
1965-05-11,NA,NA,0.00,NA,NA,NA,NA
1965-05-12,NA,NA,0.00,NA,NA,NA,NA
1965-05-13,NA,NA,0.00,NA,NA,NA,NA
1965-05-14,NA,NA,0.00,NA,NA,NA,NA
1965-05-15,NA,NA,0.00,NA,NA,NA,NA
1965-05-16,NA,NA,6.40,NA,NA,NA,NA
1965-05-17,NA,NA,0.00,NA,NA,NA,NA
1965-05-18,NA,NA,6.40,NA,NA,NA,NA
1965-05-19,NA,NA,0.00,NA,NA,NA,NA
1965-05-20,NA,NA,0.00,NA,NA,NA,NA
1965-05-21,NA,NA,0.30,NA,NA,NA,NA
1965-05-22,NA,NA,0.00,NA,NA,NA,NA
1965-05-23,NA,NA,0.00,NA,NA,NA,NA
1965-05-24,NA,NA,0.00,NA,NA,NA,NA
1965-05-25,NA,NA,0.00,NA,NA,NA,NA
1965-05-26,NA,NA,6.40,NA,NA,NA,NA
1965-05-27,NA,NA,0.00,NA,NA,NA,NA
