Daily data for a single station.
StationID:  , CA006116257
StationName:, "PARRY SOUND CCG"
Lat&Long    , 45.350, -80.050
Elevation:  , -9999.000
Starts(YMD):,2002-10-03
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2002-10-03,6.90,15.50,0.00,NA,NA,NA,NA
2002-10-04,10.70,23.80,14.10,NA,NA,NA,NA
2002-10-05,5.80,17.60,0.00,NA,NA,NA,NA
2002-10-06,3.40,15.80,2.50,NA,NA,NA,NA
2002-10-07,1.30,13.20,0.80,NA,NA,NA,NA
2002-10-08,-0.30,10.00,0.00,NA,NA,NA,NA
2002-10-09,5.40,15.10,2.70,NA,NA,NA,NA
2002-10-10,3.00,14.90,0.00,NA,NA,NA,NA
2002-10-11,5.40,17.40,0.00,NA,NA,NA,NA
2002-10-12,12.70,15.80,0.60,NA,NA,NA,NA
2002-10-13,0.70,14.60,6.50,NA,NA,NA,NA
2002-10-14,-1.00,8.70,1.00,NA,NA,NA,NA
2002-10-15,3.30,14.30,0.00,NA,NA,NA,NA
2002-10-16,2.50,8.30,0.00,NA,NA,NA,NA
2002-10-17,-0.30,5.40,0.00,NA,NA,NA,NA
2002-10-18,0.30,8.00,20.70,NA,NA,NA,NA
2002-10-19,3.20,10.50,14.50,NA,NA,NA,NA
2002-10-20,0.30,7.30,3.60,NA,NA,NA,NA
2002-10-21,-1.10,7.90,0.70,NA,NA,NA,NA
2002-10-22,-2.60,2.50,1.90,NA,NA,NA,NA
2002-10-23,-4.70,3.30,0.00,NA,NA,NA,NA
2002-10-24,-4.30,5.90,0.00,NA,NA,NA,NA
2002-10-25,-4.00,6.50,4.70,NA,NA,NA,NA
2002-10-26,1.00,4.30,4.30,NA,NA,NA,NA
2002-10-27,0.50,8.50,1.70,NA,NA,NA,NA
2002-10-28,-3.20,5.40,0.00,NA,NA,NA,NA
2002-10-29,-3.50,3.60,0.00,NA,NA,NA,NA
2002-10-30,-4.10,5.80,NA,NA,NA,NA,NA
2002-10-31,-1.50,3.30,2.00,NA,NA,NA,NA
2002-11-01,-3.90,3.00,2.10,NA,NA,NA,NA
2002-11-02,-4.70,2.80,1.60,NA,NA,NA,NA
2002-11-03,-5.80,1.30,0.00,NA,NA,NA,NA
2002-11-04,0.00,6.10,5.00,NA,NA,NA,NA
2002-11-05,-1.40,1.90,3.60,NA,NA,NA,NA
2002-11-06,-7.40,5.70,1.70,NA,NA,NA,NA
2002-11-07,-11.90,7.60,1.40,NA,NA,NA,NA
