Daily data for a single station.
StationID:  , CA006117700
StationName:, "BARRIE-ORO"
Lat&Long    , 44.483, -79.550
Elevation:  , -9999.000
Starts(YMD):,2003-11-12
Ends(YMD):  ,2024-04-28
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2003-11-12,1.50,11.60,7.40,NA,NA,NA,NA
2003-11-13,-5.40,5.60,5.80,NA,NA,NA,NA
2003-11-14,-7.70,-0.20,9.10,NA,NA,NA,NA
2003-11-15,-11.80,2.30,0.00,NA,NA,NA,NA
2003-11-16,-1.10,3.70,1.60,NA,NA,NA,NA
2003-11-17,0.90,5.30,2.70,NA,NA,NA,NA
2003-11-18,3.10,9.90,7.60,NA,NA,NA,NA
2003-11-19,4.50,12.60,8.30,NA,NA,NA,NA
2003-11-20,3.10,8.10,0.00,NA,NA,NA,NA
2003-11-21,-0.20,8.90,0.00,NA,NA,NA,NA
2003-11-22,-1.50,7.90,0.00,NA,NA,NA,NA
2003-11-23,3.40,13.30,0.00,NA,NA,NA,NA
2003-11-24,-4.30,11.50,5.00,NA,NA,NA,NA
2003-11-25,-4.30,2.00,0.00,NA,NA,NA,NA
2003-11-26,-4.50,5.60,NA,NA,NA,NA,NA
2003-11-27,-5.30,3.70,10.20,NA,NA,NA,NA
2003-11-28,-1.50,3.50,9.10,NA,NA,NA,NA
2003-11-29,-3.50,0.00,3.90,NA,NA,NA,NA
2003-11-30,-1.10,4.70,0.70,NA,NA,NA,NA
2003-12-01,-5.40,2.70,8.00,NA,NA,NA,NA
2003-12-02,-16.50,-5.40,0.00,NA,NA,NA,NA
2003-12-03,-18.60,-2.10,0.00,NA,NA,NA,NA
2003-12-04,-9.80,3.20,0.00,NA,NA,NA,NA
2003-12-05,-11.10,-2.90,0.00,NA,NA,NA,NA
2003-12-06,-12.20,-6.30,0.00,NA,NA,NA,NA
2003-12-07,-15.40,-3.20,0.00,NA,NA,NA,NA
2003-12-08,-14.30,-2.30,0.00,NA,NA,NA,NA
2003-12-09,-11.20,0.00,0.00,NA,NA,NA,NA
2003-12-10,-0.60,4.00,4.90,NA,NA,NA,NA
2003-12-11,-4.80,4.30,2.50,NA,NA,NA,NA
2003-12-12,-11.40,-4.70,4.40,NA,NA,NA,NA
2003-12-13,-17.80,-5.70,0.00,NA,NA,NA,NA
2003-12-14,-8.10,-4.50,3.00,NA,NA,NA,NA
2003-12-15,-6.20,-1.80,0.00,NA,NA,NA,NA
2003-12-16,-1.90,4.60,2.10,NA,NA,NA,NA
2003-12-17,-4.40,2.30,4.70,NA,NA,NA,NA
2003-12-18,-6.90,-2.40,1.50,NA,NA,NA,NA
2003-12-19,-9.70,0.20,0.70,NA,NA,NA,NA
2003-12-20,-13.30,-3.80,0.00,NA,NA,NA,NA
2003-12-21,-4.10,0.80,0.00,NA,NA,NA,NA
2003-12-22,0.20,3.80,0.00,NA,NA,NA,NA
2003-12-23,0.60,2.10,14.20,NA,NA,NA,NA
2003-12-24,-1.20,1.10,0.00,NA,NA,NA,NA
2003-12-25,-3.00,0.40,0.00,NA,NA,NA,NA
2003-12-26,-3.90,3.60,1.60,NA,NA,NA,NA
2003-12-27,-6.00,6.10,0.00,NA,NA,NA,NA
2003-12-28,-1.40,8.60,0.00,NA,NA,NA,NA
2003-12-29,2.80,6.60,22.00,NA,NA,NA,NA
