Daily data for a single station.
StationID:  , CA006117957
StationName:, "SOUTH RIVER"
Lat&Long    , 45.833, -79.383
Elevation:  , -9999.000
Starts(YMD):,1977-06-01
Ends(YMD):  ,1995-09-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1977-06-01,14.50,19.50,10.20,NA,NA,NA,NA
1977-06-02,4.00,11.00,1.40,NA,NA,NA,NA
1977-06-03,-1.00,19.50,0.00,NA,NA,NA,NA
1977-06-04,2.50,17.50,1.20,NA,NA,NA,NA
1977-06-05,8.00,20.50,0.00,NA,NA,NA,NA
1977-06-06,4.50,15.00,0.00,NA,NA,NA,NA
1977-06-07,1.00,12.00,0.00,NA,NA,NA,NA
1977-06-08,3.50,13.00,0.00,NA,NA,NA,NA
1977-06-09,4.50,17.00,0.00,NA,NA,NA,NA
1977-06-10,2.50,22.50,0.00,NA,NA,NA,NA
1977-06-11,4.50,25.00,1.40,NA,NA,NA,NA
1977-06-12,6.00,16.00,0.00,NA,NA,NA,NA
1977-06-13,9.50,23.00,0.00,NA,NA,NA,NA
1977-06-14,9.50,26.00,0.00,NA,NA,NA,NA
1977-06-15,6.50,25.00,0.00,NA,NA,NA,NA
1977-06-16,10.00,25.50,5.60,NA,NA,NA,NA
1977-06-17,13.00,22.50,0.40,NA,NA,NA,NA
1977-06-18,12.00,21.00,6.80,NA,NA,NA,NA
1977-06-19,12.00,19.00,0.00,NA,NA,NA,NA
1977-06-20,10.50,20.00,5.60,NA,NA,NA,NA
1977-06-21,7.50,22.00,0.00,NA,NA,NA,NA
1977-06-22,5.50,21.00,0.00,NA,NA,NA,NA
1977-06-23,6.00,24.50,0.00,NA,NA,NA,NA
1977-06-24,12.50,24.00,10.20,NA,NA,NA,NA
1977-06-25,13.00,22.00,27.40,NA,NA,NA,NA
1977-06-26,10.00,26.00,0.00,NA,NA,NA,NA
1977-06-27,10.00,30.00,0.00,NA,NA,NA,NA
1977-06-28,15.00,30.00,20.40,NA,NA,NA,NA
1977-06-29,13.00,18.00,2.60,NA,NA,NA,NA
1977-06-30,9.50,24.00,13.40,NA,NA,NA,NA
1977-07-01,14.50,19.50,3.80,NA,NA,NA,NA
1977-07-02,9.00,20.00,0.60,NA,NA,NA,NA
1977-07-03,6.00,23.50,6.40,NA,NA,NA,NA
1977-07-04,14.00,29.00,7.20,NA,NA,NA,NA
1977-07-05,16.50,27.00,0.00,NA,NA,NA,NA
1977-07-06,14.00,18.00,0.40,NA,NA,NA,NA
1977-07-07,11.00,19.00,0.00,NA,NA,NA,NA
1977-07-08,15.00,25.00,0.00,NA,NA,NA,NA
1977-07-09,14.50,25.00,0.00,NA,NA,NA,NA
1977-07-10,4.50,23.50,0.00,NA,NA,NA,NA
