Daily data for a single station.
StationID:  , CA006123672
StationName:, "HURON PARK"
Lat&Long    , 43.317, -81.500
Elevation:  , -9999.000
Starts(YMD):,1979-03-01
Ends(YMD):  ,1995-01-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1979-03-01,0.50,3.50,4.60,NA,NA,NA,NA
1979-03-02,-1.50,4.00,0.00,NA,NA,NA,NA
1979-03-03,-1.00,7.00,5.60,NA,NA,NA,NA
1979-03-04,4.00,9.00,1.00,NA,NA,NA,NA
1979-03-05,0.00,2.00,2.00,NA,NA,NA,NA
1979-03-06,-1.00,1.00,0.00,NA,NA,NA,NA
1979-03-07,-3.00,6.50,0.00,NA,NA,NA,NA
1979-03-08,-3.00,4.00,0.00,NA,NA,NA,NA
1979-03-09,-3.00,3.00,0.00,NA,NA,NA,NA
1979-03-10,-0.50,5.00,0.00,NA,NA,NA,NA
1979-03-11,-11.00,-7.00,2.00,NA,NA,NA,NA
1979-03-12,-10.00,-1.00,0.00,NA,NA,NA,NA
1979-03-13,-5.00,10.00,0.00,NA,NA,NA,NA
1979-03-14,-6.00,-1.00,0.00,NA,NA,NA,NA
1979-03-15,-12.00,-7.00,3.00,NA,NA,NA,NA
1979-03-16,-12.00,4.00,0.00,NA,NA,NA,NA
1979-03-17,-3.50,9.50,0.00,NA,NA,NA,NA
1979-03-18,1.50,9.50,0.00,NA,NA,NA,NA
1979-03-19,1.00,8.00,0.00,NA,NA,NA,NA
1979-03-20,-2.00,11.50,0.00,NA,NA,NA,NA
1979-03-21,1.00,15.00,0.00,NA,NA,NA,NA
1979-03-22,0.00,18.00,0.00,NA,NA,NA,NA
1979-03-23,6.50,19.50,2.00,NA,NA,NA,NA
1979-03-24,9.50,10.50,10.00,NA,NA,NA,NA
1979-03-25,-7.00,-5.00,0.00,NA,NA,NA,NA
1979-03-26,-8.00,-3.50,2.00,NA,NA,NA,NA
1979-03-27,-7.50,-3.00,0.00,NA,NA,NA,NA
1979-03-28,-7.00,10.00,1.80,NA,NA,NA,NA
1979-03-29,7.50,12.00,16.60,NA,NA,NA,NA
1979-03-30,7.50,15.50,0.00,NA,NA,NA,NA
1979-03-31,4.50,17.50,0.00,NA,NA,NA,NA
1979-04-01,0.50,4.00,0.50,NA,NA,NA,NA
1979-04-02,1.00,11.00,7.20,NA,NA,NA,NA
1979-04-03,0.00,5.50,0.00,NA,NA,NA,NA
1979-04-04,-1.50,5.00,1.00,NA,NA,NA,NA
1979-04-05,-0.50,4.00,0.00,NA,NA,NA,NA
1979-04-06,-8.00,-3.00,0.60,NA,NA,NA,NA
1979-04-07,-6.00,-1.50,0.00,NA,NA,NA,NA
1979-04-08,-6.50,-3.00,1.80,NA,NA,NA,NA
1979-04-09,-4.00,1.00,0.00,NA,NA,NA,NA
1979-04-10,-7.00,3.00,0.00,NA,NA,NA,NA
1979-04-11,-5.00,5.00,0.00,NA,NA,NA,NA
1979-04-12,2.50,7.00,0.00,NA,NA,NA,NA
1979-04-13,4.00,9.50,60.00,NA,NA,NA,NA
1979-04-14,4.00,15.00,0.50,NA,NA,NA,NA
1979-04-15,2.00,6.00,1.50,NA,NA,NA,NA
1979-04-16,2.50,7.00,0.00,NA,NA,NA,NA
1979-04-17,0.00,9.00,0.00,NA,NA,NA,NA
1979-04-18,-1.00,11.00,0.00,NA,NA,NA,NA
1979-04-19,-1.50,12.50,0.00,NA,NA,NA,NA
1979-04-20,0.50,19.50,0.00,NA,NA,NA,NA
1979-04-21,5.50,19.00,2.20,NA,NA,NA,NA
1979-04-22,4.00,12.00,0.00,NA,NA,NA,NA
1979-04-23,5.00,20.50,0.00,NA,NA,NA,NA
1979-04-24,8.50,20.50,1.80,NA,NA,NA,NA
1979-04-25,14.00,23.00,2.20,NA,NA,NA,NA
1979-04-26,14.00,17.50,9.10,NA,NA,NA,NA
1979-04-27,2.00,4.00,0.00,NA,NA,NA,NA
1979-04-28,1.00,5.50,1.40,NA,NA,NA,NA
1979-04-29,-0.50,8.00,3.20,NA,NA,NA,NA
1979-04-30,3.00,10.50,7.00,NA,NA,NA,NA
1979-05-01,2.00,10.50,0.00,NA,NA,NA,NA
1979-05-02,1.50,14.00,3.50,NA,NA,NA,NA
1979-05-03,6.50,15.00,8.00,NA,NA,NA,NA
1979-05-04,-2.00,5.50,0.00,NA,NA,NA,NA
1979-05-05,-1.50,7.00,2.80,NA,NA,NA,NA
1979-05-06,3.00,18.00,0.30,NA,NA,NA,NA
1979-05-07,7.00,24.50,0.00,NA,NA,NA,NA
1979-05-08,10.50,29.00,0.00,NA,NA,NA,NA
1979-05-09,17.00,30.00,0.00,NA,NA,NA,NA
1979-05-10,17.00,27.00,0.00,NA,NA,NA,NA
1979-05-11,17.50,29.00,0.20,NA,NA,NA,NA
1979-05-12,11.00,13.00,8.70,NA,NA,NA,NA
1979-05-13,5.50,15.50,0.00,NA,NA,NA,NA
1979-05-14,8.00,20.00,8.00,NA,NA,NA,NA
1979-05-15,9.50,28.00,0.00,NA,NA,NA,NA
1979-05-16,1.50,NA,0.00,NA,NA,NA,NA
1979-05-17,0.50,18.00,0.00,NA,NA,NA,NA
1979-05-18,8.50,23.50,0.00,NA,NA,NA,NA
1979-05-19,11.50,23.50,0.00,NA,NA,NA,NA
1979-05-20,10.50,22.00,1.00,NA,NA,NA,NA
1979-05-21,7.50,11.00,0.00,NA,NA,NA,NA
1979-05-22,1.50,17.50,0.00,NA,NA,NA,NA
1979-05-23,6.00,19.50,0.00,NA,NA,NA,NA
1979-05-24,10.50,14.50,2.40,NA,NA,NA,NA
1979-05-25,6.50,14.50,18.10,NA,NA,NA,NA
1979-05-26,6.50,14.50,0.00,NA,NA,NA,NA
1979-05-27,7.00,14.50,1.20,NA,NA,NA,NA
1979-05-28,7.00,15.50,0.00,NA,NA,NA,NA
1979-05-29,6.00,15.00,0.00,NA,NA,NA,NA
1979-05-30,5.50,18.50,0.00,NA,NA,NA,NA
1979-05-31,8.00,24.50,0.00,NA,NA,NA,NA
1979-06-01,NA,NA,NA,NA,NA,NA,NA
1979-06-02,NA,NA,NA,NA,NA,NA,NA
1979-06-03,NA,NA,NA,NA,NA,NA,NA
1979-06-04,NA,NA,NA,NA,NA,NA,NA
1979-06-05,NA,NA,NA,NA,NA,NA,NA
1979-06-06,NA,NA,NA,NA,NA,NA,NA
1979-06-07,NA,NA,NA,NA,NA,NA,NA
1979-06-08,NA,NA,NA,NA,NA,NA,NA
1979-06-09,NA,NA,NA,NA,NA,NA,NA
1979-06-10,NA,NA,NA,NA,NA,NA,NA
1979-06-11,NA,NA,NA,NA,NA,NA,NA
1979-06-12,NA,NA,NA,NA,NA,NA,NA
1979-06-13,NA,NA,NA,NA,NA,NA,NA
1979-06-14,NA,NA,NA,NA,NA,NA,NA
1979-06-15,NA,NA,NA,NA,NA,NA,NA
1979-06-16,NA,NA,NA,NA,NA,NA,NA
1979-06-17,NA,NA,NA,NA,NA,NA,NA
1979-06-18,NA,NA,NA,NA,NA,NA,NA
1979-06-19,NA,NA,NA,NA,NA,NA,NA
1979-06-20,NA,NA,NA,NA,NA,NA,NA
1979-06-21,NA,NA,NA,NA,NA,NA,NA
1979-06-22,NA,NA,NA,NA,NA,NA,NA
1979-06-23,NA,NA,NA,NA,NA,NA,NA
1979-06-24,NA,NA,NA,NA,NA,NA,NA
1979-06-25,NA,NA,NA,NA,NA,NA,NA
1979-06-26,NA,NA,NA,NA,NA,NA,NA
1979-06-27,NA,NA,NA,NA,NA,NA,NA
1979-06-28,NA,NA,NA,NA,NA,NA,NA
1979-06-29,NA,NA,NA,NA,NA,NA,NA
1979-06-30,NA,NA,NA,NA,NA,NA,NA
1979-07-01,15.50,18.00,4.00,NA,NA,NA,NA
1979-07-02,11.50,19.00,0.00,NA,NA,NA,NA
1979-07-03,9.50,20.00,0.00,NA,NA,NA,NA
1979-07-04,11.00,21.00,0.00,NA,NA,NA,NA
1979-07-05,7.00,18.00,0.00,NA,NA,NA,NA
1979-07-06,6.00,22.00,0.00,NA,NA,NA,NA
1979-07-07,7.50,26.50,0.00,NA,NA,NA,NA
1979-07-08,10.50,27.00,0.00,NA,NA,NA,NA
1979-07-09,16.00,21.50,26.50,NA,NA,NA,NA
1979-07-10,17.00,21.00,2.20,NA,NA,NA,NA
1979-07-11,15.50,28.50,0.00,NA,NA,NA,NA
1979-07-12,16.00,29.00,0.00,NA,NA,NA,NA
1979-07-13,17.00,30.50,0.00,NA,NA,NA,NA
1979-07-14,18.00,31.00,0.00,NA,NA,NA,NA
1979-07-15,21.50,29.50,0.00,NA,NA,NA,NA
1979-07-16,16.00,26.50,0.00,NA,NA,NA,NA
1979-07-17,13.00,23.00,0.00,NA,NA,NA,NA
1979-07-18,10.00,23.50,0.00,NA,NA,NA,NA
1979-07-19,8.00,25.50,0.00,NA,NA,NA,NA
1979-07-20,11.00,27.50,0.00,NA,NA,NA,NA
1979-07-21,11.50,28.50,0.00,NA,NA,NA,NA
1979-07-22,15.50,29.50,0.00,NA,NA,NA,NA
1979-07-23,17.00,30.50,0.00,NA,NA,NA,NA
1979-07-24,20.00,30.50,9.80,NA,NA,NA,NA
1979-07-25,22.00,25.50,18.70,NA,NA,NA,NA
1979-07-26,16.50,19.00,0.00,NA,NA,NA,NA
1979-07-27,14.00,26.00,0.30,NA,NA,NA,NA
1979-07-28,18.00,24.00,0.00,NA,NA,NA,NA
1979-07-29,12.00,25.50,0.00,NA,NA,NA,NA
1979-07-30,11.00,27.00,5.40,NA,NA,NA,NA
1979-07-31,19.50,28.00,2.00,NA,NA,NA,NA
1979-08-01,17.00,26.00,9.50,NA,NA,NA,NA
1979-08-02,18.50,23.50,3.60,NA,NA,NA,NA
1979-08-03,16.00,28.00,0.00,NA,NA,NA,NA
1979-08-04,NA,27.50,0.00,NA,NA,NA,NA
1979-08-05,NA,27.00,0.00,NA,NA,NA,NA
1979-08-06,NA,24.50,0.00,NA,NA,NA,NA
1979-08-07,14.50,30.50,0.00,NA,NA,NA,NA
1979-08-08,12.00,25.00,0.00,NA,NA,NA,NA
1979-08-09,7.50,24.50,5.70,NA,NA,NA,NA
1979-08-10,18.50,23.50,0.60,NA,NA,NA,NA
1979-08-11,NA,20.00,0.00,NA,NA,NA,NA
1979-08-12,NA,23.00,0.00,NA,NA,NA,NA
1979-08-13,12.00,23.00,5.90,NA,NA,NA,NA
1979-08-14,13.50,17.50,1.40,NA,NA,NA,NA
1979-08-15,10.50,15.50,0.00,NA,NA,NA,NA
