Daily data for a single station.
StationID:  , CA006143069
StationName:, "GUELPH ARBORETUM"
Lat&Long    , 43.550, -80.217
Elevation:  , -9999.000
Starts(YMD):,1975-07-23
Ends(YMD):  ,1997-08-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1975-07-23,21.70,28.30,0.00,NA,NA,NA,NA
1975-07-24,19.40,27.20,0.30,NA,NA,NA,NA
1975-07-25,12.80,20.00,0.00,NA,NA,NA,NA
1975-07-26,4.40,22.80,0.00,NA,NA,NA,NA
1975-07-27,9.40,25.60,6.10,NA,NA,NA,NA
1975-07-28,13.30,26.10,0.00,NA,NA,NA,NA
1975-07-29,8.30,27.80,0.00,NA,NA,NA,NA
1975-07-30,13.30,31.10,0.00,NA,NA,NA,NA
1975-07-31,16.70,32.80,0.00,NA,NA,NA,NA
1975-08-01,17.80,33.90,0.00,NA,NA,NA,NA
1975-08-02,18.30,32.80,13.00,NA,NA,NA,NA
1975-08-03,18.90,26.70,10.20,NA,NA,NA,NA
1975-08-04,17.80,29.40,0.00,NA,NA,NA,NA
1975-08-05,15.00,26.10,1.30,NA,NA,NA,NA
1975-08-06,12.20,18.30,0.00,NA,NA,NA,NA
1975-08-07,7.20,23.90,0.00,NA,NA,NA,NA
1975-08-08,5.60,26.10,0.00,NA,NA,NA,NA
1975-08-09,10.60,27.80,0.00,NA,NA,NA,NA
1975-08-10,17.80,29.40,1.00,NA,NA,NA,NA
1975-08-11,16.70,28.30,0.00,NA,NA,NA,NA
1975-08-12,10.00,28.90,0.00,NA,NA,NA,NA
1975-08-13,15.60,26.10,4.60,NA,NA,NA,NA
1975-08-14,13.90,26.10,0.00,NA,NA,NA,NA
1975-08-15,11.70,22.80,0.00,NA,NA,NA,NA
1975-08-16,13.90,28.30,0.00,NA,NA,NA,NA
1975-08-17,13.90,28.30,0.00,NA,NA,NA,NA
1975-08-18,11.70,22.80,0.00,NA,NA,NA,NA
1975-08-19,4.40,21.70,0.00,NA,NA,NA,NA
1975-08-20,4.40,23.90,0.00,NA,NA,NA,NA
1975-08-21,6.70,22.20,10.90,NA,NA,NA,NA
1975-08-22,16.10,20.60,0.00,NA,NA,NA,NA
1975-08-23,6.70,20.00,72.90,NA,NA,NA,NA
1975-08-24,14.40,24.40,4.30,NA,NA,NA,NA
1975-08-25,16.70,28.30,1.50,NA,NA,NA,NA
1975-08-26,18.30,23.90,0.00,NA,NA,NA,NA
1975-08-27,13.90,23.30,0.00,NA,NA,NA,NA
1975-08-28,8.30,25.00,0.00,NA,NA,NA,NA
1975-08-29,15.00,18.90,15.50,NA,NA,NA,NA
1975-08-30,15.00,18.90,13.50,NA,NA,NA,NA
1975-08-31,17.20,21.10,5.60,NA,NA,NA,NA
1975-09-01,14.40,20.00,0.30,NA,NA,NA,NA
1975-09-02,11.10,22.20,0.00,NA,NA,NA,NA
1975-09-03,3.30,18.30,0.00,NA,NA,NA,NA
1975-09-04,10.00,20.00,0.00,NA,NA,NA,NA
1975-09-05,6.10,20.00,0.50,NA,NA,NA,NA
1975-09-06,11.70,20.00,0.00,NA,NA,NA,NA
1975-09-07,4.40,19.40,3.80,NA,NA,NA,NA
1975-09-08,6.70,18.30,0.00,NA,NA,NA,NA
1975-09-09,-1.70,15.60,0.00,NA,NA,NA,NA
1975-09-10,-1.10,17.80,0.00,NA,NA,NA,NA
1975-09-11,10.00,23.90,11.40,NA,NA,NA,NA
1975-09-12,10.00,16.10,0.00,NA,NA,NA,NA
1975-09-13,3.90,10.60,5.30,NA,NA,NA,NA
1975-09-14,1.10,14.40,0.00,NA,NA,NA,NA
