Daily data for a single station.
StationID:  , CA006145267
StationName:, "MONTICELLO"
Lat&Long    , 43.967, -80.400
Elevation:  , -9999.000
Starts(YMD):,1954-10-01
Ends(YMD):  ,1992-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1954-10-01,4.40,17.20,NA,NA,NA,NA,NA
1954-10-02,12.80,18.30,NA,NA,NA,NA,NA
1954-10-03,12.20,22.80,35.60,NA,NA,NA,NA
1954-10-04,7.20,13.30,0.50,NA,NA,NA,NA
1954-10-05,5.60,10.60,0.30,NA,NA,NA,NA
1954-10-06,0.00,8.90,1.50,NA,NA,NA,NA
1954-10-07,-4.40,10.00,0.00,NA,NA,NA,NA
1954-10-08,-3.30,15.00,0.80,NA,NA,NA,NA
1954-10-09,1.70,18.30,2.50,NA,NA,NA,NA
1954-10-10,7.20,13.90,10.20,NA,NA,NA,NA
1954-10-11,11.10,18.30,2.50,NA,NA,NA,NA
1954-10-12,15.60,16.10,3.00,NA,NA,NA,NA
1954-10-13,11.70,18.90,11.40,NA,NA,NA,NA
1954-10-14,5.00,21.70,41.40,NA,NA,NA,NA
1954-10-15,8.30,8.90,84.60,NA,NA,NA,NA
1954-10-16,3.30,9.40,2.50,NA,NA,NA,NA
1954-10-17,2.80,8.30,2.50,NA,NA,NA,NA
1954-10-18,-2.20,5.00,0.00,NA,NA,NA,NA
1954-10-19,-0.60,8.90,0.00,NA,NA,NA,NA
1954-10-20,0.00,9.40,0.00,NA,NA,NA,NA
1954-10-21,0.60,14.40,0.00,NA,NA,NA,NA
1954-10-22,-3.30,15.00,0.00,NA,NA,NA,NA
1954-10-23,-0.60,15.60,0.00,NA,NA,NA,NA
1954-10-24,5.60,16.10,0.00,NA,NA,NA,NA
1954-10-25,3.90,17.20,0.00,NA,NA,NA,NA
1954-10-26,4.40,15.60,1.30,NA,NA,NA,NA
1954-10-27,3.90,5.00,1.80,NA,NA,NA,NA
1954-10-28,-1.70,8.30,3.00,NA,NA,NA,NA
1954-10-29,-1.10,6.10,0.00,NA,NA,NA,NA
1954-10-30,-1.70,5.00,0.80,NA,NA,NA,NA
1954-10-31,-3.90,2.20,0.00,NA,NA,NA,NA
1954-11-01,-7.20,5.00,0.00,NA,NA,NA,NA
1954-11-02,-7.20,1.10,6.40,NA,NA,NA,NA
1954-11-03,-1.10,2.80,0.00,NA,NA,NA,NA
1954-11-04,0.00,2.20,7.60,NA,NA,NA,NA
1954-11-05,-2.20,1.10,7.40,NA,NA,NA,NA
1954-11-06,-1.70,7.20,0.00,NA,NA,NA,NA
1954-11-07,-1.70,7.80,0.00,NA,NA,NA,NA
1954-11-08,1.70,10.60,0.00,NA,NA,NA,NA
1954-11-09,-5.00,2.80,0.00,NA,NA,NA,NA
1954-11-10,-3.30,3.90,0.00,NA,NA,NA,NA
1954-11-11,-2.80,10.00,1.00,NA,NA,NA,NA
1954-11-12,0.00,5.00,0.00,NA,NA,NA,NA
1954-11-13,-6.10,8.30,2.30,NA,NA,NA,NA
1954-11-14,2.20,4.40,0.00,NA,NA,NA,NA
1954-11-15,-5.60,3.90,0.00,NA,NA,NA,NA
1954-11-16,-5.60,4.40,0.50,NA,NA,NA,NA
1954-11-17,1.10,6.10,3.00,NA,NA,NA,NA
1954-11-18,-1.70,17.20,0.00,NA,NA,NA,NA
1954-11-19,4.40,13.30,6.10,NA,NA,NA,NA
1954-11-20,5.00,6.10,0.00,NA,NA,NA,NA
1954-11-21,-1.70,1.70,0.00,NA,NA,NA,NA
1954-11-22,-2.80,1.10,2.50,NA,NA,NA,NA
1954-11-23,-2.80,2.80,4.10,NA,NA,NA,NA
1954-11-24,-2.20,1.70,4.30,NA,NA,NA,NA
1954-11-25,0.00,1.10,0.00,NA,NA,NA,NA
1954-11-26,-1.70,3.90,0.00,NA,NA,NA,NA
1954-11-27,-1.10,1.70,7.40,NA,NA,NA,NA
1954-11-28,-1.10,7.80,5.30,NA,NA,NA,NA
1954-11-29,1.10,2.80,1.30,NA,NA,NA,NA
1954-11-30,-1.10,3.90,0.80,NA,NA,NA,NA
1954-12-01,-3.90,-0.60,0.00,NA,NA,NA,NA
1954-12-02,-7.80,-1.70,0.00,NA,NA,NA,NA
1954-12-03,-12.20,-0.60,0.00,NA,NA,NA,NA
1954-12-04,-12.20,-1.10,1.30,NA,NA,NA,NA
1954-12-05,-16.70,-7.20,2.50,NA,NA,NA,NA
1954-12-06,-15.60,-9.40,0.80,NA,NA,NA,NA
1954-12-07,-14.40,-4.40,0.50,NA,NA,NA,NA
1954-12-08,-10.60,0.00,1.00,NA,NA,NA,NA
1954-12-09,-6.70,1.10,3.80,NA,NA,NA,NA
1954-12-10,-5.00,-2.20,0.00,NA,NA,NA,NA
1954-12-11,-5.00,-1.70,1.00,NA,NA,NA,NA
1954-12-12,-5.00,0.00,0.00,NA,NA,NA,NA
1954-12-13,-18.90,-1.10,0.00,NA,NA,NA,NA
1954-12-14,-12.20,0.00,0.00,NA,NA,NA,NA
