Daily data for a single station.
StationID:  , CA006150790
StationName:, "BLACKSTOCK"
Lat&Long    , 44.100, -78.833
Elevation:  , -9999.000
Starts(YMD):,2001-06-04
Ends(YMD):  ,2016-08-10
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2001-06-04,NA,NA,0.00,NA,NA,NA,NA
2001-06-05,NA,NA,0.00,NA,NA,NA,NA
2001-06-06,NA,21.50,0.00,NA,NA,NA,NA
2001-06-07,5.50,23.50,0.00,NA,NA,NA,NA
2001-06-08,8.50,24.00,0.00,NA,NA,NA,NA
2001-06-09,7.00,24.50,0.00,NA,NA,NA,NA
2001-06-10,8.00,24.00,1.40,NA,NA,NA,NA
2001-06-11,14.50,23.00,0.20,NA,NA,NA,NA
2001-06-12,11.50,24.00,0.00,NA,NA,NA,NA
2001-06-13,14.00,30.00,0.00,NA,NA,NA,NA
2001-06-14,NA,29.00,0.00,NA,NA,NA,NA
2001-06-15,16.00,30.00,0.00,NA,NA,NA,NA
2001-06-16,18.00,24.00,1.50,NA,NA,NA,NA
2001-06-17,13.00,24.00,0.00,NA,NA,NA,NA
2001-06-18,11.00,22.00,0.00,NA,NA,NA,NA
2001-06-19,17.00,31.00,1.80,NA,NA,NA,NA
2001-06-20,13.00,22.00,0.60,NA,NA,NA,NA
2001-06-21,9.00,23.00,0.60,NA,NA,NA,NA
2001-06-22,16.00,20.50,0.70,NA,NA,NA,NA
2001-06-23,13.50,22.50,0.00,NA,NA,NA,NA
2001-06-24,11.00,24.50,0.00,NA,NA,NA,NA
2001-06-25,10.00,28.00,0.00,NA,NA,NA,NA
2001-06-26,12.50,28.00,0.00,NA,NA,NA,NA
2001-06-27,15.00,29.00,0.00,NA,NA,NA,NA
2001-06-28,16.00,28.00,1.20,NA,NA,NA,NA
2001-06-29,15.50,29.00,0.20,NA,NA,NA,NA
2001-06-30,22.50,29.00,6.60,NA,NA,NA,NA
2001-07-01,14.00,21.50,0.40,NA,NA,NA,NA
2001-07-02,4.50,18.00,0.70,NA,NA,NA,NA
2001-07-03,11.00,19.50,2.70,NA,NA,NA,NA
2001-07-04,14.00,21.50,11.70,NA,NA,NA,NA
2001-07-05,7.50,18.00,0.00,NA,NA,NA,NA
2001-07-06,8.00,20.50,0.00,NA,NA,NA,NA
