Daily data for a single station.
StationID:  , CA006153935
StationName:, "KALADAR"
Lat&Long    , 44.650, -77.117
Elevation:  , -9999.000
Starts(YMD):,1998-05-01
Ends(YMD):  ,2015-12-06
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1998-05-01,NA,NA,0.00,NA,NA,NA,NA
1998-05-02,NA,NA,0.00,NA,NA,NA,NA
1998-05-03,NA,NA,0.00,NA,NA,NA,NA
1998-05-04,NA,NA,0.00,NA,NA,NA,NA
1998-05-05,NA,NA,0.00,NA,NA,NA,NA
1998-05-06,NA,NA,0.00,NA,NA,NA,NA
1998-05-07,NA,NA,0.00,NA,NA,NA,NA
1998-05-08,NA,NA,0.00,NA,NA,NA,NA
1998-05-09,NA,NA,0.00,NA,NA,NA,NA
1998-05-10,NA,NA,0.00,NA,NA,NA,NA
1998-05-11,NA,NA,0.00,NA,NA,NA,NA
1998-05-12,NA,NA,0.00,NA,NA,NA,NA
1998-05-13,NA,NA,0.00,NA,NA,NA,NA
1998-05-14,NA,NA,0.00,NA,NA,NA,NA
1998-05-15,NA,NA,0.00,NA,NA,NA,NA
1998-05-16,NA,NA,0.00,NA,NA,NA,NA
1998-05-17,NA,NA,0.00,NA,NA,NA,NA
1998-05-18,NA,NA,0.00,NA,NA,NA,NA
1998-05-19,NA,NA,0.00,NA,NA,NA,NA
1998-05-20,NA,NA,0.00,NA,NA,NA,NA
1998-05-21,NA,NA,0.00,NA,NA,NA,NA
1998-05-22,NA,NA,0.00,NA,NA,NA,NA
1998-05-23,NA,NA,0.00,NA,NA,NA,NA
1998-05-24,NA,NA,0.00,NA,NA,NA,NA
1998-05-25,NA,NA,0.00,NA,NA,NA,NA
1998-05-26,NA,NA,0.00,NA,NA,NA,NA
1998-05-27,NA,NA,0.00,NA,NA,NA,NA
1998-05-28,NA,NA,0.00,NA,NA,NA,NA
1998-05-29,NA,NA,0.00,NA,NA,NA,NA
1998-05-30,NA,NA,0.00,NA,NA,NA,NA
1998-05-31,NA,NA,0.00,NA,NA,NA,NA
1998-06-01,NA,NA,0.00,NA,NA,NA,NA
1998-06-02,NA,NA,NA,NA,NA,NA,NA
1998-06-03,NA,NA,0.00,NA,NA,NA,NA
1998-06-04,NA,NA,0.00,NA,NA,NA,NA
1998-06-05,NA,NA,0.00,NA,NA,NA,NA
1998-06-06,NA,NA,0.00,NA,NA,NA,NA
1998-06-07,NA,NA,NA,NA,NA,NA,NA
1998-06-08,NA,NA,0.00,NA,NA,NA,NA
1998-06-09,NA,NA,0.00,NA,NA,NA,NA
1998-06-10,NA,NA,0.00,NA,NA,NA,NA
1998-06-11,NA,NA,NA,NA,NA,NA,NA
1998-06-12,NA,NA,NA,NA,NA,NA,NA
1998-06-13,NA,NA,NA,NA,NA,NA,NA
1998-06-14,NA,NA,NA,NA,NA,NA,NA
1998-06-15,NA,NA,0.00,NA,NA,NA,NA
1998-06-16,NA,25.00,NA,NA,NA,NA,NA
1998-06-17,14.50,25.50,19.30,NA,NA,NA,NA
1998-06-18,16.00,26.00,0.00,NA,NA,NA,NA
1998-06-19,15.00,28.00,0.00,NA,NA,NA,NA
1998-06-20,15.50,31.00,0.00,NA,NA,NA,NA
1998-06-21,16.50,30.50,0.00,NA,NA,NA,NA
1998-06-22,16.00,29.50,0.00,NA,NA,NA,NA
1998-06-23,16.00,25.50,0.00,NA,NA,NA,NA
1998-06-24,14.00,30.50,11.60,NA,NA,NA,NA
1998-06-25,18.00,26.50,15.20,NA,NA,NA,NA
1998-06-26,18.50,NA,5.00,NA,NA,NA,NA
1998-06-27,NA,28.00,0.00,NA,NA,NA,NA
1998-06-28,16.00,28.00,0.80,NA,NA,NA,NA
1998-06-29,18.00,29.00,1.20,NA,NA,NA,NA
1998-06-30,16.00,23.50,2.20,NA,NA,NA,NA
1998-07-01,13.50,21.50,2.60,NA,NA,NA,NA
1998-07-02,11.00,27.00,0.00,NA,NA,NA,NA
1998-07-03,11.00,28.00,0.40,NA,NA,NA,NA
1998-07-04,16.50,18.50,2.20,NA,NA,NA,NA
1998-07-05,12.00,25.00,0.00,NA,NA,NA,NA
1998-07-06,10.50,23.00,0.00,NA,NA,NA,NA
1998-07-07,15.00,22.00,2.80,NA,NA,NA,NA
1998-07-08,17.50,19.50,70.00,NA,NA,NA,NA
1998-07-09,13.50,26.00,18.00,NA,NA,NA,NA
1998-07-10,13.00,22.00,0.20,NA,NA,NA,NA
1998-07-11,13.00,24.50,0.00,NA,NA,NA,NA
1998-07-12,14.00,27.50,0.00,NA,NA,NA,NA
1998-07-13,17.50,29.00,0.00,NA,NA,NA,NA
1998-07-14,13.00,30.00,0.00,NA,NA,NA,NA
1998-07-15,16.50,30.00,0.00,NA,NA,NA,NA
1998-07-16,18.00,31.00,0.00,NA,NA,NA,NA
1998-07-17,18.00,27.00,0.60,NA,NA,NA,NA
1998-07-18,13.00,27.00,0.00,NA,NA,NA,NA
1998-07-19,11.00,28.00,0.00,NA,NA,NA,NA
1998-07-20,15.50,30.00,0.00,NA,NA,NA,NA
1998-07-21,14.50,30.50,0.00,NA,NA,NA,NA
1998-07-22,20.50,28.00,0.00,NA,NA,NA,NA
1998-07-23,16.50,25.00,11.40,NA,NA,NA,NA
1998-07-24,12.00,23.00,0.00,NA,NA,NA,NA
1998-07-25,10.00,23.50,0.00,NA,NA,NA,NA
1998-07-26,12.00,25.50,0.00,NA,NA,NA,NA
1998-07-27,9.00,26.50,1.40,NA,NA,NA,NA
1998-07-28,14.50,26.50,12.20,NA,NA,NA,NA
1998-07-29,15.50,25.00,0.00,NA,NA,NA,NA
1998-07-30,13.00,21.00,0.60,NA,NA,NA,NA
1998-07-31,12.00,23.00,0.00,NA,NA,NA,NA
1998-08-01,8.50,26.50,0.00,NA,NA,NA,NA
1998-08-02,9.00,27.00,0.00,NA,NA,NA,NA
1998-08-03,14.00,29.50,0.00,NA,NA,NA,NA
1998-08-04,15.50,29.50,0.00,NA,NA,NA,NA
1998-08-05,16.00,30.50,0.20,NA,NA,NA,NA
1998-08-06,19.00,21.00,9.80,NA,NA,NA,NA
1998-08-07,18.00,21.50,8.80,NA,NA,NA,NA
1998-08-08,18.00,29.00,0.20,NA,NA,NA,NA
1998-08-09,15.50,29.50,0.20,NA,NA,NA,NA
1998-08-10,20.00,25.00,2.20,NA,NA,NA,NA
1998-08-11,18.00,25.00,1.60,NA,NA,NA,NA
1998-08-12,12.50,24.00,0.00,NA,NA,NA,NA
1998-08-13,8.00,24.50,0.00,NA,NA,NA,NA
1998-08-14,8.50,27.50,0.00,NA,NA,NA,NA
1998-08-15,14.00,28.00,25.00,NA,NA,NA,NA
1998-08-16,14.00,25.00,0.00,NA,NA,NA,NA
1998-08-17,13.50,29.00,0.60,NA,NA,NA,NA
1998-08-18,13.50,17.50,0.00,NA,NA,NA,NA
1998-08-19,8.00,22.00,0.00,NA,NA,NA,NA
1998-08-20,6.00,24.00,0.00,NA,NA,NA,NA
1998-08-21,16.00,26.00,0.00,NA,NA,NA,NA
1998-08-22,15.00,26.50,0.00,NA,NA,NA,NA
1998-08-23,15.00,21.00,25.60,NA,NA,NA,NA
1998-08-24,18.00,24.50,15.40,NA,NA,NA,NA
1998-08-25,13.50,23.50,11.20,NA,NA,NA,NA
1998-08-26,13.00,25.50,1.00,NA,NA,NA,NA
1998-08-27,12.00,28.50,0.00,NA,NA,NA,NA
1998-08-28,13.00,28.50,11.60,NA,NA,NA,NA
1998-08-29,17.50,25.50,0.20,NA,NA,NA,NA
1998-08-30,13.00,23.00,0.00,NA,NA,NA,NA
1998-08-31,11.50,23.00,0.00,NA,NA,NA,NA
1998-09-01,10.00,23.00,0.00,NA,NA,NA,NA
1998-09-02,10.50,20.50,15.40,NA,NA,NA,NA
1998-09-03,10.00,21.50,1.60,NA,NA,NA,NA
1998-09-04,7.00,21.50,0.00,NA,NA,NA,NA
1998-09-05,8.00,24.00,0.00,NA,NA,NA,NA
1998-09-06,13.50,28.50,0.20,NA,NA,NA,NA
1998-09-07,13.00,24.50,4.40,NA,NA,NA,NA
1998-09-08,10.00,16.50,1.00,NA,NA,NA,NA
1998-09-09,8.50,17.50,0.00,NA,NA,NA,NA
1998-09-10,7.00,20.50,0.00,NA,NA,NA,NA
1998-09-11,7.50,26.00,2.20,NA,NA,NA,NA
1998-09-12,15.00,24.00,0.00,NA,NA,NA,NA
1998-09-13,8.00,20.50,0.30,NA,NA,NA,NA
1998-09-14,13.00,23.00,4.40,NA,NA,NA,NA
1998-09-15,15.00,20.50,10.80,NA,NA,NA,NA
1998-09-16,10.00,20.50,0.00,NA,NA,NA,NA
1998-09-17,5.00,24.50,0.00,NA,NA,NA,NA
1998-09-18,7.00,24.50,0.00,NA,NA,NA,NA
1998-09-19,8.00,25.50,0.00,NA,NA,NA,NA
1998-09-20,12.00,24.50,0.00,NA,NA,NA,NA
1998-09-21,16.00,26.50,1.60,NA,NA,NA,NA
1998-09-22,9.00,12.00,1.80,NA,NA,NA,NA
1998-09-23,1.50,15.00,0.00,NA,NA,NA,NA
1998-09-24,-0.50,15.50,0.40,NA,NA,NA,NA
1998-09-25,6.00,21.50,0.00,NA,NA,NA,NA
1998-09-26,9.00,23.00,39.60,NA,NA,NA,NA
1998-09-27,15.00,25.50,0.00,NA,NA,NA,NA
1998-09-28,10.00,18.00,0.00,NA,NA,NA,NA
1998-09-29,2.00,19.50,1.80,NA,NA,NA,NA
1998-09-30,11.50,20.00,9.00,NA,NA,NA,NA
1998-10-01,9.00,12.50,0.00,NA,NA,NA,NA
1998-10-02,2.00,13.00,0.00,NA,NA,NA,NA
1998-10-03,1.00,12.50,0.00,NA,NA,NA,NA
1998-10-04,0.00,16.00,0.00,NA,NA,NA,NA
1998-10-05,1.00,16.00,0.00,NA,NA,NA,NA
1998-10-06,1.00,14.50,0.00,NA,NA,NA,NA
1998-10-07,5.50,16.00,25.00,NA,NA,NA,NA
1998-10-08,11.00,14.00,0.00,NA,NA,NA,NA
1998-10-09,3.50,17.00,0.00,NA,NA,NA,NA
1998-10-10,7.00,17.00,0.00,NA,NA,NA,NA
1998-10-11,8.00,19.00,0.00,NA,NA,NA,NA
1998-10-12,5.50,17.00,0.00,NA,NA,NA,NA
1998-10-13,4.00,19.50,4.00,NA,NA,NA,NA
1998-10-14,5.00,12.00,0.40,NA,NA,NA,NA
1998-10-15,5.00,13.50,0.00,NA,NA,NA,NA
1998-10-16,1.50,15.50,0.00,NA,NA,NA,NA
1998-10-17,2.50,14.50,0.20,NA,NA,NA,NA
1998-10-18,8.00,22.50,0.60,NA,NA,NA,NA
1998-10-19,9.00,15.00,0.00,NA,NA,NA,NA
1998-10-20,3.00,12.50,0.00,NA,NA,NA,NA
1998-10-21,0.00,8.00,0.00,NA,NA,NA,NA
1998-10-22,3.00,10.50,0.00,NA,NA,NA,NA
1998-10-23,-1.50,17.50,0.00,NA,NA,NA,NA
1998-10-24,6.50,19.50,0.00,NA,NA,NA,NA
1998-10-25,3.00,13.00,0.00,NA,NA,NA,NA
1998-10-26,2.00,10.50,2.80,NA,NA,NA,NA
1998-10-27,3.00,19.00,0.60,NA,NA,NA,NA
1998-10-28,8.00,15.00,10.20,NA,NA,NA,NA
1998-10-29,3.00,11.00,0.00,NA,NA,NA,NA
1998-10-30,-2.00,10.00,0.00,NA,NA,NA,NA
1998-10-31,-0.50,12.00,0.00,NA,NA,NA,NA
1998-11-01,2.00,11.00,0.00,NA,NA,NA,NA
1998-11-02,2.00,6.00,0.00,NA,NA,NA,NA
1998-11-03,-0.50,5.50,0.00,NA,NA,NA,NA
1998-11-04,-4.00,4.50,0.00,NA,NA,NA,NA
1998-11-05,-2.50,3.50,0.00,NA,NA,NA,NA
1998-11-06,-0.50,3.00,0.00,NA,NA,NA,NA
1998-11-07,-0.50,6.50,0.00,NA,NA,NA,NA
1998-11-08,1.00,4.50,0.00,NA,NA,NA,NA
1998-11-09,-1.00,5.00,2.40,NA,NA,NA,NA
1998-11-10,-0.50,11.00,28.60,NA,NA,NA,NA
1998-11-11,4.00,8.00,0.60,NA,NA,NA,NA
1998-11-12,1.00,9.00,1.40,NA,NA,NA,NA
1998-11-13,-3.50,2.00,0.00,NA,NA,NA,NA
1998-11-14,-2.50,8.00,7.60,NA,NA,NA,NA
1998-11-15,2.00,5.50,0.60,NA,NA,NA,NA
1998-11-16,-1.00,1.00,6.80,NA,NA,NA,NA
