Daily data for a single station.
StationID:  , CA006156533
StationName:, "PICTON"
Lat&Long    , 44.017, -77.133
Elevation:  , -9999.000
Starts(YMD):,1965-02-01
Ends(YMD):  ,1995-04-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1965-02-01,-18.30,-5.00,6.60,NA,NA,NA,NA
1965-02-02,-20.00,-2.80,17.80,NA,NA,NA,NA
1965-02-03,-18.90,-8.30,9.70,NA,NA,NA,NA
1965-02-04,-18.90,-12.80,2.50,NA,NA,NA,NA
1965-02-05,-25.00,3.30,22.90,NA,NA,NA,NA
1965-02-06,NA,4.40,0.00,NA,NA,NA,NA
1965-02-07,NA,6.10,12.70,NA,NA,NA,NA
1965-02-08,NA,3.90,0.00,NA,NA,NA,NA
1965-02-09,-12.80,2.20,14.70,NA,NA,NA,NA
1965-02-10,-7.20,7.20,1.80,NA,NA,NA,NA
1965-02-11,NA,2.80,6.90,NA,NA,NA,NA
1965-02-12,NA,8.30,0.30,NA,NA,NA,NA
1965-02-13,-9.40,-5.60,0.00,NA,NA,NA,NA
1965-02-14,-14.40,-2.20,0.00,NA,NA,NA,NA
1965-02-15,-11.10,3.30,0.00,NA,NA,NA,NA
1965-02-16,-3.30,3.90,0.00,NA,NA,NA,NA
1965-02-17,-11.70,3.30,0.00,NA,NA,NA,NA
1965-02-18,-4.40,3.30,0.00,NA,NA,NA,NA
1965-02-19,-15.60,-8.90,0.00,NA,NA,NA,NA
1965-02-20,-16.70,-1.10,1.00,NA,NA,NA,NA
1965-02-21,-17.80,1.70,0.00,NA,NA,NA,NA
1965-02-22,-17.20,-8.30,0.00,NA,NA,NA,NA
1965-02-23,-17.80,-7.20,0.00,NA,NA,NA,NA
1965-02-24,-17.20,-2.20,5.10,NA,NA,NA,NA
1965-02-25,NA,3.90,9.40,NA,NA,NA,NA
1965-02-26,-17.80,-6.70,1.00,NA,NA,NA,NA
1965-02-27,-17.80,-1.10,0.00,NA,NA,NA,NA
1965-02-28,-14.40,0.60,0.00,NA,NA,NA,NA
1965-03-01,-12.20,-0.60,0.00,NA,NA,NA,NA
1965-03-02,-11.70,5.00,0.00,NA,NA,NA,NA
1965-03-03,-8.30,6.10,0.00,NA,NA,NA,NA
1965-03-04,-5.60,9.40,0.00,NA,NA,NA,NA
1965-03-05,1.10,7.80,3.30,NA,NA,NA,NA
1965-03-06,1.70,4.40,0.80,NA,NA,NA,NA
1965-03-07,1.10,7.20,0.00,NA,NA,NA,NA
1965-03-08,-1.10,4.40,0.00,NA,NA,NA,NA
1965-03-09,-1.10,3.30,1.50,NA,NA,NA,NA
1965-03-10,-1.70,5.00,0.00,NA,NA,NA,NA
1965-03-11,-10.00,-1.10,0.00,NA,NA,NA,NA
1965-03-12,-9.40,1.10,0.00,NA,NA,NA,NA
1965-03-13,-6.70,3.90,0.00,NA,NA,NA,NA
1965-03-14,-6.10,1.70,1.00,NA,NA,NA,NA
1965-03-15,-4.40,3.30,0.00,NA,NA,NA,NA
1965-03-16,-2.20,2.80,0.00,NA,NA,NA,NA
1965-03-17,-7.80,2.20,18.30,NA,NA,NA,NA
1965-03-18,-1.10,3.90,11.20,NA,NA,NA,NA
1965-03-19,-7.20,-3.90,0.00,NA,NA,NA,NA
1965-03-20,-9.40,-2.80,0.00,NA,NA,NA,NA
1965-03-21,-11.70,-3.90,1.50,NA,NA,NA,NA
1965-03-22,-13.30,-2.20,4.80,NA,NA,NA,NA
1965-03-23,-10.00,-0.60,0.00,NA,NA,NA,NA
1965-03-24,-10.60,0.60,0.00,NA,NA,NA,NA
1965-03-25,-15.00,0.60,0.50,NA,NA,NA,NA
1965-03-26,-0.60,1.10,2.50,NA,NA,NA,NA
1965-03-27,-7.20,1.70,0.00,NA,NA,NA,NA
1965-03-28,-7.80,2.20,8.10,NA,NA,NA,NA
1965-03-29,-5.00,-2.20,0.00,NA,NA,NA,NA
1965-03-30,-13.30,1.10,0.00,NA,NA,NA,NA
1965-03-31,-14.40,1.70,0.00,NA,NA,NA,NA
1965-04-01,-13.90,-0.60,0.00,NA,NA,NA,NA
1965-04-02,-5.60,5.00,0.00,NA,NA,NA,NA
1965-04-03,-10.00,5.60,0.00,NA,NA,NA,NA
1965-04-04,-8.90,7.80,0.00,NA,NA,NA,NA
1965-04-05,-7.20,6.70,0.00,NA,NA,NA,NA
1965-04-06,-5.00,8.90,0.00,NA,NA,NA,NA
1965-04-07,2.80,10.00,0.00,NA,NA,NA,NA
1965-04-08,1.70,8.30,0.00,NA,NA,NA,NA
1965-04-09,0.60,11.10,0.00,NA,NA,NA,NA
1965-04-10,-1.70,12.20,0.00,NA,NA,NA,NA
1965-04-11,-0.60,11.70,8.90,NA,NA,NA,NA
1965-04-12,3.90,11.10,1.00,NA,NA,NA,NA
1965-04-13,2.80,6.70,0.00,NA,NA,NA,NA
1965-04-14,-0.60,10.00,0.00,NA,NA,NA,NA
1965-04-15,-0.60,7.80,11.90,NA,NA,NA,NA
1965-04-16,0.00,6.70,3.00,NA,NA,NA,NA
1965-04-17,0.00,4.40,9.90,NA,NA,NA,NA
1965-04-18,-6.10,4.40,0.00,NA,NA,NA,NA
1965-04-19,-2.80,6.70,0.00,NA,NA,NA,NA
1965-04-20,0.60,8.90,0.00,NA,NA,NA,NA
1965-04-21,-2.80,9.40,8.40,NA,NA,NA,NA
1965-04-22,1.70,12.80,0.00,NA,NA,NA,NA
1965-04-23,1.70,6.70,0.00,NA,NA,NA,NA
1965-04-24,-1.10,6.70,0.00,NA,NA,NA,NA
1965-04-25,-1.10,11.10,8.10,NA,NA,NA,NA
1965-04-26,3.30,8.30,0.00,NA,NA,NA,NA
1965-04-27,3.30,10.00,0.00,NA,NA,NA,NA
1965-04-28,1.10,12.80,0.00,NA,NA,NA,NA
1965-04-29,1.10,15.00,0.00,NA,NA,NA,NA
1965-04-30,6.10,21.70,0.00,NA,NA,NA,NA
1965-05-01,2.20,16.70,0.00,NA,NA,NA,NA
1965-05-02,3.90,17.80,0.00,NA,NA,NA,NA
1965-05-03,9.40,23.30,3.80,NA,NA,NA,NA
1965-05-04,10.60,16.10,0.00,NA,NA,NA,NA
1965-05-05,3.30,16.10,0.00,NA,NA,NA,NA
1965-05-06,4.40,19.40,1.30,NA,NA,NA,NA
1965-05-07,7.80,10.60,1.80,NA,NA,NA,NA
1965-05-08,7.80,21.10,0.00,NA,NA,NA,NA
1965-05-09,12.80,26.10,6.40,NA,NA,NA,NA
1965-05-10,12.80,25.00,0.00,NA,NA,NA,NA
1965-05-11,9.40,17.20,0.00,NA,NA,NA,NA
1965-05-12,6.10,20.00,0.00,NA,NA,NA,NA
1965-05-13,9.40,17.20,0.00,NA,NA,NA,NA
1965-05-14,3.90,16.70,0.00,NA,NA,NA,NA
1965-05-15,5.00,23.90,0.00,NA,NA,NA,NA
1965-05-16,15.00,26.10,7.10,NA,NA,NA,NA
1965-05-17,11.10,16.70,0.00,NA,NA,NA,NA
1965-05-18,8.30,18.30,0.00,NA,NA,NA,NA
1965-05-19,8.90,16.70,5.10,NA,NA,NA,NA
1965-05-20,5.00,19.40,0.00,NA,NA,NA,NA
1965-05-21,6.10,22.80,0.80,NA,NA,NA,NA
1965-05-22,14.40,23.90,0.00,NA,NA,NA,NA
1965-05-23,10.00,16.70,0.00,NA,NA,NA,NA
1965-05-24,6.10,19.40,0.00,NA,NA,NA,NA
1965-05-25,8.90,22.20,0.00,NA,NA,NA,NA
1965-05-26,15.60,26.70,0.00,NA,NA,NA,NA
1965-05-27,16.10,22.80,4.60,NA,NA,NA,NA
1965-05-28,8.30,16.10,1.80,NA,NA,NA,NA
1965-05-29,2.20,12.80,0.00,NA,NA,NA,NA
1965-05-30,7.20,17.80,0.00,NA,NA,NA,NA
1965-05-31,10.00,16.70,0.00,NA,NA,NA,NA
1965-06-01,4.40,14.40,3.60,NA,NA,NA,NA
1965-06-02,10.00,18.30,0.80,NA,NA,NA,NA
1965-06-03,5.60,16.70,0.00,NA,NA,NA,NA
1965-06-04,5.00,20.60,0.00,NA,NA,NA,NA
1965-06-05,6.70,23.30,0.00,NA,NA,NA,NA
1965-06-06,8.30,26.70,0.00,NA,NA,NA,NA
1965-06-07,17.20,26.10,0.50,NA,NA,NA,NA
1965-06-08,15.00,23.90,0.00,NA,NA,NA,NA
1965-06-09,15.00,23.90,1.30,NA,NA,NA,NA
1965-06-10,11.70,22.80,0.00,NA,NA,NA,NA
1965-06-11,7.80,19.40,0.00,NA,NA,NA,NA
1965-06-12,8.30,23.30,0.00,NA,NA,NA,NA
1965-06-13,6.10,15.00,1.50,NA,NA,NA,NA
1965-06-14,8.90,15.00,0.00,NA,NA,NA,NA
1965-06-15,5.00,18.30,0.00,NA,NA,NA,NA
1965-06-16,10.00,22.80,0.00,NA,NA,NA,NA
1965-06-17,12.80,19.40,9.10,NA,NA,NA,NA
1965-06-18,11.10,21.10,10.40,NA,NA,NA,NA
1965-06-19,12.20,26.10,0.00,NA,NA,NA,NA
1965-06-20,12.80,25.00,0.00,NA,NA,NA,NA
1965-06-21,16.10,21.70,0.00,NA,NA,NA,NA
1965-06-22,9.40,25.60,0.00,NA,NA,NA,NA
1965-06-23,11.70,23.90,NA,NA,NA,NA,NA
1965-06-24,11.10,23.90,0.00,NA,NA,NA,NA
1965-06-25,7.80,21.10,0.00,NA,NA,NA,NA
1965-06-26,7.20,22.80,0.00,NA,NA,NA,NA
1965-06-27,15.00,26.70,0.00,NA,NA,NA,NA
1965-06-28,18.90,28.30,29.00,NA,NA,NA,NA
1965-06-29,15.60,26.70,0.00,NA,NA,NA,NA
1965-06-30,17.20,NA,0.00,NA,NA,NA,NA
1965-07-01,NA,23.90,0.00,NA,NA,NA,NA
1965-07-02,12.20,24.40,21.60,NA,NA,NA,NA
1965-07-03,16.70,24.40,0.00,NA,NA,NA,NA
1965-07-04,16.10,22.20,0.00,NA,NA,NA,NA
1965-07-05,17.20,26.10,0.80,NA,NA,NA,NA
1965-07-06,8.90,19.40,0.00,NA,NA,NA,NA
1965-07-07,13.90,22.20,19.10,NA,NA,NA,NA
1965-07-08,16.10,23.30,0.00,NA,NA,NA,NA
1965-07-09,14.40,28.30,5.80,NA,NA,NA,NA
1965-07-10,16.70,22.80,0.00,NA,NA,NA,NA
1965-07-11,11.70,22.80,0.00,NA,NA,NA,NA
1965-07-12,12.20,24.40,0.00,NA,NA,NA,NA
1965-07-13,11.70,26.70,0.00,NA,NA,NA,NA
1965-07-14,19.40,25.60,0.00,NA,NA,NA,NA
1965-07-15,13.30,22.20,0.00,NA,NA,NA,NA
1965-07-16,8.30,23.90,0.00,NA,NA,NA,NA
1965-07-17,17.20,23.90,0.00,NA,NA,NA,NA
1965-07-18,13.30,20.60,0.50,NA,NA,NA,NA
1965-07-19,8.30,20.00,0.00,NA,NA,NA,NA
1965-07-20,11.70,23.30,0.00,NA,NA,NA,NA
1965-07-21,15.00,22.80,0.00,NA,NA,NA,NA
1965-07-22,16.70,23.30,0.00,NA,NA,NA,NA
1965-07-23,18.90,23.30,0.00,NA,NA,NA,NA
1965-07-24,16.10,27.80,0.00,NA,NA,NA,NA
1965-07-25,16.10,25.60,0.00,NA,NA,NA,NA
1965-07-26,15.00,26.10,0.00,NA,NA,NA,NA
1965-07-27,12.20,26.70,0.00,NA,NA,NA,NA
1965-07-28,13.30,20.60,0.00,NA,NA,NA,NA
1965-07-29,10.00,21.10,0.30,NA,NA,NA,NA
1965-07-30,11.10,20.60,0.00,NA,NA,NA,NA
1965-07-31,10.00,26.10,0.00,NA,NA,NA,NA
1965-08-01,17.80,24.40,0.00,NA,NA,NA,NA
1965-08-02,18.30,24.40,1.50,NA,NA,NA,NA
1965-08-03,12.20,22.80,0.00,NA,NA,NA,NA
1965-08-04,10.00,22.20,0.00,NA,NA,NA,NA
1965-08-05,14.40,24.40,0.00,NA,NA,NA,NA
1965-08-06,13.90,30.00,0.00,NA,NA,NA,NA
1965-08-07,18.30,31.10,12.70,NA,NA,NA,NA
1965-08-08,20.00,23.90,1.30,NA,NA,NA,NA
1965-08-09,20.60,27.80,0.50,NA,NA,NA,NA
1965-08-10,13.30,21.70,22.90,NA,NA,NA,NA
1965-08-11,8.90,20.60,0.00,NA,NA,NA,NA
1965-08-12,16.10,26.70,0.00,NA,NA,NA,NA
1965-08-13,17.20,26.70,0.00,NA,NA,NA,NA
1965-08-14,16.10,26.10,0.00,NA,NA,NA,NA
1965-08-15,21.10,30.00,0.00,NA,NA,NA,NA
1965-08-16,15.60,28.90,0.00,NA,NA,NA,NA
1965-08-17,17.80,28.90,2.50,NA,NA,NA,NA
1965-08-18,18.30,27.20,12.40,NA,NA,NA,NA
1965-08-19,18.30,23.90,1.00,NA,NA,NA,NA
1965-08-20,12.20,22.80,0.00,NA,NA,NA,NA
1965-08-21,12.80,21.10,0.00,NA,NA,NA,NA
1965-08-22,14.40,21.70,0.50,NA,NA,NA,NA
1965-08-23,11.70,23.30,0.00,NA,NA,NA,NA
1965-08-24,10.00,21.70,0.00,NA,NA,NA,NA
1965-08-25,16.10,23.90,9.70,NA,NA,NA,NA
1965-08-26,18.30,22.20,0.30,NA,NA,NA,NA
1965-08-27,17.80,24.40,0.80,NA,NA,NA,NA
1965-08-28,14.40,19.40,0.00,NA,NA,NA,NA
1965-08-29,7.20,17.20,0.00,NA,NA,NA,NA
1965-08-30,3.90,17.80,0.00,NA,NA,NA,NA
1965-08-31,6.70,17.80,NA,NA,NA,NA,NA
1965-09-01,15.00,17.80,15.70,NA,NA,NA,NA
1965-09-02,10.60,20.00,0.00,NA,NA,NA,NA
