Daily data for a single station.
StationID:  , CA006158474
StationName:, "TORONTO DOWNSVIEW S"
Lat&Long    , 43.717, -79.483
Elevation:  , -9999.000
Starts(YMD):,1951-01-10
Ends(YMD):  ,1970-11-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1951-01-10,NA,NA,0.50,NA,NA,NA,NA
1951-01-11,NA,NA,NA,NA,NA,NA,NA
1951-01-12,NA,NA,NA,NA,NA,NA,NA
1951-01-13,NA,NA,NA,NA,NA,NA,NA
1951-01-14,NA,NA,6.40,NA,NA,NA,NA
1951-01-15,NA,NA,NA,NA,NA,NA,NA
1951-01-16,NA,NA,NA,NA,NA,NA,NA
1951-01-17,NA,NA,NA,NA,NA,NA,NA
1951-01-18,NA,NA,NA,NA,NA,NA,NA
1951-01-19,NA,NA,NA,NA,NA,NA,NA
1951-01-20,NA,NA,4.30,NA,NA,NA,NA
1951-01-21,NA,NA,NA,NA,NA,NA,NA
1951-01-22,NA,NA,1.30,NA,NA,NA,NA
1951-01-23,NA,NA,1.00,NA,NA,NA,NA
1951-01-24,NA,NA,0.00,NA,NA,NA,NA
1951-01-25,NA,NA,0.00,NA,NA,NA,NA
1951-01-26,NA,NA,0.30,NA,NA,NA,NA
1951-01-27,NA,NA,1.80,NA,NA,NA,NA
1951-01-28,NA,NA,0.00,NA,NA,NA,NA
1951-01-29,NA,NA,0.00,NA,NA,NA,NA
1951-01-30,NA,NA,2.00,NA,NA,NA,NA
1951-01-31,NA,NA,14.50,NA,NA,NA,NA
1951-02-01,NA,NA,6.60,NA,NA,NA,NA
1951-02-02,NA,NA,0.00,NA,NA,NA,NA
1951-02-03,NA,NA,0.00,NA,NA,NA,NA
1951-02-04,NA,NA,0.30,NA,NA,NA,NA
1951-02-05,NA,NA,0.00,NA,NA,NA,NA
1951-02-06,NA,NA,5.30,NA,NA,NA,NA
1951-02-07,NA,NA,0.00,NA,NA,NA,NA
1951-02-08,NA,NA,0.00,NA,NA,NA,NA
1951-02-09,NA,NA,2.50,NA,NA,NA,NA
1951-02-10,NA,NA,0.00,NA,NA,NA,NA
1951-02-11,NA,NA,0.00,NA,NA,NA,NA
