Daily data for a single station.
StationID:  , CA006166418
StationName:, "PETERBOROUGH A"
Lat&Long    , 44.233, -78.367
Elevation:  , -9999.000
Starts(YMD):,1969-02-01
Ends(YMD):  ,2007-05-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1969-02-01,NA,NA,0.00,NA,NA,NA,NA
1969-02-02,NA,NA,NA,NA,NA,NA,NA
1969-02-03,NA,NA,0.00,NA,NA,NA,NA
1969-02-04,NA,NA,0.00,NA,NA,NA,NA
1969-02-05,NA,NA,NA,NA,NA,NA,NA
1969-02-06,NA,NA,0.00,NA,NA,NA,NA
1969-02-07,NA,NA,0.00,NA,NA,NA,NA
1969-02-08,NA,NA,0.00,NA,NA,NA,NA
1969-02-09,NA,NA,0.00,NA,NA,NA,NA
1969-02-10,NA,NA,0.00,NA,NA,NA,NA
1969-02-11,NA,NA,NA,NA,NA,NA,NA
1969-02-12,NA,NA,0.00,NA,NA,NA,NA
1969-02-13,NA,-10.00,0.00,NA,NA,NA,NA
1969-02-14,-17.80,-7.80,0.00,NA,NA,NA,NA
1969-02-15,-15.00,-6.70,0.00,NA,NA,NA,NA
1969-02-16,-18.90,-1.10,0.00,NA,NA,NA,NA
1969-02-17,-17.80,0.60,0.00,NA,NA,NA,NA
1969-02-18,-16.10,1.10,0.00,NA,NA,NA,NA
1969-02-19,-7.20,3.30,0.00,NA,NA,NA,NA
1969-02-20,-1.70,3.90,0.00,NA,NA,NA,NA
1969-02-21,-10.00,3.90,0.00,NA,NA,NA,NA
1969-02-22,-11.10,0.60,0.00,NA,NA,NA,NA
1969-02-23,-2.80,0.00,6.10,NA,NA,NA,NA
1969-02-24,-2.20,2.80,1.30,NA,NA,NA,NA
1969-02-25,-1.70,1.10,0.80,NA,NA,NA,NA
1969-02-26,-3.30,-0.60,0.30,NA,NA,NA,NA
1969-02-27,-5.60,1.10,0.00,NA,NA,NA,NA
1969-02-28,-10.60,1.10,0.00,NA,NA,NA,NA
1969-03-01,-8.90,-1.10,0.00,NA,NA,NA,NA
1969-03-02,-8.30,2.20,0.00,NA,NA,NA,NA
1969-03-03,-10.60,4.40,0.00,NA,NA,NA,NA
1969-03-04,-11.70,-3.30,0.00,NA,NA,NA,NA
1969-03-05,-20.60,-6.10,0.00,NA,NA,NA,NA
1969-03-06,-17.80,-2.80,0.00,NA,NA,NA,NA
1969-03-07,-16.70,-5.00,0.00,NA,NA,NA,NA
1969-03-08,-12.80,-5.00,0.00,NA,NA,NA,NA
1969-03-09,-14.40,-1.10,0.00,NA,NA,NA,NA
1969-03-10,-10.00,-3.30,0.00,NA,NA,NA,NA
1969-03-11,-16.70,-9.40,0.00,NA,NA,NA,NA
1969-03-12,-13.30,-2.80,0.00,NA,NA,NA,NA
1969-03-13,-7.20,1.70,0.30,NA,NA,NA,NA
1969-03-14,-2.20,1.70,1.30,NA,NA,NA,NA
1969-03-15,-2.20,2.80,0.00,NA,NA,NA,NA
1969-03-16,-5.60,0.60,0.00,NA,NA,NA,NA
1969-03-17,-5.60,7.80,0.00,NA,NA,NA,NA
1969-03-18,-1.70,8.90,0.00,NA,NA,NA,NA
1969-03-19,-1.10,7.20,0.00,NA,NA,NA,NA
1969-03-20,-4.40,7.20,5.30,NA,NA,NA,NA
1969-03-21,2.20,3.30,0.80,NA,NA,NA,NA
1969-03-22,-5.00,1.70,0.00,NA,NA,NA,NA
1969-03-23,-6.10,8.30,0.00,NA,NA,NA,NA
1969-03-24,-3.30,8.30,11.70,NA,NA,NA,NA
1969-03-25,1.70,3.30,5.30,NA,NA,NA,NA
