Daily data for a single station.
StationID:  , CA006166443
StationName:, "PETERBOROUGH ONT HYDRO"
Lat&Long    , 44.333, -78.317
Elevation:  , -9999.000
Starts(YMD):,1949-09-01
Ends(YMD):  ,1965-06-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1949-09-01,NA,NA,7.60,NA,NA,NA,NA
1949-09-02,NA,NA,0.00,NA,NA,NA,NA
1949-09-03,NA,NA,0.00,NA,NA,NA,NA
1949-09-04,NA,NA,0.00,NA,NA,NA,NA
1949-09-05,NA,NA,0.80,NA,NA,NA,NA
1949-09-06,NA,NA,0.00,NA,NA,NA,NA
1949-09-07,NA,NA,8.10,NA,NA,NA,NA
1949-09-08,NA,NA,4.30,NA,NA,NA,NA
1949-09-09,NA,NA,0.00,NA,NA,NA,NA
1949-09-10,NA,NA,0.00,NA,NA,NA,NA
1949-09-11,NA,NA,0.00,NA,NA,NA,NA
1949-09-12,NA,NA,0.00,NA,NA,NA,NA
1949-09-13,NA,NA,12.70,NA,NA,NA,NA
1949-09-14,NA,NA,0.00,NA,NA,NA,NA
1949-09-15,NA,NA,0.00,NA,NA,NA,NA
1949-09-16,NA,NA,0.00,NA,NA,NA,NA
1949-09-17,NA,NA,0.00,NA,NA,NA,NA
1949-09-18,NA,NA,14.70,NA,NA,NA,NA
1949-09-19,NA,NA,0.00,NA,NA,NA,NA
1949-09-20,NA,NA,0.00,NA,NA,NA,NA
1949-09-21,NA,NA,2.30,NA,NA,NA,NA
1949-09-22,NA,NA,0.00,NA,NA,NA,NA
1949-09-23,NA,NA,20.60,NA,NA,NA,NA
1949-09-24,NA,NA,0.00,NA,NA,NA,NA
1949-09-25,NA,NA,0.00,NA,NA,NA,NA
1949-09-26,NA,NA,0.50,NA,NA,NA,NA
1949-09-27,NA,NA,9.40,NA,NA,NA,NA
1949-09-28,NA,NA,22.60,NA,NA,NA,NA
1949-09-29,NA,NA,0.00,NA,NA,NA,NA
1949-09-30,NA,NA,0.00,NA,NA,NA,NA
1949-10-01,NA,NA,0.00,NA,NA,NA,NA
1949-10-02,NA,NA,0.00,NA,NA,NA,NA
1949-10-03,NA,NA,3.30,NA,NA,NA,NA
1949-10-04,NA,NA,16.50,NA,NA,NA,NA
1949-10-05,NA,NA,0.80,NA,NA,NA,NA
1949-10-06,NA,NA,0.00,NA,NA,NA,NA
1949-10-07,NA,NA,3.30,NA,NA,NA,NA
1949-10-08,NA,NA,0.00,NA,NA,NA,NA
1949-10-09,NA,NA,2.50,NA,NA,NA,NA
1949-10-10,NA,NA,0.00,NA,NA,NA,NA
1949-10-11,NA,NA,4.60,NA,NA,NA,NA
1949-10-12,NA,NA,18.30,NA,NA,NA,NA
1949-10-13,NA,NA,0.00,NA,NA,NA,NA
1949-10-14,NA,NA,0.00,NA,NA,NA,NA
1949-10-15,NA,NA,0.00,NA,NA,NA,NA
1949-10-16,NA,NA,0.00,NA,NA,NA,NA
1949-10-17,NA,NA,0.00,NA,NA,NA,NA
1949-10-18,NA,NA,0.00,NA,NA,NA,NA
1949-10-19,NA,NA,0.00,NA,NA,NA,NA
1949-10-20,NA,NA,0.00,NA,NA,NA,NA
1949-10-21,NA,NA,2.80,NA,NA,NA,NA
1949-10-22,NA,NA,4.80,NA,NA,NA,NA
1949-10-23,NA,NA,0.00,NA,NA,NA,NA
1949-10-24,NA,NA,0.00,NA,NA,NA,NA
1949-10-25,NA,NA,0.00,NA,NA,NA,NA
1949-10-26,NA,NA,0.00,NA,NA,NA,NA
1949-10-27,NA,NA,0.50,NA,NA,NA,NA
1949-10-28,NA,NA,0.00,NA,NA,NA,NA
1949-10-29,NA,NA,0.00,NA,NA,NA,NA
1949-10-30,NA,NA,0.00,NA,NA,NA,NA
1949-10-31,NA,NA,0.00,NA,NA,NA,NA
1949-11-01,NA,NA,0.00,NA,NA,NA,NA
1949-11-02,NA,NA,0.80,NA,NA,NA,NA
1949-11-03,NA,NA,0.00,NA,NA,NA,NA
1949-11-04,NA,NA,0.00,NA,NA,NA,NA
1949-11-05,NA,NA,0.00,NA,NA,NA,NA
1949-11-06,NA,NA,0.00,NA,NA,NA,NA
1949-11-07,NA,NA,0.00,NA,NA,NA,NA
1949-11-08,NA,NA,0.00,NA,NA,NA,NA
1949-11-09,NA,NA,0.00,NA,NA,NA,NA
1949-11-10,NA,NA,0.00,NA,NA,NA,NA
1949-11-11,NA,NA,1.30,NA,NA,NA,NA
1949-11-12,NA,NA,0.00,NA,NA,NA,NA
1949-11-13,NA,NA,14.70,NA,NA,NA,NA
1949-11-14,NA,NA,2.00,NA,NA,NA,NA
1949-11-15,NA,NA,0.80,NA,NA,NA,NA
1949-11-16,NA,NA,0.00,NA,NA,NA,NA
1949-11-17,NA,NA,0.00,NA,NA,NA,NA
1949-11-18,NA,NA,0.00,NA,NA,NA,NA
1949-11-19,NA,NA,0.00,NA,NA,NA,NA
1949-11-20,NA,NA,2.00,NA,NA,NA,NA
1949-11-21,NA,NA,0.00,NA,NA,NA,NA
1949-11-22,NA,NA,0.00,NA,NA,NA,NA
1949-11-23,NA,NA,2.50,NA,NA,NA,NA
1949-11-24,NA,NA,12.70,NA,NA,NA,NA
1949-11-25,NA,NA,7.60,NA,NA,NA,NA
1949-11-26,NA,NA,0.00,NA,NA,NA,NA
1949-11-27,NA,NA,0.00,NA,NA,NA,NA
1949-11-28,NA,NA,0.00,NA,NA,NA,NA
1949-11-29,NA,NA,6.40,NA,NA,NA,NA
1949-11-30,NA,NA,1.00,NA,NA,NA,NA
1949-12-01,NA,NA,2.50,NA,NA,NA,NA
1949-12-02,NA,NA,1.30,NA,NA,NA,NA
1949-12-03,NA,NA,0.00,NA,NA,NA,NA
1949-12-04,NA,NA,3.80,NA,NA,NA,NA
1949-12-05,NA,NA,7.60,NA,NA,NA,NA
1949-12-06,NA,NA,0.00,NA,NA,NA,NA
1949-12-07,NA,NA,10.20,NA,NA,NA,NA
