Daily data for a single station.
StationID:  , CA00616I001
StationName:, "BANCROFT AUTO"
Lat&Long    , 45.067, -77.883
Elevation:  , -9999.000
Starts(YMD):,1995-06-20
Ends(YMD):  ,2024-10-20
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1995-06-20,NA,23.50,0.00,NA,NA,NA,NA
1995-06-21,1.60,24.60,0.00,NA,NA,NA,NA
1995-06-22,3.20,27.50,0.00,NA,NA,NA,NA
1995-06-23,9.30,28.10,0.00,NA,NA,NA,NA
1995-06-24,10.90,29.10,0.00,NA,NA,NA,NA
1995-06-25,14.90,28.00,2.20,NA,NA,NA,NA
1995-06-26,15.90,28.30,0.00,NA,NA,NA,NA
1995-06-27,NA,23.40,0.00,NA,NA,NA,NA
1995-06-28,12.90,24.00,0.00,NA,NA,NA,NA
1995-06-29,12.00,26.40,0.00,NA,NA,NA,NA
1995-06-30,12.90,25.70,1.00,NA,NA,NA,NA
1995-07-01,10.40,24.50,2.40,NA,NA,NA,NA
1995-07-02,3.10,16.80,0.00,NA,NA,NA,NA
1995-07-03,1.70,22.30,0.00,NA,NA,NA,NA
1995-07-04,NA,26.70,0.00,NA,NA,NA,NA
1995-07-05,11.00,27.70,12.40,NA,NA,NA,NA
1995-07-06,16.20,26.50,2.20,NA,NA,NA,NA
1995-07-07,10.20,21.10,4.80,NA,NA,NA,NA
1995-07-08,5.10,16.30,0.00,NA,NA,NA,NA
1995-07-09,4.40,16.20,3.60,NA,NA,NA,NA
1995-07-10,5.30,21.20,1.20,NA,NA,NA,NA
1995-07-11,NA,25.20,NA,NA,NA,NA,NA
1995-07-12,8.20,26.30,0.00,NA,NA,NA,NA
1995-07-13,13.90,31.60,3.80,NA,NA,NA,NA
1995-07-14,17.40,32.50,0.00,NA,NA,NA,NA
1995-07-15,11.80,24.30,0.00,NA,NA,NA,NA
1995-07-16,13.00,17.30,5.00,NA,NA,NA,NA
1995-07-17,11.10,24.10,3.40,NA,NA,NA,NA
1995-07-18,NA,22.80,NA,NA,NA,NA,NA
1995-07-19,11.80,25.10,0.00,NA,NA,NA,NA
1995-07-20,11.70,23.80,6.40,NA,NA,NA,NA
1995-07-21,8.80,25.40,0.00,NA,NA,NA,NA
1995-07-22,8.00,27.10,0.20,NA,NA,NA,NA
1995-07-23,14.10,22.20,5.20,NA,NA,NA,NA
1995-07-24,13.00,25.10,0.00,NA,NA,NA,NA
1995-07-25,12.70,26.10,0.20,NA,NA,NA,NA
1995-07-26,NA,28.00,0.00,NA,NA,NA,NA
1995-07-27,13.60,27.00,0.00,NA,NA,NA,NA
1995-07-28,11.90,28.00,8.40,NA,NA,NA,NA
1995-07-29,10.30,27.50,0.00,NA,NA,NA,NA
1995-07-30,8.20,27.40,0.00,NA,NA,NA,NA
1995-07-31,10.00,30.40,0.00,NA,NA,NA,NA
1995-08-01,12.90,29.80,7.20,NA,NA,NA,NA
1995-08-02,NA,22.50,NA,NA,NA,NA,NA
1995-08-03,10.80,22.20,4.20,NA,NA,NA,NA
1995-08-04,18.30,25.70,4.00,NA,NA,NA,NA
1995-08-05,15.90,23.30,NA,NA,NA,NA,NA
1995-08-06,10.30,22.30,0.20,NA,NA,NA,NA
1995-08-07,7.00,25.00,0.00,NA,NA,NA,NA
1995-08-08,5.90,26.10,0.00,NA,NA,NA,NA
1995-08-09,NA,26.20,NA,NA,NA,NA,NA
1995-08-10,5.90,27.40,0.00,NA,NA,NA,NA
1995-08-11,14.30,27.80,8.00,NA,NA,NA,NA
1995-08-12,9.10,25.10,0.80,NA,NA,NA,NA
1995-08-13,6.50,23.60,0.00,NA,NA,NA,NA
1995-08-14,15.50,25.10,0.00,NA,NA,NA,NA
1995-08-15,13.20,30.70,0.00,NA,NA,NA,NA
1995-08-16,NA,30.00,NA,NA,NA,NA,NA
1995-08-17,12.20,29.80,0.00,NA,NA,NA,NA
1995-08-18,9.40,28.20,0.00,NA,NA,NA,NA
1995-08-19,6.70,29.00,0.00,NA,NA,NA,NA
1995-08-20,10.40,30.70,0.00,NA,NA,NA,NA
1995-08-21,10.00,27.70,0.00,NA,NA,NA,NA
1995-08-22,4.50,18.60,0.00,NA,NA,NA,NA
1995-08-23,NA,24.20,0.00,NA,NA,NA,NA
1995-08-24,2.80,19.80,0.00,NA,NA,NA,NA
1995-08-25,1.10,20.40,0.00,NA,NA,NA,NA
1995-08-26,10.50,19.90,5.80,NA,NA,NA,NA
1995-08-27,3.50,20.40,0.40,NA,NA,NA,NA
1995-08-28,1.90,23.30,0.00,NA,NA,NA,NA
1995-08-29,NA,NA,NA,NA,NA,NA,NA
1995-08-30,NA,NA,NA,NA,NA,NA,NA
1995-08-31,13.20,22.20,29.00,NA,NA,NA,NA
1995-09-01,NA,19.90,NA,NA,NA,NA,NA
1995-09-02,4.70,20.40,0.00,NA,NA,NA,NA
1995-09-03,7.40,17.40,2.00,NA,NA,NA,NA
1995-09-04,6.40,23.70,0.00,NA,NA,NA,NA
1995-09-05,6.30,23.50,0.00,NA,NA,NA,NA
1995-09-06,NA,21.60,NA,NA,NA,NA,NA
1995-09-07,-2.50,18.40,7.60,NA,NA,NA,NA
1995-09-08,-4.10,15.80,0.20,NA,NA,NA,NA
1995-09-09,-0.10,17.20,0.40,NA,NA,NA,NA
1995-09-10,0.00,13.80,0.00,NA,NA,NA,NA
1995-09-11,-1.50,19.80,0.00,NA,NA,NA,NA
1995-09-12,-1.70,23.90,0.00,NA,NA,NA,NA
1995-09-13,NA,21.70,NA,NA,NA,NA,NA
1995-09-14,-2.10,15.70,0.60,NA,NA,NA,NA
1995-09-15,-4.60,14.90,0.00,NA,NA,NA,NA
1995-09-16,-2.40,19.90,0.20,NA,NA,NA,NA
1995-09-17,0.00,19.00,3.40,NA,NA,NA,NA
1995-09-18,-4.00,15.10,0.20,NA,NA,NA,NA
1995-09-19,-0.90,17.70,0.20,NA,NA,NA,NA
1995-09-20,NA,11.80,NA,NA,NA,NA,NA
1995-09-21,9.30,18.50,0.60,NA,NA,NA,NA
1995-09-22,2.80,12.20,7.80,NA,NA,NA,NA
1995-09-23,-2.20,11.60,0.00,NA,NA,NA,NA
1995-09-24,-1.50,11.10,0.20,NA,NA,NA,NA
1995-09-25,-1.90,14.40,0.80,NA,NA,NA,NA
1995-09-26,5.00,15.00,23.20,NA,NA,NA,NA
1995-09-27,4.80,16.20,0.20,NA,NA,NA,NA
1995-09-28,NA,14.60,0.00,NA,NA,NA,NA
1995-09-29,-6.70,20.10,0.20,NA,NA,NA,NA
1995-09-30,1.40,22.00,0.00,NA,NA,NA,NA
1995-10-01,2.90,22.00,0.00,NA,NA,NA,NA
1995-10-02,4.60,17.20,0.00,NA,NA,NA,NA
1995-10-03,4.10,10.00,5.80,NA,NA,NA,NA
1995-10-04,5.10,11.80,1.40,NA,NA,NA,NA
1995-10-05,NA,12.60,NA,NA,NA,NA,NA
1995-10-06,7.90,9.90,41.40,NA,NA,NA,NA
1995-10-07,8.70,15.70,10.00,NA,NA,NA,NA
1995-10-08,6.90,11.10,0.20,NA,NA,NA,NA
1995-10-09,-0.20,12.20,0.20,NA,NA,NA,NA
1995-10-10,-1.20,17.10,0.40,NA,NA,NA,NA
1995-10-11,1.90,17.80,0.00,NA,NA,NA,NA
1995-10-12,NA,25.10,0.00,NA,NA,NA,NA
1995-10-13,4.20,24.70,0.00,NA,NA,NA,NA
1995-10-14,6.20,14.30,10.20,NA,NA,NA,NA
1995-10-15,2.20,8.60,4.80,NA,NA,NA,NA
1995-10-16,-3.70,8.10,0.00,NA,NA,NA,NA
1995-10-17,-7.00,10.00,0.00,NA,NA,NA,NA
1995-10-18,-1.40,16.60,0.00,NA,NA,NA,NA
1995-10-19,NA,8.10,0.00,NA,NA,NA,NA
1995-10-20,-0.50,17.90,9.00,NA,NA,NA,NA
1995-10-21,4.20,8.80,44.20,NA,NA,NA,NA
1995-10-22,2.50,7.50,2.60,NA,NA,NA,NA
1995-10-23,-1.50,16.90,0.00,NA,NA,NA,NA
1995-10-24,-3.30,13.60,5.00,NA,NA,NA,NA
1995-10-25,-2.50,8.20,1.20,NA,NA,NA,NA
1995-10-26,NA,14.00,NA,NA,NA,NA,NA
1995-10-27,-0.20,11.30,26.60,NA,NA,NA,NA
1995-10-28,2.20,10.70,2.60,NA,NA,NA,NA
