Daily data for a single station.
StationID:  , USC00200485
StationName:, "BARAGA"
Lat&Long    , 46.783, -88.483
Elevation:  , -9999.000
Starts(YMD):,1967-04-01
Ends(YMD):  ,1987-03-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1967-04-01,1.10,17.20,0.00,NA,NA,NA,NA
1967-04-02,-1.70,3.30,0.80,NA,NA,NA,NA
1967-04-03,-7.80,6.10,1.80,NA,NA,NA,NA
1967-04-04,-8.30,16.10,0.00,NA,NA,NA,NA
1967-04-05,-3.30,11.70,0.00,NA,NA,NA,NA
1967-04-06,-1.70,3.30,0.00,NA,NA,NA,NA
1967-04-07,-6.70,1.70,1.30,NA,NA,NA,NA
1967-04-08,-6.10,11.10,0.00,NA,NA,NA,NA
1967-04-09,1.70,18.30,0.00,NA,NA,NA,NA
1967-04-10,-6.10,10.00,1.80,NA,NA,NA,NA
1967-04-11,-11.70,2.80,0.00,NA,NA,NA,NA
1967-04-12,-12.20,7.20,0.00,NA,NA,NA,NA
1967-04-13,-5.00,13.30,0.00,NA,NA,NA,NA
1967-04-14,-4.40,16.70,8.40,NA,NA,NA,NA
1967-04-15,3.90,22.20,3.60,NA,NA,NA,NA
1967-04-16,-0.60,11.70,0.00,NA,NA,NA,NA
1967-04-17,2.20,12.20,5.10,NA,NA,NA,NA
1967-04-18,-0.60,4.40,24.90,NA,NA,NA,NA
1967-04-19,-6.10,2.80,0.00,NA,NA,NA,NA
1967-04-20,-4.40,12.20,0.00,NA,NA,NA,NA
1967-04-21,-3.90,16.70,1.30,NA,NA,NA,NA
1967-04-22,0.00,20.00,0.00,NA,NA,NA,NA
1967-04-23,-3.90,1.70,2.00,NA,NA,NA,NA
1967-04-24,-9.40,0.60,0.80,NA,NA,NA,NA
1967-04-25,-10.00,6.10,0.00,NA,NA,NA,NA
1967-04-26,-11.70,11.10,0.00,NA,NA,NA,NA
1967-04-27,-7.80,14.40,0.00,NA,NA,NA,NA
1967-04-28,-3.90,15.60,0.00,NA,NA,NA,NA
1967-04-29,-2.20,16.70,0.00,NA,NA,NA,NA
1967-04-30,1.10,20.60,1.00,NA,NA,NA,NA
1967-05-01,-0.60,NA,14.20,NA,NA,NA,NA
1967-05-02,0.60,17.20,0.50,NA,NA,NA,NA
1967-05-03,-6.10,5.60,2.30,NA,NA,NA,NA
1967-05-04,-6.10,1.70,0.00,NA,NA,NA,NA
1967-05-05,-2.80,6.10,0.50,NA,NA,NA,NA
1967-05-06,-5.00,12.20,0.00,NA,NA,NA,NA
1967-05-07,-5.00,16.70,0.00,NA,NA,NA,NA
1967-05-08,3.90,17.80,1.80,NA,NA,NA,NA
1967-05-09,0.60,7.80,0.80,NA,NA,NA,NA
1967-05-10,-5.60,8.30,0.00,NA,NA,NA,NA
1967-05-11,-4.40,7.80,7.90,NA,NA,NA,NA
1967-05-12,-6.10,9.40,0.00,NA,NA,NA,NA
1967-05-13,-6.10,14.40,0.00,NA,NA,NA,NA
1967-05-14,-3.30,13.90,0.00,NA,NA,NA,NA
1967-05-15,-5.60,13.30,0.00,NA,NA,NA,NA
1967-05-16,-5.00,12.20,0.00,NA,NA,NA,NA
1967-05-17,-0.60,18.30,0.00,NA,NA,NA,NA
1967-05-18,-2.20,20.00,0.50,NA,NA,NA,NA
1967-05-19,3.30,20.60,0.00,NA,NA,NA,NA
1967-05-20,0.60,9.40,1.50,NA,NA,NA,NA
1967-05-21,-1.10,11.10,0.00,NA,NA,NA,NA
