Daily data for a single station.
StationID:  , USC00202393
StationName:, "EAST LANSING EXP FARM"
Lat&Long    , 42.700, -84.467
Elevation:  , -9999.000
Starts(YMD):,1940-01-01
Ends(YMD):  ,1960-10-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1940-01-01,-9.40,-5.00,0.00,NA,NA,NA,NA
1940-01-02,-8.90,-5.00,0.00,NA,NA,NA,NA
1940-01-03,-11.70,-6.70,0.00,NA,NA,NA,NA
1940-01-04,-9.40,-6.10,0.00,NA,NA,NA,NA
1940-01-05,-16.10,-4.40,0.00,NA,NA,NA,NA
1940-01-06,-9.40,-4.40,0.00,NA,NA,NA,NA
1940-01-07,-7.80,-3.90,1.80,NA,NA,NA,NA
1940-01-08,-14.40,-4.40,0.00,NA,NA,NA,NA
1940-01-09,NA,-5.00,0.00,NA,NA,NA,NA
1940-01-10,-7.80,-1.70,1.30,NA,NA,NA,NA
1940-01-11,-2.80,1.70,2.80,NA,NA,NA,NA
1940-01-12,-3.90,0.60,0.00,NA,NA,NA,NA
1940-01-13,-4.40,1.70,0.00,NA,NA,NA,NA
1940-01-14,-2.20,5.60,21.60,NA,NA,NA,NA
1940-01-15,-11.10,0.00,0.00,NA,NA,NA,NA
1940-01-16,-14.40,-11.10,0.00,NA,NA,NA,NA
1940-01-17,-15.00,-10.00,0.30,NA,NA,NA,NA
1940-01-18,NA,-13.30,0.00,NA,NA,NA,NA
1940-01-19,NA,-12.20,0.30,NA,NA,NA,NA
1940-01-20,-14.40,-5.60,1.30,NA,NA,NA,NA
1940-01-21,-8.30,-4.40,0.00,NA,NA,NA,NA
1940-01-22,-7.20,-3.90,0.00,NA,NA,NA,NA
1940-01-23,-7.20,-4.40,0.00,NA,NA,NA,NA
1940-01-24,-8.90,-4.40,2.00,NA,NA,NA,NA
1940-01-25,-15.60,-5.60,0.00,NA,NA,NA,NA
1940-01-26,-12.80,-7.20,0.00,NA,NA,NA,NA
1940-01-27,-10.60,-7.20,0.00,NA,NA,NA,NA
1940-01-28,-11.70,-5.60,0.50,NA,NA,NA,NA
1940-01-29,-11.10,-3.90,2.50,NA,NA,NA,NA
1940-01-30,-10.00,-2.20,0.00,NA,NA,NA,NA
1940-01-31,-10.00,-1.70,0.00,NA,NA,NA,NA
1940-02-01,-9.40,0.60,0.30,NA,NA,NA,NA
1940-02-02,-16.10,-3.90,0.00,NA,NA,NA,NA
1940-02-03,-7.20,3.30,0.00,NA,NA,NA,NA
1940-02-04,-4.40,2.20,0.50,NA,NA,NA,NA
1940-02-05,-1.70,1.70,0.00,NA,NA,NA,NA
1940-02-06,-1.10,1.10,0.00,NA,NA,NA,NA
1940-02-07,-3.30,-0.60,0.00,NA,NA,NA,NA
1940-02-08,-5.00,0.00,3.80,NA,NA,NA,NA
1940-02-09,-11.10,-4.40,1.00,NA,NA,NA,NA
1940-02-10,-6.70,-3.90,0.00,NA,NA,NA,NA
1940-02-11,-10.00,1.70,0.00,NA,NA,NA,NA
1940-02-12,-7.20,3.30,0.00,NA,NA,NA,NA
1940-02-13,-8.30,-4.40,0.00,NA,NA,NA,NA
1940-02-14,-11.10,-2.80,0.00,NA,NA,NA,NA
1940-02-15,-12.80,0.00,0.00,NA,NA,NA,NA
1940-02-16,-8.90,1.10,0.00,NA,NA,NA,NA
1940-02-17,-7.80,1.70,0.00,NA,NA,NA,NA
