Daily data for a single station.
StationID:  , USC00205451
StationName:, "MILAN WWTP"
Lat&Long    , 42.081, -83.677
Elevation:  , -9999.000
Starts(YMD):,2003-12-01
Ends(YMD):  ,2024-10-17
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2003-12-01,0.00,10.00,0.00,NA,NA,NA,NA
2003-12-02,-5.60,5.60,0.00,NA,NA,NA,NA
2003-12-03,-7.20,-2.80,0.00,NA,NA,NA,NA
2003-12-04,-11.70,3.90,0.00,NA,NA,NA,NA
2003-12-05,-1.70,6.70,0.00,NA,NA,NA,NA
2003-12-06,-3.30,3.30,2.00,NA,NA,NA,NA
2003-12-07,-6.70,3.30,0.00,NA,NA,NA,NA
2003-12-08,-8.30,2.20,0.00,NA,NA,NA,NA
2003-12-09,-8.30,5.60,0.00,NA,NA,NA,NA
2003-12-10,-2.80,6.10,1.30,NA,NA,NA,NA
2003-12-11,-6.10,8.90,17.00,NA,NA,NA,NA
2003-12-12,NA,1.70,0.00,NA,NA,NA,NA
2003-12-13,-11.70,0.00,0.00,NA,NA,NA,NA
2003-12-14,-11.10,0.00,4.60,NA,NA,NA,NA
2003-12-15,-2.20,1.10,0.50,NA,NA,NA,NA
2003-12-16,-5.60,4.40,0.00,NA,NA,NA,NA
2003-12-17,-9.40,6.10,2.50,NA,NA,NA,NA
2003-12-18,NA,-0.60,1.30,NA,NA,NA,NA
2003-12-19,-3.30,0.60,0.30,NA,NA,NA,NA
2003-12-20,-10.00,0.60,0.30,NA,NA,NA,NA
2003-12-21,-13.90,0.00,0.00,NA,NA,NA,NA
2003-12-22,-3.90,6.70,0.00,NA,NA,NA,NA
2003-12-23,1.70,7.80,3.00,NA,NA,NA,NA
2003-12-24,-6.70,3.90,5.10,NA,NA,NA,NA
2003-12-25,-9.40,1.10,1.00,NA,NA,NA,NA
2003-12-26,-12.80,0.00,0.00,NA,NA,NA,NA
2003-12-27,-12.80,6.70,0.00,NA,NA,NA,NA
2003-12-28,-12.20,8.30,0.00,NA,NA,NA,NA
2003-12-29,-3.90,9.40,3.80,NA,NA,NA,NA
2003-12-30,0.00,7.80,6.10,NA,NA,NA,NA
2003-12-31,-2.20,3.30,0.00,NA,NA,NA,NA
2004-01-01,-6.70,9.40,0.00,NA,NA,NA,NA
2004-01-02,NA,7.80,8.90,NA,NA,NA,NA
2004-01-03,6.10,13.90,0.00,NA,NA,NA,NA
2004-01-04,-1.70,12.80,0.00,NA,NA,NA,NA
2004-01-05,-8.30,1.10,9.90,NA,NA,NA,NA
2004-01-06,-17.80,0.00,1.50,NA,NA,NA,NA
2004-01-07,-16.10,-10.00,0.00,NA,NA,NA,NA
2004-01-08,-20.60,-3.90,0.00,NA,NA,NA,NA
2004-01-09,NA,0.00,0.00,NA,NA,NA,NA
2004-01-10,-15.00,-7.80,0.00,NA,NA,NA,NA
2004-01-11,NA,-3.90,0.00,NA,NA,NA,NA
2004-01-12,-4.40,3.30,0.00,NA,NA,NA,NA
2004-01-13,-7.80,2.80,0.00,NA,NA,NA,NA
2004-01-14,-8.90,0.60,0.00,NA,NA,NA,NA
2004-01-15,-15.00,-2.20,68.60,NA,NA,NA,NA
2004-01-16,-15.00,-8.30,0.00,NA,NA,NA,NA
2004-01-17,-15.60,-5.60,0.00,NA,NA,NA,NA
2004-01-18,-13.30,0.00,2.80,NA,NA,NA,NA
2004-01-19,-10.00,-2.80,0.00,NA,NA,NA,NA
2004-01-20,-15.60,-4.40,0.00,NA,NA,NA,NA
2004-01-21,-17.20,-5.60,0.00,NA,NA,NA,NA
2004-01-22,-17.20,-3.90,0.00,NA,NA,NA,NA
2004-01-23,-15.00,-8.30,0.00,NA,NA,NA,NA
2004-01-24,-14.40,-10.00,40.60,NA,NA,NA,NA
2004-01-25,-23.90,-6.70,0.00,NA,NA,NA,NA
2004-01-26,-26.10,-6.10,0.00,NA,NA,NA,NA
2004-01-27,-8.90,-0.60,7.10,NA,NA,NA,NA
2004-01-28,-7.80,-0.60,3.80,NA,NA,NA,NA
2004-01-29,-20.00,-1.70,0.00,NA,NA,NA,NA
2004-01-30,-25.60,NA,0.50,NA,NA,NA,NA
2004-01-31,-17.20,-7.80,0.00,NA,NA,NA,NA
2004-02-01,-23.90,-11.10,0.00,NA,NA,NA,NA
