Daily data for a single station.
StationID:  , USC00206404
StationName:, "PAW PAW"
Lat&Long    , 42.217, -85.900
Elevation:  , -9999.000
Starts(YMD):,1940-01-01
Ends(YMD):  ,1965-06-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1940-01-01,-10.00,-5.60,1.50,NA,NA,NA,NA
1940-01-02,-8.90,-5.00,1.00,NA,NA,NA,NA
1940-01-03,-12.20,-7.20,0.50,NA,NA,NA,NA
1940-01-04,-11.70,-6.10,0.00,NA,NA,NA,NA
1940-01-05,-15.00,-3.90,16.50,NA,NA,NA,NA
1940-01-06,-13.90,-5.00,0.00,NA,NA,NA,NA
1940-01-07,-15.60,-5.60,2.30,NA,NA,NA,NA
1940-01-08,-16.70,-6.70,1.80,NA,NA,NA,NA
1940-01-09,-25.00,-5.00,0.00,NA,NA,NA,NA
1940-01-10,-8.30,-2.80,0.00,NA,NA,NA,NA
1940-01-11,-2.80,1.70,1.30,NA,NA,NA,NA
1940-01-12,-2.20,1.70,0.00,NA,NA,NA,NA
1940-01-13,-4.40,1.70,0.00,NA,NA,NA,NA
1940-01-14,-3.30,4.40,17.50,NA,NA,NA,NA
1940-01-15,-9.40,-3.30,4.80,NA,NA,NA,NA
1940-01-16,-12.80,-6.70,0.50,NA,NA,NA,NA
1940-01-17,-21.10,-8.90,0.00,NA,NA,NA,NA
1940-01-18,-22.80,-11.10,2.50,NA,NA,NA,NA
1940-01-19,-25.60,-17.20,NA,NA,NA,NA,NA
1940-01-20,-17.80,-7.20,2.50,NA,NA,NA,NA
1940-01-21,-11.70,-6.10,0.00,NA,NA,NA,NA
1940-01-22,-9.40,-6.70,0.00,NA,NA,NA,NA
1940-01-23,-9.40,-6.10,0.00,NA,NA,NA,NA
1940-01-24,-11.70,-5.60,2.00,NA,NA,NA,NA
1940-01-25,-13.90,-6.70,4.30,NA,NA,NA,NA
1940-01-26,-16.10,-6.10,0.80,NA,NA,NA,NA
1940-01-27,-13.30,-7.80,0.00,NA,NA,NA,NA
1940-01-28,-11.10,-5.00,0.00,NA,NA,NA,NA
1940-01-29,-10.60,-3.30,2.00,NA,NA,NA,NA
1940-01-30,-8.90,-2.20,0.00,NA,NA,NA,NA
1940-01-31,-6.10,-0.60,0.00,NA,NA,NA,NA
1940-02-01,-3.30,0.60,0.00,NA,NA,NA,NA
1940-02-02,-18.30,-2.20,0.00,NA,NA,NA,NA
1940-02-03,-14.40,2.20,0.00,NA,NA,NA,NA
1940-02-04,-4.40,1.10,0.00,NA,NA,NA,NA
1940-02-05,-2.20,1.70,1.30,NA,NA,NA,NA
1940-02-06,-2.80,1.70,0.00,NA,NA,NA,NA
1940-02-07,-3.90,-0.60,0.00,NA,NA,NA,NA
1940-02-08,-2.80,1.10,8.10,NA,NA,NA,NA
1940-02-09,-8.90,-1.10,2.00,NA,NA,NA,NA
1940-02-10,-6.70,-3.30,0.00,NA,NA,NA,NA
1940-02-11,-13.90,4.40,0.00,NA,NA,NA,NA
1940-02-12,-1.70,3.30,0.00,NA,NA,NA,NA
1940-02-13,-9.40,-0.60,0.00,NA,NA,NA,NA
