Daily data for a single station.
StationID:  , USC00213921
StationName:, "HOYT LAKES 5 N"
Lat&Long    , 47.583, -92.133
Elevation:  , -9999.000
Starts(YMD):,1958-03-01
Ends(YMD):  ,1984-02-29
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1958-03-01,-6.10,-2.20,1.00,NA,NA,NA,NA
1958-03-02,-7.80,-2.20,0.30,NA,NA,NA,NA
1958-03-03,-5.00,0.60,0.00,NA,NA,NA,NA
1958-03-04,-5.60,0.00,0.00,NA,NA,NA,NA
1958-03-05,-7.80,0.60,3.60,NA,NA,NA,NA
1958-03-06,-7.80,2.80,0.00,NA,NA,NA,NA
1958-03-07,-9.40,-0.60,0.00,NA,NA,NA,NA
1958-03-08,-8.30,1.70,0.00,NA,NA,NA,NA
1958-03-09,-7.80,1.70,0.00,NA,NA,NA,NA
1958-03-10,-10.60,2.80,0.00,NA,NA,NA,NA
1958-03-11,-12.20,2.80,0.00,NA,NA,NA,NA
1958-03-12,-10.60,0.00,0.00,NA,NA,NA,NA
1958-03-13,-7.20,-5.60,0.30,NA,NA,NA,NA
1958-03-14,-6.70,-2.20,0.00,NA,NA,NA,NA
1958-03-15,-6.70,-0.60,0.30,NA,NA,NA,NA
1958-03-16,-5.60,1.70,0.80,NA,NA,NA,NA
1958-03-17,-7.20,0.60,2.50,NA,NA,NA,NA
1958-03-18,-3.90,2.20,3.60,NA,NA,NA,NA
1958-03-19,-6.10,0.60,0.00,NA,NA,NA,NA
1958-03-20,-8.90,0.60,0.00,NA,NA,NA,NA
1958-03-21,-7.80,3.90,0.00,NA,NA,NA,NA
1958-03-22,-10.60,5.60,0.00,NA,NA,NA,NA
1958-03-23,-9.40,7.80,0.00,NA,NA,NA,NA
1958-03-24,-7.20,6.70,0.00,NA,NA,NA,NA
1958-03-25,-11.70,8.90,0.00,NA,NA,NA,NA
1958-03-26,-8.30,7.80,0.00,NA,NA,NA,NA
1958-03-27,-6.10,8.30,0.00,NA,NA,NA,NA
1958-03-28,-7.80,9.40,0.00,NA,NA,NA,NA
1958-03-29,-5.60,9.40,0.00,NA,NA,NA,NA
1958-03-30,-6.70,15.60,0.00,NA,NA,NA,NA
1958-03-31,-5.00,12.20,0.00,NA,NA,NA,NA
1958-04-01,1.70,15.60,0.00,NA,NA,NA,NA
1958-04-02,3.30,7.80,0.00,NA,NA,NA,NA
1958-04-03,2.20,8.30,0.00,NA,NA,NA,NA
1958-04-04,0.00,10.60,0.00,NA,NA,NA,NA
1958-04-05,2.80,9.40,0.00,NA,NA,NA,NA
1958-04-06,-2.80,7.80,0.00,NA,NA,NA,NA
