Daily data for a single station.
StationID:  , USC00214918
StationName:, "LUTSEN 3NNE"
Lat&Long    , 47.698, -90.666
Elevation:  , -9999.000
Starts(YMD):,1986-10-01
Ends(YMD):  ,2006-03-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1986-10-01,2.20,18.30,0.00,NA,NA,NA,NA
1986-10-02,2.20,15.00,0.00,NA,NA,NA,NA
1986-10-03,2.80,14.40,0.00,NA,NA,NA,NA
1986-10-04,-1.70,8.90,0.00,NA,NA,NA,NA
1986-10-05,-1.70,8.30,0.30,NA,NA,NA,NA
1986-10-06,-3.90,6.70,0.00,NA,NA,NA,NA
1986-10-07,-3.90,7.20,0.30,NA,NA,NA,NA
1986-10-08,0.60,16.70,2.50,NA,NA,NA,NA
1986-10-09,-5.60,6.70,0.00,NA,NA,NA,NA
1986-10-10,NA,7.20,0.00,NA,NA,NA,NA
1986-10-11,2.80,7.80,0.00,NA,NA,NA,NA
1986-10-12,0.60,6.70,7.90,NA,NA,NA,NA
1986-10-13,-0.60,1.10,0.00,NA,NA,NA,NA
1986-10-14,-0.60,2.80,3.80,NA,NA,NA,NA
1986-10-15,-2.20,5.00,0.00,NA,NA,NA,NA
1986-10-16,-0.60,5.60,0.00,NA,NA,NA,NA
1986-10-17,1.70,5.00,0.00,NA,NA,NA,NA
1986-10-18,-1.10,4.40,0.00,NA,NA,NA,NA
1986-10-19,-0.60,8.30,0.00,NA,NA,NA,NA
1986-10-20,-0.60,13.30,0.00,NA,NA,NA,NA
1986-10-21,3.30,18.90,0.00,NA,NA,NA,NA
1986-10-22,3.90,19.40,0.00,NA,NA,NA,NA
1986-10-23,4.40,21.70,0.00,NA,NA,NA,NA
1986-10-24,3.30,4.40,0.00,NA,NA,NA,NA
1986-10-25,-3.30,4.40,0.00,NA,NA,NA,NA
1986-10-26,NA,8.30,0.00,NA,NA,NA,NA
1986-10-27,-2.20,6.10,0.00,NA,NA,NA,NA
1986-10-28,-1.10,11.10,0.00,NA,NA,NA,NA
1986-10-29,-2.20,12.80,0.00,NA,NA,NA,NA
1986-10-30,-7.80,12.80,0.00,NA,NA,NA,NA
1986-10-31,NA,7.80,0.00,NA,NA,NA,NA
1986-11-01,-6.10,NA,0.00,NA,NA,NA,NA
1986-11-02,-8.90,-0.60,0.00,NA,NA,NA,NA
1986-11-03,NA,2.20,4.60,NA,NA,NA,NA
1986-11-04,-13.30,0.60,0.00,NA,NA,NA,NA
1986-11-05,NA,1.10,5.10,NA,NA,NA,NA
1986-11-06,-1.10,4.40,0.00,NA,NA,NA,NA
1986-11-07,0.00,1.10,29.20,NA,NA,NA,NA
1986-11-08,0.00,7.20,39.40,NA,NA,NA,NA
1986-11-09,-8.90,NA,1.30,NA,NA,NA,NA
1986-11-10,-13.90,-8.90,0.50,NA,NA,NA,NA
1986-11-11,-19.40,-8.30,0.00,NA,NA,NA,NA
1986-11-12,NA,-8.90,0.50,NA,NA,NA,NA
1986-11-13,-21.10,-14.40,0.00,NA,NA,NA,NA
1986-11-14,-20.60,-7.80,0.00,NA,NA,NA,NA
1986-11-15,-10.00,-5.00,1.00,NA,NA,NA,NA
1986-11-16,-10.00,-6.10,0.00,NA,NA,NA,NA
1986-11-17,-8.30,-1.10,0.00,NA,NA,NA,NA
1986-11-18,-18.30,-7.80,0.00,NA,NA,NA,NA
1986-11-19,-18.90,-5.60,0.00,NA,NA,NA,NA
1986-11-20,-6.10,-3.30,11.70,NA,NA,NA,NA
1986-11-21,-7.80,-1.70,0.00,NA,NA,NA,NA
1986-11-22,-7.20,-0.60,0.00,NA,NA,NA,NA
1986-11-23,-4.40,0.60,1.30,NA,NA,NA,NA
1986-11-24,-8.90,-4.40,0.50,NA,NA,NA,NA
1986-11-25,-12.20,NA,0.00,NA,NA,NA,NA
1986-11-26,-3.30,5.60,0.00,NA,NA,NA,NA
1986-11-27,-5.00,5.60,1.80,NA,NA,NA,NA
1986-11-28,-5.00,7.80,0.00,NA,NA,NA,NA
1986-11-29,-13.90,7.20,0.00,NA,NA,NA,NA
1986-11-30,-13.90,-0.60,0.00,NA,NA,NA,NA
1986-12-01,NA,-2.20,0.00,NA,NA,NA,NA
1986-12-02,-3.30,-1.10,0.00,NA,NA,NA,NA
1986-12-03,-6.10,-0.60,1.00,NA,NA,NA,NA
1986-12-04,-13.30,-5.60,0.00,NA,NA,NA,NA
1986-12-05,-18.90,-8.90,0.00,NA,NA,NA,NA
1986-12-06,NA,-2.80,0.00,NA,NA,NA,NA
1986-12-07,-16.70,-6.10,0.00,NA,NA,NA,NA
1986-12-08,-17.20,-7.20,0.80,NA,NA,NA,NA
1986-12-09,-10.00,-3.30,2.00,NA,NA,NA,NA
1986-12-10,-21.10,-3.30,0.00,NA,NA,NA,NA
1986-12-11,-20.60,-10.00,10.90,NA,NA,NA,NA
1986-12-12,-24.40,-10.00,0.00,NA,NA,NA,NA
1986-12-13,-27.80,-10.00,0.00,NA,NA,NA,NA
1986-12-14,NA,-8.90,0.00,NA,NA,NA,NA
1986-12-15,-15.60,-4.40,0.00,NA,NA,NA,NA
1986-12-16,-12.80,-2.20,0.00,NA,NA,NA,NA
1986-12-17,-13.30,-1.10,0.00,NA,NA,NA,NA
1986-12-18,-9.40,-2.20,0.00,NA,NA,NA,NA
1986-12-19,-10.00,0.00,0.00,NA,NA,NA,NA
1986-12-20,-18.90,-0.60,0.00,NA,NA,NA,NA
1986-12-21,-18.30,-0.60,0.00,NA,NA,NA,NA
1986-12-22,-18.30,-1.70,0.00,NA,NA,NA,NA
1986-12-23,-7.80,3.90,0.00,NA,NA,NA,NA
1986-12-24,NA,2.20,0.00,NA,NA,NA,NA
1986-12-25,NA,NA,0.00,NA,NA,NA,NA
1986-12-26,NA,NA,0.00,NA,NA,NA,NA
1986-12-27,NA,NA,0.00,NA,NA,NA,NA
1986-12-28,-9.40,-2.20,0.00,NA,NA,NA,NA
1986-12-29,NA,1.10,0.00,NA,NA,NA,NA
1986-12-30,-6.10,1.70,0.00,NA,NA,NA,NA
1986-12-31,NA,-1.10,0.00,NA,NA,NA,NA
1987-01-01,-7.80,-1.10,1.30,NA,NA,NA,NA
1987-01-02,-7.80,-2.80,0.00,NA,NA,NA,NA
1987-01-03,-11.10,-0.60,0.00,NA,NA,NA,NA
1987-01-04,NA,-2.20,0.00,NA,NA,NA,NA
1987-01-05,-2.20,0.00,0.00,NA,NA,NA,NA
1987-01-06,-2.80,-0.60,2.50,NA,NA,NA,NA
1987-01-07,-6.70,-0.60,10.20,NA,NA,NA,NA
1987-01-08,-10.00,-0.60,0.00,NA,NA,NA,NA
1987-01-09,-12.20,0.60,0.00,NA,NA,NA,NA
1987-01-10,-8.90,-6.10,0.00,NA,NA,NA,NA
1987-01-11,-7.80,-1.10,0.00,NA,NA,NA,NA
1987-01-12,-7.20,1.10,0.00,NA,NA,NA,NA
1987-01-13,-8.90,6.10,0.00,NA,NA,NA,NA
1987-01-14,-7.20,3.30,0.00,NA,NA,NA,NA
1987-01-15,-15.60,0.00,0.00,NA,NA,NA,NA
1987-01-16,-22.80,-12.80,0.00,NA,NA,NA,NA
1987-01-17,-25.00,-9.40,0.00,NA,NA,NA,NA
1987-01-18,NA,-6.70,0.00,NA,NA,NA,NA
1987-01-19,-21.10,-8.30,10.20,NA,NA,NA,NA
1987-01-20,-21.10,-7.20,10.20,NA,NA,NA,NA
1987-01-21,-26.10,-13.30,0.00,NA,NA,NA,NA
1987-01-22,-20.60,-6.70,5.80,NA,NA,NA,NA
1987-01-23,-33.30,-17.20,0.00,NA,NA,NA,NA
1987-01-24,-33.30,NA,0.00,NA,NA,NA,NA
1987-01-25,-33.30,-18.30,0.00,NA,NA,NA,NA
1987-01-26,-33.30,-8.30,0.00,NA,NA,NA,NA
1987-01-27,NA,-7.20,0.00,NA,NA,NA,NA
1987-01-28,-15.00,-4.40,0.00,NA,NA,NA,NA
1987-01-29,-15.60,-5.00,0.00,NA,NA,NA,NA
1987-01-30,-5.00,-2.20,14.50,NA,NA,NA,NA
1987-01-31,-15.00,-2.20,0.00,NA,NA,NA,NA
1987-02-01,-7.80,-2.20,0.00,NA,NA,NA,NA
1987-02-02,-7.20,-1.10,0.00,NA,NA,NA,NA
1987-02-03,-12.80,-2.20,4.80,NA,NA,NA,NA
1987-02-04,-13.30,-5.60,0.00,NA,NA,NA,NA
1987-02-05,-13.30,-2.20,0.00,NA,NA,NA,NA
1987-02-06,-5.00,1.10,0.00,NA,NA,NA,NA
1987-02-07,-5.00,5.60,0.00,NA,NA,NA,NA
1987-02-08,-18.30,6.70,0.00,NA,NA,NA,NA
1987-02-09,-18.30,-6.10,0.00,NA,NA,NA,NA
1987-02-10,-15.60,3.90,0.00,NA,NA,NA,NA
1987-02-11,NA,2.80,0.00,NA,NA,NA,NA
1987-02-12,-10.00,2.80,NA,NA,NA,NA,NA
1987-02-13,NA,NA,0.00,NA,NA,NA,NA
1987-02-14,-19.40,-6.70,0.00,NA,NA,NA,NA
1987-02-15,-22.20,-10.60,0.00,NA,NA,NA,NA
1987-02-16,-20.00,-8.30,0.00,NA,NA,NA,NA
1987-02-17,-19.40,-5.00,1.30,NA,NA,NA,NA
1987-02-18,-15.60,-1.70,0.00,NA,NA,NA,NA
