Daily data for a single station.
StationID:  , USC00302627
StationName:, "ENDICOTT"
Lat&Long    , 42.086, -76.088
Elevation:  , -9999.000
Starts(YMD):,1985-08-08
Ends(YMD):  ,2004-11-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1985-08-08,17.20,26.10,5.10,NA,NA,NA,NA
1985-08-09,12.20,28.30,0.00,NA,NA,NA,NA
1985-08-10,13.30,30.00,0.00,NA,NA,NA,NA
1985-08-11,NA,31.10,0.00,NA,NA,NA,NA
1985-08-12,11.10,30.60,0.00,NA,NA,NA,NA
1985-08-13,10.00,30.60,0.00,NA,NA,NA,NA
1985-08-14,13.30,30.60,0.00,NA,NA,NA,NA
1985-08-15,19.40,30.60,10.20,NA,NA,NA,NA
1985-08-16,18.30,32.80,5.10,NA,NA,NA,NA
1985-08-17,12.20,32.80,5.10,NA,NA,NA,NA
1985-08-18,10.00,32.80,0.00,NA,NA,NA,NA
1985-08-19,10.00,32.80,0.00,NA,NA,NA,NA
1985-08-20,16.10,27.80,0.00,NA,NA,NA,NA
1985-08-21,12.20,25.60,0.00,NA,NA,NA,NA
1985-08-22,12.20,21.70,0.00,NA,NA,NA,NA
1985-08-23,8.90,22.20,0.00,NA,NA,NA,NA
1985-08-24,7.80,24.40,0.00,NA,NA,NA,NA
1985-08-25,12.80,25.60,13.70,NA,NA,NA,NA
1985-08-26,16.70,22.80,10.20,NA,NA,NA,NA
1985-08-27,17.20,28.30,2.00,NA,NA,NA,NA
1985-08-28,13.90,26.10,0.00,NA,NA,NA,NA
1985-08-29,14.40,27.20,0.00,NA,NA,NA,NA
1985-08-30,NA,19.40,0.00,NA,NA,NA,NA
1985-08-31,13.30,21.10,10.20,NA,NA,NA,NA
1985-09-01,11.10,16.10,2.50,NA,NA,NA,NA
1985-09-02,11.10,22.80,7.60,NA,NA,NA,NA
1985-09-03,12.80,26.10,0.00,NA,NA,NA,NA
1985-09-04,12.80,28.30,0.00,NA,NA,NA,NA
1985-09-05,19.40,30.60,0.00,NA,NA,NA,NA
1985-09-06,20.00,30.00,8.40,NA,NA,NA,NA
1985-09-07,19.40,30.60,0.00,NA,NA,NA,NA
1985-09-08,20.00,31.10,0.00,NA,NA,NA,NA
1985-09-09,20.00,27.80,19.10,NA,NA,NA,NA
1985-09-10,19.40,27.20,7.60,NA,NA,NA,NA
1985-09-11,11.70,26.70,0.00,NA,NA,NA,NA
1985-09-12,3.30,17.80,0.00,NA,NA,NA,NA
1985-09-13,2.20,15.00,0.00,NA,NA,NA,NA
1985-09-14,2.80,15.60,0.00,NA,NA,NA,NA
1985-09-15,2.80,18.90,0.00,NA,NA,NA,NA
1985-09-16,2.80,21.10,0.00,NA,NA,NA,NA
1985-09-17,5.00,21.10,0.00,NA,NA,NA,NA
1985-09-18,6.10,24.40,0.00,NA,NA,NA,NA
1985-09-19,7.20,27.80,0.00,NA,NA,NA,NA
1985-09-20,11.70,28.30,0.00,NA,NA,NA,NA
1985-09-21,NA,26.10,0.00,NA,NA,NA,NA
1985-09-22,19.40,23.90,0.00,NA,NA,NA,NA
1985-09-23,11.10,25.00,0.00,NA,NA,NA,NA
1985-09-24,16.70,24.40,0.00,NA,NA,NA,NA
1985-09-25,7.20,21.70,17.80,NA,NA,NA,NA
1985-09-26,5.00,20.60,0.00,NA,NA,NA,NA
1985-09-27,5.60,22.20,50.80,NA,NA,NA,NA
1985-09-28,12.20,16.10,40.60,NA,NA,NA,NA
1985-09-29,6.70,20.60,0.00,NA,NA,NA,NA
1985-09-30,6.10,23.30,0.00,NA,NA,NA,NA
1985-10-01,8.30,20.00,0.00,NA,NA,NA,NA
1985-10-02,7.80,23.90,17.80,NA,NA,NA,NA
