Daily data for a single station.
StationID:  , USC00303124
StationName:, "GANNETT HILL"
Lat&Long    , 42.700, -77.400
Elevation:  , -9999.000
Starts(YMD):,1971-07-01
Ends(YMD):  ,1998-04-30
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
1971-07-01,20.00,28.30,NA,NA,NA,NA,NA
1971-07-02,13.90,23.30,NA,NA,NA,NA,NA
1971-07-03,10.00,21.10,0.00,NA,NA,NA,NA
1971-07-04,12.80,20.60,0.00,NA,NA,NA,NA
1971-07-05,14.40,25.60,0.00,NA,NA,NA,NA
1971-07-06,14.40,27.20,1.50,NA,NA,NA,NA
1971-07-07,14.40,24.40,0.00,NA,NA,NA,NA
1971-07-08,15.60,27.80,0.00,NA,NA,NA,NA
1971-07-09,19.40,28.90,0.00,NA,NA,NA,NA
1971-07-10,13.90,24.40,0.00,NA,NA,NA,NA
1971-07-11,13.30,25.60,0.00,NA,NA,NA,NA
1971-07-12,10.60,20.00,0.00,NA,NA,NA,NA
1971-07-13,12.80,22.20,0.00,NA,NA,NA,NA
1971-07-14,12.20,23.30,2.30,NA,NA,NA,NA
1971-07-15,15.00,20.00,2.80,NA,NA,NA,NA
1971-07-16,13.90,23.30,0.50,NA,NA,NA,NA
1971-07-17,16.70,24.40,0.00,NA,NA,NA,NA
1971-07-18,7.80,22.20,3.00,NA,NA,NA,NA
1971-07-19,12.20,21.70,0.00,NA,NA,NA,NA
1971-07-20,10.00,18.30,20.30,NA,NA,NA,NA
1971-07-21,11.10,20.60,0.30,NA,NA,NA,NA
1971-07-22,16.70,24.40,0.00,NA,NA,NA,NA
1971-07-23,18.90,25.60,0.00,NA,NA,NA,NA
1971-07-24,18.30,27.80,0.00,NA,NA,NA,NA
1971-07-25,16.70,22.20,6.60,NA,NA,NA,NA
1971-07-26,16.70,25.00,0.50,NA,NA,NA,NA
1971-07-27,12.20,26.10,7.10,NA,NA,NA,NA
1971-07-28,8.90,19.40,0.00,NA,NA,NA,NA
1971-07-29,13.90,23.90,0.80,NA,NA,NA,NA
1971-07-30,12.20,20.00,8.60,NA,NA,NA,NA
1971-07-31,13.30,22.20,3.80,NA,NA,NA,NA
1971-08-01,12.20,24.40,0.00,NA,NA,NA,NA
1971-08-02,16.70,22.80,0.00,NA,NA,NA,NA
1971-08-03,17.80,28.30,0.00,NA,NA,NA,NA
1971-08-04,11.10,22.20,0.00,NA,NA,NA,NA
1971-08-05,10.00,17.80,0.00,NA,NA,NA,NA
1971-08-06,14.40,22.20,0.00,NA,NA,NA,NA
1971-08-07,13.30,23.30,0.00,NA,NA,NA,NA
1971-08-08,16.70,27.80,0.00,NA,NA,NA,NA
1971-08-09,18.30,28.90,0.00,NA,NA,NA,NA
1971-08-10,19.40,28.30,0.00,NA,NA,NA,NA
1971-08-11,18.30,28.30,4.80,NA,NA,NA,NA
1971-08-12,7.20,25.60,0.00,NA,NA,NA,NA
1971-08-13,11.10,20.00,0.00,NA,NA,NA,NA
1971-08-14,16.70,27.80,0.00,NA,NA,NA,NA
1971-08-15,12.80,27.80,0.50,NA,NA,NA,NA
1971-08-16,8.90,13.90,0.30,NA,NA,NA,NA
1971-08-17,8.90,24.40,0.00,NA,NA,NA,NA
1971-08-18,11.10,25.60,0.00,NA,NA,NA,NA
1971-08-19,16.70,27.80,0.00,NA,NA,NA,NA
1971-08-20,17.80,30.00,0.50,NA,NA,NA,NA
1971-08-21,16.10,25.60,2.00,NA,NA,NA,NA
1971-08-22,12.80,27.80,12.20,NA,NA,NA,NA
1971-08-23,10.00,26.70,31.80,NA,NA,NA,NA
1971-08-24,3.30,16.70,0.00,NA,NA,NA,NA
1971-08-25,7.20,16.70,1.80,NA,NA,NA,NA
1971-08-26,8.30,20.00,8.90,NA,NA,NA,NA
1971-08-27,15.60,24.40,1.00,NA,NA,NA,NA
1971-08-28,15.60,18.90,5.10,NA,NA,NA,NA
1971-08-29,13.90,20.00,0.00,NA,NA,NA,NA
1971-08-30,15.60,25.00,0.00,NA,NA,NA,NA
1971-08-31,8.90,25.60,3.00,NA,NA,NA,NA
1971-09-01,8.30,18.30,0.00,NA,NA,NA,NA
1971-09-02,12.20,21.10,0.00,NA,NA,NA,NA
1971-09-03,14.40,22.20,5.10,NA,NA,NA,NA
1971-09-04,18.30,27.80,0.00,NA,NA,NA,NA
1971-09-05,19.40,26.70,0.50,NA,NA,NA,NA
1971-09-06,19.40,28.30,6.10,NA,NA,NA,NA
