Daily data for a single station.
StationID:  , USW00004803
StationName:, "RHINELANDER ONEIDA AP"
Lat&Long    , 45.631, -89.465
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,18.30,31.10,0.00,NA,NA,NA,NA
2005-08-02,18.90,33.90,0.00,NA,NA,NA,NA
2005-08-03,22.20,30.60,0.00,NA,NA,NA,NA
2005-08-04,12.80,26.70,0.00,NA,NA,NA,NA
2005-08-05,8.30,27.20,0.00,NA,NA,NA,NA
2005-08-06,7.80,28.90,0.00,NA,NA,NA,NA
2005-08-07,13.90,30.60,0.00,NA,NA,NA,NA
2005-08-08,18.30,33.90,0.00,NA,NA,NA,NA
2005-08-09,19.40,25.00,19.80,NA,NA,NA,NA
2005-08-10,16.10,27.20,0.00,NA,NA,NA,NA
2005-08-11,14.40,21.70,2.00,NA,NA,NA,NA
2005-08-12,15.60,25.00,0.30,NA,NA,NA,NA
2005-08-13,9.40,23.90,0.00,NA,NA,NA,NA
2005-08-14,7.80,23.90,0.00,NA,NA,NA,NA
2005-08-15,6.70,25.60,0.00,NA,NA,NA,NA
2005-08-16,9.40,27.80,0.00,NA,NA,NA,NA
2005-08-17,13.30,24.40,0.00,NA,NA,NA,NA
2005-08-18,15.60,22.80,2.80,NA,NA,NA,NA
2005-08-19,17.80,26.70,0.00,NA,NA,NA,NA
2005-08-20,10.60,26.10,30.00,NA,NA,NA,NA
2005-08-21,9.40,18.90,0.00,NA,NA,NA,NA
2005-08-22,9.40,21.10,0.00,NA,NA,NA,NA
2005-08-23,4.40,22.80,0.00,NA,NA,NA,NA
2005-08-24,6.10,21.70,0.00,NA,NA,NA,NA
2005-08-25,13.30,23.30,0.30,NA,NA,NA,NA
2005-08-26,14.40,23.30,2.30,NA,NA,NA,NA
2005-08-27,12.80,26.70,0.30,NA,NA,NA,NA
2005-08-28,10.00,23.90,0.00,NA,NA,NA,NA
2005-08-29,11.10,23.90,0.00,NA,NA,NA,NA
2005-08-30,10.00,21.10,0.00,NA,NA,NA,NA
2005-08-31,11.10,24.40,0.30,NA,NA,NA,NA
2005-09-01,12.20,25.60,0.30,NA,NA,NA,NA
2005-09-02,7.20,22.20,0.00,NA,NA,NA,NA
2005-09-03,5.00,23.30,0.30,NA,NA,NA,NA
2005-09-04,10.60,26.10,0.30,NA,NA,NA,NA
2005-09-05,13.90,30.00,0.00,NA,NA,NA,NA
2005-09-06,18.30,28.90,0.00,NA,NA,NA,NA
2005-09-07,7.20,20.60,0.00,NA,NA,NA,NA
2005-09-08,4.40,20.00,1.50,NA,NA,NA,NA
2005-09-09,7.20,26.10,0.00,NA,NA,NA,NA
2005-09-10,17.80,31.70,0.00,NA,NA,NA,NA
2005-09-11,20.00,32.80,0.00,NA,NA,NA,NA
2005-09-12,20.00,30.00,10.40,NA,NA,NA,NA
2005-09-13,14.40,27.80,9.70,NA,NA,NA,NA
2005-09-14,6.10,19.40,0.30,NA,NA,NA,NA
2005-09-15,3.90,22.80,0.00,NA,NA,NA,NA
2005-09-16,5.60,25.00,0.00,NA,NA,NA,NA
2005-09-17,7.20,25.00,0.30,NA,NA,NA,NA
2005-09-18,11.70,26.10,0.00,NA,NA,NA,NA
2005-09-19,7.80,18.30,15.70,NA,NA,NA,NA
2005-09-20,7.20,26.70,0.30,NA,NA,NA,NA
2005-09-21,8.30,28.30,7.60,NA,NA,NA,NA
2005-09-22,3.90,18.30,0.00,NA,NA,NA,NA
2005-09-23,1.10,18.90,0.00,NA,NA,NA,NA
2005-09-24,5.60,18.90,0.30,NA,NA,NA,NA
2005-09-25,12.80,17.20,15.70,NA,NA,NA,NA
2005-09-26,6.10,17.80,2.80,NA,NA,NA,NA
2005-09-27,2.80,21.10,0.00,NA,NA,NA,NA
2005-09-28,1.70,16.70,16.50,NA,NA,NA,NA
2005-09-29,0.60,14.40,0.00,NA,NA,NA,NA
2005-09-30,7.20,20.60,0.00,NA,NA,NA,NA
2005-10-01,11.10,26.10,0.00,NA,NA,NA,NA
2005-10-02,12.20,25.60,0.00,NA,NA,NA,NA
2005-10-03,21.10,26.10,0.00,NA,NA,NA,NA
2005-10-04,17.20,22.80,56.90,NA,NA,NA,NA
2005-10-05,8.30,25.60,17.30,NA,NA,NA,NA
2005-10-06,2.20,8.30,0.50,NA,NA,NA,NA
2005-10-07,0.00,6.70,0.00,NA,NA,NA,NA
2005-10-08,-2.20,12.80,0.00,NA,NA,NA,NA
2005-10-09,-1.70,15.00,0.00,NA,NA,NA,NA
2005-10-10,-1.70,17.20,0.00,NA,NA,NA,NA
2005-10-11,0.00,17.20,0.30,NA,NA,NA,NA
2005-10-12,10.60,12.80,4.80,NA,NA,NA,NA
2005-10-13,6.70,13.30,3.60,NA,NA,NA,NA
2005-10-14,5.60,21.10,0.30,NA,NA,NA,NA
2005-10-15,-0.60,11.70,0.00,NA,NA,NA,NA
2005-10-16,0.00,15.00,0.00,NA,NA,NA,NA
2005-10-17,3.90,17.80,11.90,NA,NA,NA,NA
2005-10-18,0.00,18.30,0.00,NA,NA,NA,NA
2005-10-19,-0.60,12.20,0.00,NA,NA,NA,NA
2005-10-20,-1.70,10.00,0.00,NA,NA,NA,NA
2005-10-21,-1.10,10.00,2.00,NA,NA,NA,NA
2005-10-22,3.90,6.10,7.90,NA,NA,NA,NA
2005-10-23,2.20,7.20,0.80,NA,NA,NA,NA
2005-10-24,1.10,7.80,0.30,NA,NA,NA,NA
2005-10-25,2.20,6.70,0.50,NA,NA,NA,NA
2005-10-26,-1.70,7.80,0.00,NA,NA,NA,NA
2005-10-27,-4.40,10.00,0.00,NA,NA,NA,NA
2005-10-28,-4.40,13.30,0.30,NA,NA,NA,NA
2005-10-29,4.40,17.20,0.00,NA,NA,NA,NA
2005-10-30,8.30,12.80,3.00,NA,NA,NA,NA
2005-10-31,4.40,9.40,0.00,NA,NA,NA,NA
2005-11-01,-0.60,9.40,0.00,NA,NA,NA,NA
2005-11-02,-1.70,12.20,0.30,NA,NA,NA,NA
