Daily data for a single station.
StationID:  , USW00004826
StationName:, "WISCONSIN RAPIDS ALEXANDE"
Lat&Long    , 44.359, -89.837
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,18.90,32.20,0.00,NA,NA,NA,NA
2005-08-02,19.40,33.90,0.00,NA,NA,NA,NA
2005-08-03,23.30,32.20,0.00,NA,NA,NA,NA
2005-08-04,16.70,27.80,0.00,NA,NA,NA,NA
2005-08-05,11.10,27.80,0.00,NA,NA,NA,NA
2005-08-06,10.00,28.90,0.00,NA,NA,NA,NA
2005-08-07,12.80,30.60,0.00,NA,NA,NA,NA
2005-08-08,16.10,32.80,0.00,NA,NA,NA,NA
2005-08-09,19.40,33.30,13.20,NA,NA,NA,NA
2005-08-10,18.90,28.90,0.00,NA,NA,NA,NA
2005-08-11,17.80,22.20,40.40,NA,NA,NA,NA
2005-08-12,16.10,25.00,3.80,NA,NA,NA,NA
2005-08-13,13.30,24.40,0.00,NA,NA,NA,NA
2005-08-14,10.60,25.60,0.00,NA,NA,NA,NA
2005-08-15,10.00,26.70,0.00,NA,NA,NA,NA
2005-08-16,11.10,27.80,0.00,NA,NA,NA,NA
2005-08-17,13.90,27.80,0.30,NA,NA,NA,NA
2005-08-18,18.90,25.00,17.50,NA,NA,NA,NA
2005-08-19,19.40,27.80,0.00,NA,NA,NA,NA
2005-08-20,17.20,27.80,1.30,NA,NA,NA,NA
2005-08-21,12.20,23.30,0.00,NA,NA,NA,NA
2005-08-22,8.90,21.10,0.00,NA,NA,NA,NA
2005-08-23,10.00,23.30,0.00,NA,NA,NA,NA
2005-08-24,10.00,23.90,0.30,NA,NA,NA,NA
2005-08-25,15.60,25.00,0.30,NA,NA,NA,NA
2005-08-26,17.20,25.60,12.70,NA,NA,NA,NA
2005-08-27,16.10,27.80,0.00,NA,NA,NA,NA
2005-08-28,11.70,26.10,0.00,NA,NA,NA,NA
2005-08-29,12.20,27.20,0.00,NA,NA,NA,NA
2005-08-30,13.30,22.80,0.00,NA,NA,NA,NA
2005-08-31,12.20,25.60,0.00,NA,NA,NA,NA
2005-09-01,15.00,27.80,0.00,NA,NA,NA,NA
2005-09-02,11.70,25.00,0.00,NA,NA,NA,NA
2005-09-03,8.30,26.10,0.00,NA,NA,NA,NA
2005-09-04,16.70,27.20,0.00,NA,NA,NA,NA
2005-09-05,15.60,31.10,0.00,NA,NA,NA,NA
2005-09-06,18.30,29.40,0.00,NA,NA,NA,NA
2005-09-07,12.80,25.00,18.30,NA,NA,NA,NA
2005-09-08,11.10,18.90,0.80,NA,NA,NA,NA
2005-09-09,11.70,27.80,0.30,NA,NA,NA,NA
2005-09-10,18.90,32.20,0.00,NA,NA,NA,NA
2005-09-11,19.40,32.20,0.00,NA,NA,NA,NA
2005-09-12,18.30,31.10,1.00,NA,NA,NA,NA
2005-09-13,16.10,29.40,30.20,NA,NA,NA,NA
2005-09-14,8.90,21.70,0.00,NA,NA,NA,NA
2005-09-15,6.10,21.70,0.30,NA,NA,NA,NA
2005-09-16,7.20,24.40,0.30,NA,NA,NA,NA
2005-09-17,8.30,25.60,0.00,NA,NA,NA,NA
2005-09-18,15.60,26.10,0.00,NA,NA,NA,NA
2005-09-19,12.80,23.90,7.10,NA,NA,NA,NA
2005-09-20,10.00,27.80,0.00,NA,NA,NA,NA
2005-09-21,13.90,30.60,10.90,NA,NA,NA,NA
2005-09-22,8.90,20.60,4.30,NA,NA,NA,NA
2005-09-23,5.00,19.40,0.30,NA,NA,NA,NA
2005-09-24,9.40,18.30,0.30,NA,NA,NA,NA
2005-09-25,16.10,20.00,21.10,NA,NA,NA,NA
2005-09-26,7.20,19.40,1.00,NA,NA,NA,NA
2005-09-27,5.00,21.70,0.00,NA,NA,NA,NA
2005-09-28,4.40,16.70,17.30,NA,NA,NA,NA
2005-09-29,1.70,15.00,0.00,NA,NA,NA,NA
2005-09-30,9.40,22.20,0.00,NA,NA,NA,NA
2005-10-01,8.90,26.70,0.00,NA,NA,NA,NA
2005-10-02,12.80,26.70,0.00,NA,NA,NA,NA
2005-10-03,20.60,29.40,0.00,NA,NA,NA,NA
2005-10-04,21.70,30.00,0.00,NA,NA,NA,NA
2005-10-05,9.40,28.30,11.20,NA,NA,NA,NA
2005-10-06,2.80,9.40,0.00,NA,NA,NA,NA
2005-10-07,1.10,10.60,0.00,NA,NA,NA,NA
2005-10-08,-0.60,12.20,0.00,NA,NA,NA,NA
2005-10-09,0.60,15.60,0.00,NA,NA,NA,NA
2005-10-10,1.70,16.10,0.00,NA,NA,NA,NA
2005-10-11,0.60,12.80,0.00,NA,NA,NA,NA
2005-10-12,8.90,15.60,0.30,NA,NA,NA,NA
2005-10-13,7.20,16.70,3.60,NA,NA,NA,NA
2005-10-14,5.60,23.30,0.30,NA,NA,NA,NA
2005-10-15,2.20,17.20,0.00,NA,NA,NA,NA
2005-10-16,-0.60,16.70,0.00,NA,NA,NA,NA
2005-10-17,7.80,21.70,3.80,NA,NA,NA,NA
2005-10-18,3.30,22.20,0.00,NA,NA,NA,NA
2005-10-19,1.70,15.60,0.00,NA,NA,NA,NA
2005-10-20,-1.10,14.40,0.00,NA,NA,NA,NA
2005-10-21,0.60,11.70,1.00,NA,NA,NA,NA
2005-10-22,3.90,7.80,3.30,NA,NA,NA,NA
2005-10-23,3.30,9.40,3.00,NA,NA,NA,NA
2005-10-24,2.80,9.40,0.00,NA,NA,NA,NA
2005-10-25,-1.10,11.10,0.00,NA,NA,NA,NA
2005-10-26,-2.20,10.00,0.00,NA,NA,NA,NA
2005-10-27,-3.90,12.20,0.00,NA,NA,NA,NA
