Daily data for a single station.
StationID:  , USW00004838
StationName:, "CHICAGO PALWAUKEE AP"
Lat&Long    , 42.121, -87.905
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.00,34.40,0.00,NA,NA,NA,NA
2005-08-02,20.00,34.40,0.00,NA,NA,NA,NA
2005-08-03,24.40,34.40,0.00,NA,NA,NA,NA
2005-08-04,22.80,33.30,0.00,NA,NA,NA,NA
2005-08-05,17.80,27.80,0.00,NA,NA,NA,NA
2005-08-06,16.10,28.30,0.00,NA,NA,NA,NA
2005-08-07,16.10,31.10,0.00,NA,NA,NA,NA
2005-08-08,17.80,33.30,0.00,NA,NA,NA,NA
2005-08-09,20.00,35.60,0.00,NA,NA,NA,NA
2005-08-10,21.10,31.70,0.00,NA,NA,NA,NA
2005-08-11,20.60,25.60,0.50,NA,NA,NA,NA
2005-08-12,22.20,30.00,14.00,NA,NA,NA,NA
2005-08-13,20.00,24.40,0.00,NA,NA,NA,NA
2005-08-14,17.20,24.40,0.00,NA,NA,NA,NA
2005-08-15,16.10,26.70,0.00,NA,NA,NA,NA
2005-08-16,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-17,16.10,27.80,0.00,NA,NA,NA,NA
2005-08-18,19.40,28.90,11.20,NA,NA,NA,NA
2005-08-19,21.10,31.70,0.00,NA,NA,NA,NA
2005-08-20,21.10,30.60,29.70,NA,NA,NA,NA
2005-08-21,17.80,27.80,0.00,NA,NA,NA,NA
2005-08-22,15.60,21.70,0.00,NA,NA,NA,NA
2005-08-23,14.40,22.20,0.00,NA,NA,NA,NA
2005-08-24,14.40,23.90,0.00,NA,NA,NA,NA
2005-08-25,17.20,25.00,0.00,NA,NA,NA,NA
2005-08-26,17.80,28.90,0.00,NA,NA,NA,NA
2005-08-27,19.40,28.90,3.00,NA,NA,NA,NA
2005-08-28,18.90,29.40,0.00,NA,NA,NA,NA
2005-08-29,17.80,29.40,0.00,NA,NA,NA,NA
2005-08-30,17.20,25.60,0.00,NA,NA,NA,NA
2005-08-31,17.20,24.40,0.00,NA,NA,NA,NA
2005-09-01,18.90,29.40,0.00,NA,NA,NA,NA
2005-09-02,16.70,28.30,0.00,NA,NA,NA,NA
2005-09-03,14.40,25.60,0.00,NA,NA,NA,NA
2005-09-04,14.40,27.80,0.00,NA,NA,NA,NA
2005-09-05,15.60,31.10,0.00,NA,NA,NA,NA
2005-09-06,17.80,30.00,0.00,NA,NA,NA,NA
2005-09-07,20.60,31.70,4.10,NA,NA,NA,NA
2005-09-08,18.90,25.00,2.50,NA,NA,NA,NA
2005-09-09,17.20,28.30,0.00,NA,NA,NA,NA
2005-09-10,19.40,32.20,0.00,NA,NA,NA,NA
2005-09-11,21.10,32.20,0.00,NA,NA,NA,NA
2005-09-12,20.60,32.20,0.00,NA,NA,NA,NA
2005-09-13,22.20,34.40,0.00,NA,NA,NA,NA
2005-09-14,14.40,24.40,0.50,NA,NA,NA,NA
2005-09-15,NA,NA,0.00,NA,NA,NA,NA
2005-09-16,NA,NA,0.00,NA,NA,NA,NA
2005-09-17,11.10,23.90,0.00,NA,NA,NA,NA
2005-09-18,12.80,28.30,0.00,NA,NA,NA,NA
2005-09-19,16.70,28.90,6.90,NA,NA,NA,NA
2005-09-20,13.90,28.30,0.00,NA,NA,NA,NA
2005-09-21,13.90,31.10,0.00,NA,NA,NA,NA
2005-09-22,17.20,30.60,38.10,NA,NA,NA,NA
2005-09-23,16.70,19.40,0.00,NA,NA,NA,NA
2005-09-24,17.80,22.20,0.80,NA,NA,NA,NA
2005-09-25,18.90,24.40,2.80,NA,NA,NA,NA
2005-09-26,12.20,20.60,6.40,NA,NA,NA,NA
2005-09-27,8.90,23.30,0.00,NA,NA,NA,NA
2005-09-28,10.00,22.80,7.90,NA,NA,NA,NA
2005-09-29,6.70,16.70,0.00,NA,NA,NA,NA
2005-09-30,6.10,21.70,0.00,NA,NA,NA,NA
2005-10-01,11.10,26.10,0.00,NA,NA,NA,NA
2005-10-02,13.30,28.90,3.30,NA,NA,NA,NA
2005-10-03,21.70,30.00,0.00,NA,NA,NA,NA
2005-10-04,21.70,30.60,0.00,NA,NA,NA,NA
2005-10-05,18.90,28.30,0.00,NA,NA,NA,NA
2005-10-06,7.80,18.90,0.00,NA,NA,NA,NA
2005-10-07,5.60,11.70,0.00,NA,NA,NA,NA
2005-10-08,6.10,11.10,0.00,NA,NA,NA,NA
2005-10-09,7.20,13.90,0.00,NA,NA,NA,NA
2005-10-10,6.10,16.10,0.00,NA,NA,NA,NA
2005-10-11,11.70,14.40,0.00,NA,NA,NA,NA
2005-10-12,10.60,16.10,0.00,NA,NA,NA,NA
2005-10-13,8.90,21.70,0.00,NA,NA,NA,NA
2005-10-14,8.90,23.90,0.00,NA,NA,NA,NA
2005-10-15,6.70,19.40,0.00,NA,NA,NA,NA
2005-10-16,5.00,15.60,0.00,NA,NA,NA,NA
2005-10-17,4.40,22.80,0.50,NA,NA,NA,NA
2005-10-18,7.20,22.20,0.00,NA,NA,NA,NA
2005-10-19,6.10,17.80,0.00,NA,NA,NA,NA
2005-10-20,5.60,12.20,0.00,NA,NA,NA,NA
2005-10-21,7.20,13.90,0.00,NA,NA,NA,NA
2005-10-22,2.80,11.70,0.00,NA,NA,NA,NA
