Daily data for a single station.
StationID:  , USW00004839
StationName:, "HOLLAND TULIP CITY AP"
Lat&Long    , 42.746, -86.097
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,21.10,30.60,0.00,NA,NA,NA,NA
2005-08-02,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-03,20.60,33.30,0.00,NA,NA,NA,NA
2005-08-04,19.40,29.40,0.30,NA,NA,NA,NA
2005-08-05,14.40,28.90,0.00,NA,NA,NA,NA
2005-08-06,11.10,28.30,0.00,NA,NA,NA,NA
2005-08-07,12.20,30.00,0.00,NA,NA,NA,NA
2005-08-08,16.10,30.60,0.00,NA,NA,NA,NA
2005-08-09,18.90,32.20,0.00,NA,NA,NA,NA
2005-08-10,17.80,27.80,2.00,NA,NA,NA,NA
2005-08-11,15.60,23.30,0.80,NA,NA,NA,NA
2005-08-12,20.60,26.10,14.20,NA,NA,NA,NA
2005-08-13,19.40,26.10,0.00,NA,NA,NA,NA
2005-08-14,17.80,25.60,0.00,NA,NA,NA,NA
2005-08-15,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-16,15.00,27.20,0.00,NA,NA,NA,NA
2005-08-17,12.80,30.00,0.00,NA,NA,NA,NA
2005-08-18,18.30,27.20,1.30,NA,NA,NA,NA
2005-08-19,17.80,26.10,0.00,NA,NA,NA,NA
2005-08-20,17.20,26.70,5.10,NA,NA,NA,NA
2005-08-21,16.10,24.40,0.00,NA,NA,NA,NA
2005-08-22,10.60,21.10,0.00,NA,NA,NA,NA
2005-08-23,11.70,22.80,0.00,NA,NA,NA,NA
2005-08-24,9.40,26.70,0.30,NA,NA,NA,NA
2005-08-25,11.70,26.10,0.00,NA,NA,NA,NA
2005-08-26,14.40,30.60,0.00,NA,NA,NA,NA
2005-08-27,15.60,25.60,2.00,NA,NA,NA,NA
2005-08-28,13.30,26.10,0.00,NA,NA,NA,NA
2005-08-29,11.70,28.90,0.00,NA,NA,NA,NA
2005-08-30,12.20,28.90,0.00,NA,NA,NA,NA
2005-08-31,12.80,25.60,0.00,NA,NA,NA,NA
2005-09-01,11.70,26.10,0.30,NA,NA,NA,NA
2005-09-02,13.30,23.30,0.00,NA,NA,NA,NA
2005-09-03,11.10,25.00,0.00,NA,NA,NA,NA
2005-09-04,10.00,26.70,0.00,NA,NA,NA,NA
2005-09-05,12.20,30.00,0.00,NA,NA,NA,NA
2005-09-06,13.90,28.90,0.00,NA,NA,NA,NA
2005-09-07,16.10,30.00,0.30,NA,NA,NA,NA
2005-09-08,17.80,28.90,0.00,NA,NA,NA,NA
2005-09-09,15.00,30.00,0.00,NA,NA,NA,NA
2005-09-10,15.60,32.20,0.00,NA,NA,NA,NA
2005-09-11,17.20,31.70,0.00,NA,NA,NA,NA
2005-09-12,16.70,31.10,0.00,NA,NA,NA,NA
2005-09-13,19.40,33.90,0.00,NA,NA,NA,NA
2005-09-14,12.80,23.90,1.50,NA,NA,NA,NA
2005-09-15,6.10,21.10,0.30,NA,NA,NA,NA
2005-09-16,10.00,21.10,5.60,NA,NA,NA,NA
2005-09-17,7.20,25.00,0.00,NA,NA,NA,NA
2005-09-18,10.60,27.20,0.00,NA,NA,NA,NA
2005-09-19,18.30,25.60,0.00,NA,NA,NA,NA
2005-09-20,13.30,25.60,0.00,NA,NA,NA,NA
2005-09-21,12.80,29.40,0.00,NA,NA,NA,NA
2005-09-22,16.70,24.40,14.70,NA,NA,NA,NA
2005-09-23,11.10,21.70,0.00,NA,NA,NA,NA
2005-09-24,12.80,21.70,0.00,NA,NA,NA,NA
2005-09-25,17.80,25.60,3.30,NA,NA,NA,NA
2005-09-26,10.00,20.60,2.80,NA,NA,NA,NA
2005-09-27,7.20,21.10,0.30,NA,NA,NA,NA
2005-09-28,10.60,23.30,30.20,NA,NA,NA,NA
2005-09-29,5.60,15.00,1.30,NA,NA,NA,NA
2005-09-30,5.60,19.40,0.00,NA,NA,NA,NA
2005-10-01,8.30,23.30,0.00,NA,NA,NA,NA
2005-10-02,11.70,27.20,0.00,NA,NA,NA,NA
2005-10-03,20.00,29.40,0.30,NA,NA,NA,NA
2005-10-04,18.30,29.40,0.00,NA,NA,NA,NA
2005-10-05,NA,28.30,0.00,NA,NA,NA,NA
2005-10-06,10.00,NA,0.00,NA,NA,NA,NA
2005-10-07,5.00,12.80,0.00,NA,NA,NA,NA
2005-10-08,2.80,11.10,0.00,NA,NA,NA,NA
2005-10-09,2.20,15.60,0.00,NA,NA,NA,NA
2005-10-10,4.40,18.30,0.00,NA,NA,NA,NA
2005-10-11,8.30,15.60,0.00,NA,NA,NA,NA
2005-10-12,12.80,16.10,0.00,NA,NA,NA,NA
2005-10-13,11.70,20.60,0.00,NA,NA,NA,NA
2005-10-14,10.00,20.00,0.00,NA,NA,NA,NA
2005-10-15,5.60,18.30,0.00,NA,NA,NA,NA
2005-10-16,2.80,15.60,0.00,NA,NA,NA,NA
2005-10-17,0.60,17.20,1.80,NA,NA,NA,NA
2005-10-18,8.90,16.70,0.00,NA,NA,NA,NA
2005-10-19,4.40,17.80,0.00,NA,NA,NA,NA
2005-10-20,0.60,12.80,0.00,NA,NA,NA,NA
2005-10-21,1.70,15.00,0.00,NA,NA,NA,NA
2005-10-22,2.20,12.20,1.30,NA,NA,NA,NA
2005-10-23,6.10,11.10,0.00,NA,NA,NA,NA
2005-10-24,3.30,12.20,0.00,NA,NA,NA,NA
2005-10-25,NA,NA,NA,NA,NA,NA,NA
2005-10-26,3.90,12.20,0.00,NA,NA,NA,NA
2005-10-27,1.10,10.60,0.00,NA,NA,NA,NA
2005-10-28,-1.10,12.80,0.00,NA,NA,NA,NA
2005-10-29,-2.20,13.90,0.00,NA,NA,NA,NA
2005-10-30,3.30,17.80,0.00,NA,NA,NA,NA
2005-10-31,9.40,13.90,9.10,NA,NA,NA,NA
2005-11-01,6.70,11.10,5.30,NA,NA,NA,NA
2005-11-02,2.20,15.60,0.00,NA,NA,NA,NA
2005-11-03,10.60,17.20,0.00,NA,NA,NA,NA
2005-11-04,8.90,17.20,0.00,NA,NA,NA,NA
2005-11-05,3.90,16.70,12.40,NA,NA,NA,NA
2005-11-06,6.70,16.10,35.60,NA,NA,NA,NA
2005-11-07,3.90,14.40,0.00,NA,NA,NA,NA
2005-11-08,4.40,16.10,9.40,NA,NA,NA,NA
2005-11-09,6.70,17.80,6.90,NA,NA,NA,NA
2005-11-10,1.10,7.20,0.00,NA,NA,NA,NA
2005-11-11,-1.10,13.30,0.00,NA,NA,NA,NA
2005-11-12,6.10,19.40,4.10,NA,NA,NA,NA
2005-11-13,7.20,16.70,0.00,NA,NA,NA,NA
2005-11-14,0.00,8.90,2.50,NA,NA,NA,NA
2005-11-15,3.90,12.80,6.90,NA,NA,NA,NA
2005-11-16,-3.90,7.80,3.00,NA,NA,NA,NA
2005-11-17,-7.20,-2.80,0.50,NA,NA,NA,NA
2005-11-18,-6.70,3.30,0.00,NA,NA,NA,NA
2005-11-19,-0.60,11.10,0.00,NA,NA,NA,NA
2005-11-20,2.80,7.80,0.00,NA,NA,NA,NA
2005-11-21,2.20,5.60,2.80,NA,NA,NA,NA
2005-11-22,-2.20,2.20,0.00,NA,NA,NA,NA
2005-11-23,-2.80,4.40,2.80,NA,NA,NA,NA
2005-11-24,-10.00,3.90,0.50,NA,NA,NA,NA
2005-11-25,-6.70,-2.80,2.50,NA,NA,NA,NA
2005-11-26,-7.20,1.10,0.00,NA,NA,NA,NA
2005-11-27,-1.10,10.00,8.10,NA,NA,NA,NA
2005-11-28,8.30,16.70,9.70,NA,NA,NA,NA
2005-11-29,-0.60,8.30,0.00,NA,NA,NA,NA
2005-11-30,-2.20,-0.60,1.50,NA,NA,NA,NA
2005-12-01,-3.30,0.00,2.50,NA,NA,NA,NA
2005-12-02,-6.70,-2.20,0.50,NA,NA,NA,NA
2005-12-03,-6.70,-3.30,2.30,NA,NA,NA,NA
2005-12-04,-10.60,-1.70,0.30,NA,NA,NA,NA
2005-12-05,-7.20,-3.90,0.00,NA,NA,NA,NA
2005-12-06,-7.80,-6.10,0.30,NA,NA,NA,NA
2005-12-07,-9.40,-6.10,0.50,NA,NA,NA,NA
2005-12-08,-12.80,-6.10,4.80,NA,NA,NA,NA
2005-12-09,-9.40,-0.60,4.60,NA,NA,NA,NA
2005-12-10,-10.00,-1.10,1.00,NA,NA,NA,NA
2005-12-11,-5.60,0.60,3.60,NA,NA,NA,NA
2005-12-12,-10.00,-5.00,0.00,NA,NA,NA,NA
2005-12-13,-6.70,-2.20,0.50,NA,NA,NA,NA
2005-12-14,-4.40,0.00,1.30,NA,NA,NA,NA
2005-12-15,-0.60,2.20,2.50,NA,NA,NA,NA
2005-12-16,-3.90,0.60,0.80,NA,NA,NA,NA
2005-12-17,-5.00,-3.30,0.00,NA,NA,NA,NA
2005-12-18,-7.20,-5.00,0.00,NA,NA,NA,NA
2005-12-19,-7.20,-5.60,0.00,NA,NA,NA,NA
2005-12-20,-5.60,-3.30,0.00,NA,NA,NA,NA
2005-12-21,-5.00,-2.20,0.00,NA,NA,NA,NA
2005-12-22,-7.80,2.80,0.30,NA,NA,NA,NA
2005-12-23,1.70,4.40,0.00,NA,NA,NA,NA
2005-12-24,1.10,4.40,5.80,NA,NA,NA,NA
2005-12-25,1.70,2.80,2.00,NA,NA,NA,NA
2005-12-26,0.60,2.20,0.50,NA,NA,NA,NA
2005-12-27,0.00,2.80,0.00,NA,NA,NA,NA
2005-12-28,1.10,2.20,0.30,NA,NA,NA,NA
2005-12-29,0.60,2.80,0.00,NA,NA,NA,NA
2005-12-30,0.00,3.30,9.40,NA,NA,NA,NA
2005-12-31,0.60,2.80,6.40,NA,NA,NA,NA
