Daily data for a single station.
StationID:  , USW00004840
StationName:, "FOND DU LAC CO AP"
Lat&Long    , 43.770, -88.486
Elevation:  , -9999.000
Starts(YMD):,2001-12-01
Ends(YMD):  ,2013-03-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2001-12-01,-0.60,5.00,0.00,NA,NA,NA,NA
2001-12-02,NA,NA,NA,NA,NA,NA,NA
2001-12-03,NA,NA,NA,NA,NA,NA,NA
2001-12-04,NA,NA,NA,NA,NA,NA,NA
2001-12-05,NA,NA,NA,NA,NA,NA,NA
2001-12-06,NA,NA,NA,NA,NA,NA,NA
2001-12-07,NA,NA,NA,NA,NA,NA,NA
2001-12-08,NA,NA,NA,NA,NA,NA,NA
2001-12-09,NA,NA,NA,NA,NA,NA,NA
2001-12-10,NA,NA,NA,NA,NA,NA,NA
2001-12-11,NA,NA,NA,NA,NA,NA,NA
2001-12-12,NA,NA,NA,NA,NA,NA,NA
2001-12-13,NA,NA,NA,NA,NA,NA,NA
2001-12-14,NA,NA,NA,NA,NA,NA,NA
2001-12-15,NA,NA,NA,NA,NA,NA,NA
2001-12-16,NA,NA,NA,NA,NA,NA,NA
2001-12-17,NA,NA,NA,NA,NA,NA,NA
2001-12-18,NA,NA,NA,NA,NA,NA,NA
2001-12-19,NA,NA,NA,NA,NA,NA,NA
2001-12-20,NA,NA,NA,NA,NA,NA,NA
2001-12-21,NA,NA,NA,NA,NA,NA,NA
2001-12-22,NA,NA,NA,NA,NA,NA,NA
2001-12-23,NA,NA,NA,NA,NA,NA,NA
2001-12-24,NA,NA,NA,NA,NA,NA,NA
2001-12-25,NA,NA,NA,NA,NA,NA,NA
2001-12-26,NA,NA,NA,NA,NA,NA,NA
2001-12-27,NA,NA,NA,NA,NA,NA,NA
2001-12-28,NA,NA,NA,NA,NA,NA,NA
2001-12-29,NA,NA,NA,NA,NA,NA,NA
2001-12-30,NA,NA,NA,NA,NA,NA,NA
2001-12-31,NA,NA,NA,NA,NA,NA,NA
2002-01-01,NA,NA,NA,NA,NA,NA,NA
2002-01-02,NA,NA,NA,NA,NA,NA,NA
2002-01-03,NA,NA,NA,NA,NA,NA,NA
2002-01-04,NA,NA,NA,NA,NA,NA,NA
2002-01-05,NA,NA,NA,NA,NA,NA,NA
2002-01-06,NA,NA,NA,NA,NA,NA,NA
2002-01-07,NA,NA,NA,NA,NA,NA,NA
2002-01-08,NA,NA,NA,NA,NA,NA,NA
2002-01-09,NA,NA,NA,NA,NA,NA,NA
2002-01-10,NA,NA,NA,NA,NA,NA,NA
2002-01-11,NA,NA,NA,NA,NA,NA,NA
2002-01-12,NA,NA,NA,NA,NA,NA,NA
2002-01-13,NA,NA,NA,NA,NA,NA,NA
2002-01-14,NA,NA,NA,NA,NA,NA,NA
2002-01-15,NA,NA,NA,NA,NA,NA,NA
2002-01-16,NA,NA,NA,NA,NA,NA,NA
2002-01-17,NA,NA,NA,NA,NA,NA,NA
2002-01-18,NA,NA,NA,NA,NA,NA,NA
2002-01-19,NA,NA,NA,NA,NA,NA,NA
2002-01-20,NA,NA,NA,NA,NA,NA,NA
2002-01-21,NA,NA,NA,NA,NA,NA,NA
2002-01-22,NA,NA,NA,NA,NA,NA,NA
2002-01-23,NA,NA,NA,NA,NA,NA,NA
2002-01-24,NA,NA,NA,NA,NA,NA,NA
2002-01-25,NA,NA,NA,NA,NA,NA,NA
2002-01-26,NA,NA,NA,NA,NA,NA,NA
2002-01-27,NA,NA,NA,NA,NA,NA,NA
2002-01-28,NA,NA,NA,NA,NA,NA,NA
2002-01-29,NA,NA,NA,NA,NA,NA,NA
2002-01-30,NA,NA,NA,NA,NA,NA,NA
2002-01-31,NA,NA,NA,NA,NA,NA,NA
2002-02-01,NA,NA,NA,NA,NA,NA,NA
2002-02-02,NA,NA,NA,NA,NA,NA,NA
2002-02-03,NA,NA,NA,NA,NA,NA,NA
2002-02-04,NA,NA,NA,NA,NA,NA,NA
2002-02-05,NA,NA,NA,NA,NA,NA,NA
2002-02-06,NA,NA,NA,NA,NA,NA,NA
2002-02-07,NA,NA,NA,NA,NA,NA,NA
2002-02-08,NA,NA,NA,NA,NA,NA,NA
2002-02-09,NA,NA,NA,NA,NA,NA,NA
2002-02-10,NA,NA,NA,NA,NA,NA,NA
2002-02-11,NA,NA,NA,NA,NA,NA,NA
2002-02-12,NA,NA,NA,NA,NA,NA,NA
2002-02-13,NA,NA,NA,NA,NA,NA,NA
2002-02-14,NA,NA,NA,NA,NA,NA,NA
2002-02-15,NA,NA,NA,NA,NA,NA,NA
2002-02-16,NA,NA,NA,NA,NA,NA,NA
2002-02-17,NA,NA,NA,NA,NA,NA,NA
2002-02-18,NA,NA,NA,NA,NA,NA,NA
2002-02-19,NA,NA,NA,NA,NA,NA,NA
2002-02-20,NA,NA,NA,NA,NA,NA,NA
2002-02-21,NA,NA,NA,NA,NA,NA,NA
2002-02-22,NA,NA,NA,NA,NA,NA,NA
2002-02-23,NA,NA,NA,NA,NA,NA,NA
2002-02-24,NA,NA,NA,NA,NA,NA,NA
2002-02-25,NA,NA,NA,NA,NA,NA,NA
2002-02-26,NA,NA,NA,NA,NA,NA,NA
2002-02-27,NA,NA,NA,NA,NA,NA,NA
2002-02-28,NA,NA,NA,NA,NA,NA,NA
2002-03-01,NA,NA,NA,NA,NA,NA,NA
2002-03-02,NA,NA,NA,NA,NA,NA,NA
2002-03-03,NA,NA,NA,NA,NA,NA,NA
2002-03-04,NA,NA,NA,NA,NA,NA,NA
