Daily data for a single station.
StationID:  , USW00004841
StationName:, "SHEBOYGAN CO MEM AP"
Lat&Long    , 43.769, -87.851
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,19.40,32.80,0.00,NA,NA,NA,NA
2005-08-02,18.30,32.20,0.00,NA,NA,NA,NA
2005-08-03,18.30,33.90,0.00,NA,NA,NA,NA
2005-08-04,17.20,29.40,0.30,NA,NA,NA,NA
2005-08-05,13.30,28.30,0.00,NA,NA,NA,NA
2005-08-06,11.10,29.40,0.00,NA,NA,NA,NA
2005-08-07,13.30,31.70,0.00,NA,NA,NA,NA
2005-08-08,13.90,33.30,0.00,NA,NA,NA,NA
2005-08-09,19.40,35.00,3.30,NA,NA,NA,NA
2005-08-10,16.10,30.00,0.00,NA,NA,NA,NA
2005-08-11,15.60,23.90,7.10,NA,NA,NA,NA
2005-08-12,16.70,27.20,0.00,NA,NA,NA,NA
2005-08-13,13.30,21.70,0.30,NA,NA,NA,NA
2005-08-14,12.20,25.00,0.00,NA,NA,NA,NA
2005-08-15,11.70,26.70,0.30,NA,NA,NA,NA
2005-08-16,14.40,28.90,0.00,NA,NA,NA,NA
2005-08-17,16.70,28.30,0.00,NA,NA,NA,NA
2005-08-18,17.80,26.10,1.50,NA,NA,NA,NA
2005-08-19,19.40,28.30,0.00,NA,NA,NA,NA
2005-08-20,17.80,30.60,0.00,NA,NA,NA,NA
2005-08-21,13.30,25.60,0.00,NA,NA,NA,NA
2005-08-22,10.00,21.70,0.00,NA,NA,NA,NA
2005-08-23,10.60,22.80,0.00,NA,NA,NA,NA
2005-08-24,8.90,23.90,0.00,NA,NA,NA,NA
2005-08-25,12.80,25.00,0.00,NA,NA,NA,NA
2005-08-26,13.30,27.80,4.80,NA,NA,NA,NA
