Daily data for a single station.
StationID:  , USW00004842
StationName:, "WOOSTER WAYNE CO AP"
Lat&Long    , 40.873, -81.887
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,14.40,29.40,0.30,NA,NA,NA,NA
2005-08-02,16.70,31.10,0.00,NA,NA,NA,NA
2005-08-03,16.10,31.10,0.00,NA,NA,NA,NA
2005-08-04,17.80,31.10,0.00,NA,NA,NA,NA
2005-08-05,19.40,27.20,26.90,NA,NA,NA,NA
2005-08-06,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-07,13.30,28.30,0.30,NA,NA,NA,NA
2005-08-08,16.70,27.20,0.00,NA,NA,NA,NA
2005-08-09,14.40,29.40,0.00,NA,NA,NA,NA
2005-08-10,14.40,28.90,14.00,NA,NA,NA,NA
2005-08-11,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-12,19.40,30.60,0.00,NA,NA,NA,NA
2005-08-13,18.90,30.60,19.30,NA,NA,NA,NA
2005-08-14,18.90,25.00,0.30,NA,NA,NA,NA
2005-08-15,17.20,23.90,0.00,NA,NA,NA,NA
2005-08-16,16.10,26.10,0.80,NA,NA,NA,NA
2005-08-17,13.90,27.80,0.30,NA,NA,NA,NA
2005-08-18,14.40,27.80,0.00,NA,NA,NA,NA
2005-08-19,19.40,29.40,0.00,NA,NA,NA,NA
2005-08-20,16.10,30.60,0.30,NA,NA,NA,NA
2005-08-21,14.40,27.20,0.30,NA,NA,NA,NA
2005-08-22,11.10,22.80,0.00,NA,NA,NA,NA
2005-08-23,10.00,21.10,0.30,NA,NA,NA,NA
2005-08-24,8.90,24.40,0.00,NA,NA,NA,NA
2005-08-25,11.10,25.60,0.30,NA,NA,NA,NA
2005-08-26,17.80,25.00,0.00,NA,NA,NA,NA
2005-08-27,18.90,25.60,2.50,NA,NA,NA,NA
2005-08-28,11.70,27.80,0.30,NA,NA,NA,NA
2005-08-29,15.60,22.80,0.30,NA,NA,NA,NA
2005-08-30,18.90,21.70,29.20,NA,NA,NA,NA
2005-08-31,NA,NA,2.50,NA,NA,NA,NA
2005-09-01,11.70,25.00,0.00,NA,NA,NA,NA
2005-09-02,12.20,26.10,0.30,NA,NA,NA,NA
2005-09-03,11.10,23.90,0.00,NA,NA,NA,NA
2005-09-04,9.40,23.90,0.30,NA,NA,NA,NA
2005-09-05,9.40,25.00,0.30,NA,NA,NA,NA
2005-09-06,10.00,25.00,0.00,NA,NA,NA,NA
2005-09-07,8.90,26.10,0.30,NA,NA,NA,NA
2005-09-08,10.60,26.70,0.00,NA,NA,NA,NA
2005-09-09,13.30,26.10,1.50,NA,NA,NA,NA
2005-09-10,10.00,27.20,0.30,NA,NA,NA,NA
2005-09-11,9.40,27.80,0.00,NA,NA,NA,NA
2005-09-12,10.60,28.90,0.30,NA,NA,NA,NA
2005-09-13,11.70,28.30,0.00,NA,NA,NA,NA
2005-09-14,12.80,28.30,0.50,NA,NA,NA,NA
2005-09-15,12.80,26.70,0.30,NA,NA,NA,NA
2005-09-16,16.70,25.60,12.70,NA,NA,NA,NA
2005-09-17,15.00,19.40,0.00,NA,NA,NA,NA
2005-09-18,13.30,25.00,0.30,NA,NA,NA,NA
2005-09-19,10.60,24.40,0.00,NA,NA,NA,NA
2005-09-20,11.10,26.70,0.00,NA,NA,NA,NA
2005-09-21,8.30,26.70,0.30,NA,NA,NA,NA
2005-09-22,10.00,28.90,4.80,NA,NA,NA,NA
2005-09-23,13.30,22.20,13.50,NA,NA,NA,NA
2005-09-24,13.30,23.90,0.50,NA,NA,NA,NA
2005-09-25,15.60,27.20,1.50,NA,NA,NA,NA
2005-09-26,15.60,23.30,35.10,NA,NA,NA,NA
2005-09-27,7.80,21.70,0.30,NA,NA,NA,NA
2005-09-28,6.10,24.40,0.00,NA,NA,NA,NA
2005-09-29,5.00,22.20,11.90,NA,NA,NA,NA
2005-09-30,3.30,18.90,0.00,NA,NA,NA,NA
2005-10-01,3.90,23.90,0.00,NA,NA,NA,NA
2005-10-02,9.40,27.20,0.00,NA,NA,NA,NA
2005-10-03,11.70,27.80,0.30,NA,NA,NA,NA
2005-10-04,11.10,28.30,0.00,NA,NA,NA,NA
2005-10-05,8.90,26.70,0.30,NA,NA,NA,NA
2005-10-06,12.80,27.80,0.30,NA,NA,NA,NA
2005-10-07,11.10,17.20,1.30,NA,NA,NA,NA
2005-10-08,8.90,11.10,22.10,NA,NA,NA,NA
2005-10-09,8.90,12.20,4.80,NA,NA,NA,NA
2005-10-10,8.30,18.90,0.30,NA,NA,NA,NA
2005-10-11,12.80,16.10,0.00,NA,NA,NA,NA
2005-10-12,8.30,16.70,0.00,NA,NA,NA,NA
2005-10-13,6.70,18.90,0.30,NA,NA,NA,NA
2005-10-14,7.80,21.10,0.30,NA,NA,NA,NA
2005-10-15,7.20,18.90,0.00,NA,NA,NA,NA
2005-10-16,3.90,12.20,0.00,NA,NA,NA,NA
2005-10-17,1.70,17.80,0.50,NA,NA,NA,NA
2005-10-18,5.60,20.00,0.50,NA,NA,NA,NA
2005-10-19,5.00,22.80,0.00,NA,NA,NA,NA
2005-10-20,2.20,8.90,0.30,NA,NA,NA,NA
2005-10-21,6.70,11.70,1.50,NA,NA,NA,NA
2005-10-22,2.80,9.40,5.10,NA,NA,NA,NA
2005-10-23,0.00,11.70,4.30,NA,NA,NA,NA
2005-10-24,3.30,7.20,6.60,NA,NA,NA,NA
2005-10-25,3.90,7.20,13.00,NA,NA,NA,NA
2005-10-26,3.30,8.30,0.00,NA,NA,NA,NA
2005-10-27,-1.10,7.80,0.00,NA,NA,NA,NA
2005-10-28,-1.70,8.30,0.00,NA,NA,NA,NA
2005-10-29,-1.10,11.70,0.00,NA,NA,NA,NA
2005-10-30,-2.20,15.60,0.00,NA,NA,NA,NA
2005-10-31,3.90,17.80,0.00,NA,NA,NA,NA
2005-11-01,0.00,12.20,4.60,NA,NA,NA,NA
2005-11-02,-0.60,11.10,0.30,NA,NA,NA,NA
2005-11-03,6.10,21.10,0.00,NA,NA,NA,NA
2005-11-04,10.60,18.90,0.00,NA,NA,NA,NA
2005-11-05,11.10,20.60,0.00,NA,NA,NA,NA
2005-11-06,8.30,19.40,3.30,NA,NA,NA,NA
2005-11-07,8.30,14.40,0.00,NA,NA,NA,NA
2005-11-08,6.10,13.30,9.70,NA,NA,NA,NA
2005-11-09,7.20,21.10,2.00,NA,NA,NA,NA
2005-11-10,2.80,8.30,0.30,NA,NA,NA,NA
2005-11-11,-1.70,11.10,0.00,NA,NA,NA,NA
2005-11-12,1.70,16.70,0.00,NA,NA,NA,NA
2005-11-13,6.70,15.60,0.50,NA,NA,NA,NA
2005-11-14,-1.70,11.10,8.10,NA,NA,NA,NA
2005-11-15,6.70,20.00,11.40,NA,NA,NA,NA
2005-11-16,-1.70,17.80,1.50,NA,NA,NA,NA
2005-11-17,-5.00,-2.20,0.00,NA,NA,NA,NA
2005-11-18,-8.30,0.00,0.00,NA,NA,NA,NA
2005-11-19,-3.90,9.40,0.00,NA,NA,NA,NA
2005-11-20,1.10,15.00,0.00,NA,NA,NA,NA
2005-11-21,0.00,18.90,0.00,NA,NA,NA,NA
2005-11-22,-1.10,10.00,4.60,NA,NA,NA,NA
2005-11-23,-2.20,5.60,3.00,NA,NA,NA,NA
2005-11-24,-11.70,1.70,1.00,NA,NA,NA,NA
2005-11-25,-12.20,-4.40,0.00,NA,NA,NA,NA
2005-11-26,-5.00,4.40,0.00,NA,NA,NA,NA
2005-11-27,2.20,11.10,0.30,NA,NA,NA,NA
2005-11-28,7.80,18.90,2.00,NA,NA,NA,NA
2005-11-29,1.10,16.10,11.90,NA,NA,NA,NA
2005-11-30,-1.70,1.10,0.30,NA,NA,NA,NA
2005-12-01,-2.20,0.00,0.50,NA,NA,NA,NA
2005-12-02,-6.70,-1.10,0.00,NA,NA,NA,NA
2005-12-03,-7.80,-2.80,0.50,NA,NA,NA,NA
2005-12-04,-10.60,-1.70,2.80,NA,NA,NA,NA
2005-12-05,-10.00,-3.30,0.00,NA,NA,NA,NA
2005-12-06,-14.40,-5.60,0.00,NA,NA,NA,NA
2005-12-07,-17.80,-7.20,0.00,NA,NA,NA,NA
2005-12-08,-18.30,0.00,0.80,NA,NA,NA,NA
2005-12-09,-8.90,1.10,0.30,NA,NA,NA,NA
2005-12-10,-6.70,-2.20,0.00,NA,NA,NA,NA
2005-12-11,-3.90,0.60,0.50,NA,NA,NA,NA
2005-12-12,-15.00,-3.30,0.30,NA,NA,NA,NA
2005-12-13,-15.60,-5.00,0.00,NA,NA,NA,NA
2005-12-14,-14.40,-2.20,0.00,NA,NA,NA,NA
2005-12-15,-2.20,2.20,4.80,NA,NA,NA,NA
2005-12-16,-5.00,0.00,0.00,NA,NA,NA,NA
2005-12-17,-12.20,-1.70,0.00,NA,NA,NA,NA
2005-12-18,-12.20,-0.60,0.00,NA,NA,NA,NA
2005-12-19,-15.00,-7.80,0.00,NA,NA,NA,NA
2005-12-20,-15.60,-5.60,0.00,NA,NA,NA,NA
2005-12-21,-6.70,-1.70,0.00,NA,NA,NA,NA
2005-12-22,-6.10,0.00,0.00,NA,NA,NA,NA
2005-12-23,-0.60,4.40,0.00,NA,NA,NA,NA
2005-12-24,0.60,6.70,0.00,NA,NA,NA,NA
2005-12-25,0.60,4.40,2.80,NA,NA,NA,NA
2005-12-26,-0.60,0.60,1.30,NA,NA,NA,NA
2005-12-27,-0.60,2.80,0.00,NA,NA,NA,NA
2005-12-28,1.10,10.60,2.50,NA,NA,NA,NA
2005-12-29,0.60,8.30,1.00,NA,NA,NA,NA
2005-12-30,0.00,2.20,0.00,NA,NA,NA,NA
2005-12-31,0.60,3.30,5.10,NA,NA,NA,NA
