Daily data for a single station.
StationID:  , USW00004843
StationName:, "PORT MEADVILLE AP"
Lat&Long    , 41.626, -80.215
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,16.70,28.90,0.30,NA,NA,NA,NA
2005-08-02,19.40,30.60,0.00,NA,NA,NA,NA
2005-08-03,18.30,31.10,0.00,NA,NA,NA,NA
2005-08-04,21.70,31.70,0.00,NA,NA,NA,NA
2005-08-05,16.10,26.10,1.00,NA,NA,NA,NA
2005-08-06,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-07,12.80,28.30,0.00,NA,NA,NA,NA
2005-08-08,16.10,26.10,0.00,NA,NA,NA,NA
2005-08-09,17.20,29.40,0.00,NA,NA,NA,NA
2005-08-10,18.90,31.10,6.40,NA,NA,NA,NA
2005-08-11,18.90,28.30,1.30,NA,NA,NA,NA
2005-08-12,21.10,31.70,0.00,NA,NA,NA,NA
2005-08-13,20.00,29.40,34.30,NA,NA,NA,NA
2005-08-14,17.80,25.00,8.40,NA,NA,NA,NA
2005-08-15,15.60,25.00,0.30,NA,NA,NA,NA
2005-08-16,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-17,14.40,27.20,0.00,NA,NA,NA,NA
2005-08-18,15.60,28.90,0.00,NA,NA,NA,NA
2005-08-19,20.00,28.90,0.00,NA,NA,NA,NA
2005-08-20,19.40,28.30,3.60,NA,NA,NA,NA
2005-08-21,17.80,26.70,0.30,NA,NA,NA,NA
2005-08-22,13.30,20.60,0.00,NA,NA,NA,NA
2005-08-23,13.30,21.10,0.00,NA,NA,NA,NA
2005-08-24,10.00,23.90,0.00,NA,NA,NA,NA
2005-08-25,13.90,25.00,0.00,NA,NA,NA,NA
2005-08-26,18.30,27.20,0.00,NA,NA,NA,NA
2005-08-27,17.20,20.00,11.70,NA,NA,NA,NA
2005-08-28,18.30,27.80,5.10,NA,NA,NA,NA
2005-08-29,16.70,21.10,0.30,NA,NA,NA,NA
2005-08-30,16.70,22.20,43.90,NA,NA,NA,NA
2005-08-31,16.10,22.20,16.00,NA,NA,NA,NA
2005-09-01,13.90,25.60,0.30,NA,NA,NA,NA
2005-09-02,14.40,25.00,0.00,NA,NA,NA,NA
2005-09-03,12.80,22.80,0.00,NA,NA,NA,NA
2005-09-04,10.60,22.80,0.00,NA,NA,NA,NA
