Daily data for a single station.
StationID:  , USW00004845
StationName:, "KENOSHA RGNL AP"
Lat&Long    , 42.595, -87.938
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,18.30,33.90,0.00,NA,NA,NA,NA
2005-08-02,18.30,34.40,0.00,NA,NA,NA,NA
2005-08-03,22.80,34.40,0.50,NA,NA,NA,NA
2005-08-04,18.30,31.70,0.00,NA,NA,NA,NA
2005-08-05,13.30,28.30,0.00,NA,NA,NA,NA
2005-08-06,10.60,28.30,0.00,NA,NA,NA,NA
2005-08-07,13.90,31.70,0.00,NA,NA,NA,NA
2005-08-08,15.60,33.30,0.00,NA,NA,NA,NA
2005-08-09,18.30,36.10,0.00,NA,NA,NA,NA
2005-08-10,17.80,29.40,0.00,NA,NA,NA,NA
2005-08-11,15.60,24.40,6.40,NA,NA,NA,NA
2005-08-12,17.80,27.80,17.50,NA,NA,NA,NA
2005-08-13,14.40,23.30,0.00,NA,NA,NA,NA
2005-08-14,13.30,25.00,0.00,NA,NA,NA,NA
2005-08-15,12.20,26.10,0.00,NA,NA,NA,NA
2005-08-16,13.30,27.80,0.00,NA,NA,NA,NA
2005-08-17,11.70,27.20,0.30,NA,NA,NA,NA
2005-08-18,20.00,27.80,8.90,NA,NA,NA,NA
2005-08-19,19.40,29.40,0.00,NA,NA,NA,NA
2005-08-20,17.20,30.00,31.80,NA,NA,NA,NA
2005-08-21,14.40,26.10,0.00,NA,NA,NA,NA
2005-08-22,11.10,21.70,0.00,NA,NA,NA,NA
2005-08-23,10.00,22.20,0.00,NA,NA,NA,NA
2005-08-24,13.30,23.30,0.00,NA,NA,NA,NA
2005-08-25,15.60,23.30,0.00,NA,NA,NA,NA
2005-08-26,15.60,27.80,0.00,NA,NA,NA,NA
2005-08-27,18.30,28.30,0.80,NA,NA,NA,NA
2005-08-28,13.90,27.80,0.00,NA,NA,NA,NA
2005-08-29,12.80,27.80,0.00,NA,NA,NA,NA
2005-08-30,13.90,26.10,0.00,NA,NA,NA,NA
2005-08-31,15.60,24.40,0.00,NA,NA,NA,NA
2005-09-01,16.10,28.90,0.00,NA,NA,NA,NA
2005-09-02,11.70,27.20,0.00,NA,NA,NA,NA
2005-09-03,10.60,25.00,0.00,NA,NA,NA,NA
2005-09-04,11.10,26.10,0.00,NA,NA,NA,NA
2005-09-05,11.70,30.00,0.00,NA,NA,NA,NA
2005-09-06,16.70,30.00,0.00,NA,NA,NA,NA
2005-09-07,17.20,32.20,3.00,NA,NA,NA,NA
2005-09-08,15.00,23.90,0.00,NA,NA,NA,NA
2005-09-09,12.20,26.70,0.30,NA,NA,NA,NA
2005-09-10,20.60,31.10,0.00,NA,NA,NA,NA
2005-09-11,20.60,32.80,0.00,NA,NA,NA,NA
2005-09-12,17.80,32.20,0.00,NA,NA,NA,NA
2005-09-13,19.40,33.90,0.50,NA,NA,NA,NA
2005-09-14,8.90,24.40,4.30,NA,NA,NA,NA
2005-09-15,7.20,21.70,12.20,NA,NA,NA,NA
2005-09-16,10.00,22.20,2.30,NA,NA,NA,NA
2005-09-17,8.90,22.80,0.00,NA,NA,NA,NA
2005-09-18,12.20,26.70,0.30,NA,NA,NA,NA
2005-09-19,14.40,28.30,5.60,NA,NA,NA,NA
2005-09-20,11.70,27.80,0.30,NA,NA,NA,NA
2005-09-21,15.00,30.60,0.00,NA,NA,NA,NA
2005-09-22,15.60,27.20,34.50,NA,NA,NA,NA
2005-09-23,11.70,19.40,0.00,NA,NA,NA,NA
2005-09-24,16.70,21.10,2.00,NA,NA,NA,NA
2005-09-25,16.10,25.00,20.80,NA,NA,NA,NA
2005-09-26,8.90,19.40,0.30,NA,NA,NA,NA
2005-09-27,6.10,22.80,0.30,NA,NA,NA,NA
2005-09-28,8.30,21.10,4.80,NA,NA,NA,NA
2005-09-29,2.80,15.60,0.00,NA,NA,NA,NA
2005-09-30,6.70,21.10,0.00,NA,NA,NA,NA
