Daily data for a single station.
StationID:  , USW00004846
StationName:, "VALPARAISO PORTER CO MUNI"
Lat&Long    , 41.453, -87.006
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,17.20,31.70,0.00,NA,NA,NA,NA
2005-08-02,17.20,32.20,0.30,NA,NA,NA,NA
2005-08-03,18.30,33.30,0.00,NA,NA,NA,NA
2005-08-04,21.70,29.40,9.10,NA,NA,NA,NA
2005-08-05,16.70,27.80,0.00,NA,NA,NA,NA
2005-08-06,13.30,29.40,0.00,NA,NA,NA,NA
2005-08-07,16.10,30.60,0.00,NA,NA,NA,NA
2005-08-08,18.90,31.10,0.00,NA,NA,NA,NA
2005-08-09,17.20,32.80,0.00,NA,NA,NA,NA
2005-08-10,19.40,31.10,0.50,NA,NA,NA,NA
2005-08-11,17.20,23.90,17.00,NA,NA,NA,NA
2005-08-12,21.70,29.40,0.00,NA,NA,NA,NA
2005-08-13,20.00,25.60,32.50,NA,NA,NA,NA
2005-08-14,17.80,23.30,0.80,NA,NA,NA,NA
2005-08-15,16.10,25.60,0.30,NA,NA,NA,NA
2005-08-16,15.60,28.30,0.30,NA,NA,NA,NA
2005-08-17,13.90,27.80,0.00,NA,NA,NA,NA
2005-08-18,18.30,27.80,7.10,NA,NA,NA,NA
2005-08-19,21.70,29.40,0.00,NA,NA,NA,NA
2005-08-20,21.10,29.40,39.10,NA,NA,NA,NA
2005-08-21,15.00,26.10,0.00,NA,NA,NA,NA
2005-08-22,13.90,21.70,0.00,NA,NA,NA,NA
2005-08-23,12.80,22.80,0.00,NA,NA,NA,NA
2005-08-24,10.60,25.00,0.30,NA,NA,NA,NA
2005-08-25,12.20,26.70,0.00,NA,NA,NA,NA
2005-08-26,17.80,27.80,0.00,NA,NA,NA,NA
2005-08-27,17.80,26.10,0.00,NA,NA,NA,NA
2005-08-28,15.00,28.90,0.00,NA,NA,NA,NA
2005-08-29,16.10,28.90,0.00,NA,NA,NA,NA
2005-08-30,13.30,27.20,0.00,NA,NA,NA,NA
2005-08-31,15.00,25.00,0.00,NA,NA,NA,NA
2005-09-01,14.40,26.70,0.00,NA,NA,NA,NA
2005-09-02,12.80,27.20,0.00,NA,NA,NA,NA
2005-09-03,10.60,26.10,0.00,NA,NA,NA,NA
2005-09-04,9.40,28.30,0.30,NA,NA,NA,NA
2005-09-05,13.30,28.90,0.00,NA,NA,NA,NA
2005-09-06,12.80,28.90,0.00,NA,NA,NA,NA
2005-09-07,13.90,30.60,0.00,NA,NA,NA,NA
2005-09-08,17.20,28.90,0.00,NA,NA,NA,NA
2005-09-09,14.40,30.00,0.00,NA,NA,NA,NA
2005-09-10,15.00,31.70,0.00,NA,NA,NA,NA
2005-09-11,15.60,31.70,0.00,NA,NA,NA,NA
2005-09-12,16.10,31.70,0.00,NA,NA,NA,NA
2005-09-13,17.80,33.30,0.00,NA,NA,NA,NA
2005-09-14,12.80,22.80,19.80,NA,NA,NA,NA
2005-09-15,10.60,20.60,27.20,NA,NA,NA,NA
2005-09-16,10.00,17.20,0.80,NA,NA,NA,NA
2005-09-17,10.00,24.40,0.30,NA,NA,NA,NA
2005-09-18,11.10,27.20,0.30,NA,NA,NA,NA
2005-09-19,13.30,30.00,6.60,NA,NA,NA,NA
2005-09-20,12.80,26.10,0.00,NA,NA,NA,NA
2005-09-21,11.10,28.90,0.00,NA,NA,NA,NA
2005-09-22,17.80,32.80,1.50,NA,NA,NA,NA
2005-09-23,15.00,22.20,0.00,NA,NA,NA,NA
2005-09-24,15.60,25.00,0.00,NA,NA,NA,NA
2005-09-25,17.20,23.30,8.40,NA,NA,NA,NA
2005-09-26,NA,NA,0.00,NA,NA,NA,NA
2005-09-27,8.90,23.90,0.30,NA,NA,NA,NA
2005-09-28,9.40,24.40,17.00,NA,NA,NA,NA
2005-09-29,6.70,15.60,0.00,NA,NA,NA,NA
2005-09-30,2.80,21.70,0.00,NA,NA,NA,NA
2005-10-01,7.80,26.10,0.00,NA,NA,NA,NA
2005-10-02,12.80,27.20,11.40,NA,NA,NA,NA
2005-10-03,19.40,29.40,0.00,NA,NA,NA,NA
2005-10-04,17.20,29.40,0.00,NA,NA,NA,NA
2005-10-05,18.30,28.90,0.00,NA,NA,NA,NA
2005-10-06,9.40,20.60,0.00,NA,NA,NA,NA
2005-10-07,9.40,13.90,0.00,NA,NA,NA,NA
2005-10-08,5.00,11.70,0.00,NA,NA,NA,NA
2005-10-09,3.90,17.80,0.00,NA,NA,NA,NA
2005-10-10,7.20,16.10,0.00,NA,NA,NA,NA
2005-10-11,12.20,14.40,0.80,NA,NA,NA,NA
2005-10-12,11.70,18.30,0.00,NA,NA,NA,NA
2005-10-13,8.30,23.30,0.50,NA,NA,NA,NA
2005-10-14,10.60,23.30,0.00,NA,NA,NA,NA
2005-10-15,6.10,18.90,0.00,NA,NA,NA,NA
2005-10-16,4.40,15.60,0.00,NA,NA,NA,NA
2005-10-17,2.80,22.80,0.80,NA,NA,NA,NA
2005-10-18,8.30,21.70,0.00,NA,NA,NA,NA
2005-10-19,7.80,15.00,0.00,NA,NA,NA,NA
