Daily data for a single station.
StationID:  , USW00004847
StationName:, "ADRIAN LENAWEE CO AP"
Lat&Long    , 41.868, -84.079
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,NA,NA,0.00,NA,NA,NA,NA
2005-08-02,NA,NA,0.00,NA,NA,NA,NA
2005-08-03,NA,NA,0.00,NA,NA,NA,NA
2005-08-04,NA,NA,0.00,NA,NA,NA,NA
2005-08-05,NA,NA,0.00,NA,NA,NA,NA
2005-08-06,16.70,29.40,0.00,NA,NA,NA,NA
2005-08-07,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-08,16.10,31.10,0.00,NA,NA,NA,NA
2005-08-09,19.40,31.70,0.00,NA,NA,NA,NA
2005-08-10,20.60,31.10,3.80,NA,NA,NA,NA
2005-08-11,18.90,27.20,0.00,NA,NA,NA,NA
2005-08-12,21.10,31.70,0.00,NA,NA,NA,NA
2005-08-13,20.00,27.20,6.60,NA,NA,NA,NA
2005-08-14,18.30,24.40,0.00,NA,NA,NA,NA
2005-08-15,17.20,26.10,0.00,NA,NA,NA,NA
2005-08-16,13.90,28.30,0.00,NA,NA,NA,NA
2005-08-17,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-18,17.80,30.00,0.00,NA,NA,NA,NA
2005-08-19,19.40,30.60,0.00,NA,NA,NA,NA
2005-08-20,17.80,28.90,0.00,NA,NA,NA,NA
2005-08-21,15.60,27.80,0.00,NA,NA,NA,NA
2005-08-22,12.80,21.70,0.00,NA,NA,NA,NA
2005-08-23,13.30,22.80,0.00,NA,NA,NA,NA
2005-08-24,11.10,25.00,0.00,NA,NA,NA,NA
2005-08-25,11.70,26.10,0.00,NA,NA,NA,NA
2005-08-26,17.20,28.90,0.00,NA,NA,NA,NA
2005-08-27,16.70,29.40,0.00,NA,NA,NA,NA
2005-08-28,13.90,31.10,0.00,NA,NA,NA,NA
2005-08-29,14.40,31.10,0.00,NA,NA,NA,NA
2005-08-30,16.70,23.90,0.00,NA,NA,NA,NA
2005-08-31,15.60,26.70,0.00,NA,NA,NA,NA
2005-09-01,14.40,28.90,0.00,NA,NA,NA,NA
2005-09-02,12.80,27.80,0.00,NA,NA,NA,NA
2005-09-03,10.00,27.20,0.00,NA,NA,NA,NA
2005-09-04,10.00,26.70,0.00,NA,NA,NA,NA
2005-09-05,10.00,26.70,0.00,NA,NA,NA,NA
2005-09-06,11.10,28.90,0.00,NA,NA,NA,NA
2005-09-07,12.80,30.00,0.00,NA,NA,NA,NA
2005-09-08,17.20,29.40,0.00,NA,NA,NA,NA
2005-09-09,13.90,28.30,0.00,NA,NA,NA,NA
2005-09-10,11.10,30.60,0.00,NA,NA,NA,NA
2005-09-11,11.70,31.70,0.00,NA,NA,NA,NA
2005-09-12,12.80,32.80,0.00,NA,NA,NA,NA
2005-09-13,16.10,32.20,0.00,NA,NA,NA,NA
2005-09-14,17.20,25.00,3.30,NA,NA,NA,NA
2005-09-15,15.00,24.40,0.00,NA,NA,NA,NA
2005-09-16,12.80,17.80,9.40,NA,NA,NA,NA
2005-09-17,13.90,21.70,0.00,NA,NA,NA,NA
2005-09-18,11.70,26.10,0.00,NA,NA,NA,NA
2005-09-19,12.80,25.60,1.00,NA,NA,NA,NA
2005-09-20,13.90,26.10,0.00,NA,NA,NA,NA
2005-09-21,11.70,30.00,0.00,NA,NA,NA,NA
2005-09-22,13.30,31.70,0.30,NA,NA,NA,NA
2005-09-23,15.00,23.30,1.50,NA,NA,NA,NA
2005-09-24,14.40,22.80,0.00,NA,NA,NA,NA
2005-09-25,16.10,27.20,2.00,NA,NA,NA,NA
2005-09-26,13.30,24.40,3.30,NA,NA,NA,NA
2005-09-27,8.90,22.20,0.00,NA,NA,NA,NA
2005-09-28,8.30,25.60,0.30,NA,NA,NA,NA
2005-09-29,6.10,18.30,0.00,NA,NA,NA,NA
2005-09-30,2.80,21.10,0.00,NA,NA,NA,NA
2005-10-01,6.70,25.00,0.00,NA,NA,NA,NA
2005-10-02,10.00,28.30,0.00,NA,NA,NA,NA
2005-10-03,19.40,30.60,0.00,NA,NA,NA,NA
2005-10-04,16.10,30.00,0.00,NA,NA,NA,NA
2005-10-05,18.90,28.90,0.00,NA,NA,NA,NA
2005-10-06,10.00,25.60,0.00,NA,NA,NA,NA
2005-10-07,7.80,15.00,0.00,NA,NA,NA,NA
2005-10-08,6.70,15.00,0.00,NA,NA,NA,NA
2005-10-09,3.90,17.80,0.00,NA,NA,NA,NA
2005-10-10,10.00,13.90,0.00,NA,NA,NA,NA
2005-10-11,11.70,17.20,0.00,NA,NA,NA,NA
2005-10-12,12.80,17.20,0.00,NA,NA,NA,NA
2005-10-13,12.80,20.60,0.00,NA,NA,NA,NA
2005-10-14,10.00,23.30,0.00,NA,NA,NA,NA
2005-10-15,7.20,20.00,0.00,NA,NA,NA,NA
2005-10-16,5.60,16.70,0.00,NA,NA,NA,NA
2005-10-17,1.10,16.70,0.00,NA,NA,NA,NA
2005-10-18,7.20,21.70,0.00,NA,NA,NA,NA
2005-10-19,5.00,19.40,0.00,NA,NA,NA,NA
2005-10-20,2.80,14.40,0.00,NA,NA,NA,NA
2005-10-21,3.30,13.90,0.00,NA,NA,NA,NA
2005-10-22,5.00,13.30,0.00,NA,NA,NA,NA
2005-10-23,5.60,12.80,0.00,NA,NA,NA,NA
2005-10-24,NA,NA,0.00,NA,NA,NA,NA
2005-10-25,5.60,11.70,0.00,NA,NA,NA,NA
2005-10-26,NA,NA,0.00,NA,NA,NA,NA
2005-10-27,-0.60,9.40,0.00,NA,NA,NA,NA
2005-10-28,-1.70,11.70,0.00,NA,NA,NA,NA
2005-10-29,-1.70,15.60,0.00,NA,NA,NA,NA
2005-10-30,0.00,17.20,0.00,NA,NA,NA,NA
2005-10-31,10.00,18.30,0.00,NA,NA,NA,NA
2005-11-01,6.70,12.20,4.30,NA,NA,NA,NA
2005-11-02,1.10,15.60,0.00,NA,NA,NA,NA
2005-11-03,8.90,22.20,0.00,NA,NA,NA,NA
2005-11-04,10.60,22.20,0.00,NA,NA,NA,NA
2005-11-05,8.90,18.30,0.00,NA,NA,NA,NA
2005-11-06,5.60,18.30,3.30,NA,NA,NA,NA
2005-11-07,2.20,15.00,0.00,NA,NA,NA,NA
2005-11-08,4.40,13.90,0.00,NA,NA,NA,NA
2005-11-09,7.80,21.10,2.30,NA,NA,NA,NA
2005-11-10,0.60,10.00,0.00,NA,NA,NA,NA
2005-11-11,NA,NA,0.00,NA,NA,NA,NA
2005-11-12,NA,NA,0.00,NA,NA,NA,NA
2005-11-13,NA,NA,0.00,NA,NA,NA,NA
2005-11-14,-1.10,10.60,2.50,NA,NA,NA,NA
2005-11-15,NA,NA,38.60,NA,NA,NA,NA
2005-11-16,-3.30,11.70,0.00,NA,NA,NA,NA
2005-11-17,-6.10,-1.10,0.00,NA,NA,NA,NA
2005-11-18,-8.30,1.10,0.00,NA,NA,NA,NA
2005-11-19,-0.60,10.60,0.00,NA,NA,NA,NA
