Daily data for a single station.
StationID:  , USW00004848
StationName:, "TOLEDO METCALF FLD"
Lat&Long    , 41.563, -83.476
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-02,18.30,31.70,0.00,NA,NA,NA,NA
2005-08-03,18.90,32.20,0.00,NA,NA,NA,NA
2005-08-04,19.40,29.40,0.00,NA,NA,NA,NA
2005-08-05,18.90,28.30,0.00,NA,NA,NA,NA
2005-08-06,16.70,27.80,0.00,NA,NA,NA,NA
2005-08-07,15.60,28.30,0.00,NA,NA,NA,NA
2005-08-08,16.70,31.10,0.00,NA,NA,NA,NA
2005-08-09,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-10,19.40,30.00,2.50,NA,NA,NA,NA
2005-08-11,20.00,26.10,0.00,NA,NA,NA,NA
2005-08-12,18.90,32.80,0.80,NA,NA,NA,NA
2005-08-13,20.00,26.10,14.20,NA,NA,NA,NA
2005-08-14,18.90,23.30,0.00,NA,NA,NA,NA
2005-08-15,17.20,24.40,0.00,NA,NA,NA,NA
2005-08-16,14.40,26.70,0.00,NA,NA,NA,NA
2005-08-17,15.00,27.80,0.00,NA,NA,NA,NA
2005-08-18,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-19,20.00,30.00,0.00,NA,NA,NA,NA
2005-08-20,16.70,30.00,4.60,NA,NA,NA,NA
2005-08-21,15.00,28.30,0.00,NA,NA,NA,NA
2005-08-22,13.30,22.20,0.00,NA,NA,NA,NA
2005-08-23,14.40,21.70,0.00,NA,NA,NA,NA
2005-08-24,14.40,23.90,0.00,NA,NA,NA,NA
2005-08-25,12.20,25.60,0.00,NA,NA,NA,NA
2005-08-26,18.90,28.30,0.00,NA,NA,NA,NA
2005-08-27,17.20,29.40,2.50,NA,NA,NA,NA
2005-08-28,12.20,30.60,0.00,NA,NA,NA,NA
2005-08-29,15.00,27.80,0.00,NA,NA,NA,NA
2005-08-30,17.80,21.70,0.50,NA,NA,NA,NA
2005-08-31,16.10,26.70,0.50,NA,NA,NA,NA
2005-09-01,12.80,27.20,0.00,NA,NA,NA,NA
2005-09-02,13.30,27.20,0.00,NA,NA,NA,NA
2005-09-03,12.80,25.60,0.00,NA,NA,NA,NA
2005-09-04,11.70,24.40,0.00,NA,NA,NA,NA
2005-09-05,10.60,25.00,0.00,NA,NA,NA,NA
2005-09-06,12.20,27.20,0.00,NA,NA,NA,NA
2005-09-07,12.80,28.30,0.00,NA,NA,NA,NA
2005-09-08,16.70,27.80,0.80,NA,NA,NA,NA
2005-09-09,13.90,24.40,0.00,NA,NA,NA,NA
2005-09-10,11.10,27.80,0.00,NA,NA,NA,NA
2005-09-11,11.70,30.00,0.00,NA,NA,NA,NA
2005-09-12,12.80,31.10,0.00,NA,NA,NA,NA
2005-09-13,14.40,30.60,0.50,NA,NA,NA,NA
2005-09-14,17.20,25.60,0.80,NA,NA,NA,NA
2005-09-15,16.10,22.80,0.00,NA,NA,NA,NA
2005-09-16,13.90,18.90,13.50,NA,NA,NA,NA
2005-09-17,13.90,21.70,0.00,NA,NA,NA,NA
2005-09-18,11.10,25.60,0.00,NA,NA,NA,NA
2005-09-19,12.80,25.60,0.00,NA,NA,NA,NA
2005-09-20,12.80,26.10,0.00,NA,NA,NA,NA
2005-09-21,11.10,28.90,0.00,NA,NA,NA,NA
