Daily data for a single station.
StationID:  , USW00004849
StationName:, "ELYRIA LORAIN CO AP"
Lat&Long    , 41.346, -82.179
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,16.70,31.70,0.30,NA,NA,NA,NA
2005-08-02,19.40,31.70,0.00,NA,NA,NA,NA
2005-08-03,18.90,32.80,0.00,NA,NA,NA,NA
2005-08-04,20.00,32.80,0.00,NA,NA,NA,NA
2005-08-05,18.90,28.30,0.00,NA,NA,NA,NA
2005-08-06,17.20,28.30,0.00,NA,NA,NA,NA
2005-08-07,13.90,28.90,0.00,NA,NA,NA,NA
2005-08-08,16.10,30.00,0.00,NA,NA,NA,NA
2005-08-09,17.20,31.70,0.00,NA,NA,NA,NA
2005-08-10,17.80,31.10,7.10,NA,NA,NA,NA
2005-08-11,19.40,28.30,0.00,NA,NA,NA,NA
2005-08-12,21.10,33.30,0.00,NA,NA,NA,NA
2005-08-13,21.70,29.40,4.10,NA,NA,NA,NA
2005-08-14,19.40,23.90,0.30,NA,NA,NA,NA
2005-08-15,17.20,25.00,0.00,NA,NA,NA,NA
2005-08-16,16.10,27.20,0.00,NA,NA,NA,NA
2005-08-17,14.40,28.90,0.00,NA,NA,NA,NA
2005-08-18,15.00,30.60,0.00,NA,NA,NA,NA
2005-08-19,21.10,31.70,0.00,NA,NA,NA,NA
2005-08-20,17.80,30.60,116.80,NA,NA,NA,NA
2005-08-21,16.70,28.30,0.30,NA,NA,NA,NA
2005-08-22,13.90,22.20,0.00,NA,NA,NA,NA
2005-08-23,12.20,22.20,0.00,NA,NA,NA,NA
2005-08-24,10.60,24.40,0.00,NA,NA,NA,NA
2005-08-25,12.20,26.10,0.00,NA,NA,NA,NA
2005-08-26,18.90,28.30,0.00,NA,NA,NA,NA
2005-08-27,19.40,25.60,17.00,NA,NA,NA,NA
2005-08-28,13.90,28.90,0.30,NA,NA,NA,NA
2005-08-29,17.20,25.00,0.00,NA,NA,NA,NA
2005-08-30,18.90,22.80,51.10,NA,NA,NA,NA
2005-08-31,16.10,23.90,11.40,NA,NA,NA,NA
2005-09-01,13.90,26.10,0.30,NA,NA,NA,NA
2005-09-02,14.40,26.70,0.00,NA,NA,NA,NA
2005-09-03,13.30,24.40,0.30,NA,NA,NA,NA
2005-09-04,11.10,24.40,0.30,NA,NA,NA,NA
2005-09-05,10.00,26.10,0.00,NA,NA,NA,NA
2005-09-06,12.20,26.10,0.30,NA,NA,NA,NA
2005-09-07,11.70,26.70,0.30,NA,NA,NA,NA
2005-09-08,15.00,27.20,3.80,NA,NA,NA,NA
2005-09-09,13.90,25.00,0.00,NA,NA,NA,NA
2005-09-10,10.60,28.30,0.30,NA,NA,NA,NA
2005-09-11,10.60,27.80,0.30,NA,NA,NA,NA
2005-09-12,12.80,30.00,0.00,NA,NA,NA,NA
2005-09-13,15.00,28.90,0.30,NA,NA,NA,NA
2005-09-14,16.70,28.30,0.00,NA,NA,NA,NA
2005-09-15,15.00,24.40,0.30,NA,NA,NA,NA
2005-09-16,16.70,22.80,23.60,NA,NA,NA,NA
2005-09-17,13.90,22.80,26.90,NA,NA,NA,NA
2005-09-18,13.30,24.40,0.30,NA,NA,NA,NA
2005-09-19,13.30,24.40,0.30,NA,NA,NA,NA
2005-09-20,12.80,25.00,0.00,NA,NA,NA,NA
2005-09-21,10.60,27.80,0.30,NA,NA,NA,NA
2005-09-22,12.80,28.90,15.70,NA,NA,NA,NA
2005-09-23,12.80,21.70,4.30,NA,NA,NA,NA
2005-09-24,13.90,25.00,0.00,NA,NA,NA,NA
2005-09-25,19.40,27.20,5.30,NA,NA,NA,NA
2005-09-26,16.70,24.40,44.50,NA,NA,NA,NA
2005-09-27,10.00,21.10,0.00,NA,NA,NA,NA
2005-09-28,10.00,23.90,0.00,NA,NA,NA,NA
2005-09-29,7.20,22.80,6.90,NA,NA,NA,NA
2005-09-30,4.40,19.40,0.00,NA,NA,NA,NA
2005-10-01,6.70,23.90,0.00,NA,NA,NA,NA
2005-10-02,11.70,27.80,0.30,NA,NA,NA,NA
2005-10-03,16.70,28.90,0.00,NA,NA,NA,NA
2005-10-04,15.00,28.30,0.30,NA,NA,NA,NA
2005-10-05,14.40,27.80,0.00,NA,NA,NA,NA
2005-10-06,16.70,27.80,0.00,NA,NA,NA,NA
2005-10-07,11.70,16.70,9.90,NA,NA,NA,NA
2005-10-08,9.40,12.20,20.10,NA,NA,NA,NA
2005-10-09,10.60,13.30,0.30,NA,NA,NA,NA
2005-10-10,11.70,17.80,0.00,NA,NA,NA,NA
2005-10-11,11.10,15.60,0.00,NA,NA,NA,NA
2005-10-12,10.00,16.10,0.00,NA,NA,NA,NA
2005-10-13,9.40,18.90,0.00,NA,NA,NA,NA
2005-10-14,8.90,22.20,0.30,NA,NA,NA,NA
2005-10-15,11.10,18.30,0.00,NA,NA,NA,NA
2005-10-16,5.60,14.40,0.00,NA,NA,NA,NA
2005-10-17,3.30,17.80,0.30,NA,NA,NA,NA
2005-10-18,8.30,19.40,0.00,NA,NA,NA,NA
2005-10-19,7.80,21.70,0.00,NA,NA,NA,NA
2005-10-20,3.30,11.70,1.50,NA,NA,NA,NA
2005-10-21,5.00,12.80,5.60,NA,NA,NA,NA
2005-10-22,4.40,10.60,3.00,NA,NA,NA,NA
2005-10-23,2.20,12.80,0.00,NA,NA,NA,NA
2005-10-24,4.40,8.30,9.40,NA,NA,NA,NA
2005-10-25,4.40,8.30,18.50,NA,NA,NA,NA
2005-10-26,6.10,9.40,0.00,NA,NA,NA,NA
2005-10-27,0.60,8.90,0.00,NA,NA,NA,NA
2005-10-28,0.00,9.40,3.80,NA,NA,NA,NA
2005-10-29,0.00,12.80,0.00,NA,NA,NA,NA
2005-10-30,0.60,16.10,0.00,NA,NA,NA,NA
2005-10-31,3.90,16.70,0.00,NA,NA,NA,NA
2005-11-01,3.90,13.30,8.60,NA,NA,NA,NA
2005-11-02,1.10,14.40,0.00,NA,NA,NA,NA
2005-11-03,8.30,21.70,0.00,NA,NA,NA,NA
2005-11-04,10.60,18.30,0.00,NA,NA,NA,NA
2005-11-05,12.20,20.60,0.00,NA,NA,NA,NA
2005-11-06,8.90,18.30,20.80,NA,NA,NA,NA
2005-11-07,3.30,15.00,0.00,NA,NA,NA,NA
2005-11-08,6.70,13.90,0.00,NA,NA,NA,NA
2005-11-09,8.90,21.10,5.10,NA,NA,NA,NA
2005-11-10,3.30,8.90,0.30,NA,NA,NA,NA
2005-11-11,-1.10,11.70,0.00,NA,NA,NA,NA
2005-11-12,3.30,18.30,0.00,NA,NA,NA,NA
2005-11-13,7.80,17.20,0.30,NA,NA,NA,NA
2005-11-14,0.60,11.10,4.60,NA,NA,NA,NA
2005-11-15,7.20,20.00,11.90,NA,NA,NA,NA
2005-11-16,-2.20,19.40,1.80,NA,NA,NA,NA
2005-11-17,-4.40,-2.20,0.00,NA,NA,NA,NA
2005-11-18,-7.20,1.10,0.00,NA,NA,NA,NA
2005-11-19,-2.20,11.70,0.00,NA,NA,NA,NA
2005-11-20,0.60,12.80,0.00,NA,NA,NA,NA
2005-11-21,0.60,8.90,0.00,NA,NA,NA,NA
2005-11-22,-2.20,5.00,0.50,NA,NA,NA,NA
2005-11-23,-5.00,2.20,2.30,NA,NA,NA,NA
2005-11-24,-10.60,2.20,4.80,NA,NA,NA,NA
2005-11-25,-10.60,-3.90,0.00,NA,NA,NA,NA
2005-11-26,-5.60,3.90,0.00,NA,NA,NA,NA
2005-11-27,3.30,12.80,2.50,NA,NA,NA,NA
2005-11-28,11.10,20.00,1.00,NA,NA,NA,NA
2005-11-29,1.10,11.70,12.20,NA,NA,NA,NA
2005-11-30,-1.70,1.10,0.00,NA,NA,NA,NA
2005-12-01,-3.30,0.60,0.80,NA,NA,NA,NA
2005-12-02,-6.70,-1.10,0.00,NA,NA,NA,NA
2005-12-03,-7.20,-1.70,0.50,NA,NA,NA,NA
2005-12-04,-8.90,-1.10,7.10,NA,NA,NA,NA
2005-12-05,-13.30,-3.30,0.00,NA,NA,NA,NA
2005-12-06,-16.10,-6.70,0.00,NA,NA,NA,NA
2005-12-07,-18.30,-6.10,0.00,NA,NA,NA,NA
2005-12-08,-18.30,-1.10,0.80,NA,NA,NA,NA
2005-12-09,-8.30,1.10,0.30,NA,NA,NA,NA
2005-12-10,-6.10,-1.70,0.00,NA,NA,NA,NA
2005-12-11,-3.30,1.10,1.30,NA,NA,NA,NA
2005-12-12,-10.00,-2.80,0.00,NA,NA,NA,NA
2005-12-13,-11.70,-2.20,0.00,NA,NA,NA,NA
2005-12-14,-11.10,-0.60,0.00,NA,NA,NA,NA
2005-12-15,-1.70,1.10,5.10,NA,NA,NA,NA
2005-12-16,-3.90,0.00,0.00,NA,NA,NA,NA
2005-12-17,-10.00,-2.20,0.00,NA,NA,NA,NA
2005-12-18,-11.70,-2.80,0.00,NA,NA,NA,NA
2005-12-19,-13.90,-7.80,0.00,NA,NA,NA,NA
2005-12-20,-14.40,-5.60,0.00,NA,NA,NA,NA
2005-12-21,-6.10,-1.10,0.00,NA,NA,NA,NA
2005-12-22,-7.80,1.70,0.00,NA,NA,NA,NA
2005-12-23,1.10,5.00,0.00,NA,NA,NA,NA
2005-12-24,1.70,7.80,0.00,NA,NA,NA,NA
2005-12-25,0.00,6.10,8.90,NA,NA,NA,NA
2005-12-26,0.00,1.10,3.60,NA,NA,NA,NA
2005-12-27,0.60,3.30,0.00,NA,NA,NA,NA
2005-12-28,3.30,11.10,2.50,NA,NA,NA,NA
2005-12-29,1.10,8.90,2.00,NA,NA,NA,NA
2005-12-30,0.60,2.20,0.00,NA,NA,NA,NA
2005-12-31,0.60,3.90,4.30,NA,NA,NA,NA
