Daily data for a single station.
StationID:  , USW00004850
StationName:, "LIMA ALLEN CO AP"
Lat&Long    , 40.708, -84.027
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,15.60,31.70,0.00,NA,NA,NA,NA
2005-08-02,16.70,32.20,0.30,NA,NA,NA,NA
2005-08-03,18.30,32.80,0.00,NA,NA,NA,NA
2005-08-04,20.00,31.10,0.00,NA,NA,NA,NA
2005-08-05,20.00,26.70,1.00,NA,NA,NA,NA
2005-08-06,17.80,28.30,0.00,NA,NA,NA,NA
2005-08-07,13.90,29.40,0.30,NA,NA,NA,NA
2005-08-08,17.80,30.00,0.00,NA,NA,NA,NA
2005-08-09,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-10,19.40,31.10,0.00,NA,NA,NA,NA
2005-08-11,18.30,29.40,0.30,NA,NA,NA,NA
2005-08-12,21.70,34.40,0.00,NA,NA,NA,NA
2005-08-13,21.10,31.10,21.80,NA,NA,NA,NA
2005-08-14,20.00,23.30,0.30,NA,NA,NA,NA
2005-08-15,19.40,24.40,1.80,NA,NA,NA,NA
2005-08-16,17.20,26.70,0.00,NA,NA,NA,NA
2005-08-17,13.90,29.40,0.30,NA,NA,NA,NA
2005-08-18,17.20,29.40,0.30,NA,NA,NA,NA
2005-08-19,21.10,31.10,0.00,NA,NA,NA,NA
2005-08-20,18.90,32.20,22.60,NA,NA,NA,NA
2005-08-21,17.80,28.90,0.00,NA,NA,NA,NA
2005-08-22,11.70,23.30,0.00,NA,NA,NA,NA
2005-08-23,10.00,23.30,0.00,NA,NA,NA,NA
2005-08-24,9.40,25.60,0.00,NA,NA,NA,NA
2005-08-25,11.70,28.30,0.00,NA,NA,NA,NA
2005-08-26,18.90,28.30,0.00,NA,NA,NA,NA
2005-08-27,17.20,30.00,2.00,NA,NA,NA,NA
2005-08-28,13.90,31.10,0.00,NA,NA,NA,NA
2005-08-29,15.60,28.30,0.00,NA,NA,NA,NA
2005-08-30,17.80,21.70,121.70,NA,NA,NA,NA
2005-08-31,17.20,25.60,26.70,NA,NA,NA,NA
2005-09-01,13.30,27.20,0.00,NA,NA,NA,NA
2005-09-02,14.40,27.20,0.00,NA,NA,NA,NA
2005-09-03,10.60,24.40,0.00,NA,NA,NA,NA
2005-09-04,11.10,26.10,0.00,NA,NA,NA,NA
2005-09-05,12.20,25.60,0.00,NA,NA,NA,NA
2005-09-06,12.20,27.80,0.30,NA,NA,NA,NA
2005-09-07,13.90,27.80,0.00,NA,NA,NA,NA
2005-09-08,16.10,28.90,2.80,NA,NA,NA,NA
2005-09-09,15.60,27.20,0.30,NA,NA,NA,NA
2005-09-10,15.00,28.90,0.00,NA,NA,NA,NA
2005-09-11,12.20,30.00,0.00,NA,NA,NA,NA
2005-09-12,13.30,29.40,0.00,NA,NA,NA,NA
2005-09-13,16.10,29.40,0.00,NA,NA,NA,NA
2005-09-14,17.20,26.10,0.00,NA,NA,NA,NA
2005-09-15,15.00,25.00,15.50,NA,NA,NA,NA
2005-09-16,15.60,20.00,10.90,NA,NA,NA,NA
2005-09-17,13.90,19.40,0.00,NA,NA,NA,NA
2005-09-18,11.70,25.00,0.50,NA,NA,NA,NA
2005-09-19,13.30,27.20,3.80,NA,NA,NA,NA
2005-09-20,14.40,27.20,0.00,NA,NA,NA,NA
2005-09-21,10.60,27.80,0.30,NA,NA,NA,NA
2005-09-22,14.40,30.00,5.10,NA,NA,NA,NA
2005-09-23,16.10,21.10,13.00,NA,NA,NA,NA
2005-09-24,13.90,23.90,16.80,NA,NA,NA,NA
2005-09-25,18.90,26.10,12.20,NA,NA,NA,NA
2005-09-26,15.00,24.40,21.30,NA,NA,NA,NA
2005-09-27,9.40,22.20,0.30,NA,NA,NA,NA
2005-09-28,11.70,25.00,0.00,NA,NA,NA,NA
2005-09-29,6.10,21.10,7.40,NA,NA,NA,NA
2005-09-30,3.90,20.00,0.00,NA,NA,NA,NA
2005-10-01,7.20,25.00,0.00,NA,NA,NA,NA
2005-10-02,13.30,28.30,0.00,NA,NA,NA,NA
2005-10-03,17.80,29.40,0.00,NA,NA,NA,NA
2005-10-04,16.70,27.80,0.00,NA,NA,NA,NA
2005-10-05,15.00,28.30,0.00,NA,NA,NA,NA
2005-10-06,12.80,27.80,0.00,NA,NA,NA,NA
2005-10-07,8.30,14.40,0.00,NA,NA,NA,NA
2005-10-08,7.20,12.80,0.00,NA,NA,NA,NA
2005-10-09,7.20,12.80,0.00,NA,NA,NA,NA
2005-10-10,11.70,14.40,1.50,NA,NA,NA,NA
2005-10-11,12.80,15.00,1.80,NA,NA,NA,NA
2005-10-12,12.20,19.40,0.00,NA,NA,NA,NA
2005-10-13,12.20,21.10,0.00,NA,NA,NA,NA
2005-10-14,12.20,22.20,1.80,NA,NA,NA,NA
2005-10-15,8.90,19.40,0.00,NA,NA,NA,NA
2005-10-16,4.40,17.20,0.00,NA,NA,NA,NA
2005-10-17,1.10,18.90,0.00,NA,NA,NA,NA
2005-10-18,8.90,21.70,0.00,NA,NA,NA,NA
2005-10-19,7.80,22.20,0.00,NA,NA,NA,NA
2005-10-20,5.60,8.90,3.60,NA,NA,NA,NA
2005-10-21,7.20,10.60,3.00,NA,NA,NA,NA
2005-10-22,6.10,12.80,0.00,NA,NA,NA,NA
2005-10-23,2.20,8.30,5.10,NA,NA,NA,NA
2005-10-24,5.00,7.20,37.30,NA,NA,NA,NA
2005-10-25,5.60,8.90,2.00,NA,NA,NA,NA
2005-10-26,0.60,8.90,0.00,NA,NA,NA,NA
2005-10-27,-1.70,9.40,0.00,NA,NA,NA,NA
2005-10-28,-1.10,9.40,0.00,NA,NA,NA,NA
2005-10-29,-2.80,12.80,0.00,NA,NA,NA,NA
2005-10-30,2.80,16.10,0.00,NA,NA,NA,NA
2005-10-31,9.40,17.20,0.00,NA,NA,NA,NA
2005-11-01,6.10,13.30,8.40,NA,NA,NA,NA
2005-11-02,2.20,15.60,0.00,NA,NA,NA,NA
2005-11-03,9.40,21.10,0.00,NA,NA,NA,NA
2005-11-04,11.70,18.90,0.00,NA,NA,NA,NA
2005-11-05,15.00,18.90,0.00,NA,NA,NA,NA
2005-11-06,6.70,18.30,8.40,NA,NA,NA,NA
2005-11-07,2.20,14.40,0.00,NA,NA,NA,NA
2005-11-08,10.00,16.70,8.10,NA,NA,NA,NA
2005-11-09,7.20,21.10,4.10,NA,NA,NA,NA
2005-11-10,1.10,9.40,0.00,NA,NA,NA,NA
2005-11-11,-1.10,12.20,0.00,NA,NA,NA,NA
2005-11-12,5.60,18.30,0.00,NA,NA,NA,NA
2005-11-13,6.70,18.30,0.50,NA,NA,NA,NA
2005-11-14,-1.10,11.10,2.00,NA,NA,NA,NA
2005-11-15,7.80,18.30,22.90,NA,NA,NA,NA
2005-11-16,-3.30,17.80,6.60,NA,NA,NA,NA
2005-11-17,-7.80,-2.20,0.00,NA,NA,NA,NA
2005-11-18,-8.90,2.20,0.00,NA,NA,NA,NA
2005-11-19,-2.20,10.60,0.00,NA,NA,NA,NA
2005-11-20,2.20,12.20,0.00,NA,NA,NA,NA
2005-11-21,-1.10,4.40,0.00,NA,NA,NA,NA
2005-11-22,-4.40,2.80,0.00,NA,NA,NA,NA
2005-11-23,-4.40,2.80,0.80,NA,NA,NA,NA
2005-11-24,-10.60,3.30,1.00,NA,NA,NA,NA
2005-11-25,-11.10,-2.80,0.00,NA,NA,NA,NA
2005-11-26,-2.80,6.10,0.00,NA,NA,NA,NA
2005-11-27,6.10,12.20,4.30,NA,NA,NA,NA
2005-11-28,9.40,19.40,27.40,NA,NA,NA,NA
2005-11-29,-0.60,10.00,0.00,NA,NA,NA,NA
2005-11-30,-4.40,-0.60,0.00,NA,NA,NA,NA
2005-12-01,-4.40,0.00,0.30,NA,NA,NA,NA
2005-12-02,-8.30,-2.20,0.00,NA,NA,NA,NA
2005-12-03,-7.80,-2.20,0.30,NA,NA,NA,NA
2005-12-04,-5.60,-2.20,1.80,NA,NA,NA,NA
2005-12-05,-15.00,-2.80,0.00,NA,NA,NA,NA
2005-12-06,-16.70,-6.10,0.00,NA,NA,NA,NA
2005-12-07,-17.20,-8.30,0.00,NA,NA,NA,NA
2005-12-08,-17.80,-0.60,2.00,NA,NA,NA,NA
2005-12-09,-10.00,-0.60,0.00,NA,NA,NA,NA
2005-12-10,-7.80,-2.80,0.00,NA,NA,NA,NA
2005-12-11,-4.40,0.60,0.00,NA,NA,NA,NA
2005-12-12,-12.80,-4.40,0.00,NA,NA,NA,NA
2005-12-13,-9.40,-2.20,0.00,NA,NA,NA,NA
2005-12-14,-6.10,1.70,0.00,NA,NA,NA,NA
2005-12-15,0.00,1.70,9.10,NA,NA,NA,NA
2005-12-16,-3.90,0.00,0.00,NA,NA,NA,NA
2005-12-17,-12.80,-3.30,0.00,NA,NA,NA,NA
2005-12-18,-13.30,-6.10,0.00,NA,NA,NA,NA
2005-12-19,-16.10,-11.10,0.00,NA,NA,NA,NA
2005-12-20,-16.10,-5.00,0.00,NA,NA,NA,NA
2005-12-21,-7.80,-2.80,0.00,NA,NA,NA,NA
2005-12-22,-6.10,1.70,0.00,NA,NA,NA,NA
2005-12-23,-0.60,5.00,0.00,NA,NA,NA,NA
2005-12-24,1.70,5.00,0.80,NA,NA,NA,NA
2005-12-25,0.60,3.90,8.10,NA,NA,NA,NA
2005-12-26,0.60,1.70,0.30,NA,NA,NA,NA
2005-12-27,0.00,6.10,0.00,NA,NA,NA,NA
2005-12-28,6.10,12.80,8.90,NA,NA,NA,NA
2005-12-29,0.60,6.70,3.30,NA,NA,NA,NA
2005-12-30,1.10,3.90,2.50,NA,NA,NA,NA
2005-12-31,1.10,4.40,0.50,NA,NA,NA,NA
