Daily data for a single station.
StationID:  , USW00004851
StationName:, "DEFIANCE MEM AP"
Lat&Long    , 41.337, -84.429
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,15.60,31.10,0.00,NA,NA,NA,NA
2005-08-02,16.70,31.70,0.30,NA,NA,NA,NA
2005-08-03,18.30,32.80,0.00,NA,NA,NA,NA
2005-08-04,20.60,28.30,0.00,NA,NA,NA,NA
2005-08-05,19.40,28.90,0.00,NA,NA,NA,NA
2005-08-06,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-07,14.40,30.00,0.00,NA,NA,NA,NA
2005-08-08,16.70,30.60,0.00,NA,NA,NA,NA
2005-08-09,18.30,31.10,0.00,NA,NA,NA,NA
2005-08-10,20.00,30.60,0.00,NA,NA,NA,NA
2005-08-11,16.70,27.80,0.00,NA,NA,NA,NA
2005-08-12,22.20,32.20,0.00,NA,NA,NA,NA
2005-08-13,20.60,27.80,5.10,NA,NA,NA,NA
2005-08-14,18.90,23.90,0.00,NA,NA,NA,NA
2005-08-15,17.80,26.10,0.00,NA,NA,NA,NA
2005-08-16,13.30,27.80,0.00,NA,NA,NA,NA
2005-08-17,15.60,29.40,0.00,NA,NA,NA,NA
2005-08-18,17.20,30.00,0.00,NA,NA,NA,NA
2005-08-19,19.40,30.60,0.00,NA,NA,NA,NA
2005-08-20,21.70,30.60,0.00,NA,NA,NA,NA
2005-08-21,15.00,28.90,0.00,NA,NA,NA,NA
2005-08-22,11.10,23.30,0.00,NA,NA,NA,NA
2005-08-23,11.10,23.30,0.00,NA,NA,NA,NA
2005-08-24,11.10,25.60,0.00,NA,NA,NA,NA
2005-08-25,11.10,28.90,0.00,NA,NA,NA,NA
2005-08-26,17.80,28.30,0.00,NA,NA,NA,NA
2005-08-27,16.10,30.60,0.00,NA,NA,NA,NA
2005-08-28,12.20,32.20,0.00,NA,NA,NA,NA
2005-08-29,15.00,30.60,0.00,NA,NA,NA,NA
2005-08-30,16.70,22.80,0.00,NA,NA,NA,NA
2005-08-31,16.10,27.20,0.00,NA,NA,NA,NA
2005-09-01,11.70,28.90,1.00,NA,NA,NA,NA
2005-09-02,12.20,28.30,0.80,NA,NA,NA,NA
2005-09-03,10.00,27.80,0.00,NA,NA,NA,NA
2005-09-04,10.00,27.20,0.00,NA,NA,NA,NA
2005-09-05,11.10,27.80,0.00,NA,NA,NA,NA
2005-09-06,11.10,28.90,0.00,NA,NA,NA,NA
2005-09-07,12.80,30.00,0.00,NA,NA,NA,NA
2005-09-08,16.10,30.60,0.00,NA,NA,NA,NA
2005-09-09,15.60,28.90,0.30,NA,NA,NA,NA
2005-09-10,11.70,30.60,0.00,NA,NA,NA,NA
2005-09-11,12.20,31.70,0.00,NA,NA,NA,NA
2005-09-12,12.20,31.70,0.00,NA,NA,NA,NA
2005-09-13,16.10,32.20,0.00,NA,NA,NA,NA
2005-09-14,18.30,28.30,2.50,NA,NA,NA,NA
2005-09-15,15.00,23.90,1.50,NA,NA,NA,NA
2005-09-16,13.30,17.20,25.40,NA,NA,NA,NA
2005-09-17,13.90,22.20,0.00,NA,NA,NA,NA
2005-09-18,11.70,26.10,0.00,NA,NA,NA,NA
2005-09-19,12.80,28.30,1.30,NA,NA,NA,NA
2005-09-20,13.30,27.20,0.00,NA,NA,NA,NA
2005-09-21,10.00,28.90,0.00,NA,NA,NA,NA
2005-09-22,15.60,31.70,21.30,NA,NA,NA,NA
2005-09-23,16.10,21.70,21.60,NA,NA,NA,NA
2005-09-24,15.00,24.40,0.00,NA,NA,NA,NA
2005-09-25,17.20,26.10,14.00,NA,NA,NA,NA
2005-09-26,13.90,24.40,21.60,NA,NA,NA,NA
2005-09-27,7.80,21.70,0.00,NA,NA,NA,NA
2005-09-28,9.40,25.60,2.30,NA,NA,NA,NA
