Daily data for a single station.
StationID:  , USW00004853
StationName:, "CLEVELAND BURKE AP"
Lat&Long    , 41.517, -81.684
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.60,29.40,0.00,NA,NA,NA,NA
2005-08-02,22.80,30.00,0.00,NA,NA,NA,NA
2005-08-03,23.90,31.10,0.00,NA,NA,NA,NA
2005-08-04,25.00,34.40,0.00,NA,NA,NA,NA
2005-08-05,22.80,27.80,0.00,NA,NA,NA,NA
2005-08-06,21.70,27.80,0.00,NA,NA,NA,NA
2005-08-07,19.40,28.90,0.00,NA,NA,NA,NA
2005-08-08,20.60,30.60,57.20,NA,NA,NA,NA
2005-08-09,21.70,29.40,0.00,NA,NA,NA,NA
2005-08-10,22.20,31.10,1.50,NA,NA,NA,NA
2005-08-11,22.80,27.20,0.00,NA,NA,NA,NA
2005-08-12,23.30,33.90,0.00,NA,NA,NA,NA
2005-08-13,21.70,27.80,10.20,NA,NA,NA,NA
2005-08-14,21.70,23.90,0.00,NA,NA,NA,NA
2005-08-15,20.00,25.60,0.00,NA,NA,NA,NA
2005-08-16,20.60,26.70,0.00,NA,NA,NA,NA
2005-08-17,18.90,27.80,0.00,NA,NA,NA,NA
2005-08-18,20.60,31.70,0.00,NA,NA,NA,NA
2005-08-19,23.30,32.20,0.00,NA,NA,NA,NA
2005-08-20,21.10,31.10,16.50,NA,NA,NA,NA
2005-08-21,22.20,28.30,0.00,NA,NA,NA,NA
2005-08-22,18.90,23.30,0.00,NA,NA,NA,NA
2005-08-23,17.20,22.80,1.80,NA,NA,NA,NA
2005-08-24,15.60,23.90,0.00,NA,NA,NA,NA
2005-08-25,16.70,27.80,0.00,NA,NA,NA,NA
2005-08-26,21.70,30.00,0.00,NA,NA,NA,NA
2005-08-27,20.60,25.60,13.00,NA,NA,NA,NA
2005-08-28,18.30,30.60,0.00,NA,NA,NA,NA
2005-08-29,20.00,25.60,0.00,NA,NA,NA,NA
2005-08-30,19.40,23.30,37.30,NA,NA,NA,NA
2005-08-31,19.40,23.90,6.60,NA,NA,NA,NA
2005-09-01,17.20,24.40,0.00,NA,NA,NA,NA
2005-09-02,17.80,25.60,0.00,NA,NA,NA,NA
2005-09-03,19.40,23.90,0.00,NA,NA,NA,NA
2005-09-04,15.60,23.30,0.00,NA,NA,NA,NA
2005-09-05,15.60,24.40,0.00,NA,NA,NA,NA
2005-09-06,17.20,27.80,0.00,NA,NA,NA,NA
2005-09-07,17.20,26.10,0.00,NA,NA,NA,NA
2005-09-08,18.90,25.00,4.10,NA,NA,NA,NA
2005-09-09,16.10,23.90,0.30,NA,NA,NA,NA
2005-09-10,13.90,24.40,0.00,NA,NA,NA,NA
2005-09-11,16.10,27.20,0.00,NA,NA,NA,NA
2005-09-12,18.90,27.20,0.00,NA,NA,NA,NA
2005-09-13,20.00,30.60,0.00,NA,NA,NA,NA
2005-09-14,20.00,29.40,6.60,NA,NA,NA,NA
2005-09-15,19.40,23.30,0.50,NA,NA,NA,NA
2005-09-16,18.30,23.30,12.20,NA,NA,NA,NA
2005-09-17,17.80,21.70,16.30,NA,NA,NA,NA
2005-09-18,16.70,23.30,0.30,NA,NA,NA,NA
2005-09-19,17.20,25.60,0.00,NA,NA,NA,NA
2005-09-20,17.80,25.00,0.00,NA,NA,NA,NA
2005-09-21,15.60,27.20,0.00,NA,NA,NA,NA
2005-09-22,16.70,28.90,0.30,NA,NA,NA,NA
2005-09-23,15.60,20.60,0.80,NA,NA,NA,NA
2005-09-24,13.30,23.30,0.00,NA,NA,NA,NA
2005-09-25,20.00,27.80,1.50,NA,NA,NA,NA
