Daily data for a single station.
StationID:  , USW00004854
StationName:, "GAYLORD OTSEGO CO AP"
Lat&Long    , 45.013, -84.701
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,19.40,30.00,0.00,NA,NA,NA,NA
2005-08-02,18.90,31.10,0.00,NA,NA,NA,NA
2005-08-03,16.10,32.20,1.00,NA,NA,NA,NA
2005-08-04,15.60,25.00,48.30,NA,NA,NA,NA
2005-08-05,11.70,23.90,0.00,NA,NA,NA,NA
2005-08-06,10.00,26.70,0.30,NA,NA,NA,NA
2005-08-07,12.80,28.30,0.00,NA,NA,NA,NA
2005-08-08,12.20,30.00,0.00,NA,NA,NA,NA
2005-08-09,19.40,30.60,0.00,NA,NA,NA,NA
2005-08-10,17.20,25.60,8.40,NA,NA,NA,NA
2005-08-11,10.60,21.70,0.00,NA,NA,NA,NA
2005-08-12,15.60,22.80,15.70,NA,NA,NA,NA
2005-08-13,15.60,22.80,0.30,NA,NA,NA,NA
2005-08-14,10.60,22.80,0.00,NA,NA,NA,NA
2005-08-15,7.20,25.60,0.00,NA,NA,NA,NA
2005-08-16,10.00,25.60,0.00,NA,NA,NA,NA
2005-08-17,12.20,24.40,0.00,NA,NA,NA,NA
2005-08-18,15.00,21.10,15.50,NA,NA,NA,NA
2005-08-19,15.60,20.00,39.40,NA,NA,NA,NA
2005-08-20,15.00,23.90,27.90,NA,NA,NA,NA
2005-08-21,11.10,20.60,1.30,NA,NA,NA,NA
2005-08-22,11.70,16.70,0.00,NA,NA,NA,NA
2005-08-23,8.90,20.00,0.00,NA,NA,NA,NA
2005-08-24,6.10,23.90,0.30,NA,NA,NA,NA
2005-08-25,10.60,23.30,0.00,NA,NA,NA,NA
2005-08-26,10.00,26.10,0.00,NA,NA,NA,NA
2005-08-27,14.40,22.20,1.50,NA,NA,NA,NA
2005-08-28,14.40,23.90,0.00,NA,NA,NA,NA
2005-08-29,12.20,25.00,0.00,NA,NA,NA,NA
