Daily data for a single station.
StationID:  , USW00004855
StationName:, "MARION MUNI AP"
Lat&Long    , 40.616, -83.064
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,15.00,31.70,0.00,NA,NA,NA,NA
2005-08-02,16.70,32.80,0.30,NA,NA,NA,NA
2005-08-03,17.80,32.80,0.00,NA,NA,NA,NA
2005-08-04,20.00,33.30,0.00,NA,NA,NA,NA
2005-08-05,20.00,27.80,43.40,NA,NA,NA,NA
2005-08-06,17.80,26.70,0.00,NA,NA,NA,NA
2005-08-07,13.90,29.40,0.30,NA,NA,NA,NA
2005-08-08,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-09,16.70,30.60,0.00,NA,NA,NA,NA
2005-08-10,17.80,30.60,4.30,NA,NA,NA,NA
2005-08-11,19.40,29.40,0.30,NA,NA,NA,NA
2005-08-12,20.60,32.80,0.00,NA,NA,NA,NA
2005-08-13,21.10,31.70,14.20,NA,NA,NA,NA
2005-08-14,19.40,23.30,0.00,NA,NA,NA,NA
2005-08-15,18.90,23.90,1.50,NA,NA,NA,NA
2005-08-16,16.70,27.20,2.50,NA,NA,NA,NA
2005-08-17,12.80,28.30,0.30,NA,NA,NA,NA
2005-08-18,16.10,28.90,0.80,NA,NA,NA,NA
2005-08-19,21.10,30.60,0.30,NA,NA,NA,NA
2005-08-20,18.30,33.30,15.00,NA,NA,NA,NA
2005-08-21,16.10,28.30,0.30,NA,NA,NA,NA
2005-08-22,12.20,24.40,0.00,NA,NA,NA,NA
2005-08-23,9.40,23.30,0.00,NA,NA,NA,NA
2005-08-24,9.40,25.60,0.00,NA,NA,NA,NA
2005-08-25,11.10,27.80,0.00,NA,NA,NA,NA
2005-08-26,19.40,26.70,0.00,NA,NA,NA,NA
2005-08-27,18.30,28.30,3.30,NA,NA,NA,NA
2005-08-28,12.20,30.00,0.30,NA,NA,NA,NA
2005-08-29,18.90,24.40,0.00,NA,NA,NA,NA
2005-08-30,19.40,22.20,47.50,NA,NA,NA,NA
2005-08-31,16.70,25.60,11.90,NA,NA,NA,NA
2005-09-01,13.30,26.10,0.00,NA,NA,NA,NA
2005-09-02,15.00,27.20,0.00,NA,NA,NA,NA
2005-09-03,11.70,24.40,0.00,NA,NA,NA,NA
2005-09-04,11.70,25.60,0.00,NA,NA,NA,NA
2005-09-05,11.10,26.10,0.00,NA,NA,NA,NA
2005-09-06,12.80,26.10,0.00,NA,NA,NA,NA
2005-09-07,11.70,27.20,0.00,NA,NA,NA,NA
2005-09-08,13.90,27.80,0.00,NA,NA,NA,NA
2005-09-09,13.90,27.80,0.00,NA,NA,NA,NA
2005-09-10,13.30,28.90,0.00,NA,NA,NA,NA
2005-09-11,11.10,29.40,0.00,NA,NA,NA,NA
2005-09-12,12.80,29.40,0.00,NA,NA,NA,NA
2005-09-13,15.60,29.40,0.00,NA,NA,NA,NA
2005-09-14,16.10,27.80,0.00,NA,NA,NA,NA
2005-09-15,13.30,27.20,0.30,NA,NA,NA,NA
2005-09-16,16.10,23.90,27.90,NA,NA,NA,NA
2005-09-17,15.60,19.40,0.50,NA,NA,NA,NA
2005-09-18,15.00,25.60,0.00,NA,NA,NA,NA
2005-09-19,13.90,26.70,0.30,NA,NA,NA,NA
2005-09-20,14.40,26.70,0.00,NA,NA,NA,NA
2005-09-21,10.60,27.20,0.00,NA,NA,NA,NA
2005-09-22,13.30,30.00,4.30,NA,NA,NA,NA
2005-09-23,14.40,21.70,0.00,NA,NA,NA,NA
2005-09-24,14.40,21.70,0.80,NA,NA,NA,NA
2005-09-25,17.20,26.70,4.10,NA,NA,NA,NA
2005-09-26,17.20,23.90,19.10,NA,NA,NA,NA
2005-09-27,10.00,22.80,0.00,NA,NA,NA,NA
2005-09-28,9.40,25.00,0.30,NA,NA,NA,NA
2005-09-29,5.60,21.70,11.70,NA,NA,NA,NA
2005-09-30,3.30,19.40,0.00,NA,NA,NA,NA
2005-10-01,6.70,23.90,0.00,NA,NA,NA,NA
2005-10-02,12.20,27.80,0.00,NA,NA,NA,NA
2005-10-03,15.00,27.80,0.00,NA,NA,NA,NA
2005-10-04,13.30,27.80,0.00,NA,NA,NA,NA
2005-10-05,13.30,27.20,0.00,NA,NA,NA,NA
2005-10-06,15.60,27.20,0.00,NA,NA,NA,NA
2005-10-07,10.00,15.60,22.90,NA,NA,NA,NA
2005-10-08,8.30,11.70,1.30,NA,NA,NA,NA
2005-10-09,10.00,12.80,0.30,NA,NA,NA,NA
2005-10-10,11.70,15.00,0.50,NA,NA,NA,NA
2005-10-11,13.30,17.20,0.30,NA,NA,NA,NA
2005-10-12,9.40,18.90,0.00,NA,NA,NA,NA
