Daily data for a single station.
StationID:  , USW00004857
StationName:, "ASHTABULA CO AP"
Lat&Long    , 41.778, -80.696
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,15.00,30.00,0.30,NA,NA,NA,NA
2005-08-02,17.80,30.60,0.00,NA,NA,NA,NA
2005-08-03,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-04,20.60,32.20,0.00,NA,NA,NA,NA
2005-08-05,15.00,26.70,0.00,NA,NA,NA,NA
2005-08-06,12.80,26.70,0.00,NA,NA,NA,NA
2005-08-07,11.10,28.30,0.30,NA,NA,NA,NA
2005-08-08,12.20,28.90,4.60,NA,NA,NA,NA
2005-08-09,17.80,30.60,0.30,NA,NA,NA,NA
2005-08-10,17.80,31.70,0.30,NA,NA,NA,NA
2005-08-11,18.90,27.80,4.10,NA,NA,NA,NA
2005-08-12,17.80,33.90,0.00,NA,NA,NA,NA
2005-08-13,20.00,28.90,9.40,NA,NA,NA,NA
2005-08-14,18.30,24.40,15.70,NA,NA,NA,NA
2005-08-15,14.40,25.00,0.00,NA,NA,NA,NA
2005-08-16,14.40,27.80,0.00,NA,NA,NA,NA
2005-08-17,13.30,27.20,0.00,NA,NA,NA,NA
2005-08-18,14.40,29.40,0.30,NA,NA,NA,NA
2005-08-19,20.60,30.00,0.80,NA,NA,NA,NA
2005-08-20,17.80,30.60,28.40,NA,NA,NA,NA
2005-08-21,17.80,27.80,0.30,NA,NA,NA,NA
2005-08-22,14.40,20.60,0.00,NA,NA,NA,NA
2005-08-23,11.10,21.70,0.00,NA,NA,NA,NA
2005-08-24,11.10,23.90,0.00,NA,NA,NA,NA
2005-08-25,10.60,25.60,0.00,NA,NA,NA,NA
2005-08-26,17.80,28.30,0.00,NA,NA,NA,NA
2005-08-27,17.80,21.70,6.40,NA,NA,NA,NA
2005-08-28,13.90,28.90,0.00,NA,NA,NA,NA
2005-08-29,16.10,22.80,0.00,NA,NA,NA,NA
2005-08-30,16.10,23.30,85.90,NA,NA,NA,NA
2005-08-31,15.00,23.30,5.10,NA,NA,NA,NA
2005-09-01,13.30,25.00,0.30,NA,NA,NA,NA
2005-09-02,13.30,25.60,0.00,NA,NA,NA,NA
2005-09-03,12.20,23.30,0.30,NA,NA,NA,NA
2005-09-04,8.30,22.80,0.00,NA,NA,NA,NA
2005-09-05,10.00,25.00,0.30,NA,NA,NA,NA
2005-09-06,11.10,25.60,0.30,NA,NA,NA,NA
2005-09-07,11.10,26.10,0.30,NA,NA,NA,NA
2005-09-08,13.90,25.00,10.20,NA,NA,NA,NA
2005-09-09,10.60,23.30,0.30,NA,NA,NA,NA
2005-09-10,8.90,25.00,0.30,NA,NA,NA,NA
2005-09-11,11.10,27.20,0.30,NA,NA,NA,NA
2005-09-12,13.90,28.90,0.00,NA,NA,NA,NA
2005-09-13,14.40,28.90,0.30,NA,NA,NA,NA
2005-09-14,16.10,28.30,2.80,NA,NA,NA,NA
2005-09-15,16.10,23.90,0.30,NA,NA,NA,NA
2005-09-16,17.20,23.30,13.70,NA,NA,NA,NA
2005-09-17,13.30,22.80,0.30,NA,NA,NA,NA
2005-09-18,11.70,23.30,0.00,NA,NA,NA,NA
2005-09-19,13.30,24.40,0.30,NA,NA,NA,NA
2005-09-20,11.70,23.30,0.00,NA,NA,NA,NA
2005-09-21,10.60,27.20,0.30,NA,NA,NA,NA
2005-09-22,10.60,26.70,23.10,NA,NA,NA,NA
2005-09-23,9.40,20.00,3.00,NA,NA,NA,NA
2005-09-24,10.00,23.90,0.00,NA,NA,NA,NA
2005-09-25,16.70,26.70,0.80,NA,NA,NA,NA
2005-09-26,15.60,22.20,35.10,NA,NA,NA,NA
2005-09-27,8.30,19.40,0.00,NA,NA,NA,NA
2005-09-28,6.70,23.90,0.30,NA,NA,NA,NA
2005-09-29,7.20,22.20,19.10,NA,NA,NA,NA
2005-09-30,6.10,18.30,0.00,NA,NA,NA,NA
2005-10-01,5.60,22.20,0.00,NA,NA,NA,NA
2005-10-02,10.60,26.10,0.30,NA,NA,NA,NA
2005-10-03,13.90,27.20,0.30,NA,NA,NA,NA
2005-10-04,13.90,26.70,0.00,NA,NA,NA,NA
2005-10-05,14.40,26.70,0.30,NA,NA,NA,NA
2005-10-06,13.30,27.20,0.80,NA,NA,NA,NA
2005-10-07,11.70,17.80,4.80,NA,NA,NA,NA
2005-10-08,8.90,11.70,13.00,NA,NA,NA,NA
